1 apos apos 2 ADP case
107 invadir invadir 104 VERB advcl
108 o o 109 DET det
109 comicio comicio 107 NOUN obj
110 de de 112 ADP case
111 o o 112 DET det
112 outro outro 109 PRON nmod
113 quero querer 9 VERB advcl
114 dizer dizer 113 VERB xcomp
115 para para 117 ADP case
116 essa essa 117 DET det
117 gente gente 114 NOUN nmod
118 que que 54 CCONJ mark
119 em em 121 ADP case
120 os o 121 DET det
121 somos ser 54 VERB nmod
122 de de 124 ADP case
123 a o 124 DET det
124 paz paz 121 NOUN nmod
125 e e 127 CCONJ cc
126 so so 127 ADV advmod
127 olhar olhar 20 VERB conj
128 para para 130 ADP case
129 a o 130 DET det
130 cara cara 127 NOUN nmod
131 de de 132 ADP case
132 voces voces 32 PRON nmod
133 somos ser 134 AUX cop
134 gente gente 36 NOUN ccomp
135 de de 136 ADP case
136 paz paz 134 NOUN nmod
137 mas mas 54 CCONJ cc
138 nao nao 141 ADV advmod
139 em em 141 ADP case
140 os o 141 PRON obj
141 provoquem provocar 54 VERB conj
142 porque porque 144 CCONJ mark
143 se se 144 CCONJ mark
144 derem der 54 VERB advcl
145 um um 146 DET det
146 tapa tapa 144 NOUN obj
147 em em 150 ADP case
148 a o 150 DET det
149 nossa nossa 150 DET det:poss
150 cara cara 58 NOUN nmod
151 a o 152 DET det
152 gente gente 154 NOUN nsubj
153 nao nao 154 ADV advmod
154 vai ir 163 VERB advcl
155 apernas aperno 154 ADJ xcomp
156 virar virar 154 VERB xcomp
157 para para 159 ADP case
158 o o 159 DET det
159 lado lado 156 NOUN nmod
160 a o 161 DET det
161 gente gente 163 NOUN nsubj
162 vai ir 163 AUX aux
163 retribuir retribuir 54 VERB conj
164 ate ate 166 ADP mark
165 eles eles 166 PRON nsubj
166 aprenderem aprender 163 VERB advcl
167 a a 168 ADP mark
168 viver viver 166 VERB nmod
169 democraticamente democraticamente 168 ADV advmod
170 disse dizer 9 VERB parataxis
171 lula lula 170 NOUN nsubj
172 em em 174 ADP case
173 o o 174 DET det
174 inicio inicio 170 NOUN nmod
175 de de 177 ADP case
176 a o 177 DET det
177 tarde tarde 174 NOUN nmod
178 diante diante 170 ADV advmod
179 de de 182 ADP case
180 milhares milhares 182 NUM nummod
181 de de 182 ADP case
182 apoiadores apoiadores 178 NOUN nmod
183 que que 184 PRON nsubj
184 encheram encher 182 VERB acl:relcl
185 a o 186 DET det
186 praca praca 184 NOUN obj
187 xv xv 186 NOUN appos
188 de de 189 ADP case
189 novembro novembro 187 PROPN nmod
190 em em 192 ADP case
191 o o 192 DET det
192 centro centro 184 NOUN nmod
193 de de 195 ADP case
194 a o 195 DET det
195 capital capital 192 NOUN nmod
196 catarinense catarinense 195 ADJ amod
197 algumas algumas 200 DET det
198 dezenas dezena 200 NUM nummod
199 de de 200 ADP case
200 metros metro 205 NOUN nmod
201 adiante adiante 200 ADV advmod
202 um um 203 DET det
203 grupo grupo 205 NOUN nsubj
204 menor menor 203 ADJ amod
205 protestava protestar 83 VERB ccomp
206 contra contra 208 ADP case
207 a o 208 DET det
208 presenca presenca 205 NOUN nmod
209 de de 211 ADP case
210 o o 211 DET det
211 expresidente expresidente 208 NOUN nmod
212 em em 208 ADP case
213 a o 208 DET det
