1 nova novo 2 ADJ amod
199 a o 200 DET det
200 atribuicao atribuicao 195 NOUN obj
201 de de 202 ADP mark
202 definir definir 200 VERB nmod
203 as o 204 DET det
204 prioridades prioridade 202 NOUN obj
205 em em 207 ADP case
206 as o 207 DET det
207 votacoes votacoe 202 NOUN nmod
208 maia maia 207 PROPN appos
209 tambem tambem 210 ADV advmod
210 disse dizer 39 VERB acl:relcl
211 que que 431 CCONJ mark
212 o o 213 DET det
213 pacote pacote 72 NOUN nsubj
214 e e 215 CCONJ cc
215 cafe cafe 210 NOUN ccomp
216 velho velho 215 ADJ amod
217 e e 218 CCONJ cc
218 frio frio 216 ADJ conj
219 por por 221 ADP mark
220 nao nao 221 ADV advmod
221 ter ter 72 VERB advcl
222 novidades novidade 221 NOUN obj
223 nesta nesta 224 ADP case
224 quarta quarta 221 PROPN nmod
225 o o 226 DET det
226 ministro ministro 431 NOUN nsubj
227 de de 229 ADP case
228 a o 229 DET det
229 fazenda fazenda 226 NOUN nmod
230 henrique henrique 226 NOUN appos
231 meirelles meirelles 230 NOUN flat
232 afirmou afirmar 210 VERB parataxis
233 que que 368 CCONJ mark
234 os o 235 DET det
235 presidentes presidente 368 NOUN nsubj
236 de de 238 ADP case
237 a o 238 DET det
238 camara camara 235 NOUN nmod
239 rodrigo rodrigo 235 PROPN appos
240 maia maia 239 NOUN flat
241 e e 244 CCONJ cc
242 de de 244 ADP case
243 o o 244 DET det
244 senado senado 239 NOUN conj
245 eunicio eunicio 235 NOUN appos
246 oliveira oliveira 245 PROPN flat
247 e e 251 CCONJ cc
248 quem quem 251 PRON nsubj
249 sao sao 251 AUX cop
250 os o 251 DET det
251 responsaveis responsaveis 454 NOUN conj
252 por por 253 ADP mark
253 definir definir 251 VERB nmod
254 a o 255 DET det
255 pauta pauta 253 NOUN obj
256 de de 257 ADP case
257 votacoes votacoe 255 NOUN nmod
258 de de 260 ADP case
259 o o 260 DET det
260 legislativo legislativo 257 NOUN nmod
261 veja ver 210 VERB ccomp
262 abaixo abaixo 261 ADV advmod
263 os o 265 DET det
264 15 15 265 NUM nummod
265 projetos projeto 261 NOUN obj
266 anunciados anunciar 265 VERB acl
267 por por 269 ADP case
268 o o 269 DET det
269 governo governo 266 NOUN nmod
270 como como 271 ADP mark
271 prioritarios prioritario 266 ADJ nmod
272 em em 274 ADP case
273 a o 274 DET det
274 agenda agenda 271 NOUN nmod
275 economica economico 274 ADJ amod
276 o o 39 PRON appos
277 que que 279 PRON obj
278 eles eles 279 PRON nsubj
279 preveem prever 276 VERB acl:relcl
280 e e 284 CCONJ cc
281 em em 282 ADP case
282 que que 284 PRON nmod
283 pe pe 284 ADV nmod
284 esta esta 261 PRON conj
285 a o 286 DET det
286 tramitacao tramitacao 284 NOUN nsubj
287 de de 289 ADP case
288 cada cada 289 DET det
289 um um 286 PRON nmod
290 deles deles 289 X nmod
291 1 1 292 NUM nummod
292 regulamentacao regulamentacao 261 NOUN nsubj
293 de de 295 ADP case
294 o o 295 DET det
295 teto teto 292 NOUN nmod
296 remuneratorio remuneratorio 295 ADJ amod
297 pl pl 295 NOUN appos
298 6726/2016 6726/2016 297 NUM appos
299 o o 292 DET det
300 que que 301 PRON nsubj
301 diz dizer 39 VERB acl:relcl
302 o o 303 DET det
303 projeto projeto 301 NOUN obj
304 a o 305 DET det
305 proposta proposta 301 NOUN obj
306 de de 308 ADP case
307 o o 308 DET det
308 governo governo 305 NOUN nmod
309 e e 431 CCONJ cc
310 de de 431 ADP mark
311 que que 431 CCONJ mark
312 os o 313 DET det
313 servidores servidor 323 NOUN nsubj
314 publicos publico 313 ADJ amod
315 de de 318 ADP case
316 todos todos 318 DET det
317 os o 318 DET det
318 poderes poderes 313 NOUN nmod
319 executivo executivo 318 ADJ amod
320 legislativo legislativo 318 ADJ amod
321 e e 322 CCONJ cc
322 judiciario judiciario 320 ADJ conj
323 tenham ter 431 VERB advcl
324 a o 325 DET det
325 remuneracao remuneracao 323 NOUN obj
326 limitada limitar 325 VERB acl
327 por por 329 ADP case
328 o o 329 DET det
329 teto teto 326 NOUN nmod
330 salarial salarial 329 ADJ amod
331 equivalente equivalente 329 ADJ amod
332 a a 334 ADP case
333 o o 334 DET det
334 valor valor 331 NOUN nmod
335 de de 337 ADP case
336 o o 337 DET det
337 salario salario 334 NOUN nmod
338 de de 340 ADP case
339 os o 340 DET det
340 ministros ministro 337 NOUN nmod
341 de de 344 ADP case
342 o o 344 DET det
343 supremo supremo 344 ADJ amod
344 tribunal tribunal 340 NOUN nmod
345 federal federal 344 ADJ amod
346 stf stf 344 NOUN appos
347 atualmente atualmente 368 ADV advmod
348 em em 349 ADP case
349 r r 368 NOUN nmod
350 337 337 351 NUM nummod
351 mil mil 349 NUM nummod
352 por por 354 ADP case
353 as o 354 DET det
354 regras regra 368 NOUN nmod
355 atuais atual 354 ADJ amod
356 as o 357 DET det
357 verbas verba 368 NOUN nsubj
358 indenizatorias indenizatorio 357 ADJ amod
359 como como 360 ADP case
360 auxiliomoradia auxiliomoradia 357 NOUN nmod
361 e e 362 CCONJ cc
362 valerefeicao valerefeicao 360 NOUN conj
363 alem alem 368 ADV advmod
364 de de 363 ADP fixed
365 jetons jetom 458 NOUN nmod
366 gratificacoes gratificacoes 365 NOUN flat
367 nao nao 368 ADV advmod
368 entram entrar 232 VERB ccomp
369 em em 371 ADP case
370 o o 371 DET det
371 calculo calculo 368 NOUN nmod
372 a o 373 DET det
373 estimativa estimativa 368 NOUN nsubj
374 e e 377 CCONJ cc
375 de de 377 ADP case
376 uma um 377 DET det
377 economia economia 373 NOUN conj
378 anual anual 377 ADJ amod
379 de de 380 ADP case
380 r r 377 NOUN nmod
381 725 725 382 NUM nummod
382 milhoes milhoes 380 NUM nummod
383 por por 384 ADP case
384 ano ano 380 NOUN nmod
385 somente somente 388 ADV advmod
386 para para 388 ADP case
387 o o 388 DET det
388 executivo executivo 266 NOUN nmod
389 segundo segundo 390 ADP case
390 dados dado 368 NOUN nmod
391 de de 393 ADP case
392 o o 393 DET det
393 ministerio ministerio 390 NOUN nmod
394 de de 396 ADP case
395 o o 396 DET det
396 planejamento planejamento 393 NOUN nmod
397 tramitacao tramitacao 396 ADJ amod
398 o o 399 DET det
399 projeto projeto 402 NOUN nsubj:pass
400 esta esta 402 AUX aux
401 sendo ser 402 AUX aux:pass
402 analisado analisar 210 VERB ccomp
403 por por 405 ADP case
404 uma um 405 DET det
405 comissao comissao 402 NOUN nmod
406 especial especial 405 ADJ amod
407 em em 409 ADP case
408 a o 409 DET det
409 camara camara 405 NOUN nmod
410 ha ha 210 VERB advcl
411 uma um 412 DET det
412 expectativa expectativa 410 NOUN obj
413 de de 421 ADP mark
414 que que 421 CCONJ mark
415 o o 416 DET det
416 relator relator 421 NOUN nsubj
417 deputado deputado 416 NOUN appos
418 rubens rubem 416 ADJ amod
419 bueno bueno 416 ADJ amod
420 ppspr ppspr 416 NOUN appos
421 apresente apresentar 412 VERB nmod
422 seu seu 423 DET det:poss
423 parecer parecer 421 NOUN obj
424 em em 425 ADP case
425 marco marco 421 PROPN nmod
426 a o 427 DET det
427 proposta proposta 431 NOUN nsubj
428 tambem tambem 431 ADV advmod
429 tem ter 431 AUX aux
430 de de 431 ADP mark
431 passar passar 210 VERB ccomp
432 por por 434 ADP case
433 o o 434 DET det
434 plenario plenario 431 NOUN nmod
435 de de 437 ADP case
436 a o 437 DET det
437 camara camara 434 NOUN nmod
438 se se 440 CCONJ mark
439 for for 440 AUX aux:pass
440 alterado alterar 431 VERB advcl
441 volta volta 440 NOUN nsubj:pass
442 a a 444 ADP case
443 o o 444 DET det
444 senado senado 441 NOUN nmod
445 2 2 446 NUM nummod
446 privatizacao privatizacao 440 NOUN nsubj:pass
447 de de 449 ADP case
448 a o 449 DET det
449 eletrobras eletrobras 446 NOUN nmod
450 pl pl 446 NOUN appos
451 9463/2018 9463/2018 450 NUM appos
452 o o 453 DET det
453 que que 454 PRON nsubj
454 diz dizer 232 VERB parataxis
455 o o 456 DET det
456 projeto projeto 454 NOUN obj
457 a o 458 DET det
458 proposta proposta 454 NOUN obj
459 de de 461 ADP case
460 o o 461 DET det
461 governo governo 458 NOUN nmod
462 e e 261 CCONJ cc
