1 apos apos 2 ADP case
122 ministro ministro 127 NOUN nsubj
123 eliseu eliseu 122 VERB appos
124 padilha padilha 123 NOUN flat
125 casa casa 123 NOUN appos
126 civil civil 125 ADJ amod
127 esta esta 47 VERB advcl
128 em em 129 ADP case
129 ferias feria 127 NOUN nmod
130 a o 131 DET det
131 reuniao reuniao 132 NOUN nsubj
132 terminou terminar 47 VERB conj
133 por por 134 ADP case
134 volta volta 132 NOUN nmod
135 de de 137 ADP case
136 as o 137 DET det
137 12h40 12h40 134 NUM nmod
138 temer temer 139 NOUN nsubj
139 retornou retornar 47 VERB conj
140 caminhando caminhar 47 VERB acl
141 junto junto 140 ADV advmod
142 com com 144 ADP case
143 os o 144 DET det
144 ministros ministro 141 NOUN nmod
145 para para 147 ADP case
146 o o 147 DET det
147 jaburu jaburu 140 NOUN nmod
148 exceto exceto 149 ADP case
149 meirelles meirelles 47 NOUN nmod
150 o o 151 DET det
151 trajeto trajeto 47 NOUN nsubj
152 cumprido cumprir 151 VERB acl
153 por por 155 ADP case
154 o o 155 DET det
155 presidente presidente 152 NOUN nmod
156 e e 158 CCONJ cc
157 seus seus 158 DET det:poss
158 ministros ministro 155 NOUN conj
159 entre entre 162 ADP case
160 as o 162 DET det
161 duas duas 162 NUM nummod
162 residencias residencias 152 NOUN nmod
163 oficiais oficial 162 ADJ amod
164 tem ter 47 VERB parataxis
165 cerca cerca 167 ADV advmod
166 de de 165 ADP case
167 15 15 168 NUM nummod
168 quilometro quilometro 164 NOUN obj
169 em em 171 ADP case
170 a o 171 DET det
171 saida saida 164 NOUN nmod
172 de de 174 ADP case
173 o o 174 DET det
174 alvorada alvorada 171 NOUN nmod
175 o o 176 DET det
176 presidente presidente 177 NOUN nsubj
177 cumprimentou cumprimentar 164 VERB parataxis
178 e e 179 CCONJ cc
179 posou posar 177 VERB conj
180 para para 181 ADP case
181 foto foto 179 NOUN nmod
182 com com 184 ADP case
183 um um 184 DET det
184 homem homem 181 NOUN nmod
185 e e 186 CCONJ cc
186 um um 184 NUM conj
