1 rupturas ruptura 12 NOUN nsubj
94 de de 96 ADP case
95 o o 96 DET det
96 lado lado 93 NOUN nmod
97 de de 99 ADP case
98 a o 99 DET det
99 oferta oferta 96 NOUN nmod
100 representado representar 96 VERB acl
101 por por 103 ADP case
102 a o 103 DET det
103 industria industria 100 NOUN nmod
104 que que 106 PRON nsubj
105 nao nao 106 ADV advmod
106 e e 107 VERB cop
107 nada nada 103 PRON conj
108 tradicional tradicional 83 ADJ amod
109 e e 112 CCONJ cc
110 de de 112 ADP case
111 o o 112 DET det
112 lado lado 93 NOUN conj
113 de de 115 ADP case
114 a o 115 DET det
115 demanda demanda 112 NOUN nmod
116 representado representar 112 VERB acl
117 por por 120 ADP case
118 o o 120 DET det
119 crescente crescente 120 ADJ amod
120 interesse interesse 116 NOUN nmod
121 em em 123 ADP mark
122 se se 123 PRON expl:pv
123 reduzir reduzir 120 VERB nmod
124 o o 125 DET det
125 consumo consumo 123 NOUN obj
126 de de 127 ADP case
127 combustiveis combustivel 125 NOUN nmod
128 fosseis fosseis 127 ADJ amod
129 disse dizer 51 VERB parataxis
130 segundo segundo 132 ADP case
131 o o 132 DET det
132 executivo executivo 129 NOUN nmod
133 as o 134 DET det
134 projecoes projecoe 51 NOUN nsubj
135 de de 137 ADP case
136 o o 137 DET det
137 mercado mercado 134 NOUN nmod
138 petroleiro petroleiro 137 ADJ amod
139 apontam apontar 51 VERB ccomp
140 que que 141 CCONJ mark
141 havera haver 139 VERB ccomp
142 um um 143 DET det
143 pico pico 141 NOUN obj
144 de de 145 ADP case
145 consumo consumo 143 NOUN nmod
146 de de 148 ADP case
147 os o 148 DET det
148 derivados derivado 145 NOUN nmod
149 de de 150 ADP case
150 petroleo petroleo 148 NOUN nmod
151 entre entre 152 ADP case
152 2030 2030 157 NUM nmod
153 e e 154 CCONJ cc
154 2040 2040 152 NUM conj
155 que que 157 PRON nsubj:pass
156 sera sera 157 AUX aux:pass
157 seguido seguir 143 VERB acl:relcl
158 por por 160 ADP case
159 uma um 160 DET det
160 queda queda 157 NOUN nmod
161 brusca brusco 160 ADJ amod
162 de de 164 ADP case
163 a o 164 DET det
164 demanda demanda 160 NOUN nmod
165 ha ha 74 VERB ccomp
166 um um 167 DET det
167 declinio declinio 165 NOUN obj
168 de de 170 ADP case
169 a o 170 DET det
170 participacao participacao 167 NOUN nmod
171 de de 173 ADP case
172 o o 173 DET det
173 petroleo petroleo 170 NOUN nmod
174 em em 176 ADP case
175 o o 176 DET det
176 consumo consumo 170 NOUN nmod
177 de de 178 ADP case
178 energia energia 176 NOUN nmod
179 em em 182 ADP case
180 o o 182 DET det
181 longo longo 182 ADJ amod
182 prazo prazo 165 NOUN nmod
183 apontou apontar 51 VERB parataxis
184 parente parente 183 NOUN nsubj
185 palestrou palestrar 183 VERB parataxis
186 em em 188 ADP case
187 a o 188 DET det
188 sede sede 185 NOUN nmod
189 de de 191 ADP case
190 a o 191 DET det
191 fundacao fundacao 188 NOUN nmod
