1 cresce crescer 0 VERB root
227 nao nao 229 ADV advmod
228 deve dever 229 AUX aux
229 ir ir 223 VERB ccomp
230 para para 232 ADP case
231 a o 232 DET det
232 cadeia cadeia 229 NOUN nmod
233 por por 234 ADP mark
234 abortar abortar 229 VERB advcl
235 a o 236 DET det
236 taxa taxa 237 NOUN nsubj
237 cai cair 223 VERB ccomp
238 para para 239 ADP case
239 30 30 237 NUM nmod
240 entre entre 241 ADP case
241 pessoas pessoa 237 NOUN nmod
242 de de 243 ADP case
243 45 45 246 NUM nummod
244 a a 245 ADP case
245 59 59 243 NUM nmod
246 anos ano 241 NOUN nmod
247 61 61 249 NUM nsubj
248 deles deles 247 X nmod
249 defendem defender 223 VERB ccomp
250 que que 257 CCONJ mark
251 o o 252 DET det
252 aborto aborto 257 NOUN nsubj
253 deve dever 257 AUX aux
254 continuar continuar 257 AUX aux
255 sendo ser 257 AUX cop
256 um um 257 DET det
257 crime crime 249 NOUN ccomp
258 a a 259 ADP case
259 apoio apoio 262 NOUN nmod
260 a a 261 ADP case
261 descriminalizacao descriminalizacao 259 NOUN nmod
262 aumenta aumentar 249 VERB ccomp
263 de de 264 ADP case
264 acordo acordo 262 NOUN nmod
265 com com 267 ADP case
266 o o 267 DET det
267 nivel nivel 264 NOUN nmod
268 de de 269 ADP case
269 escolaridade escolaridade 267 NOUN nmod
270 para para 272 ADP case
271 apenas apenas 272 ADV advmod
272 34 34 262 NUM nmod
273 de de 275 ADP case
274 as o 275 DET det
275 pessoas pessoa 272 NOUN nmod
276 com com 272 ADP case
