1 metade metade 5 NOUN nsubj
217 o o 218 DET det
218 foro foro 220 NOUN nsubj
219 privilegiado privilegiado 218 ADJ amod
220 preve prever 186 VERB advcl
221 a a 223 ADP case
222 essas essas 223 DET det
223 autoridades autoridade 220 NOUN iobj
224 o o 225 DET det
225 direito direito 220 NOUN obj
226 de de 228 ADP mark
227 serem ser 228 AUX aux:pass
228 processadas processar 225 VERB nmod
229 somente somente 233 ADV advmod
230 em em 233 ADP case
231 o o 233 DET det
232 supremo supremo 233 ADJ amod
233 tribunal tribunal 228 NOUN nmod
234 federal federal 233 ADJ amod
235 em em 237 ADP case
236 o o 237 DET det
237 caso caso 245 NOUN nmod
238 de de 240 ADP case
239 os o 240 DET det
240 governadores governador 237 NOUN nmod
241 por por 242 ADP case
242 exemplo exemplo 245 NOUN nmod
243 os o 244 DET det
244 processos processo 245 NOUN nsubj
245 ficam ficar 192 VERB acl:relcl
246 a a 247 ADP case
247 criterio criterio 245 NOUN nmod
248 de de 251 ADP case
249 o o 251 DET det
250 superior superior 251 ADJ amod
251 tribunal tribunal 247 NOUN nmod
252 de de 253 ADP case
253 justica justica 251 NOUN nmod
254 stj stj 245 NOUN parataxis
255 em em 257 ADP case
256 a o 257 DET det
257 pratica pratica 245 NOUN nmod
258 com com 260 ADP case
259 o o 260 DET det
260 fim fim 245 NOUN nmod
261 de de 263 ADP case
262 o o 263 DET det
263 foro foro 260 NOUN nmod
264 privilegiado privilegiado 263 ADJ amod
265 as o 266 DET det
266 autoridades autoridade 245 NOUN nsubj
267 que que 269 PRON nsubj
268 hoje hoje 269 ADV advmod
269 tem ter 266 VERB acl:relcl
270 o o 271 DET det
271 direito direito 269 NOUN obj
272 de de 228 ADP mark
273 serem ser 161 AUX aux:pass
