1 apos apos 3 ADP case
219 sendo ser 220 AUX aux:pass
220 carregado carregar 114 VERB conj
221 por por 223 ADP case
222 as o 223 DET det
223 correntes corrente 220 NOUN nmod
224 marinhas marinho 223 ADJ amod
225 tambem tambem 227 ADV advmod
226 nao nao 227 ADV advmod
227 ha ha 200 VERB conj
228 ainda ainda 227 ADV advmod
