1 chefe chefe 7 NOUN nsubj
242 e e 243 CCONJ cc
243 empresas empresa 241 NOUN conj
244 nao nao 245 ADV advmod
245 passa passar 230 VERB ccomp
246 necessariamente necessariamente 245 ADV advmod
247 por por 249 ADP case
248 uma um 249 DET det
249 revolucao revolucao 245 NOUN nmod
250 moral moral 249 ADJ amod
251 em em 253 ADP case
252 o o 253 DET det
253 comportamento comportamento 249 NOUN nmod
254 de de 256 ADP case
255 a o 256 DET det
256 populacao populacao 253 NOUN nmod
257 ate ate 279 ADV advmod
258 porque porque 267 CCONJ mark
259 para para 260 ADP case
260 ele ele 267 PRON nmod
261 a o 262 DET det
262 maioria maioria 267 NOUN nsubj
263 de de 265 ADP case
264 as o 265 DET det
265 pessoas pessoa 262 NOUN nmod
266 nao nao 267 ADV advmod
267 e e 142 VERB advcl
268 naturalmente naturalmente 269 ADV advmod
269 inclinada inclinado 267 ADJ xcomp
270 a a 271 ADP mark
271 pedir pedir 269 VERB nmod
272 ou ou 273 CCONJ cc
273 pagar pagar 271 VERB conj
274 propinas propina 271 NOUN obj
275 em em 276 ADP case
276 vez vez 279 NOUN nmod
277 disso disso 276 X nmod
278 munro munro 279 NOUN nsubj
279 defende defender 230 VERB ccomp
280 aplicacao aplicacao 279 NOUN obj
281 de de 283 ADP case
282 as o 283 DET det
283 ferramentas ferramenta 280 NOUN nmod
284 de de 285 ADP case
285 compliance compliance 283 NOUN nmod
286 nome nome 283 NOUN appos
