1 atualizada atualizar 0 VERB root
296 lava lava 295 NOUN appos
297 jato jato 296 NOUN flat
298 depois depois 301 ADV case
299 de de 298 ADP case
300 a o 298 DET det
301 abertura abertura 309 NOUN nmod
302 de de 304 ADP case
303 a o 304 DET det
304 acao acao 301 NOUN nmod
305 judicial judicial 304 ADJ amod
306 a o 307 DET det
307 promotoria promotoria 309 NOUN nsubj
308 paulista paulista 307 ADJ amod
309 abriu abrir 267 VERB advcl
