1 apos apos 4 CCONJ mark
190 publicou publicar 16 VERB conj
191 a o 192 DET det
192 camara camara 190 NOUN nsubj
193 de de 194 ADP case
194 vereadores vereador 192 NOUN nmod
195 informou informar 16 VERB conj
196 que que 197 CCONJ mark
197 identificou identificar 195 VERB ccomp
198 tres tres 199 NUM nummod
199 homens homem 197 NOUN obj
200 suspeitos suspeito 199 ADJ amod
201 em em 202 ADP case
202 contato contato 197 NOUN nmod
203 com com 205 ADP case
204 o o 205 DET det
205 g1 g1 202 NOUN nmod
206 o o 207 DET det
207 presidente presidente 69 NOUN nsubj
208 de de 210 ADP case
209 a o 210 DET det
210 camara camara 207 NOUN nmod
211 o o 212 DET det
212 vereador vereador 87 NOUN nsubj:pass
213 leo leo 212 PROPN appos
214 prates prates 213 NOUN flat
215 disse dizer 195 VERB ccomp
216 que que 229 CCONJ mark
217 os o 218 DET det
218 suspeitos suspeito 229 NOUN nsubj
219 que que 224 PRON nsubj:pass
220 nao nao 224 ADV advmod
221 chegaram chegar 224 AUX aux
222 a a 224 ADP mark
223 ser ser 224 AUX aux:pass
224 detidos deter 218 VERB acl:relcl
225 por por 227 ADP case
226 a o 227 DET det
227 policia policia 224 NOUN nmod
228 sao ser 229 AUX cop
229 frequentadores frequentador 215 NOUN ccomp
230 assiduos assiduo 229 ADJ amod
231 de de 233 ADP case
232 o o 233 DET det
233 local local 229 NOUN nmod
234 e e 241 CCONJ cc
235 que que 241 CCONJ mark
236 como como 237 ADP case
237 punicao punicao 241 NOUN nmod
238 a o 239 DET det
239 mesa mesa 241 NOUN nsubj
240 diretora diretor 239 ADJ amod
241 decidiu decidir 229 VERB conj
242 proibir proibir 241 VERB xcomp
243 que que 245 CCONJ mark
244 eles eles 245 PRON nsubj
245 tenham ter 242 VERB ccomp
246 acesso acesso 245 NOUN obj
247 as as 248 ADP case
248 dependencias dependencia 246 NOUN nmod
249 de de 251 ADP case
250 a o 251 DET det
251 casa casa 248 NOUN nmod
252 legislativa legislativo 251 ADJ amod
253 ate ate 255 ADP case
254 o o 255 DET det
255 dia dia 245 NOUN nmod
256 31 31 255 NUM nmod
257 de de 258 ADP case
258 dezembro dezembro 256 PROPN nmod
259 de de 260 ADP case
260 2017 2017 258 NUM nmod
