1 selecao selecao 7 NOUN nsubj
219 a o 220 DET det
220 copa copa 214 NOUN nmod
221 de de 223 ADP case
222 o o 223 DET det
223 mundo mundo 220 NOUN nmod
224 de de 226 ADP case
225 a o 226 DET det
226 carne carne 220 NOUN nmod
227 o o 228 DET det
228 time time 231 NOUN nsubj
229 de de 230 ADP case
230 acougueiros acougueiro 228 NOUN nmod
231 precisa precisar 195 VERB conj
232 mostrar mostrar 231 VERB xcomp
