1 leitora leitor 3 NOUN nsubj
74 ha ha 71 VERB ccomp
75 disponibilidade disponibilidade 74 NOUN obj
76 deste deste 77 ADP case
77 servico servico 75 NOUN nmod
78 em em 80 ADP case
79 a o 80 DET det
80 regiao regiao 74 NOUN nmod
81 onde onde 82 ADV advmod
82 mora morar 80 VERB acl:relcl
83 reclamacao reclamacao 82 NOUN nsubj
84 de de 85 ADP case
85 elisabeth elisabeth 83 NOUN nmod
86 rodrigues rodrigues 85 PROPN flat
87 a o 89 DET det
88 minha minha 89 DET det:poss
89 linha linha 74 NOUN nsubj
90 telefonica telefonico 89 ADJ amod
91 e e 92 CCONJ cc
92 vivo vivo 89 ADJ conj
93 e e 95 CCONJ cc
94 a o 95 DET det
95 internet internet 92 PROPN conj
96 e e 97 CCONJ cc
97 speedy speedy 92 ADJ conj
98 eu eu 99 PRON nsubj
99 liguei ligar 74 VERB conj
100 para para 102 ADP case
101 a o 102 DET det
102 vivo vivo 99 NOUN nmod
103 para para 104 ADP mark
104 aumentar aumentar 99 VERB advcl
105 a o 106 DET det
106 velocidade velocidade 104 NOUN obj
107 e e 108 CCONJ cc
108 soube saber 104 VERB conj
109 que que 111 CCONJ mark
110 agora agora 111 ADV advmod
111 ha haver 108 VERB ccomp
112 nova novo 113 ADJ amod
113 tecnologia tecnologia 111 NOUN obj
114 contratei contratar 111 VERB ccomp
115 o o 116 DET det
116 pacote pacote 114 NOUN obj
117 de de 119 ADP case
118 a o 119 DET det
119 vivo vivo 116 NOUN nmod
120 fibra fibra 119 NOUN flat
121 o o 122 DET det
122 tecnico tecnico 123 NOUN nsubj
123 veio veio 108 VERB ccomp
124 instalar instalar 123 VERB xcomp
125 mas mas 127 CCONJ cc
126 nao nao 127 ADV advmod
127 conseguiu conseguir 123 VERB conj
128 porque porque 130 CCONJ mark
129 nao nao 130 ADV advmod
130 ha har 127 VERB advcl
131 cabeamento cabeamento 130 NOUN obj
132 de de 134 ADP case
133 a o 134 DET det
134 operadora operador 131 NOUN nmod
135 de de 136 ADP case
136 telefonia telefonia 134 NOUN nmod
137 em em 139 ADP case
138 a o 139 DET det
139 regiao regiao 130 NOUN nmod
140 o o 141 DET det
141 problema problema 130 NOUN nsubj
142 ainda ainda 143 ADV advmod
143 persiste persistir 35 VERB parataxis
144 resposta resposta 143 NOUN nsubj
145 de de 147 ADP case
146 a o 147 DET det
147 vivo vivo 144 NOUN nmod
148 a a 149 ADP case
149 vivo vivo 143 NOUN nsubj
150 informa informar 35 VERB parataxis
151 que que 156 CCONJ mark
152 a o 153 DET det
153 sra sra 156 NOUN nsubj
154 daisy daisy 153 NOUN appos
155 rodrigues rodrigues 154 NOUN flat
156 esta esta 150 VERB ccomp
157 ciente ciente 156 ADJ xcomp
158 de de 161 ADP mark
159 que que 161 CCONJ mark
160 nao nao 161 ADV advmod
161 ha ha 157 VERB nmod
162 viabilidade viabilidade 161 NOUN obj
163 tecnica tecnico 162 ADJ amod
164 para para 165 ADP mark
165 oferecer oferecer 162 VERB nmod
166 o o 167 DET det
167 servico servico 165 NOUN obj
168 de de 169 ADP case
169 banda banda 167 NOUN nmod
170 larga largo 169 ADJ amod
171 fixa fixo 169 ADJ amod
172 em em 174 ADP case
173 a o 174 DET det
174 velocidade velocidade 62 NOUN nmod
175 solicitada solicitar 80 VERB acl
176 mesmo mesmo 179 ADV advmod
177 com com 179 ADP case
178 a o 179 DET det
179 realizacao realizacao 71 NOUN nmod
180 de de 181 ADP case
181 testes teste 179 NOUN nmod
182 remotos remoto 181 ADJ amod
183 e e 184 CCONJ cc
184 oferecimento oferecimento 179 NOUN conj
185 de de 187 ADP case
186 o o 187 DET det
187 servico servico 184 NOUN nmod
188 apenas apenas 191 ADV advmod
189 com com 191 ADP case
190 o o 191 DET det
191 envio envio 184 NOUN nmod
192 de de 194 ADP case
193 o o 194 DET det
194 tecnico tecnico 191 NOUN nmod
195 a a 197 ADP case
196 o o 197 DET det
197 local local 191 NOUN nmod
198 e e 199 CCONJ cc
199 possivel possivel 99 ADJ conj
200 verificar verificar 199 VERB csubj
201 as o 202 DET det
202 condicoes condicoes 200 NOUN obj
203 de de 204 ADP case
204 atendimento atendimento 202 NOUN nmod
205 sem sem 206 ADP mark
206 comprometer comprometer 200 VERB advcl
207 a o 208 DET det
208 qualidade qualidade 206 NOUN obj
209 de de 211 ADP case
210 o o 211 DET det
211 servico servico 208 NOUN nmod
212 caso caso 216 CCONJ mark
213 a o 214 DET det
214 sra sra 216 NOUN nsubj
215 dayse dayse 214 NOUN appos
216 queira querer 200 VERB advcl
217 permanecer permanecer 216 VERB xcomp
218 com com 139 ADP case
