1 sp sp 26 PART advmod
231 e e 233 CCONJ cc
232 uma um 233 DET det
233 surpresa surpresa 26 NOUN conj
234 portanto portanto 258 ADV advmod
235 que que 247 CCONJ mark
236 a o 237 DET det
237 situacao situacao 247 NOUN nsubj
238 em em 240 ADP case
239 a o 240 DET det
240 cidade cidade 237 NOUN nmod
241 de de 243 ADP case
242 o o 243 DET det
243 cabo cabo 240 NOUN nmod
244 seja ser 247 AUX cop
245 apenas apenas 247 ADV advmod
246 a o 247 DET det
247 ponta ponta 208 NOUN advcl
248 de de 250 ADP case
249 o o 250 DET det
250 iceberg iceberg 247 NOUN nmod
251 em em 254 ADP case
252 todos todos 254 DET det
253 os o 254 DET det
254 continentes continente 247 NOUN nmod
255 grandes grande 256 ADJ amod
256 centros centro 247 NOUN nsubj
257 urbanos urbano 256 ADJ amod
258 enfrentam enfrentar 233 VERB advcl
259 essa essa 260 DET det
260 escassez escassez 258 NOUN obj
261 e e 262 CCONJ cc
262 correm correr 258 VERB conj
263 contra contra 265 ADP case
264 o o 265 DET det
265 tempo tempo 262 NOUN nmod
266 em em 267 ADP case
267 busca busca 262 NOUN nmod
268 de de 270 ADP case
269 uma um 270 DET det
270 solucao solucao 267 NOUN nmod
271 conheca conheco 270 ADJ amod
272 a a 273 ADP mark
273 seguir seguir 262 VERB nmod
274 outras outras 276 DET det
275 11 11 276 NUM nummod
276 cidades cidade 273 NOUN nsubj
277 que que 279 PRON nsubj
278 podem podem 279 AUX aux
279 ficar ficar 276 VERB acl:relcl
280 sem sem 281 ADP case
281 agua agua 279 NOUN nmod
282 a o 283 DET det
283 capital capital 285 NOUN nsubj
284 paulista paulista 283 ADJ amod
285 passou passar 160 VERB ccomp
286 por por 288 ADP case
287 uma um 288 DET det
288 situacao situacao 285 NOUN nmod
289 dramatica dramatico 288 ADJ amod
290 em em 291 ADP case
291 2014 2014 285 NUM nmod
292 e e 293 CCONJ cc
293 2015 2015 291 NUM conj
294 quando quando 303 ADV advmod
295 seu seu 297 DET det:poss
296 principal principal 297 ADJ amod
297 conjunto conjunto 303 NOUN nsubj
298 de de 299 ADP case
299 reservatorios reservatorio 297 NOUN nmod
300 o o 301 DET det
301 sistema sistema 303 NOUN nsubj
302 cantareira cantareiro 301 ADJ amod
303 atingiu atingir 291 VERB acl:relcl
304 seu seu 306 DET det:poss
305 menor menor 306 ADJ amod
306 nivel nivel 303 NOUN obj
307 de de 309 ADP case
308 a o 309 DET det
309 historia historia 306 NOUN nmod
310 a o 311 DET det
311 sabesp sabesp 318 NOUN nsubj
312 companhia companhia 311 NOUN appos
313 paulista paulista 312 ADJ amod
314 de de 315 ADP case
315 abastecimento abastecimento 312 NOUN nmod
316 passou passar 318 AUX aux
317 a a 318 ADP mark
318 puxar puxar 285 VERB parataxis
319 a o 320 DET det
320 agua agua 318 NOUN obj
321 que que 322 PRON nsubj
322 ficava ficar 320 VERB acl:relcl
323 abaixo abaixo 322 ADV advmod
324 de de 326 ADP case
325 os o 326 DET det
326 canos cano 323 NOUN nmod
327 de de 328 ADP case
328 captacao captacao 326 NOUN nmod
329 em em 332 ADP case
330 o o 332 DET det
331 chamado chamado 332 ADJ amod
332 volume volume 318 NOUN nmod
333 morto morto 332 ADJ amod
