1 meu meu 2 DET det:poss
122 programa programa 119 NOUN nmod
123 dinheiro dinheiro 122 NOUN appos
124 direto direto 123 ADJ amod
125 em em 127 ADP case
126 as o 127 DET det
127 escolas escola 119 NOUN nmod
128 que que 130 PRON nsubj
129 vai ir 130 AUX aux
130 destinar destinar 122 VERB acl:relcl
131 r r 130 NOUN obj
132 276 276 133 NUM nummod
133 milhoes milhoes 131 NUM nummod
134 para para 135 ADP case
135 escolas escola 130 NOUN nmod
136 estaduais estadual 135 ADJ amod
137 e e 138 CCONJ cc
138 municipais municipal 136 ADJ conj
139 de de 141 ADP case
140 o o 141 DET det
141 estado estado 135 NOUN nmod
142 de de 144 ADP case
143 o o 144 DET det
144 rio rio 141 NOUN nmod
145 de de 146 ADP case
146 janeiro janeiro 144 PROPN nmod
147 ele ele 148 PRON nsubj
148 disse dizer 17 VERB parataxis
149 que que 152 CCONJ mark
150 o o 151 DET det
151 partido partido 152 NOUN nsubj
152 queria querer 148 VERB ccomp
153 o o 154 DET det
154 apresentador apresentador 152 NOUN obj
155 luciano luciano 154 NOUN appos
156 huck huck 155 PROPN flat
157 como como 158 ADP case
158 candidato candidato 152 NOUN nmod
159 mas mas 163 CCONJ cc
160 que que 163 CCONJ mark
161 esse esse 163 PRON nsubj:pass
162 foi foi 163 AUX aux:pass
163 descartado descartar 48 VERB conj
164 apos apos 165 ADP mark
165 escrever escrever 163 VERB advcl
166 um um 167 DET det
167 artigo artigo 165 NOUN obj
168 negando negar 40 VERB acl
169 a o 170 DET det
170 candidatura candidatura 168 NOUN obj
171 agora agora 168 ADV advmod
172 nao nao 168 ADV advmod
173 de de 175 ADP case
174 a o 175 DET det
175 mais mais 172 ADV advmod
176 como como 180 ADV advmod
177 pode pode 180 AUX aux
178 um um 179 DET det
179 candidato candidato 180 NOUN nsubj
180 dizer dizer 165 VERB ccomp
181 que que 183 CCONJ mark
182 nao nao 183 ADV advmod
183 vai ir 180 VERB ccomp
184 e e 187 CCONJ cc
185 depois depois 187 ADV advmod
186 ir ir 187 AUX aux
187 questionou questionar 78 VERB conj
188 alem alem 187 ADV advmod
189 de de 192 ADP case
190 o o 192 DET det
191 proprio proprio 192 ADJ amod
192 nome nome 188 NOUN nmod
193 maia maia 113 NOUN nsubj
194 disse dizer 94 VERB conj
195 que que 257 CCONJ mark
196 o o 197 DET det
197 partido partido 198 NOUN nsubj
198 pensa pensar 252 VERB ccomp
199 em em 200 ADP case
200 politicos politico 219 NOUN nmod
201 como como 202 ADP case
202 acm acm 119 NOUN nmod
203 neto neto 202 NOUN flat
204 ronaldo ronaldo 202 NOUN appos
205 caiado caiado 204 NOUN flat
206 e e 207 CCONJ cc
207 mendonca mendonca 204 NOUN conj
208 filho filho 207 ADJ amod
209 atual atual 210 ADJ amod
210 ministro ministro 187 NOUN obj
211 de de 213 ADP case
212 a o 213 DET det
213 educacao educacao 210 NOUN nmod
214 ele ele 215 PRON nsubj
215 descartou descartar 26 VERB conj
216 em em 218 ADP case
217 o o 218 DET det
218 entanto entanto 257 ADV nmod
219 vir vir 215 VERB xcomp
220 em em 222 ADP case
221 uma um 222 DET det
222 chapa chapa 219 NOUN nmod
223 junto junto 222 ADV advmod
224 como como 226 ADP case
225 atual atual 226 ADJ amod
226 ministro ministro 219 NOUN nmod
227 de de 229 ADP case
228 a o 229 DET det
229 fazenda fazenda 226 NOUN nmod
230 henrique henrique 48 NOUN appos
231 meirelles meirelles 230 NOUN flat
232 como como 268 CCONJ mark
233 vendo vendo 268 AUX aux
234 sendo ser 235 AUX aux:pass
235 especulado especular 268 VERB advcl
236 nao nao 237 ADV advmod
237 somaria somar 148 VERB ccomp
238 votos voto 237 NOUN obj
239 nem nem 241 CCONJ cc
240 para para 241 ADP case
241 ele ele 48 PRON nmod
242 nem nem 187 CCONJ cc
243 para para 244 ADP case
244 mim mim 268 PRON nmod
245 nossos nossos 246 DET det:poss
246 votos voto 247 NOUN nsubj
247 sao sao 48 VERB conj
248 parecidos parecido 247 ADJ xcomp
249 avaliou avaliar 94 VERB ccomp
250 mas mas 252 CCONJ cc
251 maia maia 252 NOUN nsubj
252 admitiu admitir 321 VERB conj
253 que que 257 CCONJ mark
254 a o 255 DET det
255 chapa chapa 257 NOUN nsubj:pass
256 sera sera 257 AUX aux:pass
257 formada formar 252 VERB ccomp
258 com com 260 ADP case
259 outro outro 260 DET det
260 partido partido 257 NOUN nmod
261 ja ja 268 ADV mark
262 que que 261 CCONJ fixed
263 a o 265 DET det
264 chamada chamado 265 ADJ amod
265 chapa chapa 377 NOUN nsubj
266 pura puro 265 ADJ amod
267 nao nao 268 ADV advmod
268 teria ter 257 VERB advcl
269 votos voto 268 NOUN obj
270 suficientes suficiente 269 ADJ amod
271 maia maia 272 NOUN nsubj
272 elogiou elogiar 321 VERB ccomp
273 o o 274 DET det
274 governo governo 272 NOUN obj
275 de de 277 ADP case
276 o o 277 DET det
277 presidente presidente 274 NOUN nmod
278 temer temer 277 NOUN flat
279 afirmando afirmar 272 VERB acl
280 que que 282 CCONJ mark
281 esta esta 282 AUX aux
282 demonstrando demonstrar 279 VERB ccomp
283 coragem coragem 282 NOUN obj
284 a a 286 ADP case
285 o o 286 DET det
286 fazer fazer 282 VERB advcl
287 reformas reforma 286 NOUN obj
288 necessarias necessaria 287 ADJ amod
289 a a 291 ADP case
290 o o 291 DET det
291 pais pais 288 NOUN nmod
292 mas mas 293 CCONJ cc
293 criticou criticar 272 VERB conj
294 a o 295 DET det
295 falta falta 293 NOUN obj
296 de de 297 ADP case
297 debate debate 295 NOUN nmod
298 em em 300 ADP case
299 o o 300 DET det
300 caso caso 295 NOUN nmod
301 de de 303 ADP case
302 o o 303 DET det
303 decreto decreto 300 NOUN nmod
304 de de 306 ADP case
305 o o 306 DET det
306 indulto indulto 303 NOUN nmod
307 de de 309 ADP case
308 o o 309 DET det
309 natal natal 306 NOUN nmod
310 ele ele 311 PRON nsubj
311 temer temer 303 VERB acl:relcl
312 nao nao 313 ADV advmod
313 quis querer 180 VERB ccomp
314 beneficiar beneficiar 313 VERB xcomp
315 ninguem ninguem 314 PRON obj
316 mas mas 317 CCONJ cc
317 faltou faltar 237 VERB conj
318 debate debate 317 NOUN nsubj
319 afirmou afirmar 94 VERB parataxis
320 maia maia 321 NOUN nsubj
321 disse dizer 319 VERB ccomp
322 que que 324 CCONJ mark
323 nao nao 324 ADV advmod
324 ha ha 321 VERB ccomp
325 mais mais 326 DET det
326 espaco espaco 324 NOUN obj
327 em em 329 ADP case
328 o o 329 DET det
329 brasil brasil 326 NOUN nmod
330 para para 332 ADP case
331 a o 332 DET det
332 escolha escolha 326 NOUN nmod
333 de de 334 ADP case
334 candidatos candidato 332 NOUN nmod
335 sem sem 337 ADP mark
336 se se 337 PRON expl:pv
337 preocupar preocupar 324 VERB advcl
338 com com 340 ADP case
339 um um 340 DET det
340 projeto projeto 337 NOUN nmod
341 acenando acenar 293 VERB acl
342 que que 354 CCONJ mark
343 o o 344 DET det
344 companheiro companheiro 354 NOUN nsubj
345 de de 346 ADP case
346 chapa chapa 344 NOUN nmod
347 de de 349 ADP case
348 o o 349 DET det
349 partido partido 344 NOUN nmod
350 nao nao 354 ADV advmod
351 sera sera 354 AUX cop
352 apenas apenas 354 ADV advmod
353 um um 354 DET det
354 nome nome 341 NOUN ccomp
355 mas mas 356 CCONJ cc
356 alguem alguem 354 PRON conj
357 que que 358 PRON nsubj
358 compartilhe compartilhar 356 VERB acl:relcl
359 os o 361 DET det
360 mesmo mesmo 361 ADJ amod
361 projetos projeto 358 NOUN obj
362 que que 110 PRON obj
363 o o 364 DET det
364 dem dem 358 NOUN nmod
365 o o 366 DET det
366 politico politico 130 NOUN nsubj
367 afirmou afirmar 122 VERB acl:relcl
368 ainda ainda 367 ADV advmod
369 que que 377 CCONJ mark
370 a o 371 DET det
371 assessoria assessoria 377 NOUN nsubj
372 politica politico 371 ADJ amod
373 de de 375 ADP case
374 o o 375 DET det
375 dem dem 371 NOUN nmod
376 esta esta 377 AUX aux
377 avaliando avaliar 367 VERB ccomp
378 a o 361 DET det
