1 video video 3 NOUN nsubj
129 de de 130 ADP case
130 acordo acordo 128 NOUN nmod
131 com com 132 ADP case
132 palocci palocci 130 NOUN nmod
133 moro moro 132 NOUN flat
134 o o 135 DET det
135 senhor senhor 31 NOUN nsubj
136 e e 138 CCONJ cc
137 o o 138 DET det
138 italiano italiano 135 NOUN conj
139 como como 141 CCONJ mark
140 se se 141 PRON expl:pv
141 refere referir 40 VERB advcl
142 o o 143 DET det
143 marcelo marcelo 141 NOUN nsubj
144 odebrecht odebrecht 143 PROPN appos
145 palocci palocci 143 PROPN flat
146 o o 147 DET det
147 marcelo marcelo 150 NOUN nsubj
148 nunca nunca 150 ADV advmod
149 me me 150 PRON obj
150 chamou chamar 3 VERB parataxis
151 de de 152 ADP case
152 italiano italiano 150 NOUN nmod
153 mas mas 155 CCONJ cc
154 eu eu 155 PRON nsubj
155 acho achar 150 VERB conj
156 que que 165 CCONJ mark
157 essa essa 158 DET det
158 planilha planilha 150 NOUN nsubj
159 quando quando 161 CCONJ mark
160 ele ele 161 PRON nsubj
161 coloca colocar 40 VERB advcl
162 italiano italiano 161 NOUN obj
163 diz dizer 155 VERB ccomp
164 respeito respeito 163 NOUN obj
165 diz dizer 155 VERB ccomp
166 respeito respeito 165 NOUN obj
167 a a 168 ADP case
168 mim mim 166 PRON nmod
169 sim sim 165 ADV advmod
170 e e 174 CCONJ cc
171 ele ele 174 PRON nsubj
172 nunca nunca 174 ADV advmod
173 me me 174 PRON obj
174 chamou chamar 165 VERB conj
175 por por 177 ADP case
176 esse esse 177 DET det
177 nome nome 174 NOUN nmod
178 nem nem 179 CCONJ cc
179 ele ele 66 PRON conj
180 nem nem 182 CCONJ cc
181 o o 182 DET det
182 doutor doutor 179 NOUN conj
183 emilio emilio 182 ADJ amod
184 eu eu 186 PRON nsubj
185 nao nao 186 ADV advmod
186 sei saber 58 VERB conj
187 porque porque 189 CCONJ mark
188 ele ele 189 PRON nsubj
189 escolheu escolher 186 VERB advcl
190 essa essa 191 DET det
191 alcunha alcunha 189 NOUN obj
192 mas mas 193 CCONJ cc
193 tem ter 75 VERB conj
194 varios varios 195 DET det
195 emails email 193 NOUN obj
196 em em 197 ADP case
197 que que 199 PRON nmod
198 ele ele 199 PRON nsubj
199 fala fala 195 VERB acl:relcl
200 de de 201 ADP case
201 italiano italiano 199 NOUN nmod
202 e e 203 CCONJ cc
203 italia italia 98 NOUN conj
204 que que 206 CCONJ mark
205 eu eu 206 PRON nsubj
206 sei saber 193 VERB ccomp
207 que que 209 CCONJ mark
208 nao nao 209 ADV advmod
209 diz dizer 206 VERB ccomp
210 respeito respeito 209 NOUN obj
211 a a 212 ADP case
212 mim mim 214 PRON iobj
213 pode pode 214 AUX aux
214 dizer dizer 206 VERB ccomp
