1 proposta proposta 11 NOUN nsubj
164 o o 165 DET det
165 congresso congresso 162 NOUN nmod
166 o o 167 DET det
167 projeto projeto 161 NOUN nsubj
168 de de 169 ADP case
169 lei lei 167 NOUN nmod
170 complementar complementar 169 ADJ amod
171 que que 172 PRON nsubj
172 pretende pretender 167 VERB acl:relcl
173 reforcar reforcar 172 VERB xcomp
174 as o 175 DET det
175 regras regra 173 NOUN obj
176 de de 177 ADP case
177 governanca governanca 175 NOUN nmod
178 de de 180 ADP case
179 os o 180 DET det
180 fundos fundos 175 NOUN nmod
181 de de 182 ADP case
182 pensao pensao 180 NOUN nmod
183 em em 185 ADP case
184 os o 185 DET det
185 moldes molde 175 NOUN nmod
186 de de 188 ADP case
187 a o 188 DET det
188 lei lei 185 NOUN nmod
189 de de 199 ADP case
190 as o 199 DET det
191 estatais estatal 188 NOUN nmod
192 esta esta 167 VERB acl:relcl
193 parado parado 192 ADJ xcomp
194 em em 196 ADP case
195 a o 196 DET det
196 camara camara 192 NOUN nmod
197 de de 199 ADP case
198 os o 199 DET det
199 deputados deputado 196 NOUN nmod
