1 sete sete 2 NUM nummod
208 e e 210 CCONJ cc
209 que que 210 CCONJ mark
210 ativara ativar 202 VERB conj
211 um um 212 DET det
212 sistema sistema 210 NOUN obj
213 de de 214 ADP case
214 defesa defesa 212 NOUN nmod
215 antimisseis antimisseis 214 ADJ amod
216 em em 218 ADP case
217 a o 218 DET det
218 coreia coreia 210 NOUN nmod
219 de de 221 ADP case
220 o o 221 DET det
221 sul sul 218 NOUN nmod
222 a o 223 DET det
223 coreia coreia 230 NOUN nsubj
224 de de 226 ADP case
225 o o 226 DET det
226 norte norte 223 NOUN nmod
227 por por 229 ADP case
228 sua sua 229 DET det:poss
229 vez vez 230 NOUN nmod
230 ameacou ameacar 40 VERB conj
231 afundar afundar 230 VERB xcomp
232 o o 233 DET det
233 portaavioes portaavioes 231 NOUN obj
234 americano americano 233 ADJ amod
235 deslocado deslocar 233 VERB acl
236 para para 238 ADP case
237 a o 238 DET det
238 regiao regiao 235 NOUN nmod
239 e e 240 CCONJ cc
240 prometeu prometer 202 VERB conj
241 realizar realizar 240 VERB xcomp
242 mais mais 243 DET det
243 testes teste 241 NOUN obj
244 de de 245 ADP case
245 misseis missil 243 NOUN nmod
246 a a 247 ADP case
247 china china 349 NOUN nmod
248 um um 260 PRON nsubj
249 de de 252 ADP case
250 os o 252 DET det
251 poucos poucos 252 DET det
252 paises paise 248 NOUN nmod
253 a a 255 ADP mark
254 se se 255 PRON obj
255 relacionar relacionar 252 VERB nmod
256 com com 258 ADP case
257 o o 258 DET det
258 governo governo 255 NOUN nmod
259 nortecoreano nortecoreano 258 ADJ amod
260 pediu pedir 200 VERB ccomp
261 negociacao negociacao 260 NOUN obj
262 e e 263 CCONJ cc
263 dialogo dialogo 261 NOUN conj
264 entre entre 266 ADP case
265 os o 266 DET det
266 paises paise 263 NOUN nmod
267 apos apos 270 ADP case
268 os o 270 DET det
269 ultimos ultimo 270 ADJ amod
270 desenvolvimentos desenvolvimento 210 NOUN nmod
271 nessa nessa 272 ADP case
272 crise crise 270 NOUN nmod
273 o o 274 DET det
274 analista analista 260 NOUN nsubj
275 de de 276 ADP case
276 defesa defesa 274 NOUN nmod
277 e e 278 CCONJ cc
278 diplomacia diplomacia 276 NOUN conj
279 de de 281 ADP case
280 a o 281 DET det
281 bbc bbc 274 NOUN nmod
282 jonathan jonathan 274 NOUN appos
283 marcus marcus 282 PROPN flat
284 responde responder 136 VERB conj
285 as o 287 DET det
286 principais principal 287 ADJ amod
287 duvidas duvida 284 NOUN obj
288 sobre sobre 290 ADP case
289 o o 290 DET det
290 conflito conflito 287 NOUN nmod
291 apesar apesar 294 ADV mark
292 de de 291 ADP fixed
293 ja ja 294 ADV advmod
294 existirem existir 284 VERB advcl
295 sancoes sancoe 294 NOUN nsubj
296 contra contra 298 ADP case
297 a o 298 DET det
298 coreia coreia 295 NOUN nmod
299 de de 301 ADP case
300 o o 301 DET det
301 norte norte 298 NOUN nmod
302 elas elas 305 PRON nsubj:pass
303 nao nao 305 ADV advmod
304 sao sao 305 AUX aux:pass
305 colocadas colocar 284 VERB advcl
306 em em 307 ADP case
307 pratica pratica 305 NOUN nmod
308 ou ou 309 CCONJ cc
309 monitoradas monitoradas 307 VERB conj
310 de de 311 ADP case
311 forma forma 305 NOUN nmod
312 devida devido 311 ADJ amod
313 um um 314 DET det
314 estudo estudo 319 NOUN nsubj
315 recente recente 314 ADJ amod
316 de de 318 ADP case
317 a o 318 DET det
318 onu onu 314 NOUN nmod
319 analisou analisar 136 VERB ccomp
320 fragmentos fragmento 319 NOUN obj
321 de de 323 ADP case
322 um um 323 DET det
323 teste teste 320 NOUN nmod
324 de de 325 ADP case
325 missil missil 323 NOUN nmod
326 nortecoreano nortecoreano 325 ADJ amod
327 e e 328 CCONJ cc
328 mostrou mostrar 319 VERB conj
329 que que 333 CCONJ mark
330 os o 331 DET det
331 componentes componente 333 NOUN nsubj
332 eletronicos eletronico 331 ADJ amod
333 vinham vir 328 VERB ccomp
334 de de 335 ADP case
335 empresas empresa 333 NOUN nmod
336 chinesas chinês 335 ADJ amod
337 ou ou 339 CCONJ cc
338 foram foram 339 AUX aux:pass
339 conseguidos conseguir 333 VERB conj
340 atraves atrave 339 ADV advmod
341 de de 343 ADP case
342 a o 343 DET det
343 china china 340 NOUN nmod
344 ou ou 349 CCONJ cc
345 seja ser 349 CCONJ mark
346 a o 347 DET det
347 china china 349 NOUN nsubj
348 poderia poder 349 AUX aux
349 fazer fazer 333 VERB conj
350 muito muito 351 ADV advmod
351 mais mais 349 ADV advmod
352 de de 252 ADP case
353 o o 252 DET det
