1 prefeito prefeito 5 NOUN nsubj
104 fica ficar 95 VERB acl:relcl
105 em em 107 ADP case
106 o o 107 DET det
107 bairro bairro 104 NOUN nmod
108 praia praia 107 NOUN appos
109 de de 110 ADP case
110 belas bela 108 NOUN nmod
111 regiao regiao 233 NOUN nmod
112 central central 111 ADJ amod
113 de de 115 ADP case
114 a o 115 DET det
115 cidade cidade 111 NOUN nmod
116 lula lula 118 NOUN nsubj:pass
117 foi foi 118 AUX aux:pass
118 condenado condenar 198 VERB ccomp
119 em em 121 ADP case
120 primeira primeiro 121 ADJ amod
121 instancia instancia 118 NOUN nmod
122 em em 124 ADP case
123 a o 124 DET det
124 lava lava 118 NOUN nmod
125 jato jato 124 ADJ amod
126 por por 127 ADP case
127 corrupcao corrupcao 118 NOUN nmod
128 passiva passivo 127 ADJ amod
129 e e 130 CCONJ cc
130 lavagem lavagem 127 NOUN conj
131 de de 132 ADP case
132 dinheiro dinheiro 130 NOUN nmod
133 a a 135 ADP case
134 9 9 135 NUM nummod
135 anos ano 118 NOUN nmod
136 e e 138 CCONJ cc
137 6 6 138 NUM nummod
138 meses mês 135 NOUN conj
139 de de 140 ADP case
140 prisao prisao 138 NOUN nmod
141 e e 142 CCONJ cc
142 recorre recorrer 20 VERB conj
143 em em 144 ADP case
144 liberdade liberdade 142 NOUN nmod
145 o o 146 DET det
146 trf4 trf4 147 NOUN nsubj
147 julga julgar 20 VERB conj
148 os o 149 DET det
149 processos processo 147 NOUN obj
150 a a 151 ADP case
151 lava lava 149 NOUN nmod
152 jato jato 151 NOUN flat
153 em em 155 ADP case
154 segunda segundo 155 ADJ amod
155 instancia instancia 47 NOUN nmod
156 conforme conforme 157 ADP case
157 nota nota 166 NOUN nmod
158 divulgada divulgar 157 VERB acl
159 por por 161 ADP case
160 a o 161 DET det
161 prefeitura prefeitura 158 NOUN nmod
162 nelson nelson 39 NOUN appos
163 marchezan marchezan 162 NOUN flat
164 junior junior 162 ADJ amod
165 psdb psdb 162 PROPN appos
166 pediu pedir 20 VERB conj
167 o o 168 DET det
168 reforco reforco 166 NOUN obj
169 para para 170 ADP mark
170 preservar preservar 166 VERB advcl
171 a o 172 DET det
172 integridade integridade 170 NOUN obj
173 de de 175 ADP case
174 os o 175 DET det
175 cidadaos cidadao 172 NOUN nmod
176 e e 179 CCONJ cc
177 de de 179 ADP case
178 o o 179 DET det
179 patrimonio patrimonio 175 NOUN conj
180 coletivo coletivo 179 ADJ amod
181 leia ler 66 VERB parataxis
182 o o 183 DET det
183 comunicado comunicado 181 NOUN obj
184 abaixo abaixo 187 ADV advmod
185 em em 187 ADP case
186 a o 187 DET det
187 integra integra 181 NOUN nmod
188 a a 190 ADP case
189 o o 190 DET det
190 g1 g1 187 PROPN nmod
191 o o 192 DET det
192 ministro ministro 198 NOUN nsubj
193 de de 195 ADP case
194 a o 195 DET det
195 defesa defesa 192 NOUN nmod
196 raul raul 192 PROPN appos
197 jungmann jungmann 196 PROPN flat
198 explicou explicar 66 VERB parataxis
199 que que 203 CCONJ mark
200 conforme conforme 203 CCONJ mark
201 a o 202 DET det
202 constituicao constituicao 203 NOUN nsubj
203 caberia caber 198 VERB ccomp
204 a a 206 ADP case
205 o o 206 DET det
206 governador governador 203 NOUN iobj
207 solicitar solicitar 203 VERB ccomp
208 a a 210 ADP case
209 o o 210 DET det
210 presidente presidente 207 NOUN iobj
211 de de 213 ADP case
212 a o 213 DET det
213 republica republica 210 NOUN nmod
214 a o 215 DET det
215 acao acao 207 NOUN obj
216 de de 217 ADP case
217 glo glo 215 NOUN nmod
218 garantia garantia 215 NOUN appos
219 de de 221 ADP case
220 a o 221 DET det
221 lei lei 218 NOUN nmod
222 e e 225 CCONJ cc
223 de de 225 ADP case
224 a o 225 DET det
225 ordem ordem 221 NOUN conj
226 para para 228 ADP case
227 o o 228 DET det
228 emprego emprego 225 NOUN nmod
229 de de 231 ADP case
230 as o 231 DET det
231 forcas forca 228 NOUN nmod
232 armadas armado 231 ADJ amod
233 questionada questionar 218 VERB acl
234 por por 236 ADP case
235 o o 236 DET det
236 g1 g1 233 NOUN nmod
237 a a 236 ADP case
