1 quartafeira quartafeira 10 NOUN parataxis
108 depois depois 111 ADV advmod
109 em em 110 ADP case
110 que que 111 PRON nmod
111 agradeceu agradecer 106 VERB acl:relcl
112 a o 113 DET det
113 camara camara 111 NOUN obj
114 e e 115 CCONJ cc
115 disse dizer 317 VERB conj
116 que que 362 CCONJ mark
117 a o 118 DET det
118 rejeicao rejeicao 362 NOUN nsubj
119 de de 121 ADP case
120 a o 121 DET det
121 denuncia denuncia 118 NOUN nmod
122 e e 123 CCONJ cc
123 conquista conquista 121 NOUN conj
124 de de 126 ADP case
125 o o 126 DET det
126 estado estado 123 NOUN nmod
127 democratico democratico 126 ADJ amod
128 a o 129 DET det
129 votacao votacao 362 NOUN nsubj
130 em em 132 ADP case
131 a o 132 DET det
132 camara camara 129 NOUN nmod
133 comecou comecar 209 VERB ccomp
134 as o 135 DET det
135 18h19 18h19 133 NUM nmod
136 e e 357 CCONJ cc
137 as o 138 DET det
138 20h16 20h16 357 NUM nsubj
139 foi foi 140 AUX aux:pass
140 atingido atingir 253 VERB conj
141 o o 142 DET det
142 numero numero 362 NOUN nsubj
143 necessario necessario 142 ADJ amod
144 para para 145 ADP mark
145 aprovar aprovar 143 VERB nmod
146 o o 147 DET det
147 relatorio relatorio 145 NOUN obj
148 de de 150 ADP case
149 o o 150 DET det
150 deputado deputado 147 NOUN nmod
151 paulo paulo 150 NOUN appos
152 abiackel abiackel 151 NOUN flat
153 psdbmg psdbmg 150 NOUN appos
154 que que 155 PRON nsubj
155 pedia pedir 150 VERB acl:relcl
156 o o 157 DET det
157 arquivamento arquivamento 155 NOUN obj
158 de de 160 ADP case
159 a o 160 DET det
160 denuncia denuncia 157 NOUN nmod
161 foram foram 209 VERB ccomp
162 263 263 163 NUM nummod
163 votos voto 161 NOUN nsubj
164 por por 166 ADP case
165 o o 166 DET det
166 sim sim 163 NOUN nmod
167 e e 169 CCONJ cc
168 227 227 169 NUM nummod
169 votos voto 163 NOUN conj
170 por por 172 ADP case
171 o o 172 DET det
172 nao nao 169 NOUN nmod
173 a a 175 ADP case
174 o o 175 DET det
175 arquivamento arquivamento 176 NOUN nmod
176 houve haver 45 VERB conj
177 2 2 178 NUM nummod
178 abstencoes abstencoes 176 NOUN obj
179 e e 181 CCONJ cc
180 19 19 181 NUM nummod
181 ausentes ausente 178 NOUN conj
182 rodrigo rodrigo 45 PROPN nsubj
183 janot janot 182 NOUN flat
184 pode pode 185 AUX aux
185 apresentar apresentar 45 VERB conj
186 novas novo 187 ADJ amod
187 denuncias denuncias 185 NOUN obj
188 mas mas 54 CCONJ cc
189 a o 190 DET det
190 votada votada 194 NOUN nsubj
191 hoje hoje 194 ADV advmod
192 so so 194 ADV advmod
193 pode pode 194 AUX aux
194 ir ir 45 VERB conj
195 a a 197 ADP case
196 o o 197 DET det
197 stf stf 194 NOUN nmod
198 quando quando 200 CCONJ mark
199 temer temer 200 PROPN nsubj
200 estiver estar 54 VERB advcl
201 fora fora 200 ADV advmod
202 de de 204 ADP case
203 a o 204 DET det
204 presidencia presidencia 201 NOUN nmod
205 como como 208 CCONJ mark
206 os o 207 DET det
207 deputados deputado 208 NOUN nsubj
208 votaram votar 253 VERB advcl
209 confira conferir 208 VERB xcomp
210 como como 215 CCONJ mark
211 cada cada 212 DET det
212 deputado deputado 215 NOUN nsubj
213 federal federal 212 ADJ amod
214 se se 215 PRON expl:pv
215 posicionou posicionar 209 VERB ccomp
216 em em 218 ADP case
217 a o 218 DET det
218 votacao votacao 215 NOUN nmod
219 sim sim 220 ADV advmod
220 significa significar 253 VERB conj
221 a a 222 ADP case
222 favor favor 220 NOUN nmod
223 de de 225 ADP case
224 o o 225 DET det
225 arquivamento arquivamento 222 NOUN nmod
226 de de 228 ADP case
227 a o 228 DET det
228 denuncia denuncia 225 NOUN nmod
229 nao nao 362 ADV advmod
230 por por 232 ADP case
231 a o 232 DET det
232 continuidade continuidade 236 NOUN nmod
233 de de 235 ADP case
234 as o 235 DET det
235 investigacoes investigacoe 232 NOUN nmod
236 veja ver 209 VERB ccomp
237 o o 238 DET det
238 placar placar 236 NOUN obj
239 montado montar 238 VERB acl
240 por por 242 ADP case
241 o o 242 DET det
242 g1 g1 239 NOUN nmod
243 checagem checagem 220 NOUN nsubj
244 de de 246 ADP case
245 os o 246 DET det
246 discursos discurso 268 NOUN nmod
247 antes antes 250 ADV case
248 de de 247 ADP case
249 a o 247 DET det
250 votacao votacao 272 NOUN nmod
251 os o 252 DET det
252 parlamentares parlamentar 253 NOUN nsubj
253 tiveram ter 45 VERB parataxis
254 a o 255 DET det
255 chance chance 253 NOUN obj
256 de de 258 ADP mark
257 se se 258 PRON obj
258 pronunciar pronunciar 255 VERB nmod
259 o o 280 DET det
260 e e 169 CCONJ cc
261 ou ou 262 CCONJ cc
262 nao nao 166 ADV conj
263 e e 267 CCONJ cc
264 de de 266 ADP case
265 o o 266 DET det
266 g1 g1 172 PROPN conj
267 checa checar 253 VERB conj
268 falas fala 267 NOUN obj
269 de de 270 ADP case
270 deputados deputado 268 NOUN nmod
271 para para 272 ADP mark
272 verificar verificar 267 VERB advcl
273 a o 274 DET det
274 veracidade veracidade 272 NOUN obj
275 foram foram 276 AUX aux:pass
276 selecionadas selecionar 209 VERB ccomp
277 falas fala 276 NOUN nsubj:pass
278 que que 279 PRON nsubj
279 apresentam apresentar 277 VERB acl:relcl
280 pontos ponto 258 NOUN obj
281 e e 282 CCONJ cc
282 fatos fato 280 NOUN conj
283 objetivos objetivo 282 ADJ amod
284 que que 288 PRON nsubj:pass
285 podem podem 288 AUX aux
286 ser ser 288 AUX aux:pass
287 claramente claramente 288 ADV advmod
288 verificados verificar 282 VERB acl:relcl
289 confira conferir 276 VERB aux:pass
290 deputado deputado 276 NOUN nsubj:pass
291 de de 293 ADP case
292 a o 293 DET det
293 tatuagem tatuagem 290 NOUN nmod
294 depois depois 296 ADV mark
295 de de 294 ADP fixed
296 exibir exibir 253 VERB advcl
297 uma um 298 DET det
298 tatuagem tatuagem 296 NOUN obj
299 com com 301 ADP case
300 o o 301 DET det
301 nome nome 298 NOUN nmod
302 de de 303 ADP case
303 temer temer 301 NOUN nmod
304 em em 306 ADP case
305 o o 306 DET det
306 ombro ombro 301 NOUN nmod
307 em em 309 ADP case
308 o o 309 DET det
309 fim fim 317 NOUN nmod
310 de de 311 ADP case
311 semana semana 309 NOUN nmod
312 o o 313 DET det
313 deputado deputado 317 NOUN nsubj
314 wladimir wladimir 313 NOUN appos
315 costa costa 314 NOUN flat
316 sdpa sdpa 313 NOUN appos
317 fez fazer 209 VERB ccomp
318 outro outro 319 DET det
319 discurso discurso 317 NOUN obj
320 apaixonado apaixonado 319 ADJ amod
321 em em 322 ADP case
322 defesa defesa 317 NOUN nmod
323 de de 325 ADP case
324 o o 325 DET det
325 presidente presidente 322 NOUN nmod
326 um um 327 DET det
327 homem homem 317 NOUN nsubj
328 etico etico 327 ADJ amod
329 transparente transparente 327 ADJ amod
330 tem ter 317 VERB parataxis
331 historia historia 330 NOUN obj
332 ele ele 334 PRON nsubj
333 nao nao 334 ADV advmod
334 exibiu exibir 317 VERB conj
335 o o 336 DET det
336 desenho desenho 334 NOUN obj
337 durante durante 339 ADP case
338 a o 339 DET det
339 sessao sessao 334 NOUN nmod
340 que que 342 CCONJ mark
341 tatuadores tatuador 342 NOUN nsubj
342 afirmam afirmar 334 VERB ccomp
343 nao nao 344 ADV advmod
344 ser ser 342 VERB xcomp
345 permanente permanente 346 ADJ amod
346 confusao confusao 344 NOUN nsubj
347 mas mas 362 CCONJ cc
348 a o 349 DET det
349 participacao participacao 362 NOUN nsubj
350 de de 352 ADP case
351 o o 352 DET det
352 deputado deputado 349 NOUN nmod
353 de de 355 ADP case
354 a o 355 DET det
355 tatuagem tatuagem 352 NOUN nmod
356 nao nao 357 ADV advmod
357 terminou terminar 342 VERB conj
358 por por 359 ADP mark
359 ai ai 357 ADV nmod
360 wladimir wladimir 362 NOUN nsubj
361 costa costa 360 NOUN flat
362 provocou provocar 342 VERB conj
363 parlamentares parlamentar 362 NOUN obj
364 de de 366 ADP case
365 o o 366 DET det
366 pt pt 363 PROPN nmod
367 mostrando mostrar 362 VERB acl
368 dois dois 369 NUM nummod
369 pixulecos pixuleco 367 NOUN obj
370 bonecos boneco 369 ADJ amod
371 com com 373 ADP case
372 a o 373 DET det
373 imagem imagem 367 NOUN nmod
374 de de 376 ADP case
375 o o 376 DET det
376 expresidente expresidente 373 NOUN nmod
377 luiz luiz 376 NOUN appos
