1 ex ex 46 PART nsubj
130 que que 131 PRON nsubj
131 presenciou presenciar 126 VERB acl:relcl
132 uma um 133 DET det
133 viagem viagem 131 NOUN obj
134 de de 136 ADP case
135 o o 136 DET det
136 casal casal 133 NOUN nmod
137 para para 139 ADP case
138 o o 139 DET det
139 exterior exterior 133 NOUN nmod
140 o o 141 DET det
141 advogado advogado 60 NOUN nsubj:pass
142 de de 143 ADP case
143 parisotto parisotto 141 NOUN nmod
144 celso celso 56 ADJ appos
145 vilardi vilardi 144 NOUN flat
146 comentou comentar 60 VERB parataxis
147 o o 148 DET det
148 depoimento depoimento 60 NOUN obj
149 de de 151 ADP case
150 o o 151 DET det
151 empresario empresario 148 NOUN nmod
152 ele ele 153 PRON nsubj
153 tem ter 60 VERB parataxis
154 uma um 155 DET det
155 versao versao 153 NOUN obj
156 so so 158 ADV advmod
157 nunca nunca 158 ADV advmod
158 mentiu mentir 155 VERB acl:relcl
159 uma um 160 DET det
160 versao versao 158 NOUN obj
161 harmonica harmonico 160 ADJ amod
162 disse dizer 74 VERB acl:relcl
163 ele ele 164 PRON nsubj
164 questiona questionar 162 VERB ccomp
165 as o 166 DET det
166 provas prova 164 NOUN obj
167 apresentadas apresentar 166 VERB acl
168 por por 170 ADP case
169 a o 170 DET det
170 acusacao acusacao 167 NOUN nmod
171 uma uma 172 NUM nummod
172 hora hora 167 NOUN nmod
173 o o 174 DET det
174 atestado atestado 176 NOUN nsubj
175 medico medico 174 NOUN amod
176 fala fala 164 VERB parataxis
177 em em 178 ADP case
178 fratura fratura 176 NOUN nmod
179 de de 181 ADP case
180 o o 181 DET det
181 dedo dedo 178 NOUN nmod
182 agora agora 185 ADV advmod
183 a o 184 DET det
184 acusacao acusacao 185 NOUN nsubj
185 juntou juntar 176 VERB parataxis
186 email email 185 NOUN obj
187 que que 188 PRON nsubj
188 fala fala 186 VERB acl:relcl
189 em em 190 ADP case
190 rompimento rompimento 188 NOUN nmod
191 de de 113 ADP case
