1 combater combater 4 VERB csubj
97 por por 99 ADP case
98 grandes grande 99 ADJ amod
99 acoes acoe 96 NOUN nmod
100 em em 103 ADP case
101 o o 103 DET det
102 ultimo ultimo 103 ADJ amod
103 mes mes 220 NOUN nmod
104 a o 137 DET det
105 operacao operacao 230 NOUN nsubj
106 boca boca 137 NOUN appos
107 livre livre 106 ADJ amod
108 investiga investigar 58 VERB conj
109 fraudes fraude 108 NOUN obj
110 de de 112 ADP case
111 ate ate 114 ADV advmod
112 r r 109 NOUN nmod
113 180 180 114 NUM nummod
114 milhoes milhoes 112 NUM nummod
115 com com 116 ADP case
116 recursos recurso 194 NOUN nmod
117 de de 119 ADP case
118 o o 119 DET det
119 tesouro tesouro 116 NOUN nmod
120 liberados liberar 193 VERB acl
121 sob sob 123 ADP case
122 o o 123 DET det
123 guardachuva guardachuva 120 NOUN nmod
124 de de 126 ADP case
125 a o 126 DET det
126 lei lei 123 NOUN nmod
127 rouanet rouanet 126 NOUN appos
128 desdobramento desdobramento 126 NOUN appos
129 de de 131 ADP case
130 a o 131 DET det
131 lava lava 128 NOUN nmod
132 jato jato 131 NOUN flat
133 em em 134 ADP case
134 sao sao 220 NOUN nmod
135 paulo paulo 134 NOUN flat
136 a o 137 DET det
137 operacao operacao 140 NOUN nsubj
138 custo custo 137 NOUN appos
139 brasil brasil 138 ADJ amod
140 apura apurar 58 VERB parataxis
141 o o 142 DET det
142 esquema esquema 140 NOUN obj
143 consist consist 58 VERB parataxis
144 desvios desvio 143 NOUN obj
145 de de 148 ADP case
146 mais mais 150 ADV advmod
147 de de 146 ADP case
148 r r 144 NOUN nmod
149 100 100 150 NUM nummod
150 milhoes milhoes 148 NUM nummod
151 em em 152 ADP case
152 emprestimos emprestimo 144 NOUN nmod
153 consignados consignar 152 VERB acl
154 em em 156 ADP case
155 o o 156 DET det
156 ambito ambito 153 NOUN nmod
157 de de 159 ADP case
158 o o 159 DET det
159 ministerio ministerio 156 NOUN nmod
160 de de 162 ADP case
161 o o 162 DET det
162 planejamento planejamento 159 NOUN nmod
163 um um 263 PRON nsubj
164 de de 166 ADP case
165 os o 166 DET det
166 suspeitos suspeito 163 NOUN nmod
167 de de 168 ADP mark
168 liderar liderar 166 VERB nmod
169 o o 170 DET det
170 esquema esquema 168 NOUN obj
171 e e 173 CCONJ cc
172 o o 173 DET det
173 exministro exministro 263 NOUN conj
174 paulo paulo 173 NOUN appos
175 bernardo bernardo 174 NOUN flat
176 planejamento/governo planejamento/governo 173 NOUN appos
177 lula lula 174 NOUN flat
178 que que 179 PRON nsubj
179 comandou comandar 173 VERB acl:relcl
180 a o 181 DET det
181 pasta pasta 179 NOUN obj
182 as o 183 DET det
183 cifras cifra 179 NOUN nsubj
184 investigadas investigar 183 VERB acl
185 em em 187 ADP case
186 as o 187 DET det
187 operacoes operacoe 184 NOUN nmod
188 fazem fazer 58 VERB parataxis
189 parte parte 188 NOUN obj
190 de de 193 ADP case
191 um um 193 DET det
192 gigantesco gigantesco 193 ADJ amod
193 valor valor 189 NOUN nmod
194 apontado apontar 193 VERB acl
195 por por 197 ADP case
196 a o 197 DET det
197 organizacao organizacao 194 NOUN nmod
198 de de 200 ADP case
199 as o 200 DET det
200 nacoes nacoe 197 NOUN nmod
201 unidas unido 200 ADJ amod
202 onu onu 38 NOUN appos
203 e e 204 CCONJ cc
204 destacado destacar 194 VERB conj
205 por por 207 ADP case
206 a o 207 DET det
207 procuradora procurador 204 NOUN nmod
208 thamea thamea 207 NOUN appos
209 danelon danelon 208 PROPN flat
210 a o 211 DET det
211 onu onu 212 NOUN nsubj
212 estima estimar 58 VERB parataxis
213 que que 220 CCONJ mark
214 por por 215 ADP case
215 ano ano 220 NOUN nmod
216 em em 218 ADP case
217 o o 218 DET det
218 brasil brasil 220 NOUN nmod
219 sejam ser 220 AUX aux:pass
220 desviados desviar 212 VERB ccomp
221 r r 220 NOUN nsubj:pass
222 200 200 223 NUM nummod
223 bilhoes bilhoes 220 NUM nsubj:pass
224 somente somente 230 ADV advmod
225 por por 227 ADP case
226 a o 227 DET det
227 corrupcao corrupcao 220 NOUN nmod
228 esse esse 229 DET det
229 valor valor 230 NOUN nsubj
230 equivale equivaler 212 VERB ccomp
231 a a 233 ADP case
232 tres tres 233 NUM nummod
233 vezes vez 230 NOUN nmod
234 o o 235 DET det
235 orcamento orcamento 230 NOUN obj
236 de de 238 ADP case
237 a o 238 DET det
238 educacao educacao 235 NOUN nmod
239 e e 243 CCONJ cc
240 cinco cinco 241 NUM nummod
241 vezes vez 243 NOUN nmod
242 o o 243 DET det
243 orcamento orcamento 235 NOUN conj
244 de de 246 ADP case
245 a o 246 DET det
246 seguranca seguranca 243 NOUN nmod
247 publica publico 246 ADJ amod
248 afirma afirmar 230 VERB conj
249 nosso nosso 250 DET det:poss
250 indice indice 248 NOUN obj
251 de de 252 ADP case
252 escolaridade escolaridade 250 NOUN nmod
253 e e 254 CCONJ cc
254 baixissimo baixissimo 252 ADJ conj
255 por por 259 ADP case
256 conta conta 255 NOUN fixed
257 de de 255 ADP case
258 a o 255 DET det
259 corrupcao corrupcao 263 NOUN nmod
260 o o 261 DET det
261 dinheiro dinheiro 263 NOUN nsubj
262 nao nao 263 ADV advmod
263 chega chegar 248 VERB advcl
264 em em 266 ADP case
265 a o 266 DET det
266 creche creche 263 NOUN nmod
267 em em 269 ADP case
268 as o 269 DET det
269 escola escola 266 NOUN nmod
270 em em 272 ADP case
271 os o 272 DET det
272 livros livro 269 NOUN nmod
273 e e 275 CCONJ cc
274 nao nao 275 ADV advmod
275 chega chegar 263 VERB conj
276 em em 278 ADP case
277 os o 278 DET det
278 salarios salario 275 NOUN nmod
279 de de 281 ADP case
280 os o 281 DET det
281 professores professor 278 NOUN nmod
282 a o 283 DET det
283 corrupcao corrupcao 287 NOUN nsubj
284 e e 287 CCONJ cc
285 a o 287 DET det
286 maior maior 287 ADJ amod
287 vila vila 263 NOUN conj
