1 mais mais 2 ADV advmod
216 correcao correcao 214 NOUN nmod
217 de de 218 ADP case
218 redacoes redacoe 216 NOUN nmod
219 o o 220 DET det
220 pagamento pagamento 226 NOUN nsubj:pass
221 de de 223 ADP case
222 a o 223 DET det
223 correcao correcao 220 NOUN nmod
224 so so 226 ADV advmod
225 sera sera 226 AUX aux:pass
226 realizado realizar 56 VERB parataxis
227 para para 229 ADP case
228 o o 229 DET det
229 numero numero 226 NOUN nmod
230 de de 231 ADP case
231 participantes participante 229 NOUN nmod
232 que que 234 PRON nsubj
233 efetivamente efetivamente 234 ADV advmod
234 realizarem realizar 231 VERB acl:relcl
235 a o 236 DET det
236 prova prova 234 NOUN obj
237 portanto portanto 76 ADV advmod
238 qualquer qualquer 239 DET det
239 afirmacao afirmacao 76 NOUN nsubj
240 neste neste 241 ADP case
241 momento momento 226 NOUN nmod
242 de de 244 ADP case
243 o o 244 DET det
244 gasto gasto 241 NOUN nmod
245 efetivo efetivo 244 ADJ amod
246 para para 248 ADP case
247 o o 248 DET det
248 enem enem 244 NOUN nmod
249 2016 2016 248 NUM nmod
250 nao nao 252 ADV advmod
251 e e 252 CCONJ cc
252 exata exato 253 ADJ conj
253 informou informar 56 VERB conj
254 o o 255 DET det
255 mec mec 253 NOUN nsubj
256 que que 263 CCONJ mark
257 em em 259 ADP case
258 a o 259 DET det
259 semana semana 263 NOUN nmod
260 passada passado 259 ADJ amod
261 chegou chegar 263 AUX aux
262 a a 263 ADP mark
263 divulgar divulgar 253 VERB ccomp
264 estimativa estimativa 263 NOUN obj
265 de de 266 ADP case
266 custo custo 264 NOUN nmod
267 total total 266 ADJ amod
268 de de 269 ADP case
269 r r 266 NOUN nmod
270 828 828 271 NUM nummod
271 milhoes milhoes 269 NUM nummod
272 apos apos 274 ADP mark
273 ser ser 274 AUX aux:pass
274 questionado questionar 263 VERB advcl
275 em em 277 ADP case
276 a o 277 DET det
277 segundafeira segundafeira 274 NOUN nmod
278 5 5 277 NUM appos
279 por por 281 ADP case
280 a o 281 DET det
281 equipe equipe 274 NOUN nmod
282 de de 283 ADP case
283 reportagem reportagem 281 NOUN nmod
284 que que 285 PRON nsubj
285 solicitou solicitar 281 VERB acl:relcl
286 o o 287 DET det
287 detalhamento detalhamento 285 NOUN obj
288 de de 290 ADP case
289 os o 290 DET det
290 gastos gasto 287 NOUN nmod
291 o o 292 DET det
292 valor valor 293 NOUN nsubj
293 foi foi 188 AUX cop
