1 defesas defesas 6 NOUN nsubj
203 campanha campanha 200 NOUN nmod
204 atenderam atender 195 VERB ccomp
205 a a 207 ADP case
206 os o 207 DET det
207 requisitos requisito 204 NOUN nmod
208 legais legal 207 ADJ amod
209 de de 210 ADP case
210 regularidade regularidade 207 NOUN nmod
211 juridica juridico 210 ADJ amod
212 e e 214 CCONJ cc
213 de de 214 ADP case
214 capacidade capacidade 210 NOUN conj
215 operacional operacional 214 ADJ amod
216 com com 219 ADP case
217 a o 219 DET det
218 integral integral 219 ADJ amod
219 prestacao prestacao 204 NOUN nmod
220 de de 222 ADP case
221 os o 222 DET det
222 servicos servico 219 NOUN nmod
223 contratados contratar 222 VERB acl
224 respeitados respeitar 222 VERB acl
225 os o 226 DET det
226 criterios criterio 224 NOUN nsubj
227 de de 228 ADP case
228 preco preco 226 NOUN nmod
229 de de 230 ADP case
230 mercado mercado 228 NOUN nmod
231 qualidade qualidade 226 NOUN appos
232 e e 233 CCONJ cc
233 quantidade quantidade 231 NOUN conj
234 de de 236 ADP case
235 o o 236 DET det
236 produto produto 233 NOUN nmod
237 e e 238 CCONJ cc
238 prazo prazo 231 NOUN conj
239 de de 240 ADP case
240 entrega entrega 238 NOUN nmod
241 a a 243 ADP case
242 o o 243 DET det
243 g1 g1 240 NOUN nmod
244 o o 245 DET det
245 advogado advogado 263 NOUN nsubj:pass
246 de de 247 ADP case
247 temer temer 245 NOUN nmod
248 em em 250 ADP case
249 o o 250 DET det
250 caso caso 245 NOUN nmod
251 gustavo gustavo 250 NOUN appos
252 guedes guede 251 NOUN flat
253 alegou alegar 195 VERB ccomp
254 que que 263 CCONJ mark
255 a o 256 DET det
256 investigacao investigacao 263 NOUN nsubj:pass
257 sobre sobre 259 ADP case
258 as o 259 DET det
259 graficas graficas 256 NOUN nmod
260 contratadas contratar 259 VERB acl
261 deveria dever 263 AUX aux
262 ser ser 263 AUX aux:pass
263 feita feita 253 VERB ccomp
