1 denunciada denunciar 23 VERB acl
90 apos apos 91 ADP case
91 denuncia denuncia 314 NOUN nmod
92 de de 93 ADP case
93 abuso abuso 91 NOUN nmod
94 de de 95 ADP case
95 poder poder 93 NOUN nmod
96 e e 97 CCONJ cc
97 voltou voltar 148 VERB conj
98 a a 100 ADP case
99 o o 100 DET det
100 cargo cargo 97 NOUN nmod
101 por por 102 ADP case
102 meio meio 97 NOUN nmod
103 de de 105 ADP case
104 uma um 105 DET det
105 decisao decisao 102 NOUN nmod
106 liminar liminar 105 ADJ amod
107 de de 109 ADP case
108 o o 109 DET det
109 tse tse 105 NOUN nmod
110 em em 112 ADP case
111 a o 112 DET det
112 carta carta 341 NOUN nmod
113 de de 114 ADP case
114 renuncia renuncia 112 NOUN nmod
115 ela ela 117 PRON nsubj
116 nao nao 117 ADV advmod
117 cita citar 23 VERB conj
118 as o 119 DET det
119 denuncias denuncias 117 NOUN obj
120 alegando alegar 279 VERB acl
121 apoio apoio 120 NOUN obj
122 a a 124 ADP case
123 o o 124 DET det
124 filho filho 121 NOUN nmod
125 como como 126 ADP case
126 causa causa 121 NOUN nmod
127 deixo deixar 148 VERB conj
128 claro claro 127 ADJ advmod
129 neste neste 130 ADP case
130 ato ato 127 NOUN nmod
131 de de 132 ADP case
132 renuncia renuncia 130 NOUN nmod
133 que que 140 CCONJ mark
134 a o 135 DET det
135 motivacao motivacao 140 NOUN nsubj
136 de de 138 ADP case
137 minha minha 138 DET det:poss
138 renuncia renuncia 135 NOUN nmod
139 se se 140 PRON expl:pv
140 reveste revestir 367 VERB ccomp
141 unica unico 140 ADJ xcomp
142 e e 375 CCONJ cc
143 exclusivamente exclusivamente 141 ADV advmod
144 em em 146 ADP case
145 a o 146 DET det
146 necessidade necessidade 141 NOUN nmod
147 de de 148 ADP mark
148 cuidar cuidar 146 VERB nmod
149 de de 150 ADP case
150 forma forma 148 NOUN nmod
151 mais mais 152 ADV advmod
152 proxima proximo 150 ADJ amod
153 de de 155 ADP case
154 os o 155 DET det
155 negocios negocio 150 NOUN nmod
156 de de 158 ADP case
157 a o 158 DET det
158 familia familia 155 NOUN nmod
159 e e 36 CCONJ cc
160 de de 161 ADP case
161 forma forma 279 NOUN nmod
162 mais mais 163 ADV advmod
163 especial especial 161 ADJ amod
164 dedicar dedicar 279 VERB conj
165 meu meu 166 DET det:poss
166 carinho carinho 164 NOUN obj
167 a a 168 ADP case
168 carreira carreira 164 NOUN nmod
169 de de 172 ADP case
170 o o 172 DET det
171 meu meu 172 DET det:poss
172 filho filho 168 NOUN nmod
173 o o 174 DET det
174 cantor cantor 36 NOUN nsubj:pass
175 wesley wesley 174 PROPN appos
176 safadao safadao 175 ADJ flat
177 ainda ainda 180 ADV advmod
178 em em 180 ADP case
179 o o 180 DET det
180 documento documento 36 NOUN nmod
181 de de 182 ADP case
182 renuncia renuncia 180 NOUN nmod
183 entregue entregar 180 VERB acl
184 a a 185 ADP case
185 camara camara 183 NOUN nmod
186 municipal municipal 185 ADJ amod
187 de de 188 ADP case
188 aracoiaba aracoiaba 235 NOUN nmod
189 ela ela 190 PRON nsubj
190 diz dizer 23 VERB conj
191 que que 192 CCONJ mark
192 mantera manter 190 VERB ccomp
193 atuacao atuacao 192 NOUN obj
194 em em 196 ADP case
195 a o 196 DET det
196 politica politica 193 NOUN nmod
197 municipal municipal 196 ADJ amod
198 mas mas 203 CCONJ cc
199 sem sem 200 ADP mark
200 exercer exercer 341 VERB advcl
201 cargos cargo 200 NOUN obj
202 elegiveis elegivel 201 ADJ amod
203 agradeco agradecar 23 VERB conj
204 a a 205 ADP case
205 todos todos 62 PRON iobj
206 que que 207 PRON nsubj
207 apoiaram apoiar 205 VERB acl:relcl
208 minha minha 209 DET det:poss
209 carreira carreira 207 NOUN obj
210 politica politico 209 ADJ amod
211 a a 112 ADP case
212 o o 112 DET det
213 passo passo 211 NOUN fixed
214 que que 215 CCONJ mark
215 afirmo afirmar 62 VERB advcl
216 e e 217 CCONJ cc
217 reafirmo reafirmar 215 VERB conj
218 que que 219 CCONJ mark
219 continuarei continuar 312 VERB ccomp
220 junto junto 219 ADV advmod
221 com com 223 ADP case
222 as o 223 DET det
223 liderancas lideranca 220 NOUN nmod
224 em em 226 ADP case
225 a o 226 DET det
226 busca busca 219 NOUN nmod
227 incessante incessante 226 ADJ amod
228 e e 229 CCONJ cc
229 intransigente intransigente 227 ADJ conj
230 de de 232 ADP case
231 os o 232 DET det
232 interesses interesse 226 NOUN nmod
233 de de 235 ADP case
234 o o 235 DET det
235 povo povo 232 NOUN nmod
236 de de 237 ADP case
237 aracoiaba aracoiaba 235 NOUN nmod
238 afirma afirmar 23 VERB conj
239 mesmo mesmo 238 ADV advmod
240 com com 242 ADP case
241 a o 242 DET det
242 renuncia renuncia 262 NOUN nmod
243 o o 244 DET det
244 processo processo 279 NOUN nsubj
245 contra contra 246 ADP case
246 ela ela 244 PRON nmod
247 e e 249 CCONJ cc
248 o o 249 DET det
249 prefeito prefeito 244 NOUN conj
250 de de 252 ADP case
251 a o 252 DET det
252 chapa chapa 297 NOUN nmod
253 vencedora vencedor 252 ADJ amod
254 de de 256 ADP case
255 a o 256 DET det
256 eleicao eleicao 249 NOUN nmod
257 municipal municipal 256 ADJ amod
258 de de 259 ADP case
259 2016 2016 256 NUM nmod
260 em em 261 ADP case
261 aracoiaba aracoiaba 306 NOUN nmod
262 segue segue 23 VERB conj
263 em em 264 ADP case
264 andamento andamento 262 NOUN nmod
265 em em 267 ADP case
266 o o 267 DET det
267 tse tse 279 NOUN nmod
268 abuso abuso 267 NOUN appos
269 de de 270 ADP case
270 poder poder 268 NOUN nmod
271 o o 272 DET det
272 tribunal tribunal 279 NOUN nsubj
273 regional regional 272 ADJ amod
274 eleitoral eleitoral 272 ADJ amod
275 de de 277 ADP case
276 o o 277 DET det
277 ceara ceara 272 NOUN nmod
278 trece trece 272 NOUN appos
279 cassou cassar 312 VERB ccomp
280 em em 281 ADP case
281 janeiro janeiro 279 PROPN nmod
282 deste deste 283 ADP case
283 ano ano 281 NOUN nmod
284 por por 285 ADP case
285 unanimidade unanimidade 279 NOUN nmod
286 o o 287 DET det
287 prefeito prefeito 279 NOUN obj
288 eleito eleger 287 VERB acl
289 em em 290 ADP case
290 aracoiaba aracoiaba 314 NOUN nmod
291 em em 292 ADP case
292 2016 2016 148 NUM nmod
293 antonio antonio 279 NOUN nsubj
294 claudio claudio 293 NOUN flat
295 e e 297 CCONJ cc
296 a o 297 DET det
297 vice vice 244 NOUN conj
298 de de 300 ADP case
299 sua sua 300 DET det:poss
300 chapa chapa 297 NOUN nmod
301 maria maria 297 NOUN appos
302 valmira valmira 301 NOUN flat
303 silva silva 301 NOUN flat
304 de de 305 ADP case
305 oliveira oliveira 301 NOUN nmod
306 conhecida conhecer 301 VERB acl
307 como como 308 ADP case
308 dona dona 306 NOUN nmod
309 bill bill 308 NOUN flat
310 o o 311 DET det
311 tribunal tribunal 312 NOUN nsubj
312 entendeu entender 190 VERB ccomp
313 que que 314 CCONJ mark
314 houve haver 312 VERB ccomp
315 abuso abuso 314 NOUN obj
316 de de 317 ADP case
317 poder poder 315 NOUN nmod
318 em em 320 ADP case
319 o o 320 DET det
320 processo processo 314 NOUN nmod
321 eleitoral eleitoral 320 ADJ amod
322 de de 323 ADP case
323 2016 2016 155 NUM nmod
324 quando quando 327 ADV advmod
325 a o 326 DET det
326 chapa chapa 327 NOUN nsubj
327 fez fazer 312 VERB advcl
328 doacoes doacoes 327 NOUN obj
329 de de 331 ADP case
330 quatro quatro 331 NUM nummod
331 ambulancias ambulancia 328 NOUN nmod
332 em em 333 ADP case
333 maio maio 207 PROPN nmod
334 de de 335 ADP case
335 2016 2016 333 NUM nmod
336 em em 338 ADP case
337 a o 338 DET det
338 epoca epoca 341 NOUN nmod
339 a o 340 DET det
340 chapa chapa 341 NOUN nsubj
341 negou negar 203 VERB advcl
342 o o 343 DET det
343 crime crime 341 NOUN obj
344 em em 347 ADP case
345 os o 347 DET det
346 nao nao 347 ADV advmod
347 cometemos cometer 341 VERB advcl
348 nenhum nenhum 349 DET det
349 crime crime 347 NOUN obj
350 foram foram 367 VERB ccomp
351 quatro quatro 352 NUM nummod
352 ambulancias ambulancia 279 NOUN nsubj
353 que que 356 PRON obj
354 o o 355 DET det
355 municipio municipio 356 NOUN nsubj
356 recebeu receber 352 VERB acl:relcl
357 de de 359 ADP case
358 uma um 359 DET det
359 empresa empresa 356 NOUN nmod
360 que que 362 PRON nsubj:pass
361 foram foram 362 AUX aux:pass
362 repassadas repassar 359 VERB acl:relcl
363 para para 365 ADP case
364 as o 365 DET det
365 comunidades comunidade 362 NOUN nmod
366 eles eles 367 PRON nsubj
367 alegam alegar 62 VERB parataxis
368 que que 370 CCONJ mark
369 isso isso 370 PRON nsubj
370 causou causar 367 VERB ccomp
371 um um 372 DET det
372 desequilibrio desequilibrio 370 NOUN obj
373 mas mas 375 CCONJ cc
374 nao nao 375 ADV advmod
375 houve haver 279 VERB conj
376 tanto tanto 375 ADV advmod
377 que que 379 CCONJ mark
378 eu eu 379 PRON nsubj
379 perdi perder 375 VERB ccomp
380 em em 382 ADP case
381 duas duas 382 NUM nummod
382 regioes regioe 379 NOUN nmod
383 que que 384 PRON nsubj
384 receberam receber 382 VERB acl:relcl
385 os o 386 DET det
386 veiculos veiculo 384 NOUN obj
387 afirmou afirmar 375 VERB ccomp
388 prefeito prefeito 387 NOUN obj
389 eleito eleito 388 ADJ amod
390 antonio antonio 388 PROPN appos
391 claudio claudio 390 NOUN flat
392 a o 393 DET det
393 relatora relator 387 NOUN nsubj
394 de de 396 ADP case
395 o o 396 DET det
396 recurso recurso 393 NOUN nmod
397 desembargadora desembargador 396 ADJ amod
398 nailde nailde 393 NOUN appos
