1 debate debate 7 NOUN nsubj
176 nome nome 174 NOUN obj
177 confirmado confirmado 176 ADJ amod
178 ela ela 179 PRON nsubj
179 precisara precisar 169 VERB conj
180 de de 182 ADP case
181 o o 182 DET det
182 aval aval 179 NOUN nmod
183 de de 185 ADP case
184 os o 185 DET det
185 senadores senador 182 NOUN nmod
186 em em 188 ADP case
187 o o 188 DET det
188 plenario plenario 179 NOUN nmod
189 os o 190 DET det
190 senadores senador 192 NOUN nsubj
191 devem devem 192 AUX aux
192 analisar analisar 169 VERB parataxis
193 um um 194 DET det
194 requerimento requerimento 192 NOUN obj
195 para para 196 ADP mark
196 acelerar acelerar 194 VERB nmod
197 a o 194 DET det
