1 condenado condenar 26 VERB acl
116 suposto suposto 117 ADJ amod
117 quadrilhao quadrilhao 106 NOUN nmod
118 de de 119 ADP case
119 politicos politico 117 NOUN nmod
120 em em 122 ADP case
121 os o 122 DET det
122 esquemas esquema 106 NOUN nmod
123 de de 125 ADP case
124 a o 125 DET det
125 petrobras petrobra 122 NOUN nmod
126 o o 127 DET det
127 terreno terreno 41 NOUN appos
128 de de 130 ADP case
129 o o 130 DET det
130 instituto instituto 127 NOUN nmod
131 alem alem 30 ADV advmod
132 de de 134 ADP case
133 a o 134 DET det
134 acao acao 131 NOUN nmod
135 de de 137 ADP case
136 o o 137 DET det
137 triplex triplex 134 NOUN nmod
138 que que 139 PRON nsubj
139 representou representar 287 VERB acl:relcl
140 a o 142 DET det
141 primeira primeiro 142 ADJ amod
142 condenacao condenacao 139 NOUN obj
143 por por 144 ADP case
144 crime crime 142 NOUN nmod
145 comum comum 144 ADJ amod
146 de de 148 ADP case
147 um um 148 DET det
148 presidente presidente 144 NOUN nmod
149 em em 151 ADP case
150 a o 151 DET det
151 historia historia 210 NOUN nmod
152 de de 154 ADP case
153 o o 154 DET det
154 pais pais 151 NOUN nmod
155 lula lula 30 NOUN appos
156 e e 157 CCONJ cc
157 reu reu 30 VERB conj
158 em em 159 ADP case
159 acao acao 157 NOUN nmod
160 penal penal 159 ADJ amod
161 em em 162 ADP case
162 que que 354 PRON nmod
163 e e 164 CCONJ aux:pass
164 acusado acusar 159 VERB acl:relcl
165 de de 166 ADP case
166 corrupcao corrupcao 164 NOUN nmod
167 passiva passivo 166 ADJ amod
168 e e 169 CCONJ cc
169 lavagem lavagem 166 NOUN conj
170 de de 171 ADP case
171 dinheiro dinheiro 169 NOUN nmod
172 por por 174 ADP mark
173 supostamente supostamente 174 ADV advmod
174 aceitar aceitar 411 VERB advcl
175 a o 176 DET det
176 compra compra 174 NOUN obj
177 por por 179 ADP case
178 a o 179 DET det
179 odebrecht odebrecht 176 NOUN nmod
180 de de 182 ADP case
181 um um 182 DET det
182 terreno terreno 176 NOUN nmod
183 em em 184 ADP case
184 sao sao 182 NOUN nmod
185 paulo paulo 184 NOUN flat
186 onde onde 188 ADV advmod
187 seria seria 188 AUX aux:pass
188 sediado sediar 182 VERB acl:relcl
189 o o 190 DET det
190 instituto instituto 188 NOUN nsubj:pass
191 lula lula 190 ADJ amod
192 neste neste 193 ADP case
193 processo processo 411 NOUN nmod
194 lula lula 411 NOUN nsubj
195 tambem tambem 411 ADV advmod
196 e e 197 AUX aux:pass
197 acusado acusar 30 VERB parataxis
198 de de 199 ADP mark
199 receber receber 197 VERB nmod
200 o o 201 DET det
201 imovel imovel 199 NOUN obj
202 vizinho vizinho 201 ADJ amod
203 a a 205 ADP case
204 o o 205 DET det
205 apartamento apartamento 202 NOUN nmod
206 de de 208 ADP case
207 o o 208 DET det
208 qual qual 205 PRON nmod
209 e e 210 CCONJ cc
210 dono dono 205 NOUN acl:relcl
211 em em 184 ADP case
212 sao sao 210 NOUN nmod
213 bernardo bernardo 212 NOUN flat
214 de de 216 ADP case
215 o o 216 DET det
216 campo campo 213 NOUN nmod
217 por por 218 ADP case
218 r r 300 NOUN nmod
219 504 504 220 NUM nummod
220 mil mil 218 NUM nummod
221 de de 223 ADP case
222 a o 223 DET det
223 odebrecht odebrecht 218 PROPN nmod
224 e e 225 CCONJ cc
225 ocultar ocultar 199 VERB conj
226 o o 227 DET det
227 patrimonio patrimonio 225 NOUN obj
228 por por 229 ADP case
229 meio meio 225 NOUN nmod
230 de de 231 ADP case
231 glaucos glauco 229 NOUN nmod
232 de de 234 ADP case
233 a o 234 DET det
234 costamarques costamarques 231 NOUN nmod
235 primo primo 234 ADJ amod
236 de de 238 ADP case
237 seu seu 238 DET det:poss
238 amigo amigo 210 NOUN nmod
239 jose jose 238 NOUN appos
240 carlos carlos 239 NOUN flat
241 bumlai bumlai 239 NOUN flat
242 em em 243 ADP case
243 delacao delacao 411 NOUN nmod
244 premiada premiado 243 ADJ amod
245 o o 246 DET det
246 expresidente expresidente 411 NOUN nsubj
247 de de 249 ADP case
248 a o 249 DET det
249 construtora construtor 246 NOUN nmod
250 marcelo marcelo 246 NOUN appos
251 confessou confessar 30 VERB parataxis
252 o o 253 DET det
253 repasse repasse 411 NOUN obj
254 de de 255 ADP case
255 r r 253 NOUN nmod
256 4 4 257 NUM nummod
257 milhoes milhoes 255 NUM nummod
258 a a 260 ADP case
259 o o 260 DET det
260 instituto instituto 253 NOUN nmod
261 lula lula 411 PROPN obj
262 e e 264 CCONJ cc
263 a o 411 DET det
264 soma soma 201 NOUN conj
265 de de 266 ADP case
266 r r 264 NOUN nmod
267 124 124 268 NUM nummod
268 milhoes milhoes 266 NUM nummod
269 supostamente supostamente 270 ADV advmod
270 investidos investir 281 VERB acl
271 em em 273 ADP case
272 a o 273 DET det
273 compra compra 270 NOUN nmod
274 de de 276 ADP case
275 o o 276 DET det
276 predio predio 273 NOUN nmod
277 de de 279 ADP case
278 o o 279 DET det
279 instituto instituto 276 NOUN nmod
280 os o 281 DET det
281 colaboradores colaborador 411 NOUN nsubj
282 de de 284 ADP case
283 a o 284 DET det
284 empreiteira empreiteiro 281 NOUN nmod
285 como como 287 ADP case
286 o o 287 DET det
287 patriarca patriarca 281 NOUN nmod
288 emilio emilio 287 NOUN appos
289 odebrecht odebrecht 288 PROPN flat
290 e e 292 CCONJ cc
291 o o 292 DET det
292 chefe chefe 287 NOUN conj
293 de de 295 ADP case
294 o o 295 DET det
295 departamento departamento 292 NOUN nmod
296 de de 297 ADP case
297 propinas propina 295 NOUN nmod
298 hilberto hilberto 292 ADJ appos
299 mascarenhas mascarenha 298 ADJ amod
300 prestaram prestar 30 VERB conj
301 depoimento depoimento 300 NOUN obj
302 a a 303 ADP case
303 moro moro 300 NOUN iobj
304 e e 305 CCONJ cc
305 confirmaram confirmar 300 VERB conj
306 que que 309 CCONJ mark
307 os o 331 DET det
308 valores valores 309 NOUN nsubj
309 sairam sair 305 VERB ccomp
310 de de 312 ADP case
311 a o 312 DET det
312 conta conta 309 NOUN nmod
313 amigo amigo 312 NOUN flat
314 de de 315 ADP case
315 r r 312 NOUN nmod
316 128 128 317 NUM nummod
317 milhoes milhoes 315 NUM nummod
318 em em 319 ADP case
319 beneficio beneficio 333 NOUN nmod
320 de de 322 ADP case
321 o o 322 DET det
322 pt pt 319 NOUN nmod
323 e e 326 CCONJ cc
324 de de 326 ADP case
325 o o 326 DET det
326 expresidente expresidente 322 NOUN conj
327 e e 328 CCONJ cc
328 reafirmaram reafirmar 411 VERB conj
329 que que 333 CCONJ mark
330 os o 331 DET det
331 debitos debito 333 NOUN nsubj:pass
332 eram eram 333 AUX aux:pass
333 administrados administrar 328 VERB ccomp
334 por por 336 ADP case
335 o o 336 DET det
336 exministro exministro 333 NOUN nmod
337 antonio antonio 336 NOUN appos
338 palocci palocci 337 NOUN flat
339 trafico trafico 333 NOUN parataxis
340 de de 341 ADP case
341 influencia influencia 339 NOUN nmod
342 o o 343 DET det
343 juiz juiz 411 NOUN nsubj
344 federal federal 343 ADJ amod
345 de de 348 ADP case
346 a o 348 DET det
347 10 10 348 NUM nummod
348 vara vara 343 NOUN nmod
349 de de 350 ADP case
350 brasilia brasilia 348 NOUN nmod
351 vallisney vallisney 343 ADJ appos
352 de de 353 ADP case
353 oliveira oliveira 351 NOUN nmod
354 abriu abrir 328 VERB ccomp
355 acao acao 354 NOUN obj
356 contra contra 357 ADP case
357 lula lula 355 NOUN nmod
358 em em 359 ADP case
359 dezembro dezembro 354 PROPN nmod
360 de de 361 ADP case
361 2016 2016 359 NUM nmod
362 por por 365 ADP case
363 o o 365 DET det
364 suposto suposto 365 ADJ amod
365 recebimento recebimento 411 NOUN nmod
366 de de 367 ADP case
367 r r 365 NOUN nmod
368 25 25 369 NUM nummod
369 milhoes milhoes 367 NUM nummod
370 de de 371 ADP case
371 lobistas lobista 367 NOUN nmod
372 em em 374 ADP case
373 o o 374 DET det
374 ambito ambito 365 NOUN nmod
375 de de 377 ADP case
376 a o 377 DET det
377 operacao operacao 374 NOUN nmod
378 zelotes zelote 377 NOUN flat
379 nesta nesta 380 ADP case
380 acao acao 411 NOUN nmod
381 lula lula 411 NOUN nsubj
382 responde responder 251 VERB parataxis
383 por por 385 ADP case
384 supostos suposto 385 ADJ amod
385 trafico trafico 411 NOUN nmod
386 de de 387 ADP case
387 influencia influencia 385 NOUN nmod
388 lavagem lavagem 385 NOUN appos
389 de de 390 ADP case
390 dinheiro dinheiro 388 NOUN nmod
391 e e 392 CCONJ cc
392 organizacao organizacao 385 NOUN conj
393 criminosa criminoso 392 ADJ amod
394 em em 396 ADP case
395 a o 396 DET det
396 compra compra 392 NOUN nmod
397 de de 398 ADP case
398 cacas caca 396 NOUN nmod
399 suecos sueco 398 ADJ amod
400 outros outros 402 DET det
401 dois dois 402 NUM nummod
402 acusados acusado 411 NOUN nsubj
403 os o 404 DET det
404 lobistas lobista 411 NOUN nsubj
405 mauro mauro 404 NOUN appos
406 marcodes marcode 405 NOUN flat
407 e e 408 CCONJ cc
408 cristina cristina 405 NOUN conj
409 mautoni mautoni 408 ADJ flat
410 teriam ter 411 AUX aux
411 atuado atuar 382 VERB conj
