1 intervencao intervencao 22 NOUN nsubj
118 netto netto 115 NOUN flat
119 de de 121 ADP case
120 o o 121 DET det
121 comando comando 114 NOUN nmod
122 militar militar 121 ADJ amod
123 de de 125 ADP case
124 o o 125 DET det
125 leste leste 121 NOUN nmod
126 ele ele 128 PRON nsubj
127 foi foi 128 AUX cop
128 um um 22 PRON parataxis
129 de de 131 ADP case
130 os o 131 DET det
131 responsaveis responsavel 128 NOUN nmod
132 por por 134 ADP case
133 a o 134 DET det
134 coordenacao coordenacao 131 NOUN nmod
135 de de 137 ADP case
136 a o 137 DET det
137 seguranca seguranca 134 NOUN nmod
138 durante durante 140 ADP case
139 a o 140 DET det
140 olimpiada olimpiada 134 NOUN nmod
141 de de 143 ADP case
142 o o 143 DET det
143 rio rio 140 NOUN nmod
144 em em 145 ADP case
145 2016 2016 34 NUM nmod
146 e e 222 CCONJ cc
147 tambem tambem 148 ADV advmod
148 ocupou ocupar 128 VERB conj
149 o o 150 DET det
150 servico servico 148 NOUN obj
151 de de 152 ADP case
152 inteligencia inteligencia 150 NOUN nmod
153 de de 155 ADP case
154 o o 155 DET det
155 exercito exercito 150 NOUN nmod
156 tem ter 65 VERB conj
157 um um 158 DET det
158 perfil perfil 65 NOUN obj
159 combatente combatente 158 ADJ amod
160 e e 163 CCONJ cc
161 e e 163 CCONJ cc
162 considerado considerar 163 AUX cop
163 parceiro parceiro 65 NOUN conj
164 por por 166 ADP case
165 as o 166 DET det
166 forcas forca 163 NOUN nmod
167 auxiliares auxiliar 166 ADJ amod
168 de de 169 ADP case
169 seguranca seguranca 166 NOUN nmod
170 de de 172 ADP case
171 o o 172 DET det
172 estado estado 166 NOUN nmod
173 o o 174 DET det
174 general general 65 NOUN nsubj:pass
175 braga braga 174 NOUN appos
176 netto netto 175 ADJ flat
177 passa passar 179 AUX aux
178 a a 179 ADP mark
179 exercer exercer 65 VERB conj
180 todas todas 182 DET det
181 as o 182 DET det
182 funcoes funcoe 179 NOUN obj
183 de de 185 ADP case
184 a o 185 DET det
185 area area 182 NOUN nmod
186 de de 187 ADP case
187 seguranca seguranca 185 NOUN nmod
188 ele ele 189 PRON nsubj
189 comanda comandar 65 VERB conj
190 agora agora 189 ADV advmod
191 as o 192 DET det
192 policias policia 189 NOUN obj
193 civil civil 192 ADJ amod
194 e e 195 CCONJ cc
195 militar militar 193 ADJ conj
196 o o 197 DET det
197 corpo corpo 84 NOUN nsubj:pass
198 de de 199 ADP case
199 bombeiros bombeiro 197 NOUN nmod
200 e e 202 CCONJ cc
201 a o 202 DET det
202 secretaria secretaria 197 NOUN conj
203 que que 204 PRON nsubj
204 administra administrar 202 VERB acl:relcl
205 os o 206 DET det
206 presidios presidio 204 NOUN obj
207 de de 209 ADP case
208 o o 209 DET det
209 rj rj 206 NOUN nmod
210 ele ele 211 PRON nsubj
211 responde responder 84 VERB conj
212 diretamente diretamente 211 ADV advmod
213 a a 215 ADP case
214 o o 215 DET det
215 presidente presidente 211 NOUN iobj
216 de de 218 ADP case
217 a o 218 DET det
218 republica republica 215 NOUN nmod
219 roberto roberto 222 PROPN nsubj:pass
220 sa sa 219 PRON flat
221 sera sera 222 AUX aux:pass
222 afastado afastar 189 VERB conj
223 de de 225 ADP case
224 as o 225 DET det
225 funcoes funcoe 222 NOUN nmod
226 a a 215 ADP case
