1 eua eua 2 PRON nsubj
146 com com 148 ADP case
147 a o 148 DET det
148 coreia coreia 145 NOUN nmod
149 de de 151 ADP case
150 o o 151 DET det
151 sul sul 148 NOUN nmod
152 completou completar 54 VERB ccomp
153 mas mas 160 CCONJ cc
154 o o 155 DET det
155 chefe chefe 160 NOUN nsubj
156 de de 158 ADP case
157 a o 158 DET det
158 diplomacia diplomacia 155 NOUN nmod
159 americana americano 158 ADJ amod
160 reduziu reduzir 54 VERB conj
161 a o 162 DET det
162 importancia importancia 160 NOUN obj
163 de de 165 ADP case
164 as o 165 DET det
165 declaracoes declaracoe 162 NOUN nmod
166 uma um 168 DET det
167 primeira primeiro 168 ADJ amod
168 etapa etapa 160 NOUN nsubj
169 seria seria 170 AUX aux
170 ter ter 54 VERB ccomp
171 discussoes discussoe 170 NOUN obj
172 sobre sobre 173 ADP case
173 discussoes discussoe 171 NOUN nmod
174 para para 175 ADP mark
175 ver ver 170 VERB advcl
176 se se 179 CCONJ mark
177 as o 178 DET det
178 condicoes condicoe 39 NOUN nsubj
179 estao estao 175 VERB ccomp
180 corretas correto 179 ADJ xcomp
181 antes antes 43 ADV mark
182 de de 181 ADP fixed
183 comecar comecar 179 VERB advcl
184 a a 185 ADP mark
185 pensar pensar 183 VERB nmod
186 em em 187 ADP case
187 negociacoes negociacoe 185 NOUN nmod
188 destacou destacar 54 VERB advcl
189 tillerson tillerson 188 PROPN nsubj
190 o o 191 DET det
191 presidente presidente 194 NOUN nsubj
192 donald donald 191 PROPN appos
193 trump trump 192 PROPN flat
194 celebrou celebrar 54 VERB ccomp
195 os o 196 DET det
196 sinais sinais 194 NOUN obj
197 de de 198 ADP case
198 abertura abertura 196 NOUN nmod
199 de de 201 ADP case
200 a o 201 DET det
201 coreia coreia 196 NOUN nmod
202 de de 204 ADP case
203 o o 204 DET det
204 norte norte 201 NOUN nmod
205 a a 206 ADP case
206 respeito respeito 194 NOUN nmod
207 de de 209 ADP case
208 a o 209 DET det
209 possibilidade possibilidade 206 NOUN nmod
210 de de 212 ADP case
211 um um 212 DET det
212 dialogo dialogo 209 NOUN nmod
213 com com 215 ADP case
214 os o 215 DET det
215 estados estado 212 NOUN nmod
216 unidos unido 215 ADJ amod
217 mas mas 218 CCONJ cc
218 pediu pedir 194 VERB conj
219 prudencia prudencia 218 NOUN obj
220 e e 221 CCONJ cc
221 reafirmou reafirmar 194 VERB conj
222 que que 226 CCONJ mark
223 todas todas 225 DET det
224 as o 225 DET det
225 opcoes opcoe 226 NOUN nsubj
226 estao estao 221 VERB ccomp
227 sobre sobre 229 ADP case
228 a o 229 DET det
229 mesa mesa 226 NOUN nmod
230 os o 231 DET det
231 lideres lider 245 NOUN nsubj
232 de de 234 ADP case
233 a o 234 DET det
234 coreia coreia 231 NOUN nmod
235 de de 237 ADP case
236 o o 237 DET det
237 norte norte 234 NOUN nmod
238 e e 241 CCONJ cc
239 de de 241 ADP case
240 a o 241 DET det
241 coreia coreia 234 NOUN conj
242 de de 244 ADP case
243 o o 244 DET det
244 sul sul 241 NOUN nmod
245 concordaram concordar 221 VERB ccomp
246 com com 248 ADP case
247 uma um 248 DET det
248 reuniao reuniao 245 NOUN nmod
249 de de 250 ADP case
250 cupula cupula 248 NOUN nmod
251 em em 252 ADP case
252 abril abril 248 PROPN nmod
253 em em 255 ADP case
254 a o 255 DET det
255 zona zona 245 NOUN nmod
256 desmilitarizada desmilitarizado 255 ADJ amod
257 dmz dmz 255 NOUN appos
258 de de 259 ADP case
259 acordo acordo 245 NOUN nmod
260 com com 261 ADP case
261 seul seul 259 PROPN nmod
262 o o 263 DET det
263 governo governo 245 NOUN nsubj
