1 ainda ainda 5 ADV advmod
83 destruida destruir 11 VERB conj
84 em em 86 ADP case
85 a o 86 DET det
86 amazonia amazonia 83 NOUN nmod
87 em em 90 ADP case
88 as o 90 DET det
89 ultimas ultimo 90 ADJ amod
90 decadas decada 35 NOUN nmod
91 e e 260 CCONJ cc
92 essa essa 93 DET det
93 degradacao degradacao 260 NOUN nsubj
94 segundo segundo 95 ADP case
95 especialistas especialista 93 NOUN nmod
96 criou criar 139 VERB conj
97 um um 98 DET det
98 abismo abismo 260 NOUN obj
99 dificil dificil 98 ADJ amod
100 de de 102 ADP mark
101 ser ser 102 AUX aux:pass
102 reduzido reduzir 99 VERB nmod
103 ate ate 104 ADV advmod
104 mesmo mesmo 105 ADV advmod
105 parcialmente parcialmente 218 ADV advmod
106 como como 107 CCONJ mark
107 pretende pretender 298 VERB advcl
108 fazer fazer 107 VERB xcomp
109 um um 110 DET det
110 projeto projeto 108 NOUN obj
111 alardeado alardear 110 VERB acl
112 como como 114 ADP mark
113 incrivelmente incrivelmente 114 ADV advmod
114 audacioso audacioso 111 ADJ nmod
115 e e 117 CCONJ cc
116 o o 117 DET det
117 maior maior 181 NOUN conj
118 de de 120 ADP case
119 a o 120 DET det
120 historia historia 117 NOUN nmod
121 nesse nesse 122 ADP case
122 campo campo 316 NOUN nmod
123 a o 124 DET det
124 iniciativa iniciativa 139 NOUN nsubj
125 anunciada anunciar 124 VERB acl
126 em em 128 ADP case
127 a o 128 DET det
128 abertura abertura 125 NOUN nmod
129 de de 131 ADP case
130 o o 131 DET det
131 festival festival 128 NOUN nmod
132 de de 133 ADP case
133 musica musica 131 NOUN nmod
134 rock rock 133 NOUN appos
135 in in 136 ADP case
136 rio rio 131 PROPN nmod
137 em em 138 ADP case
138 setembro setembro 125 PROPN nmod
139 quer querer 11 VERB parataxis
140 recuperar recuperar 139 VERB xcomp
141 30 30 142 NUM nummod
142 mil mil 143 NUM nummod
143 hectares hectare 140 NOUN obj
144 e e 145 CCONJ cc
145 devolver devolver 140 VERB conj
146 73 73 147 NUM nummod
147 milhoes milhoes 149 NUM nummod
148 de de 149 ADP case
149 arvores arvor 145 NOUN obj
150 a a 151 ADP case
151 floresta floresta 145 NOUN iobj
152 brasileira brasileiro 151 ADJ amod
153 ate ate 154 ADP case
154 2023 2023 145 NUM nmod
155 a o 156 DET det
156 previsao previsao 139 NOUN nsubj
157 e e 156 CCONJ cc
158 de de 163 ADP mark
159 que que 163 CCONJ mark
160 as o 161 DET det
161 acoes acoe 163 NOUN nsubj:pass
162 sejam ser 163 AUX aux:pass
163 intensificadas intensificar 156 VERB nmod
164 em em 165 ADP case
165 2018 2018 163 NUM nmod
166 a o 167 DET det
167 perspectiva perspectiva 168 NOUN nsubj
168 significa significar 11 VERB conj
169 em em 171 ADP case
170 a o 171 DET det
171 pratica pratica 168 NOUN nmod
172 recompor recompor 168 VERB xcomp
173 452 452 172 NUM obj
174 de de 178 ADP case
175 o o 178 DET det
176 que que 178 PRON nsubj:pass
177 foi foi 178 AUX aux:pass
178 desmatado desmatar 172 VERB advcl
179 somente somente 181 ADV advmod
180 entre entre 181 ADP case
181 agosto agosto 178 PROPN nmod
182 de de 183 ADP case
183 2016 2016 181 NUM nmod
184 e e 185 CCONJ cc
185 julho julho 181 PROPN conj
186 de de 187 ADP case
187 2017 2017 185 NUM nmod
188 6624 6624 189 NUM nummod
189 quilometros quilometro 178 NOUN nsubj:pass
190 quadrados quadrado 189 ADJ amod
191 mais mais 194 ADV advmod
192 de de 191 ADP case
193 600 600 194 NUM nummod
194 mil mil 195 NUM nummod
195 hectares hectare 39 NOUN appos
196 e e 197 CCONJ cc
197 resolver resolver 35 VERB conj
198 075 075 197 NUM obj
199 de de 201 ADP case
200 o o 201 DET det
201 desmatamento desmatamento 198 NOUN nmod
202 total total 201 ADJ amod
203 acumulado acumular 201 VERB acl
204 que que 205 PRON nsubj
205 atinge atingir 201 VERB acl:relcl
206 uma um 207 DET det
207 area area 205 NOUN obj
208 de de 215 ADP case
209 por por 211 ADP case
210 o o 211 DET det
211 menos menos 213 ADV advmod
212 4 4 213 NUM nummod
213 milhoes milhoes 215 NUM nummod
214 de de 215 ADP case
215 hectares hectare 207 NOUN nmod
216 apesar apesar 218 ADV mark
217 de de 216 ADP fixed
218 ser ser 35 VERB advcl
219 sempre sempre 220 ADV advmod
220 louvavel louvavel 218 ADJ xcomp
221 que que 224 CCONJ mark
222 algo algo 224 PRON nsubj:pass
223 seja ser 224 AUX aux:pass
224 feito feito 218 VERB csubj
225 a a 227 ADP case
226 o o 227 DET det
227 inves inves 224 NOUN nmod
228 de de 230 ADP case
229 a o 230 DET det
230 inacao inacao 227 NOUN nmod
231 o o 232 DET det
232 projeto projeto 260 NOUN nsubj
233 e e 235 CCONJ cc
234 completamente completamente 235 ADV advmod
235 insuficiente insuficiente 232 ADJ amod
236 para para 237 ADP mark
237 compensar compensar 235 VERB nmod
238 minimamente minimamente 237 ADV advmod
239 o o 237 PRON obj
240 que que 339 PRON nsubj:pass
241 e e 242 CCONJ cc
242 destruido destruir 239 VERB acl:relcl
243 diz dizer 326 VERB acl:relcl
244 o o 245 DET det
245 pesquisador pesquisador 354 NOUN nsubj
246 senior senior 245 ADJ amod
247 de de 249 ADP case
248 o o 249 DET det
249 instituto instituto 245 NOUN nmod
250 nacional nacional 249 ADJ amod
251 de de 252 ADP case
252 pesquisas pesquisa 249 NOUN nmod
253 espaciais espacial 252 ADJ amod
254 inpe inpe 249 NOUN appos
255 antonio antonio 245 NOUN appos
256 donato donato 255 NOUN flat
257 nobre nobre 255 PROPN flat
258 o o 259 DET det
259 projeto projeto 260 NOUN nsubj
260 preve prever 139 VERB parataxis
261 a o 262 DET det
262 utilizacao utilizacao 260 NOUN obj
263 de de 265 ADP case
264 uma um 265 DET det
265 tecnica tecnica 262 NOUN nmod
266 de de 267 ADP case
267 semeadura semeadura 265 NOUN nmod
268 chamada chamar 178 AUX aux:pass
269 muvuca muvuca 265 NOUN acl
270 uma um 271 DET det
271 mistura mistura 354 NOUN obj
272 de de 273 ADP case
273 sementes semente 271 NOUN nmod
274 espalhada espalhar 265 VERB acl
275 em em 277 ADP case
276 a o 277 DET det
277 terra terra 274 NOUN nmod
278 para para 279 ADP mark
279 tentar tentar 260 VERB advcl
280 chegar chegar 279 VERB xcomp
281 o o 283 DET det
282 mais mais 283 ADV advmod
283 proximo proximo 280 ADV advmod
284 possivel possivel 283 ADV advmod
285 a a 287 ADP case
286 o o 287 DET det
287 comportamento comportamento 280 NOUN nmod
288 de de 290 ADP case
289 a o 290 DET det
290 floresta floresta 287 NOUN nmod
291 o o 292 DET det
292 custo custo 298 NOUN nsubj
293 medio medio 292 ADJ amod
294 por por 295 ADP case
295 hectare hectare 292 NOUN nmod
296 chega chegar 298 AUX aux
297 a a 298 ADP mark
298 ser ser 58 VERB acl:relcl
299 3 3 298 NUM nmod
300 a a 301 ADP case
301 4 4 299 NUM nmod
302 vezes vez 303 NOUN nmod
303 menor menor 298 ADJ xcomp
304 de de 308 ADP case
305 o o 308 DET det
306 que que 304 ADP fixed
307 os o 308 DET det
308 metodos metodo 260 NOUN nmod
309 mais mais 310 ADV advmod
310 tradicionais tradicional 308 ADJ amod
311 como como 313 ADP case
312 o o 313 DET det
313 plantio plantio 308 NOUN nmod
314 de de 315 ADP case
315 mudas muda 313 NOUN nmod
316 diz dizer 298 VERB advcl
317 rodrigo rodrigo 316 PROPN nsubj
318 medeiros medeiro 317 NOUN flat
319 de de 321 ADP case
320 a o 321 DET det
321 cibrasil cibrasil 317 NOUN nmod
322 alem alem 316 ADV advmod
323 de de 325 ADP case
324 a o 325 DET det
325 escala escala 322 NOUN nmod
326 o o 316 PRON nsubj
327 que que 328 PRON nsubj
328 torna tornar 326 VERB acl:relcl
329 o o 330 DET det
330 custo custo 328 NOUN obj
331 menor menor 330 ADJ amod
332 e e 334 CCONJ cc
333 o o 334 DET det
334 mix mix 326 NOUN conj
335 de de 336 ADP case
336 tecnicas tecnicas 334 NOUN nmod
337 que que 339 PRON nsubj:pass
338 serao ser 339 AUX aux:pass
339 utilizadas utilizar 336 VERB acl:relcl
340 que que 341 PRON nsubj
341 vai ir 336 VERB acl:relcl
342 desde desde 344 ADP case
343 a o 344 DET det
344 semeadura semeadura 341 NOUN nmod
345 direta direto 344 ADJ amod
346 de de 347 ADP case
347 sementes semente 344 NOUN nmod
348 ate ate 350 ADP case
349 a o 350 DET det
350 conducao conducao 344 NOUN nmod
351 de de 352 ADP case
352 regeneracao regeneracao 350 NOUN nmod
353 natural natural 352 ADJ amod
354 acrescenta acrescentar 260 VERB parataxis
355 em em 357 ADP case
356 a o 357 DET det
357 maioria maioria 354 NOUN nmod
358 de de 360 ADP case
359 as o 360 DET det
360 areas areas 357 NOUN nmod
361 a o 362 DET det
362 mistura mistura 354 NOUN obj
363 e e 364 CCONJ cc
364 semeada semear 362 VERB conj
365 com com 367 ADP case
366 a o 367 DET det
367 ajuda ajuda 354 NOUN nmod
368 de de 369 ADP case
369 maquinas maquinas 367 NOUN nmod
370 em em 367 ADP case
371 as o 367 DET det
