1 reveja rever 0 VERB root
136 encaminhe encaminhar 125 VERB conj
137 o o 138 DET det
138 material material 136 NOUN obj
139 por por 140 ADP case
140 meio meio 136 NOUN nmod
141 de de 143 ADP case
142 a o 143 DET det
143 plataforma plataforma 140 NOUN nmod
144 vc vc 143 X appos
145 em em 147 ADP case
146 o o 147 DET det
147 g1 g1 90 NOUN nmod
148 rs rs 147 PROPN flat
149 basta basta 1 VERB parataxis
150 preencher preencher 149 VERB csubj
151 um um 152 DET det
152 cadastro cadastro 150 NOUN obj
153 em em 155 ADP case
154 o o 155 DET det
155 portal portal 150 NOUN nmod
156 de de 158 ADP case
157 a o 158 DET det
158 globocom globocom 155 PROPN nmod
159 para para 160 ADP mark
160 participar participar 150 VERB advcl
161 e e 163 CCONJ cc
162 so so 163 ADV advmod
163 clicar clicar 212 VERB conj
164 aqui aqui 163 ADV advmod
165 com com 171 ADP case
166 pouco pouco 167 ADV advmod
167 mais mais 170 ADV advmod
168 de de 167 ADP case
169 7 7 170 NUM nummod
170 mil mil 171 NUM nummod
171 habitantes habitante 163 NOUN nmod
172 manoel manoel 51 NOUN appos
173 viana viano 172 ADJ amod
174 e e 175 CCONJ cc
175 uma uma 51 PRON conj
176 de de 180 ADP case
177 as o 180 DET det
178 mais mais 179 ADV advmod
179 novas novo 180 ADJ amod
180 cidades cidade 175 NOUN nmod
181 de de 183 ADP case
182 a o 183 DET det
183 regiao regiao 180 NOUN nmod
184 oeste oeste 183 ADJ amod
185 de de 187 ADP case
186 o o 187 DET det
187 rio rio 183 NOUN nmod
188 grande grande 187 ADJ amod
189 de de 191 ADP case
190 o o 191 DET det
191 sul sul 187 NOUN nmod
192 tem ter 30 VERB conj
193 apenas apenas 194 ADV advmod
194 25 25 195 NUM nummod
195 anos ano 192 NOUN nmod
196 mesmo mesmo 197 ADV advmod
197 pequena pequeno 192 ADJ xcomp
198 e e 199 CCONJ cc
199 jovem jovem 197 ADJ conj
200 o o 201 DET det
201 municipio municipio 202 NOUN nsubj
202 tem ter 149 VERB conj
203 bastante bastante 204 DET det
204 potencial potencial 202 NOUN obj
205 turistico turistico 204 ADJ amod
206 por por 207 ADP case
207 la la 202 PRON nmod
208 de de 212 ADP case
209 a o 212 DET det
210 para para 212 ADP mark
211 se se 212 PRON expl:pv
212 aventurar aventurar 202 VERB advcl
213 ou ou 215 CCONJ cc
214 simplesmente simplesmente 215 ADV advmod
215 descansar descansar 212 VERB conj
216 em em 218 ADP case
217 o o 218 DET det
218 balneario balneario 215 NOUN nmod
219 e e 220 CCONJ cc
220 camping camping 218 NOUN conj
221 rainha rainha 218 NOUN appos
222 de de 224 ADP case
223 o o 224 DET det
224 sol sol 221 NOUN nmod
225 entre entre 227 ADP case
226 o o 227 DET det
227 oceano oceano 215 NOUN nmod
228 atlantico atlantico 227 ADJ amod
229 e e 231 CCONJ cc
230 a o 231 DET det
231 lagoa lagoa 227 NOUN conj
232 de de 234 ADP case
233 os o 234 DET det
234 patos pato 231 NOUN nmod
235 a o 236 DET det
236 cidade cidade 243 NOUN nsubj
237 de de 238 ADP case
238 sao sao 236 PROPN nmod
239 jose jose 238 NOUN flat
240 de de 242 ADP case
241 o o 242 DET det
242 norte norte 238 NOUN nmod
243 tem ter 95 VERB conj
244 uma um 246 DET det
245 forte forte 246 ADJ amod
246 relacao relacao 243 NOUN obj
247 com com 249 ADP case
248 a o 249 DET det
249 agua agua 246 NOUN nmod
250 com com 252 ADP case
251 lindas lindo 252 ADJ amod
252 paisagens paisagem 246 NOUN nmod
253 a o 254 DET det
254 fe fe 243 NOUN nsubj
255 de de 257 ADP case
256 os o 257 DET det
257 moradores morador 254 NOUN nmod
258 esta esta 243 VERB parataxis
259 em em 261 ADP case
260 a o 261 DET det
261 natureza natureza 258 NOUN nmod
262 de de 263 ADP mark
263 onde onde 265 ADV nmod
264 tambem tambem 265 ADV advmod
265 vem vir 261 VERB acl:relcl
266 o o 267 DET det
267 sustento sustento 265 NOUN nsubj
268 de de 270 ADP case
269 o o 270 DET det
270 interior interior 267 NOUN nmod
271 de de 143 ADP case
272 o o 60 DET det
