1 rendimento rendimento 2 NOUN nsubj
272 a o 273 DET det
273 taxa taxa 270 NOUN nmod
274 selic selic 273 NOUN flat
275 em em 276 ADP case
276 janeiro janeiro 268 PROPN nmod
277 de de 278 ADP case
278 2018 2018 276 NUM nmod
279 as o 280 DET det
280 cadernetas caderneta 281 NOUN nsubj
281 renderao render 176 VERB parataxis
282 cerca cerca 284 ADV advmod
283 de de 282 ADP case
284 04 04 281 NUM obj
285 os o 286 DET det
286 recursos recurso 293 NOUN nsubj
287 de de 289 ADP case
288 as o 289 DET det
289 cadernetas caderneta 286 NOUN nmod
290 de de 292 ADP case
291 o o 292 DET det
292 sbpe sbpe 289 NOUN nmod
293 destinamse destinar 418 VERB parataxis
294 majoritariamente majoritariamente 293 ADV advmod
295 a a 297 ADP case
296 o o 297 DET det
297 financiamento financiamento 293 NOUN nmod
298 de de 299 ADP case
299 imoveis imovel 297 NOUN nmod
300 apos apos 302 ADP case
301 um um 302 DET det
302 trienio trienio 293 NOUN nmod
303 de de 305 ADP case
304 menor menor 305 ADJ amod
305 procura procura 302 NOUN nmod
306 por por 307 ADP case
307 credito credito 305 NOUN nmod
308 a o 309 DET det
309 captacao captacao 457 NOUN nsubj
310 mais mais 311 ADV advmod
311 forte forte 309 ADJ amod
312 de de 314 ADP case
313 as o 314 DET det
314 cadernetas caderneta 309 NOUN nmod
315 podera podera 316 AUX aux
316 favorecer favorecer 110 VERB acl:relcl
317 um um 318 DET det
318 aumento aumento 293 NOUN obj
319 de de 321 ADP case
320 a o 321 DET det
321 oferta oferta 318 NOUN nmod
322 de de 323 ADP case
323 financiamento financiamento 321 NOUN nmod
324 de de 326 ADP case
325 os o 326 DET det
326 bancos banco 321 NOUN nmod
327 privados privado 326 ADJ amod
328 em em 329 ADP case
329 2018 2018 321 NUM nmod
330 em em 332 ADP case
331 12 12 332 NUM nummod
332 meses mês 457 NOUN nmod
333 ate ate 334 ADP case
334 novembro novembro 457 PROPN nmod
335 de de 336 ADP case
336 2017 2017 334 NUM nmod
337 o o 338 DET det
338 sbpe sbpe 339 NOUN nsubj
339 financiou financiar 446 VERB parataxis
340 a o 341 DET det
341 compra compra 339 NOUN obj
342 ou ou 343 CCONJ cc
343 construcao construcao 341 NOUN conj
344 de de 348 ADP case
345 apenas apenas 347 ADV advmod
346 1815 1815 347 NUM nummod
347 mil mil 348 NUM nummod
348 imoveis imovel 318 NOUN nmod
349 contra contra 351 ADP case
350 um um 351 DET det
351 maximo maximo 457 NOUN nmod
352 de de 355 ADP case
353 5383 5383 354 NUM nummod
354 mil mil 355 NUM nummod
355 financiamentos financiamento 351 NOUN nmod
356 em em 357 ADP case
357 2014 2014 457 NUM nmod
358 o o 359 DET det
359 montante montante 457 NOUN nsubj
360 financiado financiar 359 VERB acl
361 foi foi 339 VERB parataxis
362 de de 363 ADP case
363 r r 457 NOUN nmod
364 448 448 365 NUM nummod
365 bilhoes bilhoes 363 NUM nummod
366 40 40 363 NUM nummod
367 inferior inferior 218 ADJ amod
368 a a 370 ADP case
369 o o 370 DET det
370 registrado registrado 367 NOUN nmod
371 em em 372 ADP case
372 2014 2014 370 NUM nmod
373 a o 374 DET det
374 retomada retomada 156 NOUN nsubj
375 de de 377 ADP case
376 a o 377 DET det
377 economia economia 374 NOUN nmod
378 contribuira contribuir 2 VERB parataxis
379 para para 381 ADP case
380 o o 381 DET det
381 aumento aumento 378 NOUN nmod
382 de de 384 ADP case
383 a o 384 DET det
384 demanda demanda 381 NOUN nmod
385 de de 386 ADP case
386 credito credito 384 NOUN nmod
387 e e 391 CCONJ cc
388 portanto portanto 391 ADV advmod
389 para para 391 ADP case
390 maior maior 391 ADJ amod
391 atividade atividade 381 NOUN conj
392 de de 394 ADP case
393 o o 394 DET det
394 setor setor 391 NOUN nmod
395 com com 397 ADP case
396 a o 397 DET det
397 reducao reducao 156 NOUN nmod
398 de de 400 ADP case
399 o o 400 DET det
400 custo custo 397 NOUN nmod
401 de de 402 ADP case
402 captacao captacao 400 NOUN nmod
403 de de 405 ADP case
404 as o 405 DET det
405 cadernetas caderneta 402 NOUN nmod
406 e e 410 CCONJ cc
407 tambem tambem 410 ADV advmod
408 de de 410 ADP case
409 o o 410 DET det
410 juro juro 400 NOUN conj
411 basico basico 410 ADJ amod
412 a o 413 DET det
413 tendencia tendencia 156 NOUN nsubj
414 e e 78 CCONJ conj
415 de de 418 ADP mark
416 que que 418 CCONJ mark
417 se se 418 PRON expl:pv
418 acentue acentuar 413 VERB nmod
419 a o 420 DET det
420 queda queda 418 NOUN nsubj
421 de de 423 ADP case
422 as o 423 DET det
423 taxas taxa 420 NOUN nmod
424 cobradas cobrar 423 VERB acl
425 de de 427 ADP case
426 os o 427 DET det
427 mutuarios mutuario 423 NOUN nmod
428 tornando tornar 418 VERB acl
429 o o 430 DET det
430 credito credito 428 NOUN obj
431 acessivel acessivel 428 ADJ xcomp
432 a a 434 ADP case
433 um um 434 DET det
434 numero numero 431 NOUN nmod
435 maior maior 434 ADJ amod
436 de de 437 ADP case
437 trabalhadores trabalhador 297 NOUN nmod
438 a o 439 DET det
439 estabilidade estabilidade 293 NOUN nsubj
440 de de 442 ADP case
441 os o 442 DET det
442 precos preco 439 NOUN nmod
443 de de 445 ADP case
444 os o 445 DET det
445 imoveis imovel 442 NOUN nmod
446 sera sera 176 VERB parataxis
447 relevante relevante 446 ADJ xcomp
448 mas mas 457 CCONJ cc
449 o o 450 DET det
450 fator fator 457 NOUN nsubj
451 critico critico 450 ADJ amod
452 para para 454 ADP case
453 a o 454 DET det
454 retomada retomada 450 NOUN nmod
455 sera sera 457 AUX cop
456 a o 457 DET det
457 confianca confianca 293 NOUN conj
458 de de 460 ADP case
459 os o 460 DET det
460 mutuarios mutuario 457 NOUN nmod
461 em em 463 ADP case
462 a o 463 DET det
463 preservacao preservacao 318 NOUN nmod
464 de de 466 ADP case
465 o o 466 DET det
466 emprego emprego 463 NOUN nmod
467 e e 470 CCONJ cc
468 de de 470 ADP case
469 a o 470 DET det
470 renda renda 466 NOUN conj
