1 nove nove 2 NUM nummod
62 sendo ser 63 AUX aux:pass
63 removido remover 59 VERB acl
64 de de 66 ADP case
65 um um 66 DET det
66 voo voo 63 NOUN nmod
67 de de 70 ADP case
68 a o 70 DET det
69 united united 70 ADJ amod
70 airlines airlines 66 NOUN nmod
71 em em 73 ADP case
72 um um 73 DET det
73 aeroporto aeroporto 63 NOUN nmod
74 de de 75 ADP case
75 chicago chicago 73 NOUN nmod
76 em em 78 ADP case
77 os o 78 DET det
78 estados estado 63 NOUN nmod
79 unidos unido 78 ADJ amod
80 viralizou viralizar 19 VERB parataxis
81 em em 82 ADP case
82 abril abril 80 PROPN nmod
83 passado passado 82 ADJ amod
84 o o 85 DET det
85 episodio episodio 86 NOUN nsubj
86 gerou gerar 19 VERB parataxis
87 prejuizos prejuízo 86 NOUN obj
88 a o 89 DET det
89 imagem imagem 86 NOUN obj
90 de de 92 ADP case
91 a o 92 DET det
92 empresa empresa 89 NOUN nmod
93 americana americano 92 ADJ amod
94 cuja cuja 95 DET det
95 tripulacao tripulacao 96 NOUN nsubj
96 queria querer 92 VERB acl:relcl
97 que que 99 CCONJ mark
98 dao dao 99 PROPN nsubj
99 cedesse ceder 96 VERB ccomp
100 seu seu 101 DET det:poss
101 lugar lugar 99 NOUN obj
102 a a 104 ADP case
103 um um 104 DET det
104 funcionario funcionario 99 NOUN iobj
105 para para 108 ADP mark
106 que que 105 CCONJ fixed
107 ele ele 108 PRON nsubj
108 fosse fosse 99 VERB advcl
109 a a 111 ADP case
110 o o 111 DET det
111 destino destino 108 NOUN nmod
112 de de 114 ADP case
113 o o 114 DET det
114 voo voo 111 NOUN nmod
115 louisville louisville 114 ADJ amod
116 para para 117 ADP mark
117 render render 99 VERB advcl
118 a o 119 DET det
119 equipe equipe 117 NOUN obj
120 local local 119 ADJ amod
121 mas mas 127 CCONJ cc
122 quase quase 123 ADV advmod
123 nenhuma nenhuma 184 PRON nsubj
124 de de 126 ADP case
125 as o 126 DET det
126 criticas criticas 123 NOUN nmod
127 tratou tratar 19 VERB conj
128 de de 130 ADP case
129 um um 130 DET det
130 elemento elemento 127 NOUN nmod
131 crucial crucial 130 ADJ amod
132 de de 134 ADP case
133 o o 134 DET det
134 ocorrido ocorrido 130 NOUN nmod
135 a o 136 DET det
136 necessidade necessidade 127 NOUN nsubj
137 de de 138 ADP mark
138 retirar retirar 136 VERB nmod
139 o o 140 DET det
140 medico medico 138 NOUN obj
141 de de 143 ADP case
142 o o 143 DET det
143 voo voo 138 NOUN nmod
144 foi foi 145 AUX aux:pass
145 decidida decidir 19 VERB parataxis
146 por por 148 ADP case
147 uma um 148 DET det
148 maquina maquina 145 NOUN nmod
149 mais mais 150 ADV advmod
150 especificamente especificamente 43 ADV advmod
151 por por 153 ADP case
152 um um 153 DET det
153 programa programa 145 NOUN nmod
154 de de 155 ADP case
155 computador computador 153 NOUN nmod
156 e e 157 CCONJ cc
157 exemplo exemplo 145 NOUN conj
158 classico classico 157 ADJ amod
159 de de 167 ADP mark
160 como como 167 ADV advmod
161 esses esses 162 DET det
162 programas programa 167 NOUN nsubj
163 conhecidos conhecer 162 VERB acl
164 como como 165 ADP case
165 algoritimos algoritimo 163 NOUN nmod
166 estao estao 167 AUX aux
167 tomando tomar 157 VERB nmod
168 decisoes decisoe 167 NOUN obj
169 que que 170 PRON nsubj
170 afetam afetar 168 VERB acl:relcl
171 nossas nossas 172 DET det:poss
172 vidas vida 170 NOUN obj
173 muitas muitas 174 DET det
174 vezes vez 170 NOUN nmod
175 sem sem 180 ADP mark
176 que que 175 CCONJ fixed
177 a o 178 DET det
178 gente gente 180 NOUN nsubj
179 sequer sequer 180 ADV advmod
180 saiba saber 184 VERB advcl
181 disso disso 182 X case
182 especialistas especialista 180 NOUN nmod
183 ja ja 184 ADV advmod
184 manifestaram manifestar 86 VERB advcl
185 sua sua 186 DET det:poss
186 preocupacao preocupacao 184 NOUN obj
187 com com 189 ADP case
188 a o 189 DET det
189 falta falta 186 NOUN nmod
190 de de 191 ADP case
191 transparencia transparencia 189 NOUN nmod
192 em em 194 ADP case
193 o o 194 DET det
194 uso uso 189 NOUN nmod
195 de de 196 ADP case
196 sistemas sistema 194 NOUN nmod
197 de de 191 ADP case
