1 mpf mpf 2 NOUN nsubj
117 de de 116 ADP case
118 o o 116 DET det
119 inicio inicio 115 NOUN nmod
120 de de 122 ADP case
121 a o 122 DET det
122 audiencia audiencia 119 NOUN nmod
123 se se 124 CCONJ mark
124 havia haver 37 VERB advcl
125 algum algum 126 DET det
126 acordo acordo 124 NOUN obj
127 informal informal 126 ADJ amod
128 entre entre 130 ADP case
129 os o 130 DET det
130 procuradores procurador 126 NOUN nmod
131 de de 133 ADP case
132 a o 133 DET det
133 forcatarefa forcatarefa 130 NOUN nmod
134 de de 136 ADP case
135 a o 136 DET det
136 lava lava 133 NOUN nmod
137 jato jato 136 NOUN flat
138 e e 139 CCONJ cc
139 medeiros medeiro 130 NOUN conj
140 um um 202 PRON nsubj
141 de de 143 ADP case
142 os o 143 DET det
143 procuradores procurador 140 NOUN nmod
144 que que 147 PRON nsubj:pass
145 nao nao 147 ADV advmod
146 e e 147 AUX aux:pass
147 identificado identificar 143 VERB acl:relcl
148 em em 150 ADP case
149 o o 150 DET det
150 video video 147 NOUN nmod
151 respondeu responder 37 VERB ccomp
152 sobre sobre 155 ADP case
153 a o 155 DET det
154 possivel possivel 155 ADJ amod
155 delacao delacao 151 NOUN nmod
156 nao nao 157 ADV advmod
157 ha ha 151 VERB ccomp
158 nenhum nenhum 159 DET det
159 acordo acordo 157 NOUN nsubj
160 informal informal 159 ADJ amod
161 de de 163 ADP case
162 o o 163 DET det
163 ministerio ministerio 159 NOUN nmod
164 publico publico 163 ADJ amod
165 seja ser 159 VERB acl
166 com com 168 ADP case
167 esse esse 168 DET det
168 reu reu 165 NOUN nmod
169 ou ou 172 CCONJ cc
170 com com 172 ADP case
171 qualquer qualquer 172 DET det
172 um um 168 PRON conj
173 de de 175 ADP case
174 os o 175 DET det
175 reus reu 172 NOUN nmod
176 interrogados interrogado 175 ADJ amod
177 o o 172 PRON appos
178 que que 179 PRON nsubj
179 ha ha 177 VERB acl:relcl
180 sao sao 181 AUX cop
181 negociacoes negociacoe 37 NOUN ccomp
182 de de 183 ADP case
183 acordos acordo 181 NOUN nmod
184 de de 185 ADP case
185 colaboracao colaboracao 183 NOUN nmod
186 com com 188 ADP case
187 alguns alguns 188 DET det
188 executivos executivo 49 NOUN nmod
189 de de 191 ADP case
190 a o 191 DET det
191 empreiteira empreiteiro 188 NOUN nmod
192 oas oas 193 CCONJ cc
193 afirmou afirmar 37 VERB conj
194 um um 293 PRON nsubj
195 de de 197 ADP case
196 os o 197 DET det
197 advogados advogado 194 NOUN nmod
198 que que 199 PRON nsubj
199 representa representar 197 VERB acl:relcl
200 medeiros medeiro 199 NOUN obj
201 tambem tambem 202 ADV advmod
202 confirmou confirmar 37 VERB conj
203 as o 204 DET det
204 tratativas tratativas 202 NOUN obj
205 sim sim 213 ADV advmod
206 doutor doutor 208 NOUN nsubj
207 cristiano cristiano 206 ADJ amod
208 existem existir 37 VERB ccomp
209 tratativas tratativas 208 NOUN nsubj
210 em em 211 ADP case
211 andamento andamento 209 NOUN nmod
212 nao nao 213 ADV advmod
213 existe existir 37 VERB ccomp
214 nenhum nenhum 215 DET det
215 acordo acordo 213 NOUN nsubj
216 formalizado formalizado 215 ADJ amod
217 e e 219 CCONJ cc
218 a o 219 DET det
219 orientacao orientacao 159 NOUN conj
220 de de 221 ADP mark
221 falar falar 219 VERB nmod
222 a o 223 DET det
223 verdade verdade 221 NOUN obj
224 e e 225 CCONJ cc
225 colaborar colaborar 221 VERB conj
226 parte parte 225 NOUN obj
227 de de 229 ADP case
228 a o 229 DET det
229 defesa defesa 226 NOUN nmod
230 que que 233 PRON obj
231 eu eu 233 PRON nsubj
232 estou estar 233 AUX aux
233 assumindo assumir 204 VERB acl:relcl
234 agora agora 233 ADV advmod
235 nao nao 253 ADV advmod
236 so so 235 ADV advmod
237 nesse nesse 238 ADP case
238 caso caso 52 NOUN nmod
239 como como 243 CCONJ mark
240 em em 242 ADP case
241 os o 242 DET det
242 outros outros 261 PRON nmod
243 afirmou afirmar 266 VERB advcl
244 martins martins 245 NOUN nsubj
245 insistiu insistir 151 VERB ccomp
246 em em 248 ADP case
247 o o 248 DET det
248 questionamento questionamento 245 NOUN nmod
249 sobre sobre 251 ADP case
250 a o 251 DET det
251 obrigacao obrigacao 248 NOUN nmod
252 de de 253 ADP mark
253 falar falar 251 VERB nmod
254 a o 255 DET det
255 verdade verdade 253 NOUN obj
256 ou ou 139 CCONJ cc
257 nao nao 253 ADV conj
258 delatores delator 266 NOUN nsubj
259 que que 261 PRON nsubj
260 ja ja 261 ADV advmod
261 firmaram firmar 258 VERB acl:relcl
262 acordos acordo 261 NOUN obj
263 com com 265 ADP case
264 a o 265 DET det
265 justica justica 262 NOUN nmod
266 declinam declinar 245 VERB ccomp
267 de de 269 ADP case
268 o o 269 DET det
269 direito direito 266 NOUN nmod
270 a a 272 ADP case
271 o o 272 DET det
272 silencio silencio 269 NOUN nmod
273 em em 274 ADP case
274 audiencias audiencias 269 NOUN nmod
275 em em 276 ADP case
276 que que 280 PRON nmod
277 sao sao 278 AUX cop
278 reus reu 274 NOUN acl:relcl
279 sendo ser 280 AUX aux:pass
280 obrigados obrigar 278 VERB acl
281 a a 282 ADP mark
282 falar falar 280 VERB nmod
283 a o 284 DET det
284 verdade verdade 282 NOUN obj
285 ja ja 293 CCONJ mark
286 quem quem 288 PRON nsubj
287 nao nao 288 ADV advmod
288 tem ter 293 VERB csubj
289 acordo acordo 288 NOUN obj
290 pode pode 293 AUX aux
291 ate ate 292 ADV advmod
292 mesmo mesmo 293 ADV advmod
293 omitir omitir 266 VERB conj
294 fatos fato 293 NOUN obj
295 pois pois 298 CCONJ mark
296 nao nao 298 ADV advmod
297 e e 298 AUX aux:pass
298 obrigado obrigar 293 VERB advcl
299 por por 301 ADP case
300 a o 301 DET det
301 lei lei 298 NOUN nmod
302 a a 298 ADP mark
