1 delacoes delacoe 6 NOUN nsubj
184 bilhoes bilhoes 182 NUM nummod
185 em em 186 ADP case
186 entrevista entrevista 68 NOUN nmod
187 a a 189 ADP case
188 o o 189 DET det
189 g1 g1 186 PROPN nmod
190 o o 191 DET det
191 procurador procurador 109 NOUN nsubj
192 de de 194 ADP case
193 a o 194 DET det
194 republica republica 191 NOUN nmod
195 deltan deltan 191 NOUN appos
196 dallagnol dallagnol 195 ADJ amod
197 coordenador coordenador 195 NOUN appos
198 de de 200 ADP case
199 a o 200 DET det
200 forcatarefa forcatarefa 197 NOUN nmod
201 de de 203 ADP case
202 a o 203 DET det
203 lava lava 200 NOUN nmod
