1 apos apos 9 ADP mark
170 territorio territorio 52 NOUN obj
171 de de 173 ADP case
172 os o 173 DET det
173 estados estado 170 NOUN nmod
174 unidos unido 173 ADJ amod
175 em em 177 ADP case
176 o o 177 DET det
177 oceano oceano 170 NOUN nmod
178 pacifico pacifico 177 ADJ amod
179 em em 180 ADP case
180 reacao reacao 52 NOUN nmod
181 trump trump 182 PROPN nsubj
182 prometeu prometer 14 VERB parataxis
183 responder responder 182 VERB xcomp
184 com com 185 ADP case
185 fogo fogo 183 NOUN nmod
186 e e 187 CCONJ cc
187 furia furia 185 NOUN conj
188 como como 192 CCONJ mark
189 o o 190 DET det
190 mundo mundo 52 NOUN nsubj
191 nunca nunca 192 ADV advmod
192 viu ver 70 VERB advcl
193 se se 197 CCONJ mark
194 o o 195 DET det
195 pais pais 197 NOUN nsubj
196 asiatico asiatico 195 ADJ amod
197 insistisse insistir 70 VERB advcl
198 em em 200 ADP case
199 as o 200 DET det
200 ameacas ameaca 197 NOUN nmod
201 em em 202 ADP case
202 resposta resposta 197 NOUN nmod
203 o o 204 DET det
204 general general 220 NOUN nsubj
205 kim kim 204 PROPN appos
206 rak rak 205 NOUN flat
207 gyom gyom 205 NOUN flat
208 comandante comandante 204 NOUN appos
209 de de 211 ADP case
210 a o 211 DET det
211 forca forca 208 NOUN nmod
212 estrategica estrategico 211 ADJ amod
213 de de 215 ADP case
214 o o 215 DET det
215 exercito exercito 211 NOUN nmod
216 de de 218 ADP case
217 o o 218 DET det
218 povo povo 215 NOUN nmod
219 coreano coreano 218 ADJ amod
220 disse dizer 70 VERB ccomp
221 que que 227 CCONJ mark
222 o o 223 DET det
223 presidente presidente 227 NOUN nsubj
224 americano americano 223 ADJ amod
225 nao nao 227 ADV advmod
226 tinha ter 227 AUX aux
227 entendido entender 220 VERB ccomp
228 o o 229 DET det
229 tom tom 227 NOUN obj
230 de de 232 ADP case
231 a o 232 DET det
232 discussao discussao 229 NOUN nmod
233 subiu subir 220 VERB ccomp
234 com com 235 ADP case
235 trump trump 233 NOUN nmod
236 afirmando afirmar 233 VERB acl
237 que que 257 CCONJ mark
238 que que 257 CCONJ mark
239 sua sua 240 DET det:poss
240 ameaca ameaca 257 NOUN nsubj
241 de de 242 ADP mark
242 responder responder 240 VERB nmod
243 com com 244 ADP case
244 fogo fogo 242 NOUN nmod
245 e e 246 CCONJ cc
246 furia furia 244 NOUN conj
247 as o 248 DET det
248 provocacoes provocacoe 257 NOUN nsubj
249 de de 251 ADP case
250 a o 251 DET det
251 coreia coreia 248 NOUN nmod
252 de de 254 ADP case
253 o o 254 DET det
254 norte norte 251 NOUN nmod
255 talvez talvez 257 ADV advmod
256 nao nao 257 ADV advmod
257 tenha ter 236 VERB ccomp
