1 rivalidade rivalidade 6 NOUN nsubj
182 acelerar acelerar 42 VERB conj
183 sob sob 184 ADP case
184 trump trump 182 NOUN nmod
185 que que 186 PRON nsubj
186 rejeita rejeitar 184 VERB acl:relcl
187 acordos acordo 186 NOUN obj
188 comerciais comercial 187 ADJ amod
189 e e 190 CCONJ cc
190 adota adotar 186 VERB conj
191 uma um 192 DET det
192 politica politica 190 NOUN obj
193 externa externo 192 ADJ amod
194 erratica erratico 192 ADJ amod
195 forcando forcar 190 VERB acl
196 os o 197 DET det
197 paises paise 195 NOUN obj
198 asiaticos asiatico 197 ADJ amod
199 a a 200 ADP mark
200 repensar repensar 195 VERB nmod
201 estrategias estrategia 200 NOUN obj
202 o o 203 DET det
203 acordo acordo 200 NOUN obj
204 comercial comercial 203 ADJ amod
205 alcancado alcancar 203 VERB acl
206 em em 208 ADP case
207 a o 208 DET det
208 semana semana 205 NOUN nmod
209 passada passado 208 ADJ amod
210 e e 213 CCONJ cc
211 um um 213 DET det
212 forte forte 213 ADJ amod
213 sinal sinal 24 NOUN conj
214 de de 326 ADP mark
215 como como 223 ADV advmod
216 paises paise 326 NOUN nsubj
217 como como 218 ADP case
218 australia australia 216 NOUN nmod
219 e e 220 CCONJ cc
220 japao japao 218 NOUN conj
221 estao estao 223 AUX aux
222 se se 223 PRON obj
223 virando virar 170 VERB advcl
224 sem sem 226 ADP case
225 a o 226 DET det
226 lideranca lideranca 223 NOUN nmod
227 americana americano 226 ADJ amod
228 o o 229 DET det
229 pacto pacto 42 NOUN nsubj
230 substitui substituir 42 VERB parataxis
231 a o 232 DET det
232 parceria parceria 230 NOUN obj
233 transpacifico transpacifico 232 ADJ amod
234 tpp tpp 232 NOUN appos
235 que que 237 PRON obj
236 trump trump 237 NOUN nsubj
237 dizia dizer 232 VERB acl:relcl
238 ser ser 241 AUX cop
239 o o 241 DET det
240 pior pior 241 ADJ amod
241 acordo acordo 237 NOUN xcomp
242 comercial comercial 241 ADJ amod
243 de de 245 ADP case
244 a o 245 DET det
245 historia historia 241 NOUN nmod
246 de de 248 ADP case
247 os o 248 DET det
248 eua eua 245 PROPN nmod
249 hoje hoje 256 ADV advmod
250 os o 251 DET det
251 paises paise 256 NOUN nsubj
252 de de 254 ADP case
253 a o 254 DET det
254 asia asia 251 NOUN nmod
255 ja ja 256 ADV advmod
256 negociam negociar 186 VERB conj
257 mais mais 256 ADV advmod
258 com com 260 ADP case
259 a o 260 DET det
260 china china 256 NOUN nmod
261 de de 86 ADP case
262 o o 86 DET det
263 que que 261 ADP fixed
264 com com 266 ADP case
265 os o 266 DET det
266 eua eua 261 PRON nmod
267 muitas muitas 268 DET det
268 vezes vez 256 NOUN nmod
269 por por 271 ADP case
270 um um 271 DET det
271 fator fator 256 NOUN nmod
272 de de 273 ADP case
273 2 2 271 NUM nmod
274 para para 275 ADP case
275 1 1 273 NUM nmod
276 o o 277 DET det
277 desequilibrio desequilibrio 256 NOUN nsubj
278 cresce crescer 256 VERB conj
279 a a 286 ADP mark
280 medida medida 261 NOUN fixed
281 que que 261 CCONJ fixed
282 a o 283 DET det
283 economia economia 286 NOUN nsubj
284 chinesa chinês 283 ADJ amod
285 se se 286 PRON expl:pv
286 aproxima aproximar 278 VERB advcl
287 de de 289 ADP case
288 a o 289 DET det
289 americana americana 286 NOUN nmod
290 os o 291 DET det
291 lideres lider 278 NOUN nsubj
292 asiaticos asiatico 291 ADJ amod
293 sabem saber 278 VERB parataxis
294 que que 299 CCONJ mark
295 atualmente atualmente 299 ADV advmod
296 politica politica 299 NOUN nsubj
297 e e 298 CCONJ cc
298 economias economia 296 NOUN conj
299 dependem depender 293 VERB ccomp
300 muito muito 301 ADV advmod
301 mais mais 299 ADV advmod
302 de de 303 ADP case
303 pequim pequim 299 NOUN nmod
304 que que 306 PRON nsubj
305 ja ja 306 ADV advmod
306 mostrou mostrar 303 VERB acl:relcl
307 que que 326 CCONJ mark
308 e e 306 VERB ccomp
309 capaz capaz 306 ADJ xcomp
310 de de 311 ADP mark
311 oferecer oferecer 309 VERB nmod
312 investimentos investimento 311 NOUN obj
313 para para 315 ADP case
314 os o 315 DET det
315 amigos amigo 311 NOUN nmod
316 e e 317 CCONJ cc
317 endurecer endurecer 311 VERB conj
318 com com 320 ADP case
319 os o 320 DET det
320 rivais rival 317 NOUN nmod
321 com com 322 ADP case
322 xi xi 317 NOUN nmod
323 jingping jingping 322 NOUN flat
324 chineses chinês 322 NOUN flat
325 se se 326 PRON expl:pv
326 unem unem 293 VERB ccomp
327 a o 329 DET det
328 nova novo 329 ADJ amod
329 era era 326 NOUN obj
330 de de 332 ADP case
331 os o 332 DET det
332 homens homem 329 NOUN nmod
333 fortes forte 332 ADJ amod
334 em em 336 ADP case
335 o o 336 DET det
336 entanto entanto 326 ADV nmod
337 os o 338 DET det
338 eua eua 326 PRON nsubj
339 nao nao 326 ADV advmod
