1 qual qual 23 PRON nsubj
155 seis seis 156 NUM nummod
156 numeros numero 153 NOUN nmod
157 segundo segundo 158 ADP case
158 ele ele 152 PRON nmod
159 em em 161 ADP case
160 a o 161 DET det
161 hora hora 40 NOUN nmod
162 de de 163 ADP mark
163 aplicar aplicar 161 VERB nmod
164 os o 165 DET det
165 conceitos conceito 163 NOUN obj
166 de de 167 ADP case
167 matematica matematica 165 NOUN nmod
168 nesse nesse 169 ADP case
169 evento evento 163 NOUN nmod
170 e e 58 CCONJ cc
171 preciso preciso 58 ADJ xcomp
172 ter ter 58 VERB xcomp
173 cuidado cuidado 172 NOUN obj
174 para para 176 ADP mark
175 nao nao 176 ADV advmod
176 confundir confundir 173 VERB nmod
177 a o 178 DET det
178 chance chance 176 NOUN obj
179 de de 180 ADP mark
180 acertar acertar 178 VERB nmod
181 tres tres 182 NUM nummod
182 vezes vez 180 NOUN nmod
183 em em 186 ADP case
184 um um 186 DET det
185 unico unico 186 ADJ amod
186 sorteio sorteio 180 NOUN nmod
187 com com 190 ADP case
188 o o 190 DET det
189 mesmo mesmo 190 ADJ amod
190 jogo jogo 180 NOUN nmod
191 repetido repetido 190 VERB amod
192 e e 194 CCONJ cc
193 a o 194 DET det
194 probabilidade probabilidade 64 NOUN conj
195 de de 196 ADP mark
196 acertar acertar 194 VERB nmod
197 em em 199 ADP case
198 tres tres 199 NUM nummod
199 sorteios sorteio 196 NOUN nmod
200 diferentes diferente 199 ADJ amod
201 veja ver 59 VERB ccomp
202 a o 203 DET det
203 explicacao explicacao 201 NOUN obj
204 completa completo 203 ADJ amod
205 em em 207 ADP case
206 o o 207 DET det
207 video video 201 NOUN nmod
208 acima acima 207 ADV advmod
209 o o 210 DET det
210 apostador apostador 228 NOUN nsubj
211 que que 212 PRON nsubj
212 comprou comprar 210 VERB acl:relcl
213 os o 214 DET det
214 numeros numero 212 NOUN obj
215 em em 217 ADP case
216 o o 217 DET det
217 bairro bairro 212 NOUN nmod
218 de de 219 ADP case
219 parelheiros parelheiro 217 NOUN nmod
220 em em 222 ADP case
221 a o 222 DET det
222 zona zona 212 NOUN nmod
223 sul sul 222 ADJ amod
224 de de 225 ADP case
225 sao sao 222 NOUN nmod
226 paulo paulo 225 ADJ amod
227 nao nao 228 ADV advmod
228 teve ter 95 VERB ccomp
229 sua sua 230 DET det:poss
230 identidade identidade 228 NOUN obj
231 revelada revelar 228 VERB acl
232 por por 234 ADP case
233 a o 234 DET det
234 caixa caixa 231 NOUN nmod
235 economica economico 234 ADJ amod
236 federal federal 234 ADJ amod
237 mas mas 239 CCONJ cc
238 ja ja 239 ADV advmod
239 entregou entregar 228 VERB conj
240 os o 242 DET det
241 tres tres 242 NUM nummod
242 bilhetes bilhete 239 NOUN obj
243 para para 244 ADP mark
244 resgatar resgatar 239 VERB advcl
245 o o 246 DET det
246 premio premio 244 NOUN obj
247 cada cada 248 DET det
248 uma uma 252 PRON nsubj
249 de de 251 ADP case
250 as o 251 DET det
251 apostas aposta 248 NOUN nmod
252 tem ter 228 VERB conj
253 direito direito 252 NOUN obj
254 a a 255 ADP case
255 r r 253 NOUN nmod
256 1804227904 1804227904 255 NUM nummod
257 em em 258 ADP case
258 premio premio 255 NOUN nmod
259 mas mas 252 CCONJ cc
260 o o 261 DET det
261 dono dono 252 NOUN nsubj
