subject,verb,object
1 turma de supremo,retomar,julgamento de recurso de paulo maluf
1 turma especializado de trf2,negar,pedido de habeas corpus
1 universidade presidente antônio carlos,conferir,lista de curso com vestibular suspenso
1 vara cível de cidade,determinar,prisão de latino
1 vara cível de manhuaçu,não dar,detalhe sobre processo
1 vara de fazenda público de campina sp,determinar,"multa de r$ 116,2 mil"
"1,1 mil beneficiário de bolsa família",ter,cadastro cancelado
"1,2 mil procurador de ministério público federal",escolher,nome
"1,2 mil procurador de mpf",escolher hoje,nome
"1,2 milhão de pessoa",já assinar,petição
"1,4 mil",esperar,tratamento em saúde mental
"1,5 mil",estar acomodar dividir,aluguel
"1,6 mil pessoa",formar,fila cadastrar como doador de medula ósseo
"1,7 milhão",festejar assistir,claudia leitte
"1,7 milhão de veículo",deixar,cidade de são paulo
"1,8 mil venezuelanos",ter,tipo de tratamento
"1,8 milhão de imigrante sem documento",ter,acesso a cidadania americano
"1,8 milhão de jovem imigrante",ter,acesso a cidadania americano
"1,8 milhão de pessoa",já experimentar,crack
1. seção de superior tribunal de justiça,corroborar,visão de governo prerrogativa de poder concedente
1.151 vaga,ser não receber,posicionamento oficial
1.200 ônibus,pedir,autorização estacionar
1.233 funcionário,receber,valor integral
1.400 homem de exército,fazer,cerco
1.400 homem de exército com apoio de veículo blindado,fazer,cerco
1.411 mulher venezuelano,procurar,unidade
1.485 servidor de saúde,tomar,posse
1.500 combatente,deixar,harasta
1.500 pessoa,fazer,parte de ato simbólico
1.658 aposentado,representar representar,"0,08 % de voto válido"
1.672 candidato,imprimir,boleto para pagamento de inscrição
"1.692 30,4 %",declarar feito,plano municipal
1.708 município,atualmente oferecer,serviço
1.978 assassinato,foram haver,1.007
1/3 de população de estado,deixar,casa
10,fazer,parte de base aliado de presidente de república
10,não possuir,cabeça
10,ter,ferimento
10 %,pedir,exoneração
10 % de agressor,praticar,violência
10 % de caso de esclerose lateral amiotrófico,ter,causa genético
10 % de comunidade,não registrar,crime violento
10 % de entrevistado,relatar,aumento em renda pessoal
10 % de paciente,desenvolver,forma grave de doença
10 % de pessoa,ter,cepa de vírus resistente a medicamento de mercado
10 % de população,ter ter,ar condicionado
10 2 milhões de trabalhador,sacar ter,saldo de um salário mínimo
10 conselheiro de órgão,aprovar,manifestação
10 criminoso armado,invadir,agência
10 empresa estrangeiro de 8 país,integrar,6 consórcio
10 imóvel,sofrer,dano em estrutura
10 mil pessoa,deixar,enclave
10 milhões de pessoa,desenvolver,doença
10 primeiro colocados,representar,país
10 unidade,receber,15 mil tonelada de entulho
10 vara cível de brasília,rejeitar,pedido de presidente michel temer
"10,3 %",escolher frequentemente,opção
10. câmara de direito privado de tribunal de justiça de são paulo,negar,recurso de ex presidente luiz inácio lula de silva contra editora abril
10.363 pessoa,estar dar,conta zerar em acre.
100,morrer apresentar,problema respiratório
100 % de criança,ter,vsr até dois ano de idade
100 % de população em estado,ter,energia elétrico
100 artista,onde fazer,apresentação musical sem pausa
100 associação sul coreano de grupo civil,publicar,comunicado
100 ator voluntário,compor,elenco..
100 ciclista,fazer,pedalada
100 comunicador,fazer,manifestação
100 criança negro de comunidade carente de porto alegre,ter,oportunidade conhecer em cinema
100 detenta com filho de 12 ano,estar acima ter tentar entrar dentro receber,alvar de soltura
100 detento,onde aguardar,julgamento
100 grupo armado,enfrentar exacerbar,situação bélico
100 maior conglomerado,vender,"us $ 374,8 bilhões"
100 mil brasileiro,conseguir,cidadania português
100 mil visitantes,além ter,oportunidade conhecer
100 milhões de pessoa,utilizar,medida alternativo
100 milhões de pessoa,utilizar ser através jogar diretamente,esgoto
100 mulher,dar,testemunho sobre suposto caso de crime sexual
100 pessoa,morrer virar,alvo de míssil
100 pessoa,reunir cobrar,envolvimento de governo
100 policial federal,cumprir,43 mandado judicial
100 policial federal,estar cumprir,43 mandado
100 policial federal,foram cumprir,43 mandado judicial sete de prisão preventivo
100 principal fabricante de armamento de mundo,vender,us $ 1 bilhão por dia
101 east rodrigo duterte presidents report card al jazeera english malaysia 101 east,ter,acesso exclusivo
"101,7 mil",sofrer,bloqueio
103 município,não ter,festa
104 candidato,quando conseguir,nota máximo
10469 eleitor atender,sairé,eleitor
106,ter,características de execução
10° vara,não ter,competência decidir sobre questão
10° vara de df,decretar,medida cautelar restritivo em relação a lula
11 %,citar,fato mesmo candidato sem possibilidade de mudança
11 % de brasileiro,assumir pagar,propina
11 ano de controle bom,foram provavelmente retardar,problema futuro
11 capital,não receber nem,real de programa
11 milhões de contribuinte,ainda não declarar,imposto de renda
11 ministro,firmar,entendimento único para prisão provisório
11 ministro de corte,analisar,pedido de presidente temer afastar de investigação
11 ministro de corte,rediscutir,possibilidade de execução de pena antecipado
11 município de acre,ter,internet 4g último tecnologia disponível
11 pessoa,além já conseguir,feito acertar em primeiro participação
11 pessoa,dar,depoimento
11 pessoa,morrer,vítima de febre amarelo
11 policial,responder desempenhar atualmente,função administrativo
11 relatório,explicar,nota sobre pagamento de propina
11 voto,aprovar,projeto
110 policial federal,cumprir,27 mandado judicial
112 aberto público em país,estar reunir,12 mil vaga em cargo de nível de escolaridade
112 concurso,reunir,12 mil vaga
11º tribunal penal para processo com réu livre de corte superior de justiça de lima,negar,pedido de habeas corpus
12,receber,caminhão de coleta
12,sair,vencedores de quais nove de país diferente
12 %,registrar,prisão
12 % de companhia,ter,grupo chinês
12 % de área terrestre de globo,ter,tipo de proteção
12 ano maria madaleno rooney mara uma de figura enigmático de história bíblico,buscar,novo maneira viver
12 ano rainha de noite,dar,missão salvar
12 ano torquato neto 1944-1972,viver apaixonadamente,ruptura
12 cabeça,ainda aguardar,exame de dna
12 congresso,dar,pausa
12 de 294 rio,ter,água
12 deputado todos de base aliado de governador,fazer,parte de mesa
12 edição de prêmio anual de fotografia de cachorro dog photographer of year em inglês,escolher,30 imagem vencedor de 10 categoria diferente
12 legenda,ter,deputado federal
12 milhões de romeiro,visitar,município de aparecida
12 ponto em 230 rio,apresentar,nível satisfatório
12 relatório,aventar,possibilidade passar por aprovação de temer trecho 13
12 órgão,abrir,inscrição
12 órgão,abrir,inscrição para 2.800 vaga
12 órgão,abrir hoje,inscrição para concurso
12. vara federal de brasília,mandar soltar,empresário joesley batista de jbs
12.600 pessoa de estado,acessar,informação sobre programa capixaba
12/05 lutre go gorduratrans,convidar,drik barbosa
12/12 polícia federal,indiciar jato morta aprovar morrer fazer,67 viagem internacional
12/5 suzane,deixar,prisão
120 criança de cidade,apresentar,sintoma de infecção
120 de artesão de fazenda novo,confeccioanar,escultura
120 detento de são paulo,pedir,transferência para unidade
120 família,receber,benefício
120 família,ter,casa viver
120 pessoa,demonstrar,interesse ir
1200 dia de vigência contratual,decorrer alterar,custo
1200 guerrilheiro,compor,grupo de dissidente
123 concurso público em país,estar reunir,15.976 vaga em cargo de nível de escolaridade
123 curso,ter,autonomia congelado
125 concurso público,reunir,"15,2 mil vaga"
13,não ter,foro
13 agência de banco público,paralisar,atividade de 10h a meio dia desta segunda feira 19)
13 agência de instituição financeiro público de centro de recife,paralisar,atividade
13 câmara,debater,vazamento de rejeito mineral
13 câmara de direito público de tj,avaliar profundamente,caso
13 disparo,atingir,veículo nove em lataria
13 estudante,utilizar,documento
13 homem,assistir,sessão
13 local,cancelar,celebração palmas
13 mil operário de fabrica de celulose,receber representar,grande risco de destruição
13 milhões de brasileiro,enviar,declaração
13 pessoa ligado a governo venezuelano,ter,conta bancário
13 político,além já declarar,pré -candidato
13 vara federal criminal de curitiba,não analisar,prova paralelo
13 vara federal de curitiba,quebrar,sigilo bancário
13/2,anunciar,processo de demissão de 161 pms
130 mil participante,prestar,enem
131,haver,aumento de pena de réu
131 mil,manifestar,interesse
1327 candidato,não atingir,limite mínimo de 99 % de chance de confirmação
135 notável,quando escolher,deputado
138 entidade fechado,administrar,438 plano
138 projeto de lei em tramitação em casa,ameaçar,direitos..
13º salário,também não ter,data pagar
14 %,não saber,total
14 % de país,informar,número de pessoa
14 % sem desperdício com controle absoluto de despesa,não ter,dúvida
14 ano cientista norueguês,descobrir propor,transição global a longo de 200 ano de grande para pequeno
14 ano lucy ksenia solo,amar descobrir através,longas excêntrico de diretor federico fellini
14 ano príncipe tchalla chadwick boseman,decidir voltar assumir,função
14 banco,recolher,2.549 litro
14 cidade de região,também receber,teatro
14 de 27 estado,passar,dado completo
14 de presas,responder,processo
14 desses petroleiro gigantesco,atravessar diariamente,estreito de ormuz
14 edição de congresso em poço de calda mg,debater,desastre de lama
14 mil venezuelano,pedir,refúgio
14 mulher,também ganhar,versão de boneca
14 município,ter,chuva
14 município,ter,chuvas..
14 partido,já anunciar,pré candidato a presidência
14 país argentino,fazer,parte de bloco
14 pessoa em mundo,ter,mesmo tipo de câncer
14 remanescente,não querer cumprir,combinado
14 rodada,render,"arrecadação de r$ 3,8 bilhões"
14 rodada de concessão,ter,recorde de arrecadação
14 servidor de pasta,além assinar colocar,cargo
14 setor,gerar,faturamento de r$ 138 bilhões
140 detento de regime semiaberto,sofrer,punição
140 tipo de molusco,também habitar,cordilheira
143 cidade,não realizar,celebração
143 município,não ter,festejo
15,posicionar faltar,sessão
15,prejudicar,itinerário de linha
15,ter,cabeça
15 %,receber,imagem
15 % de morte violento,receber,denúncia de ministério público
15 % de pessoa,não conseguir fazer,procedimento
15 % de resíduo sólido,ter,origem
15 aposta,quando dividir,prêmio
15 barraqua,além também servir,hambúrguer
15 cidade,realizar,ato de protesto
15 cidade,ter,internet 4g
15 de 27 unidade de federação,reduzir,preso provisório
15 deles,levar,pacidente
15 deputado estadual,assinar,documento
15 estado,registrar,protesto
15 estado df,fornecer,vacina de gripe
15 família,receber,assistência
15 magistrado,parar fazer,manifestação
15 mil,ainda não comparecer,procedimento
15 mil militante de estado de são paulo,foram atingir,80 % de voto
15 motociclista batedor,deixar,batalhão de polícia de exército de brasília
15 obra,fazer,parte de calendário deste ano
15 profissional,atualmente realizar,pesquisa científico de espécie
15 repúblicas soviético,proclamar dar,fim
15 rio,cortar,estado de pará
15 rodada,licitar,70 área
15 rodada de anp,licitar,70 área
15 rodada de licitação,ofertar,bloco marítimo de pós sal
15 vara focado em processo cível,julgar,crime comum em 12
15 órgão,abrir,inscrição para 2 mil vaga
15 órgão público,abrir,inscrição
150 liderança empresarial,manifestar,apoio a reforma
150 mil fiel,visitar,mesquita
150 mil pessoa,conseguir registrar,opção de curso
150 pessoa,acompanhar,cerimônia
150 pessoa,assistir,discurso de liszt
150 promotor de justiça de estado,subscrever,manifesto
16 %,apontar,falta de opção entre pré candidato
16 %,pretender abrir querer diminuir,quadro de funcionário
16 % de empresa,planejar aumentar,equipe
16 ano thelma eili harboe,deixar,casa de pais
16 banheiro,ter,investimento de r$ 535 mil de empresa de construção civil
16 detento,reivindicar,administração de verba
16 entidade,lançar,campanha junto
16 estado,registrar,492 caso
16 mil mulher brasileiro,ter,tipo de câncer
16 milhões de pessoa,ainda ainda não declarar,ir 2016
16 município de rondônia,não usar,voto por biometria
16 novo cidade,fazer,revisão biométrico vilhena
16 país de ue,também adotar,medida contra moscou
16 pesquisador de instituição,subscrever,texto
16 réu,ter,penas
16 vara federal exclusivo penal,reconhecer,incompetência
16/2 procurador de 11 país,criam,grupo apurar
160 mil pessoa,contrair,vírus
16143 eleitor atender,sairé,eleitor
17 ano de trabalho noturno,não ter,efeito
17 aposta,dividir,prêmio
17 aposta,dividir,prêmio de mega de virada
17 aposta,dividir,"prêmio de r$ 306,7 milhões"
17 aposta,dividir,"valor de r$ 306.718.743,71"
17 aposta,foram receber,"r$ 18.042.279,04.."
17 aposta de brasil,dividir,prêmio de mega de virada
17 cidada,cancelar,carnaval
17 hora desta quinta feira dia internacional de mulher,eram já feito,quatro saudação
"17 jovem de 2,20 m",voltar buscar,diagnóstico de doença
17 mostra de filme livre,promover,tradicional mostra
17 pessoa,morrer,vítima de furacão
17 político,formar,lista de pré candidato declarado a cargo
17 político,já anunciar,intenção disputar em eleição deste ano
17 ubss,aplicar,dose fracionado
17/2 youtuber,depois abrir retirar,permissão
17/4 moro,exigir,presença de lula em audiência
170 criança,apresentar também fazer,brincadeira
170 pessoa,morrer,vítima de queda
171,assinar,emenda
173.428,receber,"r$ 423,12"
173.428 apostador,receber,"r$ 423,12"
175 mil pedido represado de passaporte,ter,prioridade
18,ter,missão trabalhar por segurança em navegação
18 % de população entre 24 ano,terminar,universidade
18 ano khaled sherwan haji,fugir buscar,asilo
18 ator cantor,compor,espetáculo
18 de 27 estado,regionalmente registrar,taxa negativo
18 estatal dependente de orçamento de união,custar,r$ 40 bilhões
18 mil venezuelano,cruzar,fronteira
18 mil venezuelano,cruzar fazer,caminho inverso
18 município,ter,família desalojado
18 presas em presídio feminino ana maria de couto may em cuiabá,aguardar,julgamento
180 sortudo,bater fazer levar,cada
180 sortudo,bater fazer levar,r$ 39 mil
187 mil estudante de 193 escola primário,viver dentro,tiroteio
188 candidato,disputar,primeiro eleição para direção de escola de maringá
18º batalhão jacarepaguá,investigar,autor de roubo
18º batalhão jacarepaguá,investigar,autor de roubo..
19,ter,permissão deixar
19,trocar,presídio
19 %,citar,esperança em voto
19 %,já declarar,imposto de renda
19 %,mencionar,perda de confiança em governo
19 % de contribuinte de paraíba,já efetuar,declaração de imposto de renda ir
19 cidade,ter,atendimento encerrado
19 estado,descumprir,limite recomendado
19 mulher,relatar,conduta sexual inapropriado de trump
19 município,não fazer,festa de carnaval
19 pessoa,receber,atendimento médico
19 posto de vistoria em estado,disponibilizar,terceiro turno de serviço noturno
19 índio de etnia waroa,ter,oportunidade dar
193 inquérito,denunciar,12 governador
194 colaborador,abandonar,barco entre eles porta voz thierry solère
19º congresso de partido comunista chinês,sacramentar,continuidade de xi jinping como secretário geral de instituição por próximo cinco ano
1°,lotar,r$ 10
1°,lotar,um quilo de alimento perecível
1º dia,ter,red hot
1º dia,ter,ré cabisbaixo
1º festival mestre de circo,levar,espetáculo gratuito
1º festival mestres de circo de df,prestar,homenagem a mestre ary para raio criador de trupe esquadrão de vida
1º festival mestres de circo de distrito federal,oferecer,15 espetáculo de malabarismo
1º festival mestres de circo de distrito federal,oferecer,candango
1º manifesto,só iniciar,série
1º sorteio de mego semana de mãe,pagar,"prêmio de r$ 2,5 milhões"
1º/5,passar mal morrer usar,drone
2,criar,caso...os
2,quando dividir,prêmio
2,ter não votar,sóstenes cavalcante dem rj
2 % de cidade,além apresentar não haver,"informação sobre 29,9 %"
2 amigo de pm soh,ficar caber definir,destino
2 edição,mostrar,importância de complexo petrolífero para estatal..
2 fase,ocorrer prever,"pagamento de r$ 1,2 milhão"
2 fase de ação,apurar,envolvimento de agente público em irregularidade
2 fase de fuvest,ter hoje,segundo dia de prova
2 mil laudo de dna,estar haver,retardo em entrega de laudo por hemocentro..
2 mil pessoa,comentar,obra de mestre britto
2 rei theo filho de nando rei,lançar,primeiro disco
2 turma de stf,decidir extinguir,inquérito
2 turma de stf,rejeitar,denúncia contra jucá
2 turma de supremo,tornar junto,réu em lava jato
2 turma de supremo,tornar junto,senador renan calheiro pmdb-al
2 turma de supremo tribunal federal,rejeitar,denúncia
2 turma de supremo tribunal federal stf,decidir manter,investigação contra ex senador gim argello
2 turma recursal criminal de colégio recursal central de tribunal de justiça de são paulo,confirmar,decisão
"2,3 mil município brasileiro equivalente a 40 % de total",atualmente praticamente já assumir,licenciamento local
"2,3 milhões de trabalhador",receber agora,recurso
"2,4 milhões",foram ter,tradicional estouro de fogo
"2,4 milhões de pessoa",acompanhar,chegada de 2018
2. instância,analisar,sentença
2.600 tipo de salmonela,existir ser essencialmente não causar,dano
20,apoiar,arquivamento de denúncia contra temer em câmara
20,ter ter,penas
20 % de amostra,apresentar,resultado superior a 1.000 coliforme fecal por 100 ml de água
20 % de criança,ter,sonambulismo
20 % de município,fazer,plano
20 % de pessoa,aqui não doam,sangue
20 cliente,solicitar,recrutamento em modalidade intermitente
20 corrida rústico de mandacaru de maringá,já ter,200 inscrito
20 distrito de zona sul,aplicar,dose fracionado de vacina
20 estado,depois ter,812 crime
20 família,conseguir,decisão favorável
20 família,deixar,casa
20 homem armado,explodir fugir abandonar,dinamite
20 homem com fuzil,assaltar,banco
20 linhas de ônibus,além ter,horário de atendimento prolongado
20 mil família em zona rural,ainda não ter,acesso a energia elétrico
20 mil família em zona rural,não ter,acesso a energia elétrico
20 milhões de pessoa,ter,acesso a saúde
20 milhões de trabalhador de regime geral,representar,r$ 40 bilhões
20 minuto,crescer crescer logo já haver,centena
20 morador,colocar,câmera de segurança
20 parada de orgulho lgbt,ter,tema lei de identidade de gênero
20 pessoa,procurar,atendimento em unidade de saúde
20 policial,integrar,esquema
20 policial militar,integrar,grupo
20 pote,suprir,demanda diário de 200 bebê internado em rede público
20 rohingya,receber,cuidado por ferimento a bala
20. vara de justiça federal em brasília,deferir,tutela de urgência
20. vara de justiça federal em brasília,deferir suspender,trâmite de processo administrativo
20.813 pessoa,fazer,registro
20/2 justiça,decretar,prisão de mulher
200,conseguir,foragido
200,estar possuir,filho menor de 12 ano
200 aposentado,além ainda não ter,salário garantido
200 colaborador,deixar,campanha de ex primeiro- ministro
200 delegado,além receber,passagem
200 família de movimento sem terra mst,invadir,parte de terra de fazenda pertencente a família de senador ciro nogueira
200 funcionário de universidade,fazer,manifestação
200 integrantes de ministério público,subscrever,manifesto
200 mil capixaba,perder,emprego
200 mil civil,deixar,casa
200 mil empregador,ter,pendência com fundo de garantia por tempo de serviço fgts
200 mil família,deixar,casa
200 mil servidor,receber,salário de março
200 mil servidor de estado de rio de janeiro,receber,salário de março
200 venezuelanos desempregado,ocupar,prédio público abandonado
2017,fechar,205 mil desempregado
2018,trazer,novidade como projeto de notícia ilustrado
205 candidato,desrespeitar,direito humano
205 trabalhador,ter,deficiência mental
208 preso,trabalhar fora fazer,atividade de manutenção de próprio presídio
208 processo,ter,prioridade em redistribuição
21,receber,petição relacionado a político
21,usar,insulina
21 % de morador de portugal,além já completar,65 ano de idade
21 % de índio xavante de mato grosso,apresentar,diabete
21 estado,aprovar,novo lei de arma
21 estado,ter,aumento em número de agente prisional
21 ferido,estar não correr,risco morrer
21 representante de categoria,fazer,discurso
"21,7 mil brasileiro",deixar,país
213 de código penal,definir,crime
215 milhões,viram,discurso
217 município,já receber,ação
217 município de maranhão,já ter,ação de improbidade administrativo
21m,caber definir,destino
22 %,fazer,compra
22 % de professor de país,dizer aprovar,ideia ter
22 atleta,desafiar,punição
22 autoridade,já confirmar além,presença em evento
22 edição de troféu domingão melhor de ano,premiar,ator
22 localidade,decidir ter,carnaval
22 pessoa,já prestar,depoimento entre elas dono de embarcação alcimar almeida de silva
"22,7 %",dizer não saber usar,serviço
220,apresentar,déficit
220 mil pessoa,ter,bolsa família
223 mil contribuinte em estado,declar,ir.
2277 rua josé mariano n.º 172 centro 81 3621-8744,abrir,3885-1188 riacho de almas eleitor
23 %,afirmar ter,lembrança de mãe
23 convenção estadual de rede,aprovar,moção
23 diplomata russo,deixar,embaixada
23 diplomata russo,deixar,país
23 diplomata russo,deixar acusar atrair,espião russo
23 filme brasileiro,tentar,vaga
23 mil,acompanhar,tuíte
23 município de estado,já ter,paciente infectado
23 país,além já pedir,ajuda investigar
23 prisão de são paulo,ter,bloqueador de celular
23 secretário municipal,pedir,exoneração
23 secretário municipal,pedir,exoneração coletivo
23 tela,compor,exposição
231 cidade de eua,hoje descumprir frequentemente,ordem de agência
23º batalhão de pm,instaurar,inquérito policial militar
24,apoiar formalmente,iniciativa..
24 estado,ter,946 feminicídio
24 hora de programação,estar “,internet de 20gb a disposição
24 lote,totalizar,4 mil quilômetro de linhas de transmissão
"24,3 %",obter,gratuidade automático
240 milhões de conta de fgts ativo com saldo em 31 de dezembro de 2016,receber,valor proporcional a metade de lucro
24º festival nordestino de teatro fnt de guaramiranga,ter,inicio
25 %,cancelar,plano
25 %,desenvolver,forma crônico de doença
25 % de 11 milhões de habitante de bélgica,ter falam,francês
25 % de trabalho formal de cidade,ter,ligação com indústria
25 cidade de norte,reduzir,poluição de ar
25 criminoso de grupo,quando armar,emboscada
25 câmara,votar,segundo denúncia contra michel temer
25 integrantes,interpretar,clássico
25 magistrado,realizar,encontro
25 país,decidir acompanhar,medida
25 pessoa,integrar,grupo
25 pessoa,relatar,problema semelhante
25 restante,foram novamente não haver,interessado
25.710 bebê,receber,nome
250 pessoa,ocupar,gramado de legislativo
250 policial todos fardado,iniciar,patrulhamento
250 trabalhador,reforçar,unidade de são bernardo de campo sp
2500 árvore de propriedade,produzir,300 litro de azeite
26,perder,vida
26 6 %,ter,bebê com mau formação
26 tribunal de justiça,gastar,r$ 890 milhões
262 cidade,formar,frente de combate a aede
262 cidade de interior de são paulo,realizar levar,condição climático favorável a reprodução de mosquito com chuva
27,apoiar,emenda
27,aprovar,princípio de transição statu quo
27 % de eleitorado,inclusive acessar,uma fake news
27 câmara,instalar,comissão
27 de 50 posto,oferecer,vacina
27 edição de festival de teatro de curitiba,prometer transformar,cidade
27 estado,ter,tipo de lei de prevenção de acesso a criança cap em sigla em inglês
27 facção,disputar,controle de crime organizado
27 líder,entregar,manifesto
27 membro,preparar,negociação comercial com londr
