# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ta sacanagem mec petista erotizando criancas criancas sendo doutrinadas sexo mec detalhe idade sete oito anos aula criancas mec sugere beijo boca passar mao coleguinha banheiro assistir videos adultos namorando olhar sexo proximo antes local aprendizado valores vida valorizacao humano hoje tornou escola sexo fabrica criancas sexualizadas onde pequenos seres obrigados estudar forma impositiva sobre sexo quase explicito vendo cenas beiram pornografia olha algo recente portal mec encontramos plano aula professora data 2009 imagens veiculadas texto falam si
1	ta	_	DET	DET	_	2	det	_	TokenRange=0:2
53	forma	forma	NOUN	NOUN	_	52	obj	_	TokenRange=378:383
54	impositiva	impositivo	ADJ	ADJ	_	53	amod	_	TokenRange=384:394
55	sobre	_	ADP	ADP	_	56	case	_	TokenRange=395:400
56	sexo	sexo	NOUN	NOUN	_	53	nmod	_	TokenRange=401:405
57	quase	quase	ADV	ADV	_	58	advmod	_	TokenRange=406:411
58	explicito	explicito	ADJ	ADJ	_	56	amod	_	TokenRange=412:421
59	vendo	_	VERB	VERB	_	61	acl	_	TokenRange=422:427
60	cenas	cena	NOUN	NOUN	_	59	obj	_	TokenRange=428:433
61	beiram	beirar	VERB	VERB	_	46	acl:relcl	_	TokenRange=434:440
62	pornografia	pornografia	NOUN	NOUN	_	61	obj	_	TokenRange=441:452
63	olha	olhar	VERB	VERB	_	61	parataxis	_	TokenRange=453:457
64	algo	_	PRON	PRON	_	63	obj	_	TokenRange=458:462
65	recente	recente	ADJ	ADJ	_	66	amod	_	TokenRange=463:470
66	portal	portal	NOUN	NOUN	_	61	obj	_	TokenRange=471:477
67	mec	_	PRON	PRON	_	66	appos	_	TokenRange=478:481
68	encontramos	encontrar	VERB	VERB	_	66	acl:relcl	_	TokenRange=482:493
69	plano	plano	NOUN	NOUN	_	68	obj	_	TokenRange=494:499
70	aula	aula	NOUN	NOUN	_	68	obj	_	TokenRange=500:504
71	professora	professor	NOUN	NOUN	_	70	amod	_	TokenRange=505:515
72	data	data	NOUN	NOUN	_	70	appos	_	TokenRange=516:520
73	2009	_	NUM	NUM	NumType=Card	72	nmod	_	TokenRange=521:525
74	imagens	imagem	NOUN	NOUN	_	77	nsubj	_	TokenRange=526:533
75	veiculadas	veiculado	ADJ	ADJ	_	74	amod	_	TokenRange=534:544
76	texto	texto	NOUN	NOUN	_	77	nsubj	_	TokenRange=545:550
77	falam	_	VERB	VERB	_	68	parataxis	_	TokenRange=551:556
78	si	_	PRON	PRON	_	77	obj	_	SpaceAfter=No|TokenRange=557:559

