# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dezenas tanques nortecoreanos disparam misseis direcao frota naval eua reino eremita disparou misseis resposta frota guerra comandada navio americano carl vinson chegou peninsula demonstrando poder fogo tanques podem atingir tranquilamente navios estrangeiros portaavioes carl vinson aguarda chegada frotas japao coreia sul juntarem exercicios militares leiase prontidao guerra submarino nuclear eua armado misseis cruzeiro tomahawk desembarcou porto marinha busan coreia sul kim jongun reagiu furiosamente ameacou explodir frota agua unico missil especialistas militares acreditam tirano preparando proximo lancamento missil nuclear longo alcance pode acontecer nesta semana observando perto movimentos militares nortecoreanos torno wonsan mantendo firme disposicao disseram militares sulcoreanos comunicado
1	dezenas	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:7
45	leiase	leiase	NOUN	NOUN	_	43	appos	_	TokenRange=354:360
46	prontidao	prontidao	ADJ	ADJ	_	47	amod	_	TokenRange=361:370
47	guerra	guerra	NOUN	NOUN	_	42	nsubj	_	TokenRange=371:377
48	submarino	submarino	ADJ	ADJ	_	47	amod	_	TokenRange=378:387
49	nuclear	nuclear	ADJ	ADJ	_	47	amod	_	TokenRange=388:395
50	eua	_	PRON	PRON	_	55	nsubj	_	TokenRange=396:399
51	armado	armado	ADJ	ADJ	_	52	amod	_	TokenRange=400:406
52	misseis	missil	NOUN	NOUN	_	55	nsubj	_	TokenRange=407:414
53	cruzeiro	cruzeiro	NOUN	NOUN	_	52	amod	_	TokenRange=415:423
54	tomahawk	_	NOUN	NOUN	_	52	appos	_	TokenRange=424:432
55	desembarcou	desembarcar	VERB	VERB	_	12	parataxis	_	TokenRange=433:444
56	porto	porto	NOUN	NOUN	_	55	obj	_	TokenRange=445:450
57	marinha	marinho	ADJ	ADJ	_	56	amod	_	TokenRange=451:458
58	busan	busan	ADJ	ADJ	_	56	amod	_	TokenRange=459:464
59	coreia	coreia	NOUN	NOUN	_	55	nsubj	_	TokenRange=465:471
60	sul	sul	ADJ	ADJ	_	59	amod	_	TokenRange=472:475
61	kim	_	PROPN	PNOUN	_	63	nsubj	_	TokenRange=476:479
62	jongun	_	NOUN	NOUN	_	61	flat	_	TokenRange=480:486
63	reagiu	reagir	VERB	VERB	_	55	parataxis	_	TokenRange=487:493
64	furiosamente	furiosamente	ADV	ADV	_	65	advmod	_	TokenRange=494:506
65	ameacou	ameacar	VERB	VERB	_	63	conj	_	TokenRange=507:514
66	explodir	explodir	VERB	VERB	_	65	xcomp	_	TokenRange=515:523
67	frota	frota	NOUN	NOUN	_	66	obj	_	TokenRange=524:529
68	agua	agua	NOUN	NOUN	_	67	appos	_	TokenRange=530:534
69	unico	unico	ADJ	ADJ	_	68	amod	_	TokenRange=535:540
70	missil	missil	NOUN	NOUN	_	68	appos	_	TokenRange=541:547
71	especialistas	especialista	NOUN	NOUN	_	73	nsubj	_	TokenRange=548:561
72	militares	militar	ADJ	ADJ	_	71	amod	_	TokenRange=562:571
73	acreditam	acreditar	VERB	VERB	_	70	acl:relcl	_	TokenRange=572:581
74	tirano	tirano	NOUN	NOUN	_	73	obj	_	TokenRange=582:588
75	preparando	preparar	VERB	VERB	_	71	acl	_	TokenRange=589:599
76	proximo	proximo	ADJ	ADJ	_	77	amod	_	TokenRange=600:607
77	lancamento	lancamento	NOUN	NOUN	_	75	obj	_	TokenRange=608:618
78	missil	missil	NOUN	NOUN	_	77	appos	_	TokenRange=619:625
79	nuclear	nuclear	ADJ	ADJ	_	78	amod	_	TokenRange=626:633
80	longo	longo	ADJ	ADJ	_	81	amod	_	TokenRange=634:639
81	alcance	alcance	NOUN	NOUN	_	78	amod	_	TokenRange=640:647
82	pode	_	AUX	AUX	_	83	aux	_	TokenRange=648:652
83	acontecer	acontecer	VERB	VERB	_	73	parataxis	_	TokenRange=653:662
84	nesta	_	ADP	ADP	_	85	case	_	TokenRange=663:668
85	semana	semana	NOUN	NOUN	_	83	nmod	_	TokenRange=669:675
86	observando	observar	VERB	VERB	_	83	acl	_	TokenRange=676:686
87	perto	perto	ADV	ADV	_	86	advmod	_	TokenRange=687:692
88	movimentos	movimento	NOUN	NOUN	_	86	obj	_	TokenRange=693:703
89	militares	militar	ADJ	ADJ	_	88	amod	_	TokenRange=704:713
90	nortecoreanos	nortecoreano	ADJ	ADJ	_	88	amod	_	TokenRange=714:727
91	torno	torno	ADJ	NOUN	_	88	nmod	_	TokenRange=728:733
92	wonsan	_	ADJ	ADJ	_	91	amod	_	TokenRange=734:740
93	mantendo	manter	VERB	VERB	_	86	acl	_	TokenRange=741:749
94	firme	firme	ADJ	ADJ	_	95	amod	_	TokenRange=750:755
95	disposicao	disposicao	NOUN	NOUN	_	93	obj	_	TokenRange=756:766
96	disseram	dizer	VERB	VERB	_	83	parataxis	_	TokenRange=767:775
97	militares	militar	NOUN	NOUN	_	96	nsubj	_	TokenRange=776:785
98	sulcoreanos	sulcoreano	ADJ	ADJ	_	97	amod	_	TokenRange=786:797
99	comunicado	comunicar	VERB	VERB	_	96	acl	_	SpaceAfter=No|TokenRange=798:808

