# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tudo premeditado reporter flagrou video waldir maranhao visitando lula waldir maranhao presidente interino camara tentou anular impeachment flagrado visitando lula deu pra entender agora porque maranhao tentou anular impeachment dilma embora assunto discutido sido divulgado surgem agora efeitos dessa alianca diabolica nesta ultima sextafeira 08 presidente interino camara deputados waldir maranhao pp enviou oficio lideres blocos partidos indiquem representantes comissao vai analisar pedido impeachment presidente interino michel temer maranhao alegou comissao andou falta indicacoes partidarias inercia presidencia casa michel temer pego surpresa decisao tempestiva maranhao
1	tudo	_	PRON	PRON	_	4	nsubj	_	TokenRange=0:4
20	lula	_	NOUN	NOUN	_	19	obj	_	TokenRange=159:163
21	deu	dar	VERB	VERB	_	4	parataxis	_	TokenRange=164:167
22	pra	_	ADP	ADP	_	23	mark	_	TokenRange=168:171
23	entender	entender	VERB	VERB	_	21	nmod	_	TokenRange=172:180
24	agora	agora	ADV	ADV	_	23	advmod	_	TokenRange=181:186
25	porque	_	CCONJ	CONJ	_	27	mark	_	TokenRange=187:193
26	maranhao	maranhao	NOUN	NOUN	_	27	nsubj	_	TokenRange=194:202
27	tentou	tentar	VERB	VERB	_	21	advcl	_	TokenRange=203:209
28	anular	anular	VERB	VERB	_	27	xcomp	_	TokenRange=210:216
29	impeachment	impeachment	NOUN	NOUN	_	28	obj	_	TokenRange=217:228
30	dilma	_	NOUN	NOUN	_	29	amod	_	TokenRange=229:234
31	embora	_	CCONJ	CONJ	_	35	mark	_	TokenRange=235:241
32	assunto	assunto	NOUN	NOUN	_	35	nsubj:pass	_	TokenRange=242:249
33	discutido	discutido	ADJ	ADJ	_	32	amod	_	TokenRange=250:259
34	sido	ser	AUX	AUX	_	35	aux:pass	_	TokenRange=260:264
35	divulgado	divulgar	VERB	VERB	_	27	advcl	_	TokenRange=265:274
36	surgem	surgir	VERB	VERB	_	21	advcl	_	TokenRange=275:281
37	agora	agora	ADV	ADV	_	36	advmod	_	TokenRange=282:287
38	efeitos	efeito	NOUN	NOUN	_	36	nsubj	_	TokenRange=288:295
39	dessa	_	ADP	ADP	_	40	case	_	TokenRange=296:301
40	alianca	alianca	NOUN	NOUN	_	38	nmod	_	TokenRange=302:309
41	diabolica	diabolico	ADJ	ADJ	_	40	amod	_	TokenRange=310:319
42	nesta	_	ADP	ADP	_	44	case	_	TokenRange=320:325
43	ultima	_	ADJ	ADJ	_	44	amod	_	TokenRange=326:332
44	sextafeira	sextafeira	NOUN	NOUN	_	36	nmod	_	TokenRange=333:343
45	08	_	NUM	NUM	NumType=Card	46	nummod	_	TokenRange=344:346
46	presidente	presidente	NOUN	NOUN	_	36	nsubj	_	TokenRange=347:357
47	interino	interino	ADJ	ADJ	_	46	amod	_	TokenRange=358:366
48	camara	camara	ADJ	ADJ	_	46	amod	_	TokenRange=367:373
49	deputados	deputado	NOUN	NOUN	_	46	appos	_	TokenRange=374:383
50	waldir	waldir	NOUN	NOUN	_	46	appos	_	TokenRange=384:390
51	maranhao	maranhao	NOUN	NOUN	_	50	flat	_	TokenRange=391:399
52	pp	_	NOUN	NOUN	_	50	flat	_	TokenRange=400:402
53	enviou	enviar	VERB	VERB	_	36	parataxis	_	TokenRange=403:409
54	oficio	oficio	NOUN	NOUN	_	53	obj	_	TokenRange=410:416
55	lideres	lider	NOUN	NOUN	_	54	amod	_	TokenRange=417:424
56	blocos	bloco	ADJ	NOUN	_	55	amod	_	TokenRange=425:431
57	partidos	partido	NOUN	NOUN	_	55	amod	_	TokenRange=432:440
58	indiquem	indicar	VERB	VERB	_	53	parataxis	_	TokenRange=441:449
59	representantes	representante	NOUN	NOUN	_	58	obj	_	TokenRange=450:464
60	comissao	comissao	NOUN	NOUN	_	59	amod	_	TokenRange=465:473
61	vai	ir	AUX	AUX	_	62	aux	_	TokenRange=474:477
62	analisar	analisar	VERB	VERB	_	58	ccomp	_	TokenRange=478:486
63	pedido	pedido	NOUN	NOUN	_	62	obj	_	TokenRange=487:493
64	impeachment	impeachment	NOUN	NOUN	_	63	amod	_	TokenRange=494:505
65	presidente	presidente	NOUN	NOUN	_	62	obj	_	TokenRange=506:516
66	interino	interino	ADJ	ADJ	_	65	amod	_	TokenRange=517:525
67	michel	_	ADJ	ADJ	_	68	amod	_	TokenRange=526:532
68	temer	temer	NOUN	NOUN	_	65	appos	_	TokenRange=533:538
69	maranhao	maranhao	ADJ	ADJ	_	68	amod	_	TokenRange=539:547
70	alegou	alegar	VERB	VERB	_	62	parataxis	_	TokenRange=548:554
71	comissao	comissao	NOUN	NOUN	_	70	obj	_	TokenRange=555:563
72	andou	andar	VERB	VERB	_	70	parataxis	_	TokenRange=564:569
73	falta	_	NOUN	NOUN	_	72	obj	_	TokenRange=570:575
74	indicacoes	_	NOUN	NOUN	_	73	appos	_	TokenRange=576:586
75	partidarias	partidario	ADJ	ADJ	_	74	amod	_	TokenRange=587:598
76	inercia	inercio	ADJ	ADJ	_	74	amod	_	TokenRange=599:606
77	presidencia	presidencia	NOUN	NOUN	_	81	nsubj	_	TokenRange=607:618
78	casa	casa	NOUN	NOUN	_	81	nsubj	_	TokenRange=619:623
79	michel	michel	ADJ	ADJ	_	80	amod	_	TokenRange=624:630
80	temer	temer	NOUN	NOUN	_	77	appos	_	TokenRange=631:636
81	pego	pegar	VERB	VERB	_	70	parataxis	_	TokenRange=637:641
82	surpresa	surpresa	NOUN	NOUN	_	81	obj	_	TokenRange=642:650
83	decisao	decisao	NOUN	NOUN	_	81	obj	_	TokenRange=651:658
84	tempestiva	tempestivo	ADJ	ADJ	_	83	amod	_	TokenRange=659:669
85	maranhao	maranhao	NOUN	NOUN	_	81	obj	_	SpaceAfter=No|TokenRange=670:678

