# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ninguem melhor proprio lula explicar funciona bolsa familia distribui tanto tiquete leite porque verdade peca troca epoca eleicao assim processo eleitoral despolitizado tratando povo pobre mesma forma cabral tratou indios chegou brasil distribuia bijuterias ganhar confianca indios assim governos distribuem alimento manter politica dominacao lula referia usar distribuicao alimentos moeda troca votos promover eternizacao poder tempo passou pt assumiu poder chamada politica dominacao permaneceu revigorada governo poder corrompe poder revela verdadeiro carater pessoa ps contra bolsafamilia sim contra utilizacao deste programa social angariar votos assista video tire conclusoes
1	ninguem	_	PRON	PRON	_	0	root	_	TokenRange=0:7
22	despolitizado	_	ADJ	ADJ	_	20	amod	_	TokenRange=155:168
23	tratando	tratar	VERB	VERB	_	20	acl	_	TokenRange=169:177
24	povo	povo	NOUN	NOUN	_	23	obj	_	TokenRange=178:182
25	pobre	pobre	ADJ	ADJ	_	24	amod	_	TokenRange=183:188
26	mesma	mesmo	ADJ	ADJ	_	27	amod	_	TokenRange=189:194
27	forma	forma	NOUN	NOUN	_	23	nsubj	_	TokenRange=195:200
28	cabral	cabral	ADJ	ADJ	_	27	amod	_	TokenRange=201:207
29	tratou	tratar	VERB	VERB	_	23	parataxis	_	TokenRange=208:214
30	indios	indio	NOUN	NOUN	_	29	obj	_	TokenRange=215:221
31	chegou	chegar	VERB	VERB	_	29	ccomp	_	TokenRange=222:228
32	brasil	brasil	NOUN	NOUN	_	31	nsubj	_	TokenRange=229:235
33	distribuia	distribuir	VERB	VERB	_	29	ccomp	_	TokenRange=236:246
34	bijuterias	bijuteria	NOUN	NOUN	_	33	obj	_	TokenRange=247:257
35	ganhar	ganhar	VERB	VERB	_	33	ccomp	_	TokenRange=258:264
36	confianca	_	NOUN	NOUN	_	35	obj	_	TokenRange=265:274
37	indios	indio	NOUN	NOUN	_	36	amod	_	TokenRange=275:281
38	assim	assim	ADV	ADV	_	40	advmod	_	TokenRange=282:287
39	governos	governo	NOUN	NOUN	_	40	nsubj	_	TokenRange=288:296
40	distribuem	distribuir	VERB	VERB	_	33	parataxis	_	TokenRange=297:307
41	alimento	alimento	NOUN	NOUN	_	40	obj	_	TokenRange=308:316
42	manter	manter	VERB	VERB	_	40	ccomp	_	TokenRange=317:323
43	politica	_	NOUN	NOUN	_	42	obj	_	TokenRange=324:332
44	dominacao	dominacao	ADJ	ADJ	_	43	amod	_	TokenRange=333:342
45	lula	_	NOUN	NOUN	_	46	nsubj	_	TokenRange=343:347
46	referia	referir	VERB	VERB	_	43	acl:relcl	_	TokenRange=348:355
47	usar	usar	VERB	VERB	_	46	xcomp	_	TokenRange=356:360
48	distribuicao	distribuicao	NOUN	NOUN	_	47	obj	_	TokenRange=361:373
49	alimentos	alimento	NOUN	NOUN	_	48	flat	_	TokenRange=374:383
50	moeda	moeda	NOUN	NOUN	_	48	appos	_	TokenRange=384:389
51	troca	_	NOUN	NOUN	_	50	appos	_	TokenRange=390:395
52	votos	voto	NOUN	NOUN	_	50	appos	_	TokenRange=396:401
53	promover	promover	VERB	VERB	_	47	ccomp	_	TokenRange=402:410
54	eternizacao	eternizacao	ADJ	ADJ	_	53	xcomp	_	TokenRange=411:422
55	poder	poder	NOUN	NOUN	_	53	obj	_	TokenRange=423:428
56	tempo	tempo	NOUN	NOUN	_	57	nsubj	_	TokenRange=429:434
57	passou	passar	VERB	VERB	_	53	ccomp	_	TokenRange=435:441
58	pt	_	PROPN	PNOUN	_	59	nsubj	_	TokenRange=442:444
59	assumiu	assumir	VERB	VERB	_	53	ccomp	_	TokenRange=445:452
60	poder	poder	NOUN	NOUN	_	59	obj	_	TokenRange=453:458
61	chamada	chamado	ADJ	ADJ	_	62	amod	_	TokenRange=459:466
62	politica	_	NOUN	NOUN	_	59	nsubj	_	TokenRange=467:475
63	dominacao	_	ADJ	ADJ	_	62	amod	_	TokenRange=476:485
64	permaneceu	permanecer	VERB	VERB	_	59	parataxis	_	TokenRange=486:496
65	revigorada	revigorado	ADJ	ADJ	_	64	xcomp	_	TokenRange=497:507
66	governo	governo	NOUN	NOUN	_	64	nsubj	_	TokenRange=508:515
67	poder	poder	NOUN	NOUN	_	64	nsubj	_	TokenRange=516:521
68	corrompe	corrompe	ADJ	ADJ	_	67	amod	_	TokenRange=522:530
69	poder	poder	NOUN	NOUN	_	67	flat	_	TokenRange=531:536
70	revela	revelar	VERB	VERB	_	64	parataxis	_	TokenRange=537:543
71	verdadeiro	verdadeiro	ADJ	ADJ	_	72	amod	_	TokenRange=544:554
72	carater	carater	NOUN	NOUN	_	70	obj	_	TokenRange=555:562
73	pessoa	pessoa	NOUN	NOUN	_	72	appos	_	TokenRange=563:569
74	ps	_	NOUN	NOUN	_	72	appos	_	TokenRange=570:572
75	contra	_	ADP	ADP	_	76	case	_	TokenRange=573:579
76	bolsafamilia	_	NOUN	NOUN	_	72	nmod	_	TokenRange=580:592
77	sim	sim	ADV	ADV	_	70	advmod	_	TokenRange=593:596
78	contra	_	ADP	ADP	_	79	case	_	TokenRange=597:603
79	utilizacao	utilizacao	NOUN	NOUN	_	72	nmod	_	TokenRange=604:614
80	deste	_	ADP	ADP	_	81	case	_	TokenRange=615:620
81	programa	programa	NOUN	NOUN	_	79	nmod	_	TokenRange=621:629
82	social	social	ADJ	ADJ	_	81	amod	_	TokenRange=630:636
83	angariar	angariar	VERB	VERB	_	81	acl	_	TokenRange=637:645
84	votos	voto	NOUN	NOUN	_	83	obj	_	TokenRange=646:651
85	assista	assistir	VERB	VERB	_	70	parataxis	_	TokenRange=652:659
86	video	video	NOUN	NOUN	_	85	obj	_	TokenRange=660:665
87	tire	_	VERB	VERB	_	88	acl:relcl	_	TokenRange=666:670
88	conclusoes	_	NOUN	NOUN	_	85	obj	_	SpaceAfter=No|TokenRange=671:681

