# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = xequemate moro pena lula baixa aumentada 2 instancia moro qualquer acoes certeiras controladas lula 60 chances condenado segunda instancia 8 turma criminal 4 regiao trf4 responsavel julgar sentencas moro segunda instancia somente 28 reus condenados 1 instancia sergio moro absolvidos 3 desembargadores compoem tribunal 12 sentencas reduzidas oposto acontece aproximadamente 30 sentencas chegaram trf4 sofreram aumento pena outros 30 penas mantidas casos juiz moro subiram 8 turma criminal analisando numeros chegamos seguinte conclusao matematica lula 60 chances condenado trf4 pena pode aumentar olha falando somente 1 processo ainda restam outros 6
1	xequemate	xequemate	NOUN	NOUN	_	0	root	_	TokenRange=0:9
22	criminal	criminal	ADJ	ADJ	_	21	amod	_	TokenRange=147:155
23	4	_	NUM	NUM	NumType=Card	24	nummod	_	TokenRange=156:157
24	regiao	regiao	NOUN	NOUN	_	21	appos	_	TokenRange=158:164
25	trf4	_	NOUN	NOUN	_	24	appos	_	TokenRange=165:169
26	responsavel	responsavel	ADJ	ADJ	_	24	amod	_	TokenRange=170:181
27	julgar	julgar	VERB	VERB	_	26	csubj	_	TokenRange=182:188
28	sentencas	_	NOUN	NOUN	_	27	obj	_	TokenRange=189:198
29	moro	moro	NOUN	NOUN	_	28	appos	_	TokenRange=199:203
30	segunda	segundo	ADJ	ADJ	_	31	amod	_	TokenRange=204:211
31	instancia	instancia	NOUN	NOUN	_	29	appos	_	TokenRange=212:221
32	somente	somente	ADV	ADV	_	33	advmod	_	TokenRange=222:229
33	28	_	NUM	NUM	NumType=Card	34	nummod	_	TokenRange=230:232
34	reus	reu	NOUN	NOUN	_	27	obj	_	TokenRange=233:237
35	condenados	condenar	VERB	VERB	_	34	acl	_	TokenRange=238:248
36	1	_	NUM	NUM	NumType=Card	37	nummod	_	TokenRange=249:250
37	instancia	instancia	NOUN	NOUN	_	35	nsubj	_	TokenRange=251:260
38	sergio	_	NOUN	NOUN	_	37	appos	_	TokenRange=261:267
39	moro	moro	NOUN	NOUN	_	38	flat	_	TokenRange=268:272
40	absolvidos	absolver	VERB	VERB	_	38	acl	_	TokenRange=273:283
41	3	_	NUM	NUM	NumType=Card	42	nummod	_	TokenRange=284:285
42	desembargadores	desembargador	NOUN	NOUN	_	43	nsubj	_	TokenRange=286:301
43	compoem	compoer	VERB	VERB	_	27	parataxis	_	TokenRange=302:309
44	tribunal	tribunal	NOUN	NOUN	_	43	obj	_	TokenRange=310:318
45	12	_	NUM	NUM	NumType=Card	46	nummod	_	TokenRange=319:321
46	sentencas	sentenca	NOUN	NOUN	_	43	obj	_	TokenRange=322:331
47	reduzidas	reduzido	ADJ	ADJ	_	46	amod	_	TokenRange=332:341
48	oposto	_	ADJ	ADJ	_	46	amod	_	TokenRange=342:348
49	acontece	acontecer	VERB	VERB	_	43	parataxis	_	TokenRange=349:357
50	aproximadamente	aproximadamente	ADV	ADV	_	51	advmod	_	TokenRange=358:373
51	30	_	NUM	NUM	NumType=Card	52	nummod	_	TokenRange=374:376
52	sentencas	sentenca	NOUN	NOUN	_	55	nsubj	_	TokenRange=377:386
53	chegaram	chegar	VERB	VERB	_	49	csubj	_	TokenRange=387:395
54	trf4	_	NOUN	NOUN	_	55	nsubj	_	TokenRange=396:400
55	sofreram	sofrer	VERB	VERB	_	49	csubj	_	TokenRange=401:409
56	aumento	aumento	NOUN	NOUN	_	55	obj	_	TokenRange=410:417
57	pena	_	NOUN	NOUN	_	56	flat	_	TokenRange=418:422
58	outros	_	DET	DET	_	60	det	_	TokenRange=423:429
59	30	_	NUM	NUM	NumType=Card	60	nummod	_	TokenRange=430:432
60	penas	_	NOUN	NOUN	_	55	nsubj	_	TokenRange=433:438
61	mantidas	manter	ADJ	ADJ	_	60	amod	_	TokenRange=439:447
62	casos	caso	NOUN	NOUN	_	65	nsubj	_	TokenRange=448:453
63	juiz	juiz	NOUN	NOUN	_	60	appos	_	TokenRange=454:458
64	moro	moro	NOUN	NOUN	_	63	flat	_	TokenRange=459:463
65	subiram	subir	VERB	VERB	_	63	acl:relcl	_	TokenRange=464:471
66	8	_	NUM	NUM	NumType=Card	67	nummod	_	TokenRange=472:473
67	turma	turma	NOUN	NOUN	_	65	obj	_	TokenRange=474:479
68	criminal	criminal	ADJ	ADJ	_	67	amod	_	TokenRange=480:488
69	analisando	analisar	VERB	VERB	_	65	acl	_	TokenRange=489:499
70	numeros	numero	NOUN	NOUN	_	69	obj	_	TokenRange=500:507
71	chegamos	chegar	VERB	VERB	_	73	acl:relcl	_	TokenRange=508:516
72	seguinte	seguinte	ADJ	ADJ	_	73	amod	_	TokenRange=517:525
73	conclusao	conclusao	NOUN	NOUN	_	65	obj	_	TokenRange=526:535
74	matematica	matematico	ADJ	ADJ	_	73	amod	_	TokenRange=536:546
75	lula	_	NOUN	NOUN	_	82	nsubj	_	TokenRange=547:551
76	60	_	NUM	NUM	NumType=Card	77	nummod	_	TokenRange=552:554
77	chances	chance	NOUN	NOUN	_	82	nsubj	_	TokenRange=555:562
78	condenado	condenar	VERB	VERB	_	77	acl	_	TokenRange=563:572
79	trf4	_	ADJ	NOUN	_	77	amod	_	TokenRange=573:577
80	pena	_	NOUN	NOUN	_	78	nsubj	_	TokenRange=578:582
81	pode	_	AUX	AUX	_	82	aux	_	TokenRange=583:587
82	aumentar	aumentar	VERB	VERB	_	55	conj	_	TokenRange=588:596
83	olha	olha	NOUN	NOUN	_	82	obj	_	TokenRange=597:601
84	falando	falar	VERB	VERB	_	82	acl	_	TokenRange=602:609
85	somente	somente	ADV	ADV	_	86	advmod	_	TokenRange=610:617
86	1	_	NUM	NUM	NumType=Card	87	nummod	_	TokenRange=618:619
87	processo	processo	NOUN	NOUN	_	84	obj	_	TokenRange=620:628
88	ainda	ainda	ADV	ADV	_	89	advmod	_	TokenRange=629:634
89	restam	restar	VERB	VERB	_	82	parataxis	_	TokenRange=635:641
90	outros	_	DET	DET	_	91	det	_	TokenRange=642:648
91	6	_	NUM	NUM	NumType=Card	89	nsubj	_	SpaceAfter=No|TokenRange=649:650

