# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = oab quer cassar bolsonaro ora va pt vive homenageando sanguinarios esquerda bolsonaro infeliz exagerou sim presidente oabrj disse seccional ira acionar stf pedir cassacao mandato deputado federal jair bolsonaro durante votacao processo impeachment presidente dilma rousseff pt bolsonaro prestou homenagem coronel acusado tortura durante ditadura militar 196485 declaracao considerada apologia tortura orgao infelicidade deputado porque pau bate chico bate francisco brasil petistas permitido homenagear livremente ditadores assassinos todos tipos psicopatas desde esquerda viva fidel maduro cuba venezuela coreia norte memoria marighela lamarca che quanta hipocrisia ahhhh cuspir cara deputados pode
1	oab	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
25	mandato	mandato	NOUN	NOUN	_	26	flat	_	TokenRange=171:178
26	deputado	deputado	NOUN	NOUN	_	23	obj	_	TokenRange=179:187
27	federal	federal	ADJ	ADJ	_	26	amod	_	TokenRange=188:195
28	jair	jair	NOUN	NOUN	_	26	appos	_	TokenRange=196:200
29	bolsonaro	bolsonaro	NOUN	NOUN	_	26	amod	_	TokenRange=201:210
30	durante	_	ADP	ADP	_	31	case	_	TokenRange=211:218
31	votacao	votacao	NOUN	NOUN	_	23	nmod	_	TokenRange=219:226
32	processo	processo	NOUN	NOUN	_	31	appos	_	TokenRange=227:235
33	impeachment	impeachment	ADJ	ADJ	_	32	amod	_	TokenRange=236:247
34	presidente	presidente	NOUN	NOUN	_	32	appos	_	TokenRange=248:258
35	dilma	dilma	ADJ	ADJ	_	34	amod	_	TokenRange=259:264
36	rousseff	rousseff	NOUN	NOUN	_	34	appos	_	TokenRange=265:273
37	pt	_	NOUN	NOUN	_	39	nsubj	_	TokenRange=274:276
38	bolsonaro	bolsonaro	NOUN	NOUN	_	34	amod	_	TokenRange=277:286
39	prestou	prestar	VERB	VERB	_	2	conj	_	TokenRange=287:294
40	homenagem	homenagem	NOUN	NOUN	_	39	obj	_	TokenRange=295:304
41	coronel	coronel	NOUN	NOUN	_	40	flat	_	TokenRange=305:312
42	acusado	acusar	VERB	VERB	_	40	acl	_	TokenRange=313:320
43	tortura	tortura	NOUN	NOUN	_	42	obj	_	TokenRange=321:328
44	durante	_	ADP	ADP	_	45	case	_	TokenRange=329:336
45	ditadura	ditadura	NOUN	NOUN	_	42	nmod	_	TokenRange=337:345
46	militar	militar	ADJ	ADJ	_	45	amod	_	TokenRange=346:353
47	196485	_	NUM	NUM	NumType=Card	48	nummod	_	TokenRange=354:360
48	declaracao	declaracao	NOUN	NOUN	_	39	nsubj	_	TokenRange=361:371
49	considerada	considerar	AUX	AUX	_	50	cop	_	TokenRange=372:383
50	apologia	apologia	NOUN	NOUN	_	48	acl	_	TokenRange=384:392
51	tortura	tortura	NOUN	NOUN	_	48	appos	_	TokenRange=393:400
52	orgao	orgao	NOUN	NOUN	_	48	appos	_	TokenRange=401:406
53	infelicidade	infelicidade	NOUN	NOUN	_	48	appos	_	TokenRange=407:419
54	deputado	deputado	NOUN	NOUN	_	48	appos	_	TokenRange=420:428
55	porque	_	CCONJ	CONJ	_	57	mark	_	TokenRange=429:435
56	pau	_	NOUN	NOUN	_	57	dep	_	TokenRange=436:439
57	bate	bate	NOUN	NOUN	_	54	nmod	_	TokenRange=440:444
58	chico	_	NOUN	NOUN	_	59	amod	_	TokenRange=445:450
59	bate	bate	NOUN	NOUN	_	56	conj	_	TokenRange=451:455
60	francisco	francisco	NOUN	NOUN	_	59	appos	_	TokenRange=456:465
61	brasil	brasil	ADJ	ADJ	_	60	flat	_	TokenRange=466:472
62	petistas	petista	NOUN	NOUN	_	60	flat	_	TokenRange=473:481
63	permitido	permitir	VERB	VERB	_	62	acl	_	TokenRange=482:491
64	homenagear	homenagear	VERB	VERB	_	63	xcomp	_	TokenRange=492:502
65	livremente	livremente	ADV	ADV	_	64	advmod	_	TokenRange=503:513
66	ditadores	ditador	NOUN	NOUN	_	64	obj	_	TokenRange=514:523
67	assassinos	assassino	ADJ	ADJ	_	66	amod	_	TokenRange=524:534
68	todos	_	DET	DET	_	69	det	_	TokenRange=535:540
69	tipos	tipo	NOUN	NOUN	_	66	appos	_	TokenRange=541:546
70	psicopatas	psicopata	ADJ	ADJ	_	69	amod	_	TokenRange=547:557
71	desde	_	ADP	ADP	_	72	case	_	TokenRange=558:563
72	esquerda	esquerda	NOUN	NOUN	_	69	nmod	_	TokenRange=564:572
73	viva	vivo	ADJ	ADJ	_	72	amod	_	TokenRange=573:577
74	fidel	fidel	NOUN	NOUN	_	66	amod	_	TokenRange=578:583
75	maduro	maduro	NOUN	NOUN	_	72	amod	_	TokenRange=584:590
76	cuba	_	CCONJ	CONJ	_	78	amod	_	TokenRange=591:595
77	venezuela	_	ADJ	ADJ	_	78	amod	_	TokenRange=596:605
78	coreia	coreia	NOUN	NOUN	_	69	appos	_	TokenRange=606:612
79	norte	norte	ADJ	ADJ	_	78	amod	_	TokenRange=613:618
80	memoria	memoria	NOUN	NOUN	_	78	appos	_	TokenRange=619:626
81	marighela	_	NOUN	NOUN	_	78	appos	_	TokenRange=627:636
82	lamarca	lamarca	NOUN	NOUN	_	81	flat	_	TokenRange=637:644
83	che	_	CCONJ	CONJ	_	87	mark	_	TokenRange=645:648
84	quanta	_	DET	DET	_	85	det	_	TokenRange=649:655
85	hipocrisia	hipocrisia	NOUN	NOUN	_	87	obj	_	TokenRange=656:666
86	ahhhh	_	VERB	VERB	_	87	ccomp	_	TokenRange=667:672
87	cuspir	cuspir	VERB	VERB	_	81	ccomp	_	TokenRange=673:679
88	cara	cara	VERB	VERB	_	87	obj	_	TokenRange=680:684
89	deputados	deputado	NOUN	NOUN	_	87	obj	_	TokenRange=685:694
90	pode	_	AUX	AUX	_	87	aux	_	SpaceAfter=No|TokenRange=695:699

