# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua sofre maior ataque desde 11 setembro massacre deixa 50 mortos 53 feridos florida policia orlando florida fbi confirmaram agora pouco 50 pessoas morreram 53 ficaram feridas ataque boate lgbt atirador abriu fogo dentro boate voltada publico lgbt autor morreu durante troca tiros policia prefeito cidade buddy dayer lamentou disse numero mortos dentro casa noturna pulse maior estimado anteriormente verificamos explosivos conseguimos entrar ver numero mortos maior pensavamos disse john mina chefe policia volta 3h brasilia troca tiros lado atirador voltou dentro fez refens algumas horas 5h manha policia decidiu resgatar refens dentro local policiais trocaram tiros suspeito suspeito morto disse chefe policia orlando john mina ficou claro vitimas dentro clube morreram antes durante tomada refens confronto atirador policia assassino portava rifle ar15 arma pequeno porte
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
65	numero	_	NOUN	NOUN	_	64	obj	_	TokenRange=447:453
66	mortos	morto	NOUN	NOUN	_	65	amod	_	TokenRange=454:460
67	maior	maior	ADJ	ADJ	_	65	amod	_	TokenRange=461:466
68	pensavamos	pensavar	VERB	VERB	_	69	ccomp	_	TokenRange=467:477
69	disse	dizer	VERB	VERB	_	49	parataxis	_	TokenRange=478:483
70	john	john	NOUN	NOUN	_	121	nsubj	_	TokenRange=484:488
71	mina	_	NOUN	NOUN	_	70	flat	_	TokenRange=489:493
72	chefe	chefe	NOUN	NOUN	_	70	appos	_	TokenRange=494:499
73	policia	policia	NOUN	NOUN	_	70	appos	_	TokenRange=500:507
74	volta	volta	NOUN	NOUN	_	70	appos	_	TokenRange=508:513
75	3h	_	NUM	NUM	NumType=Card	76	nummod	_	TokenRange=514:516
76	brasilia	brasilia	NOUN	NOUN	_	74	appos	_	TokenRange=517:525
77	troca	_	VERB	VERB	_	69	ccomp	_	TokenRange=526:531
78	tiros	tiro	NOUN	NOUN	_	77	obj	_	TokenRange=532:537
79	lado	lado	NOUN	NOUN	_	81	nsubj	_	TokenRange=538:542
80	atirador	atirador	NOUN	NOUN	_	81	nsubj	_	TokenRange=543:551
81	voltou	voltar	VERB	VERB	_	70	acl:relcl	_	TokenRange=552:558
82	dentro	dentro	ADV	ADV	_	81	advmod	_	TokenRange=559:565
83	fez	fazer	VERB	VERB	_	81	conj	_	TokenRange=566:569
84	refens	refem	NOUN	NOUN	_	83	obj	_	TokenRange=570:576
85	algumas	_	DET	DET	_	86	det	_	TokenRange=577:584
86	horas	hora	NOUN	NOUN	_	83	nmod	_	TokenRange=585:590
87	5h	_	NUM	NUM	NumType=Card	86	nmod	_	TokenRange=591:593
88	manha	manha	NOUN	NOUN	_	90	nsubj	_	TokenRange=594:599
89	policia	policia	NOUN	NOUN	_	90	nsubj	_	TokenRange=600:607
90	decidiu	decidir	VERB	VERB	_	32	conj	_	TokenRange=608:615
91	resgatar	resgatar	VERB	VERB	_	90	xcomp	_	TokenRange=616:624
92	refens	refem	NOUN	NOUN	_	91	obj	_	TokenRange=625:631
93	dentro	dentro	ADV	ADV	_	96	advmod	_	TokenRange=632:638
94	local	local	ADJ	ADJ	_	99	amod	_	TokenRange=639:644
95	policiais	policial	NOUN	NOUN	_	92	amod	_	TokenRange=645:654
96	trocaram	trocar	VERB	VERB	_	92	acl:relcl	_	TokenRange=655:663
97	tiros	tiro	NOUN	NOUN	_	96	obj	_	TokenRange=664:669
98	suspeito	suspeito	ADJ	ADJ	_	99	amod	_	TokenRange=670:678
99	suspeito	suspeito	NOUN	NOUN	_	96	nsubj	_	TokenRange=679:687
100	morto	morto	ADJ	ADJ	_	99	amod	_	TokenRange=688:693
101	disse	dizer	VERB	VERB	_	102	acl:relcl	_	TokenRange=694:699
102	chefe	chefe	NOUN	NOUN	_	96	nsubj	_	TokenRange=700:705
103	policia	policia	NOUN	NOUN	_	102	appos	_	TokenRange=706:713
104	orlando	_	NOUN	NOUN	_	102	appos	_	TokenRange=714:721
105	john	john	NOUN	NOUN	_	104	appos	_	TokenRange=722:726
106	mina	_	NOUN	NOUN	_	105	flat	_	TokenRange=727:731
107	ficou	ficar	VERB	VERB	_	102	acl:relcl	_	TokenRange=732:737
108	claro	claro	ADJ	ADJ	_	107	xcomp	_	TokenRange=738:743
109	vitimas	vitima	NOUN	NOUN	_	107	nsubj	_	TokenRange=744:751
110	dentro	dentro	ADV	ADV	_	112	advmod	_	TokenRange=752:758
111	clube	clube	NOUN	NOUN	_	109	appos	_	TokenRange=759:764
112	morreram	morrer	VERB	VERB	_	102	acl:relcl	_	TokenRange=765:773
113	antes	antes	ADV	ADV	_	115	advmod	_	TokenRange=774:779
114	durante	_	ADP	ADP	_	115	case	_	TokenRange=780:787
115	tomada	_	NOUN	NOUN	_	112	nmod	_	TokenRange=788:794
116	refens	refem	NOUN	NOUN	_	115	appos	_	TokenRange=795:801
117	confronto	confronto	NOUN	NOUN	_	112	nsubj	_	TokenRange=802:811
118	atirador	atirador	ADJ	ADJ	_	119	amod	_	TokenRange=812:820
119	policia	policia	NOUN	NOUN	_	121	nsubj	_	TokenRange=821:828
120	assassino	assassino	ADJ	ADJ	_	119	amod	_	TokenRange=829:838
121	portava	portar	VERB	VERB	_	112	conj	_	TokenRange=839:846
122	rifle	rifle	NOUN	NOUN	_	121	obj	_	TokenRange=847:852
123	ar15	_	NUM	NUM	_	124	amod	_	TokenRange=853:857
124	arma	arma	NOUN	NOUN	_	122	appos	_	TokenRange=858:862
125	pequeno	pequeno	ADJ	ADJ	_	126	amod	_	TokenRange=863:870
126	porte	porte	NOUN	NOUN	_	124	appos	_	SpaceAfter=No|TokenRange=871:876

