# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos denunciado melhor amigo temer comeca esquecer coisas al vamos ajudar presidente lembrar ocorrido presidente michel temer admitiu pessoas proximas sabia visita doleiro lucio funaro doleiro eduardo cunha escritorio jose yunes amigo fe irmao camarada temer presidente acabou homologar revelacoes yunes confirmou treta peemedebista inclui ministro padilha detalhe incomoda interlocutores presidente questionado sobre datas valores apresenta sintomas alzheimer diz lembra onde motivo encontro outros assuntos economia sintomas alzheimer desaparecem milagre divino informacoes gabriel mascarenhas veja jose yunes amigo peito michel temer exassessor presidencia delatou ministro colocou temer sinuca bico acordo materia folha/sp ontem 23 yunes afirmou eliseu padilha usou mula pediu recebesse pacote escritorio 2014 amigao temer ainda disse remetente tal pacote doleiro lucio funaro operador eduardo cunha ainda acordo folha pacote continha dinheiro vivo odebrecht destinado pmdb yunes contou bolada acertada durante jantar proprio temer
1	apos	_	CCONJ	CONJ	_	2	mark	_	TokenRange=0:4
19	pessoas	pessoa	NOUN	NOUN	_	18	obj	_	TokenRange=134:141
20	proximas	proximo	ADJ	ADJ	_	19	amod	_	TokenRange=142:150
21	sabia	saber	VERB	VERB	_	18	parataxis	_	TokenRange=151:156
22	visita	visita	NOUN	NOUN	_	18	obj	_	TokenRange=157:163
23	doleiro	doleiro	NOUN	NOUN	_	22	appos	_	TokenRange=164:171
24	lucio	lucio	NOUN	NOUN	_	22	appos	_	TokenRange=172:177
25	funaro	funaro	NOUN	NOUN	_	23	flat	_	TokenRange=178:184
26	doleiro	doleiro	NOUN	NOUN	_	22	appos	_	TokenRange=185:192
27	eduardo	eduardo	NOUN	NOUN	_	22	appos	_	TokenRange=193:200
28	cunha	cunha	NOUN	NOUN	_	27	flat	_	TokenRange=201:206
29	escritorio	escritorio	NOUN	NOUN	_	22	appos	_	TokenRange=207:217
30	jose	jose	NOUN	NOUN	_	22	appos	_	TokenRange=218:222
31	yunes	_	NOUN	NOUN	_	30	flat	_	TokenRange=223:228
32	amigo	amigo	NOUN	NOUN	_	22	appos	_	TokenRange=229:234
33	fe	_	NOUN	NOUN	_	32	appos	_	TokenRange=235:237
34	irmao	irmao	NOUN	NOUN	_	32	appos	_	TokenRange=238:243
35	camarada	camarada	NOUN	NOUN	_	34	amod	_	TokenRange=244:252
36	temer	temer	NOUN	NOUN	_	34	amod	_	TokenRange=253:258
37	presidente	presidente	NOUN	NOUN	_	39	nsubj	_	TokenRange=259:269
38	acabou	acabar	AUX	AUX	_	39	aux	_	TokenRange=270:276
39	homologar	homologar	VERB	VERB	_	18	ccomp	_	TokenRange=277:286
40	revelacoes	revelacoe	NOUN	NOUN	_	39	obj	_	TokenRange=287:297
41	yunes	_	ADJ	ADJ	_	40	amod	_	TokenRange=298:303
42	confirmou	confirmar	VERB	VERB	_	40	acl:relcl	_	TokenRange=304:313
43	treta	treta	NOUN	NOUN	_	42	obj	_	TokenRange=314:319
44	peemedebista	_	NOUN	NOUN	_	43	flat	_	TokenRange=320:332
45	inclui	incluir	VERB	VERB	_	22	acl:relcl	_	TokenRange=333:339
46	ministro	ministro	NOUN	NOUN	_	45	obj	_	TokenRange=340:348
47	padilha	padilha	NOUN	NOUN	_	46	flat	_	TokenRange=349:356
48	detalhe	detalhe	NOUN	NOUN	_	46	appos	_	TokenRange=357:364
49	incomoda	incomodo	ADJ	ADJ	_	48	amod	_	TokenRange=365:373
50	interlocutores	interlocutor	NOUN	NOUN	_	103	appos	_	TokenRange=374:388
51	presidente	presidente	NOUN	NOUN	_	103	appos	_	TokenRange=389:399
52	questionado	questionar	VERB	VERB	_	51	acl	_	TokenRange=400:411
53	sobre	_	ADP	ADP	_	54	case	_	TokenRange=412:417
54	datas	data	NOUN	NOUN	_	52	nmod	_	TokenRange=418:423
55	valores	_	ADJ	NOUN	_	54	amod	_	TokenRange=424:431
56	apresenta	apresentar	VERB	VERB	_	6	parataxis	_	TokenRange=432:441
57	sintomas	sintoma	NOUN	NOUN	_	56	obj	_	TokenRange=442:450
58	alzheimer	alzheimer	NOUN	NOUN	_	57	amod	_	TokenRange=451:460
59	diz	dizer	VERB	VERB	_	57	acl:relcl	_	TokenRange=461:464
60	lembra	lembrar	VERB	VERB	_	123	ccomp	_	TokenRange=465:471
61	onde	onde	ADV	ADV	_	123	advmod	_	TokenRange=472:476
62	motivo	motivo	NOUN	NOUN	_	63	nsubj	_	TokenRange=477:483
63	encontro	encontrar	VERB	VERB	_	60	ccomp	_	TokenRange=484:492
64	outros	_	DET	DET	_	65	det	_	TokenRange=493:499
65	assuntos	assunto	NOUN	NOUN	_	63	obj	_	TokenRange=500:508
66	economia	economia	NOUN	NOUN	_	65	appos	_	TokenRange=509:517
67	sintomas	sintoma	NOUN	NOUN	_	69	nsubj	_	TokenRange=518:526
68	alzheimer	alzheimer	NOUN	NOUN	_	67	appos	_	TokenRange=527:536
69	desaparecem	desaparecer	VERB	VERB	_	60	ccomp	_	TokenRange=537:548
70	milagre	milagre	NOUN	NOUN	_	69	obj	_	TokenRange=549:556
71	divino	divino	ADJ	ADJ	_	70	amod	_	TokenRange=557:563
72	informacoes	_	NOUN	NOUN	_	70	appos	_	TokenRange=564:575
73	gabriel	gabriel	NOUN	NOUN	_	72	appos	_	TokenRange=576:583
74	mascarenhas	mascarenha	NOUN	NOUN	_	73	flat	_	TokenRange=584:595
75	veja	ver	VERB	NOUN	_	60	parataxis	_	TokenRange=596:600
76	jose	jose	NOUN	NOUN	_	75	nmod	_	TokenRange=601:605
77	yunes	_	NOUN	NOUN	_	76	flat	_	TokenRange=606:611
78	amigo	amigo	NOUN	NOUN	_	76	flat	_	TokenRange=612:617
79	peito	_	NOUN	NOUN	_	76	flat	_	TokenRange=618:623
80	michel	michel	ADJ	ADJ	_	81	amod	_	TokenRange=624:630
81	temer	temer	NOUN	NOUN	_	76	appos	_	TokenRange=631:636
82	exassessor	exassessor	NOUN	NOUN	_	81	amod	_	TokenRange=637:647
83	presidencia	presidencia	NOUN	NOUN	_	84	nsubj	_	TokenRange=648:659
84	delatou	delatar	VERB	VERB	_	69	parataxis	_	TokenRange=660:667
85	ministro	ministro	NOUN	NOUN	_	69	nsubj	_	TokenRange=668:676
86	colocou	colocar	VERB	VERB	_	22	acl:relcl	_	TokenRange=677:684
87	temer	temer	NOUN	NOUN	_	86	obj	_	TokenRange=685:690
88	sinuca	_	VERB	VERB	_	70	conj	_	TokenRange=691:697
89	bico	bico	ADJ	ADJ	_	46	amod	_	TokenRange=698:702
90	acordo	acordo	NOUN	NOUN	_	86	obj	_	TokenRange=703:709
91	materia	materia	NOUN	NOUN	_	46	appos	_	TokenRange=710:717
92	folha/sp	_	NOUN	NOUN	_	91	appos	_	TokenRange=718:726
93	ontem	ontem	ADV	ADV	_	94	advmod	_	TokenRange=727:732
94	23	_	NUM	NUM	NumType=Card	95	nummod	_	TokenRange=733:735
95	yunes	_	NOUN	NOUN	_	96	nsubj	_	TokenRange=736:741
96	afirmou	afirmar	VERB	VERB	_	6	parataxis	_	TokenRange=742:749
97	eliseu	eliseu	NOUN	NOUN	_	96	obj	_	TokenRange=750:756
98	padilha	padilha	NOUN	NOUN	_	97	flat	_	TokenRange=757:764
99	usou	usar	VERB	VERB	_	46	acl:relcl	_	TokenRange=765:769
100	mula	mula	NOUN	NOUN	_	99	obj	_	TokenRange=770:774
101	pediu	pedir	VERB	VERB	_	46	acl:relcl	_	TokenRange=775:780
102	recebesse	receber	VERB	VERB	_	99	xcomp	_	TokenRange=781:790
103	pacote	pacote	NOUN	NOUN	_	102	obj	_	TokenRange=791:797
104	escritorio	escritorio	NOUN	NOUN	_	103	appos	_	TokenRange=798:808
105	2014	_	NUM	NUM	NumType=Card	104	appos	_	TokenRange=809:813
106	amigao	amigao	NOUN	NOUN	_	104	appos	_	TokenRange=814:820
107	temer	temer	NOUN	NOUN	_	106	appos	_	TokenRange=821:826
108	ainda	ainda	ADV	ADV	_	109	advmod	_	TokenRange=827:832
109	disse	dizer	VERB	VERB	_	42	parataxis	_	TokenRange=833:838
110	remetente	remetente	ADV	ADV	_	109	advmod	_	TokenRange=839:848
111	tal	_	DET	DET	_	112	det	_	TokenRange=849:852
112	pacote	pacote	NOUN	NOUN	_	109	nsubj	_	TokenRange=853:859
113	doleiro	doleiro	NOUN	NOUN	_	112	appos	_	TokenRange=860:867
114	lucio	lucio	NOUN	NOUN	_	112	appos	_	TokenRange=868:873
115	funaro	funaro	ADJ	ADJ	_	114	amod	_	TokenRange=874:880
116	operador	operador	NOUN	NOUN	_	112	appos	_	TokenRange=881:889
117	eduardo	_	NOUN	NOUN	_	116	appos	_	TokenRange=890:897
118	cunha	cunha	PROPN	PNOUN	_	117	flat	_	TokenRange=898:903
119	ainda	ainda	ADV	ADV	_	120	advmod	_	TokenRange=904:909
120	acordo	acordo	NOUN	NOUN	_	56	obj	_	TokenRange=910:916
121	folha	folha	ADJ	ADJ	_	122	amod	_	TokenRange=917:922
122	pacote	pacote	NOUN	NOUN	_	120	appos	_	TokenRange=923:929
123	continha	conter	VERB	VERB	_	120	acl:relcl	_	TokenRange=930:938
124	dinheiro	dinheiro	NOUN	NOUN	_	123	obj	_	TokenRange=939:947
125	vivo	vivo	ADJ	ADJ	_	124	amod	_	TokenRange=948:952
126	odebrecht	odebrecht	NOUN	NOUN	_	130	nsubj	_	TokenRange=953:962
127	destinado	destinar	VERB	VERB	_	126	acl	_	TokenRange=963:972
128	pmdb	_	NOUN	NOUN	_	127	nmod	_	TokenRange=973:977
129	yunes	_	PROPN	PNOUN	_	128	flat	_	TokenRange=978:983
130	contou	contar	VERB	VERB	_	109	parataxis	_	TokenRange=984:990
131	bolada	bolada	NOUN	NOUN	_	130	obj	_	TokenRange=991:997
132	acertada	acertado	ADJ	ADJ	_	131	amod	_	TokenRange=998:1006
133	durante	_	ADP	ADP	_	134	case	_	TokenRange=1007:1014
134	jantar	jantar	NOUN	NOUN	_	130	nmod	_	TokenRange=1015:1021
135	proprio	proprio	ADJ	ADJ	_	136	amod	_	TokenRange=1022:1029
136	temer	temer	PROPN	PNOUN	_	134	appos	_	SpaceAfter=No|TokenRange=1030:1035

