# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = apos receber pedido prisao lula sergio moro manda desocupar celas curitiba gatunos cada vez arrepiados logo logo petralhada estara toda reunida instalacoes pf curitiba 4 vara criminal paulo enviou ontem 2 juiz sergio moro 13 vara federal curitiba pedido prisao preventiva lula leia aqui ontem juiz sergio moro autorizou transferencia quatro presos lava jato carceragem pf encarcerados transferidos capital curitiba presidio pinhais parana joao santana esposa monica moura exsenador gim argello empresario ronan maria pinto liberaram novas vagas preenchidas cupula pt coisa costume curitiba sergio moro esvazia cadeia pf porque novos hospedes poderao chegar qualquer momento breve hotel petista estara lotado novamente
1	apos	_	ADP	ADP	_	2	mark	_	TokenRange=0:4
38	curitiba	curitiba	NOUN	NOUN	_	36	appos	_	TokenRange=238:246
39	pedido	pedido	NOUN	NOUN	_	36	appos	_	TokenRange=247:253
40	prisao	prisao	NOUN	NOUN	_	39	appos	_	TokenRange=254:260
41	preventiva	preventivo	ADJ	ADJ	_	40	amod	_	TokenRange=261:271
42	lula	_	NOUN	NOUN	_	43	nsubj	_	TokenRange=272:276
43	leia	ler	VERB	VERB	_	39	acl:relcl	_	TokenRange=277:281
44	aqui	aqui	ADV	ADV	_	49	advmod	_	TokenRange=282:286
45	ontem	ontem	ADV	ADV	_	43	advmod	_	TokenRange=287:292
46	juiz	juiz	NOUN	NOUN	_	49	obj	_	TokenRange=293:297
47	sergio	_	ADJ	ADJ	_	46	amod	_	TokenRange=298:304
48	moro	moro	NOUN	NOUN	_	46	flat	_	TokenRange=305:309
49	autorizou	autorizar	VERB	VERB	_	43	parataxis	_	TokenRange=310:319
50	transferencia	transferencia	NOUN	NOUN	_	49	obj	_	TokenRange=320:333
51	quatro	_	NUM	NUM	NumType=Card	52	nummod	_	TokenRange=334:340
52	presos	preso	NOUN	NOUN	_	49	obj	_	TokenRange=341:347
53	lava	lavar	VERB	VERB	_	49	parataxis	_	TokenRange=348:352
54	jato	jato	NOUN	NOUN	_	53	obj	_	TokenRange=353:357
55	carceragem	carceragem	NOUN	NOUN	_	53	obj	_	TokenRange=358:368
56	pf	_	NOUN	NOUN	_	55	appos	_	TokenRange=369:371
57	encarcerados	encarcerado	NOUN	NOUN	_	53	appos	_	TokenRange=372:384
58	transferidos	transferido	ADJ	ADJ	_	57	amod	_	TokenRange=385:397
59	capital	capital	ADJ	ADJ	_	57	amod	_	TokenRange=398:405
60	curitiba	curitiba	ADJ	ADJ	_	61	amod	_	TokenRange=406:414
61	presidio	presidio	NOUN	NOUN	_	76	nsubj	_	TokenRange=415:423
62	pinhais	pinhal	ADJ	ADJ	_	61	amod	_	TokenRange=424:431
63	parana	parana	ADJ	ADJ	_	61	amod	_	TokenRange=432:438
64	joao	joao	NOUN	NOUN	_	61	appos	_	TokenRange=439:443
65	santana	santano	ADJ	ADJ	_	61	amod	_	TokenRange=444:451
66	esposa	esposo	NOUN	NOUN	_	61	appos	_	TokenRange=452:458
67	monica	_	NOUN	NOUN	_	66	appos	_	TokenRange=459:465
68	moura	mouro	ADJ	ADJ	_	67	amod	_	TokenRange=466:471
69	exsenador	exsenador	NOUN	NOUN	_	76	nsubj	_	TokenRange=472:481
70	gim	gim	NOUN	NOUN	_	69	appos	_	TokenRange=482:485
71	argello	_	NOUN	NOUN	_	70	flat	_	TokenRange=486:493
72	empresario	empresario	NOUN	NOUN	_	70	flat	_	TokenRange=494:504
73	ronan	ronan	NOUN	NOUN	_	70	appos	_	TokenRange=505:510
74	maria	maria	NOUN	NOUN	_	73	flat	_	TokenRange=511:516
75	pinto	pinto	ADJ	ADJ	_	73	flat	_	TokenRange=517:522
76	liberaram	liberar	VERB	VERB	_	8	parataxis	_	TokenRange=523:532
77	novas	novo	ADJ	ADJ	_	78	amod	_	TokenRange=533:538
78	vagas	vaga	NOUN	NOUN	_	76	obj	_	TokenRange=539:544
79	preenchidas	preenchido	ADJ	ADJ	_	78	amod	_	TokenRange=545:556
80	cupula	cupula	NOUN	NOUN	_	87	nsubj	_	TokenRange=557:563
81	pt	_	ADJ	NOUN	_	82	amod	_	TokenRange=564:566
82	coisa	coisa	NOUN	NOUN	_	80	appos	_	TokenRange=567:572
83	costume	costume	ADJ	ADJ	_	82	amod	_	TokenRange=573:580
84	curitiba	curitiba	NOUN	NOUN	_	87	nsubj	_	TokenRange=581:589
85	sergio	sergio	NOUN	NOUN	_	84	appos	_	TokenRange=590:596
86	moro	moro	NOUN	NOUN	_	85	flat	_	TokenRange=597:601
87	esvazia	esvazer	VERB	VERB	_	76	parataxis	_	TokenRange=602:609
88	cadeia	cadeia	NOUN	NOUN	_	87	obj	_	TokenRange=610:616
89	pf	_	NOUN	NOUN	_	88	flat	_	TokenRange=617:619
90	porque	_	CCONJ	CONJ	_	94	mark	_	TokenRange=620:626
91	novos	novo	ADJ	ADJ	_	92	amod	_	TokenRange=627:632
92	hospedes	hospede	NOUN	NOUN	_	94	nsubj	_	TokenRange=633:641
93	poderao	poder	AUX	AUX	_	94	aux	_	TokenRange=642:649
94	chegar	chegar	VERB	VERB	_	87	advcl	_	TokenRange=650:656
95	qualquer	_	DET	DET	_	96	det	_	TokenRange=657:665
96	momento	momento	NOUN	NOUN	_	94	nmod	_	TokenRange=666:673
97	breve	breve	ADJ	ADJ	_	96	amod	_	TokenRange=674:679
98	hotel	hotel	NOUN	NOUN	_	94	obj	_	TokenRange=680:685
99	petista	petista	NOUN	NOUN	_	98	amod	_	TokenRange=686:693
100	estara	estar	VERB	VERB	_	87	parataxis	_	TokenRange=694:700
101	lotado	lotado	ADJ	ADJ	_	100	xcomp	_	TokenRange=701:707
102	novamente	novamente	ADV	ADV	_	100	advmod	_	SpaceAfter=No|TokenRange=708:717

