# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ninguem quer assumir secretaria cultura bruna lombardi quarta mulher recusar convite atriz bruna lombardi divulgou nota hoje 17 meio assessoria imprensa afirmando negou convite oficial assumir secretaria nacional cultura fiquei agradecida convite pretensoes politicas totalmente envolvida projetos profissionais disse bruna residencia los angeles eua antropologa claudia leitao publicou mensagem dizendo respondeu contatos governo comandar secretaria coordenadora curso posgraduacao fgv fundacao getulio vargas eliane costa relatou sondada porem respondeu trabalha governo golpista coveira minc outro nome sondado apresentadora marilia gabriela disse convite temer
1	ninguem	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:7
21	imprensa	imprensa	NOUN	NOUN	_	20	amod	_	TokenRange=144:152
22	afirmando	afirmar	VERB	VERB	_	20	acl	_	TokenRange=153:162
23	negou	negar	VERB	VERB	_	22	xcomp	_	TokenRange=163:168
24	convite	convite	NOUN	NOUN	_	23	obj	_	TokenRange=169:176
25	oficial	oficial	ADJ	ADJ	_	24	amod	_	TokenRange=177:184
26	assumir	assumir	VERB	VERB	_	24	acl:inf	_	TokenRange=185:192
27	secretaria	secretaria	NOUN	NOUN	_	26	obj	_	TokenRange=193:203
28	nacional	nacional	ADJ	ADJ	_	27	amod	_	TokenRange=204:212
29	cultura	cultura	NOUN	NOUN	_	27	appos	_	TokenRange=213:220
30	fiquei	ficar	VERB	VERB	_	23	parataxis	_	TokenRange=221:227
31	agradecida	agradecido	ADJ	ADJ	_	33	amod	_	TokenRange=228:238
32	convite	convite	NOUN	NOUN	_	30	obj	_	TokenRange=239:246
33	pretensoes	pretensoe	NOUN	NOUN	_	30	nsubj	_	TokenRange=247:257
34	politicas	politico	ADJ	ADJ	_	33	amod	_	TokenRange=258:267
35	totalmente	totalmente	ADV	ADV	_	36	advmod	_	TokenRange=268:278
36	envolvida	envolvido	ADJ	ADJ	_	33	amod	_	TokenRange=279:288
37	projetos	projeto	NOUN	NOUN	_	33	appos	_	TokenRange=289:297
38	profissionais	profissional	ADJ	ADJ	_	37	amod	_	TokenRange=298:311
39	disse	dizer	VERB	VERB	_	0	root	_	TokenRange=312:317
40	bruna	bruna	NOUN	NOUN	_	39	obj	_	TokenRange=318:323
41	residencia	residencia	NOUN	NOUN	_	40	flat	_	TokenRange=324:334
42	los	_	DET	DET	_	43	det	_	TokenRange=335:338
43	angeles	_	NOUN	NOUN	_	40	appos	_	TokenRange=339:346
44	eua	_	DET	DET	_	45	det	_	TokenRange=347:350
45	antropologa	_	NOUN	NOUN	_	48	nsubj	_	TokenRange=351:362
46	claudia	claudia	NOUN	NOUN	_	45	appos	_	TokenRange=363:370
47	leitao	_	NOUN	NOUN	_	46	flat	_	TokenRange=371:377
48	publicou	publicar	VERB	VERB	_	39	parataxis	_	TokenRange=378:386
49	mensagem	mensagem	NOUN	NOUN	_	48	obj	_	TokenRange=387:395
50	dizendo	dizer	VERB	VERB	_	49	acl	_	TokenRange=396:403
51	respondeu	responder	VERB	VERB	_	50	ccomp	_	TokenRange=404:413
52	contatos	contato	NOUN	NOUN	_	51	obj	_	TokenRange=414:422
53	governo	governo	NOUN	NOUN	_	52	amod	_	TokenRange=423:430
54	comandar	comandar	VERB	VERB	_	52	acl:inf	_	TokenRange=431:439
55	secretaria	secretaria	NOUN	NOUN	_	54	obj	_	TokenRange=440:450
56	coordenadora	coordenador	NOUN	NOUN	_	55	amod	_	TokenRange=451:463
57	curso	curso	NOUN	NOUN	_	54	obj	_	TokenRange=464:469
58	posgraduacao	posgraduacao	ADJ	ADJ	_	57	amod	_	TokenRange=470:482
59	fgv	_	NOUN	NOUN	_	57	appos	_	TokenRange=483:486
60	fundacao	fundacao	NOUN	NOUN	_	57	appos	_	TokenRange=487:495
61	getulio	getulio	NOUN	NOUN	_	59	appos	_	TokenRange=496:503
62	vargas	vargo	ADJ	ADJ	_	61	amod	_	TokenRange=504:510
63	eliane	eliane	NOUN	NOUN	_	65	nsubj	_	TokenRange=511:517
64	costa	costa	NOUN	NOUN	_	63	flat	_	TokenRange=518:523
65	relatou	relatar	VERB	VERB	_	51	conj	_	TokenRange=524:531
66	sondada	_	NOUN	NOUN	_	65	obj	_	TokenRange=532:539
67	porem	_	ADV	ADV	_	68	mark	_	TokenRange=540:545
68	respondeu	responder	VERB	VERB	_	65	advcl	_	TokenRange=546:555
69	trabalha	trabalha	NOUN	NOUN	_	68	obj	_	TokenRange=556:564
70	governo	governo	NOUN	NOUN	_	69	flat	_	TokenRange=565:572
71	golpista	golpista	ADJ	ADJ	_	70	amod	_	TokenRange=573:581
72	coveira	_	NOUN	NOUN	_	68	parataxis	_	TokenRange=582:589
73	minc	_	NOUN	NOUN	_	72	flat	_	TokenRange=590:594
74	outro	_	DET	DET	_	75	det	_	TokenRange=595:600
75	nome	nome	NOUN	NOUN	_	72	conj	_	TokenRange=601:605
76	sondado	sondar	VERB	VERB	_	75	acl	_	TokenRange=606:613
77	apresentadora	apresentador	NOUN	NOUN	_	80	nsubj	_	TokenRange=614:627
78	marilia	marilia	NOUN	NOUN	_	77	appos	_	TokenRange=628:635
79	gabriela	gabriela	ADJ	ADJ	_	78	flat	_	TokenRange=636:644
80	disse	dizer	VERB	VERB	_	65	parataxis	_	TokenRange=645:650
81	convite	convite	NOUN	NOUN	_	80	obj	_	TokenRange=651:658
82	temer	temer	NOUN	NOUN	_	81	flat	_	SpaceAfter=No|TokenRange=659:664

