# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua lancam maior bomba nuclear mundo reduto estado islamico estados unidos lancaram bomba nuclear considerada maior mundo reduto isis afeganistao bomba duas vezes maior bomba nuclear lancada hiroshima caiu provincia afega nangarhar confirmou pentagono acreditase raio explosao acima 300 metros arma descrita mae todas bombas primeira vez tipo artefato usado combate peso bomba gbu43b massive ordnance air blast bomb moab pode chegar 10 toneladas poder destrutivo equivalente 20 misseis tomahawk trump declarou vai cumprir promessa limparo estado islamico face terra vamos prosseguir operacoes agressivas conjuntas esmagar destruir isis declarou presidente norteamericano
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
75	promessa	promessa	NOUN	NOUN	_	74	obj	_	TokenRange=522:530
76	limparo	limparo	ADJ	ADJ	_	75	amod	_	TokenRange=531:538
77	estado	estado	NOUN	NOUN	_	74	nsubj	_	TokenRange=539:545
78	islamico	islamico	ADJ	ADJ	_	77	amod	_	TokenRange=546:554
79	face	_	ADP	ADP	_	80	case	_	TokenRange=555:559
80	terra	terra	NOUN	NOUN	_	77	nmod	_	TokenRange=560:565
81	vamos	ir	AUX	AUX	_	82	aux	_	TokenRange=566:571
82	prosseguir	prosseguir	VERB	VERB	_	74	ccomp	_	TokenRange=572:582
83	operacoes	operacoe	NOUN	NOUN	_	82	obj	_	TokenRange=583:592
84	agressivas	agressivo	ADJ	ADJ	_	83	amod	_	TokenRange=593:603
85	conjuntas	conjunto	ADJ	ADJ	_	83	amod	_	TokenRange=604:613
86	esmagar	esmagar	VERB	VERB	_	82	ccomp	_	TokenRange=614:621
87	destruir	destruir	VERB	VERB	_	86	xcomp	_	TokenRange=622:630
88	isis	_	PROPN	PNOUN	_	87	obj	_	TokenRange=631:635
89	declarou	declarar	VERB	VERB	_	0	root	_	TokenRange=636:644
90	presidente	presidente	NOUN	NOUN	_	89	nsubj	_	TokenRange=645:655
91	norteamericano	norteamericano	ADJ	ADJ	_	90	amod	_	SpaceAfter=No|TokenRange=656:670

