# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = putin envia submarinos nucleares mar negro ameaca aqui nunca territorio otan presidente russo acredita submarinos fortemente armados ajudarao manter dominio estrategico maritimo almirante alexander buzakov disse testes quinto submarino chamado veliky novgorod concluidos sucesso entregue frota mar negro ultimo dia 25 outubro sexto submarino kolpino previsto juntar frota dia 25 novembro relatou submarinos russos projetados aco macico ultima geracao podem transportar tripulacao 52 pessoas 45 dias cada embarcacao pesa 4 mil toneladas atinge velocidade maxima 20 cerca 37 km/h equipados atacar debaixo dagua solo alvos aereos recep tayyip erdogan presidente turco disse recentemente mar negro transformou lago russo devido ausencia otan local
1	putin	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:5
50	25	_	NUM	NUM	NumType=Card	51	nummod	_	TokenRange=376:378
51	novembro	_	PROPN	PNOUN	_	49	nmod	_	TokenRange=379:387
52	relatou	relatar	VERB	VERB	_	26	parataxis	_	TokenRange=388:395
53	submarinos	submarino	NOUN	NOUN	_	52	nsubj	_	TokenRange=396:406
54	russos	russo	ADJ	ADJ	_	53	amod	_	TokenRange=407:413
55	projetados	projetar	VERB	VERB	_	53	acl	_	TokenRange=414:424
56	aco	aco	NOUN	NOUN	_	55	nsubj	_	TokenRange=425:428
57	macico	macico	ADJ	ADJ	_	56	amod	_	TokenRange=429:435
58	ultima	_	ADJ	ADJ	_	59	amod	_	TokenRange=436:442
59	geracao	geracao	NOUN	NOUN	_	56	appos	_	TokenRange=443:450
60	podem	_	AUX	AUX	_	61	aux	_	TokenRange=451:456
61	transportar	transportar	VERB	VERB	_	53	acl:relcl	_	TokenRange=457:468
62	tripulacao	tripulacao	NOUN	NOUN	_	61	obj	_	TokenRange=469:479
63	52	_	NUM	NUM	NumType=Card	64	nummod	_	TokenRange=480:482
64	pessoas	pessoa	NOUN	NOUN	_	61	nsubj	_	TokenRange=483:490
65	45	_	NUM	NUM	NumType=Card	66	nummod	_	TokenRange=491:493
66	dias	dia	NOUN	NOUN	_	61	nmod	_	TokenRange=494:498
67	cada	_	DET	DET	_	68	det	_	TokenRange=499:503
68	embarcacao	embarcacao	NOUN	NOUN	_	69	nsubj	_	TokenRange=504:514
69	pesa	pesar	VERB	VERB	_	53	acl:relcl	_	TokenRange=515:519
70	4	_	NUM	NUM	NumType=Card	71	nummod	_	TokenRange=520:521
71	mil	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=522:525
72	toneladas	tonelada	NOUN	NOUN	_	69	obj	_	TokenRange=526:535
73	atinge	atingir	VERB	VERB	_	52	ccomp	_	TokenRange=536:542
74	velocidade	velocidade	NOUN	NOUN	_	73	obj	_	TokenRange=543:553
75	maxima	maxima	ADJ	ADJ	_	74	amod	_	TokenRange=554:560
76	20	_	NUM	NUM	NumType=Card	79	nummod	_	TokenRange=561:563
77	cerca	cerca	ADV	ADV	_	78	advmod	_	TokenRange=564:569
78	37	_	NUM	NUM	NumType=Card	79	nummod	_	TokenRange=570:572
79	km/h	km/h	NOUN	NOUN	_	74	appos	_	TokenRange=573:577
80	equipados	equipado	ADJ	ADJ	_	79	amod	_	TokenRange=578:587
81	atacar	atacar	VERB	VERB	_	74	acl	_	TokenRange=588:594
82	debaixo	debaixo	ADV	ADV	_	81	advmod	_	TokenRange=595:602
83	dagua	_	NOUN	NOUN	_	81	nmod	_	TokenRange=603:608
84	solo	solo	NOUN	NOUN	_	20	amod	_	TokenRange=609:613
85	alvos	alvo	NOUN	NOUN	_	83	appos	_	TokenRange=614:619
86	aereos	aereo	ADJ	ADJ	_	85	amod	_	TokenRange=620:626
87	recep	_	NOUN	NOUN	_	85	appos	_	TokenRange=627:632
88	tayyip	_	NOUN	NOUN	_	87	appos	_	TokenRange=633:639
89	erdogan	_	ADJ	ADJ	_	90	amod	_	TokenRange=640:647
90	presidente	presidente	NOUN	NOUN	_	87	appos	_	TokenRange=648:658
91	turco	turco	ADJ	ADJ	_	90	amod	_	TokenRange=659:664
92	disse	dizer	VERB	VERB	_	26	parataxis	_	TokenRange=665:670
93	recentemente	recentemente	ADV	ADV	_	92	advmod	_	TokenRange=671:683
94	mar	mar	NOUN	NOUN	_	96	nsubj	_	TokenRange=684:687
95	negro	negro	ADJ	ADJ	_	94	amod	_	TokenRange=688:693
96	transformou	transformar	VERB	VERB	_	92	ccomp	_	TokenRange=694:705
97	lago	lago	NOUN	NOUN	_	96	obj	_	TokenRange=706:710
98	russo	russo	ADJ	ADJ	_	97	amod	_	TokenRange=711:716
99	devido	dever	VERB	VERB	_	96	advcl	_	TokenRange=717:723
100	ausencia	ausencia	NOUN	NOUN	_	96	nmod	_	TokenRange=724:732
101	otan	otan	NOUN	NOUN	_	96	obj	_	TokenRange=733:737
102	local	local	ADJ	ADJ	_	101	amod	_	SpaceAfter=No|TokenRange=738:743

