# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quanto custa pedido impeachment autora parecer declara recebeu r 45 mil psdb parecia apenas especulacao midia agora confirmada autoras pedido impeachment tramita senado federal psdb construiu pedido impeachment oposicao governo temer afirma sim psdb contratou fez pedido ainda relatando processo golpe afirmou senadora vanessa grazziotin jurista janaina paschoal admitiu recebido r 45 mil partido tucano elaborar junto miguel reale junior parecer sobre afastamento presidenta contratada psdb maio propusemos processo setembro recebi r 45 mil fazer parecer disse advogada apos confrontada senadora vanessa grazziotin anteriormente janaina afirmava pedido sido feito base reivindicacoes cidadaos indignados
1	quanto	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:6
68	propusemos	propuser	VERB	VERB	_	63	acl:relcl	_	TokenRange=497:507
69	processo	processo	NOUN	NOUN	_	68	obj	_	TokenRange=508:516
70	setembro	_	PROPN	PNOUN	_	69	appos	_	TokenRange=517:525
71	recebi	receber	VERB	VERB	_	68	parataxis	_	TokenRange=526:532
72	r	r	NOUN	NOUN	_	71	obj	_	TokenRange=533:534
73	45	_	NUM	NUM	NumType=Card	74	nummod	_	TokenRange=535:537
74	mil	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=538:541
75	fazer	fazer	VERB	VERB	_	71	ccomp	_	TokenRange=542:547
76	parecer	parecer	NOUN	NOUN	_	75	obj	_	TokenRange=548:555
77	disse	dizer	VERB	VERB	_	71	parataxis	_	TokenRange=556:561
78	advogada	advogado	NOUN	NOUN	_	77	nsubj	_	TokenRange=562:570
79	apos	_	CCONJ	CONJ	_	80	mark	_	TokenRange=571:575
80	confrontada	confrontar	VERB	VERB	_	78	acl	_	TokenRange=576:587
81	senadora	senador	NOUN	NOUN	_	80	nsubj	_	TokenRange=588:596
82	vanessa	_	NOUN	NOUN	_	81	appos	_	TokenRange=597:604
83	grazziotin	_	ADJ	ADJ	_	82	flat	_	TokenRange=605:615
84	anteriormente	anteriormente	ADV	ADV	_	86	advmod	_	TokenRange=616:629
85	janaina	janaino	NOUN	NOUN	_	82	amod	_	TokenRange=630:637
86	afirmava	afirmar	VERB	VERB	_	77	parataxis	_	TokenRange=638:646
87	pedido	pedido	NOUN	NOUN	_	86	obj	_	TokenRange=647:653
88	sido	ser	AUX	AUX	_	89	aux:pass	_	TokenRange=654:658
89	feito	_	VERB	VERB	_	86	acl	_	TokenRange=659:664
90	base	base	NOUN	NOUN	_	89	nsubj:pass	_	TokenRange=665:669
91	reivindicacoes	_	ADJ	NOUN	_	92	amod	_	TokenRange=670:684
92	cidadaos	cidadao	NOUN	NOUN	_	89	nsubj:pass	_	TokenRange=685:693
93	indignados	indignado	ADJ	ADJ	_	92	amod	_	SpaceAfter=No|TokenRange=694:704

