# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = oito oportunidades empreender segmento eficiencia energetica identificadas estudo feito conjunto aes tiete eletropaulo aceleradora negocios impacto social artemisia acesso energia geracao distribuicao descentralizada energia inteligencia dados eficiencia energetica eficiencia energetica meio adequacao imoveis equipamentos eficiencia energetica gestao equipamentos publicos energia producao campo meios financiamento acesso servicos energia convencional capacitacao oportunidades profissionais oportunidades detectadas gerente projetos artemisia paula sato afirma parceiros estudo esperam resultado obtido sirva base quer investir segmento faca
1	oito	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
27	eficiencia	_	NOUN	NOUN	_	24	appos	_	TokenRange=244:254
28	energetica	energetico	ADJ	ADJ	_	27	amod	_	TokenRange=255:265
29	eficiencia	_	NOUN	NOUN	_	24	appos	_	TokenRange=266:276
30	energetica	energetico	ADJ	ADJ	_	29	amod	_	TokenRange=277:287
31	meio	meio	NOUN	NOUN	_	24	appos	_	TokenRange=288:292
32	adequacao	adequacao	ADJ	ADJ	_	27	amod	_	TokenRange=293:302
33	imoveis	imovel	ADJ	ADJ	_	34	amod	_	TokenRange=303:310
34	equipamentos	equipamento	NOUN	NOUN	_	31	appos	_	TokenRange=311:323
35	eficiencia	_	NOUN	NOUN	_	34	appos	_	TokenRange=324:334
36	energetica	energetico	ADJ	ADJ	_	34	amod	_	TokenRange=335:345
37	gestao	gestao	NOUN	NOUN	_	38	appos	_	TokenRange=346:352
38	equipamentos	equipamento	NOUN	NOUN	_	31	appos	_	TokenRange=353:365
39	publicos	publico	ADJ	ADJ	_	38	amod	_	TokenRange=366:374
40	energia	energia	NOUN	NOUN	_	38	appos	_	TokenRange=375:382
41	producao	producao	ADJ	ADJ	_	38	amod	_	TokenRange=383:391
42	campo	campo	NOUN	NOUN	_	40	appos	_	TokenRange=392:397
43	meios	_	ADJ	ADJ	_	42	amod	_	TokenRange=398:403
44	financiamento	financiamento	NOUN	NOUN	_	40	appos	_	TokenRange=404:417
45	acesso	acesso	NOUN	NOUN	_	40	appos	_	TokenRange=418:424
46	servicos	servico	ADJ	ADJ	_	47	amod	_	TokenRange=425:433
47	energia	energia	NOUN	NOUN	_	45	appos	_	TokenRange=434:441
48	convencional	convencional	ADJ	ADJ	_	47	amod	_	TokenRange=442:454
49	capacitacao	_	ADJ	ADJ	_	50	amod	_	TokenRange=455:466
50	oportunidades	oportunidade	NOUN	NOUN	_	59	obj	_	TokenRange=467:480
51	profissionais	profissional	ADJ	ADJ	_	50	amod	_	TokenRange=481:494
52	oportunidades	oportunidade	NOUN	NOUN	_	50	appos	_	TokenRange=495:508
53	detectadas	detectar	VERB	VERB	_	52	acl	_	TokenRange=509:519
54	gerente	gerente	NOUN	NOUN	_	53	obj	_	TokenRange=520:527
55	projetos	projeto	NOUN	NOUN	_	53	obj	_	TokenRange=528:536
56	artemisia	_	NOUN	NOUN	_	55	appos	_	TokenRange=537:546
57	paula	_	NOUN	NOUN	_	56	flat	_	TokenRange=547:552
58	sato	_	NOUN	NOUN	_	56	flat	_	TokenRange=553:557
59	afirma	afirmar	VERB	VERB	_	0	root	_	TokenRange=558:564
60	parceiros	parceiro	NOUN	NOUN	_	59	obj	_	TokenRange=565:574
61	estudo	estudo	NOUN	NOUN	_	62	nsubj	_	TokenRange=575:581
62	esperam	esperar	VERB	VERB	_	59	parataxis	_	TokenRange=582:589
63	resultado	resultado	NOUN	NOUN	_	62	obj	_	TokenRange=590:599
64	obtido	obtido	ADJ	ADJ	_	63	amod	_	TokenRange=600:606
65	sirva	servir	ADJ	ADJ	_	66	amod	_	TokenRange=607:612
66	base	base	NOUN	NOUN	_	68	obj	_	TokenRange=613:617
67	quer	querer	VERB	VERB	_	59	parataxis	_	TokenRange=618:622
68	investir	investir	VERB	VERB	_	67	xcomp	_	TokenRange=623:631
69	segmento	segmento	NOUN	NOUN	_	68	obj	_	TokenRange=632:640
70	faca	faca	NOUN	NOUN	_	69	flat	_	SpaceAfter=No|TokenRange=641:645

