# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = eua afirmam negociacoes coreia norte ainda longe chefe diplomacia americana reduziu importancia declaracoes lider nortecoreano primeira etapa discussoes sobre discussoes ver condicoes corretas antes pensar negociacoes destacou secretario estado americano rex tillerson afirmou nesta quintafeira 8 adis abeba estados unidos coreia norte ainda longe negociacoes diretas programa nuclear pyongyang diz respeito discussoes diretas estados unidos coreia norte ainda longe negociacoes devemos lucidos realistas sobre ponto disse tillerson capital etiopia primeira etapa viagem africa presidente trump indicou sinais potencialmente positivos procedentes coreia norte dialogo coreia sul completou chefe diplomacia americana reduziu importancia declaracoes primeira etapa discussoes sobre discussoes ver condicoes corretas antes comecar pensar negociacoes destacou tillerson presidente donald trump celebrou sinais abertura coreia norte respeito possibilidade dialogo estados unidos pediu prudencia reafirmou todas opcoes sobre mesa lideres coreia norte coreia sul concordaram reuniao cupula abril zona desmilitarizada dmz acordo seul governo
1	eua	_	PRON	PRON	_	2	nsubj	_	TokenRange=0:3
88	diplomacia	diplomacia	NOUN	NOUN	_	87	flat	_	TokenRange=695:705
89	americana	americano	ADJ	ADJ	_	88	amod	_	TokenRange=706:715
90	reduziu	reduzir	VERB	VERB	_	33	parataxis	_	TokenRange=716:723
91	importancia	importancia	NOUN	NOUN	_	90	obj	_	TokenRange=724:735
92	declaracoes	_	NOUN	NOUN	_	91	amod	_	TokenRange=736:747
93	primeira	primeiro	ADJ	ADJ	_	94	amod	_	TokenRange=748:756
94	etapa	etapa	NOUN	NOUN	_	90	nsubj	_	TokenRange=757:762
95	discussoes	discussoe	NOUN	NOUN	_	110	nsubj	_	TokenRange=763:773
96	sobre	_	ADP	ADP	_	97	case	_	TokenRange=774:779
97	discussoes	discussoe	NOUN	NOUN	_	95	nmod	_	TokenRange=780:790
98	ver	ver	VERB	VERB	_	95	acl	_	TokenRange=791:794
99	condicoes	_	NOUN	NOUN	_	98	obj	_	TokenRange=795:804
100	corretas	correto	ADJ	ADJ	_	99	amod	_	TokenRange=805:813
101	antes	antes	ADV	ADV	_	102	advmod	_	TokenRange=814:819
102	comecar	comecar	VERB	VERB	_	98	advcl	_	TokenRange=820:827
103	pensar	pensar	VERB	VERB	_	102	xcomp	_	TokenRange=828:834
104	negociacoes	negociacoe	NOUN	NOUN	_	103	obj	_	TokenRange=835:846
105	destacou	destacar	VERB	VERB	_	33	parataxis	_	TokenRange=847:855
106	tillerson	_	NOUN	NOUN	_	105	nsubj	_	TokenRange=856:865
107	presidente	presidente	NOUN	NOUN	_	105	nsubj	_	TokenRange=866:876
108	donald	_	ADJ	ADJ	_	107	amod	_	TokenRange=877:883
109	trump	_	NOUN	NOUN	_	107	flat	_	TokenRange=884:889
110	celebrou	celebrar	VERB	VERB	_	105	ccomp	_	TokenRange=890:898
111	sinais	_	NOUN	NOUN	_	110	obj	_	TokenRange=899:905
112	abertura	abertura	NOUN	NOUN	_	111	amod	_	TokenRange=906:914
113	coreia	coreia	NOUN	NOUN	_	110	nsubj	_	TokenRange=915:921
114	norte	norte	ADJ	ADJ	_	113	amod	_	TokenRange=922:927
115	respeito	respeito	NOUN	NOUN	_	110	obj	_	TokenRange=928:936
116	possibilidade	possibilidade	NOUN	NOUN	_	115	obj	_	TokenRange=937:950
117	dialogo	dialogo	ADJ	ADJ	_	116	amod	_	TokenRange=951:958
118	estados	estado	NOUN	NOUN	_	120	nsubj	_	TokenRange=959:966
119	unidos	unido	ADJ	ADJ	_	118	amod	_	TokenRange=967:973
120	pediu	pedir	VERB	VERB	_	110	conj	_	TokenRange=974:979
121	prudencia	prudencia	NOUN	NOUN	_	120	obj	_	TokenRange=980:989
122	reafirmou	reafirmar	VERB	VERB	_	120	ccomp	_	TokenRange=990:999
123	todas	_	DET	DET	_	124	det	_	TokenRange=1000:1005
124	opcoes	opcoe	NOUN	NOUN	_	122	obj	_	TokenRange=1006:1012
125	sobre	_	ADP	ADP	_	126	case	_	TokenRange=1013:1018
126	mesa	mesa	NOUN	NOUN	_	124	nmod	_	TokenRange=1019:1023
127	lideres	lider	NOUN	NOUN	_	132	nsubj	_	TokenRange=1024:1031
128	coreia	coreia	NOUN	NOUN	_	127	appos	_	TokenRange=1032:1038
129	norte	norte	ADJ	ADJ	_	130	amod	_	TokenRange=1039:1044
130	coreia	coreia	NOUN	NOUN	_	128	appos	_	TokenRange=1045:1051
131	sul	sul	ADJ	ADJ	_	130	amod	_	TokenRange=1052:1055
132	concordaram	concordar	VERB	VERB	_	122	parataxis	_	TokenRange=1056:1067
133	reuniao	reuniao	NOUN	NOUN	_	132	obj	_	TokenRange=1068:1075
134	cupula	cupula	NOUN	NOUN	_	133	appos	_	TokenRange=1076:1082
135	abril	_	PROPN	PNOUN	_	136	appos	_	TokenRange=1083:1088
136	zona	zona	NOUN	NOUN	_	132	obj	_	TokenRange=1089:1093
137	desmilitarizada	desmilitarizado	ADJ	ADJ	_	136	amod	_	TokenRange=1094:1109
138	dmz	_	VERB	VERB	_	132	parataxis	_	TokenRange=1110:1113
139	acordo	acordo	NOUN	NOUN	_	132	obj	_	TokenRange=1114:1120
140	seul	_	ADJ	ADJ	_	141	amod	_	TokenRange=1121:1125
141	governo	governo	NOUN	NOUN	_	139	appos	_	SpaceAfter=No|TokenRange=1126:1133

