# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = algo interessa diz oprah sobre concorrer presidencia eua 2020 discurso oprah globo ouro gerou especulacoes ambicoes casa branca oprah winfrey apresentadora tv atriz empresaria afirmou interesse candidatar presidencia estados unidos 2020 declaracoes dadas entrevista revista instyle publicada nesta quintafeira 25 apos discurso oprah durante premiacao globo ouro surgiram especulacoes pedidos concorresse oprah conhecida milhoes apenas primeiro nome alcancou fama apresentadora programa entrevistas usou construir imperio midiatico vai publicacao revistas producao filmes conteudo televisivo nascida familia pobre oprah hoje umas mulheres ricas mundo anteriormente companheiro oprah stedman graham disse los angeles times apresentadora iria concorrer presidencia presidente eua donald trump fez declaracoes respeito afirmou iria derrotala possivel disputa 2020 1964 pequena garota sentada piso linoleo casa mae milwaukee assistindo anne bancroft apresentar oscar melhor ator 36 edicao
1	algo	_	PRON	PRON	_	2	det	_	TokenRange=0:4
19	oprah	oprah	NOUN	NOUN	_	14	nsubj	_	TokenRange=128:133
20	winfrey	_	NOUN	NOUN	_	19	appos	_	TokenRange=134:141
21	apresentadora	apresentador	NOUN	NOUN	_	19	appos	_	TokenRange=142:155
22	tv	_	DET	DET	_	23	det	_	TokenRange=156:158
23	atriz	_	NOUN	NOUN	_	21	conj	_	TokenRange=159:164
24	empresaria	empresario	ADJ	NOUN	_	23	amod	_	TokenRange=165:175
25	afirmou	afirmar	VERB	VERB	_	3	parataxis	_	TokenRange=176:183
26	interesse	interesse	NOUN	NOUN	_	25	obj	_	TokenRange=184:193
27	candidatar	candidatar	VERB	VERB	_	26	acl:inf	_	TokenRange=194:204
28	presidencia	presidencia	NOUN	NOUN	_	27	obj	_	TokenRange=205:216
29	estados	estado	NOUN	NOUN	_	28	appos	_	TokenRange=217:224
30	unidos	unido	ADJ	ADJ	_	29	amod	_	TokenRange=225:231
31	2020	_	NUM	NUM	NumType=Card	32	nummod	_	TokenRange=232:236
32	declaracoes	declaracoe	NOUN	NOUN	_	27	obj	_	TokenRange=237:248
33	dadas	dar	VERB	ADJ	_	32	acl	_	TokenRange=249:254
34	entrevista	entrevista	NOUN	NOUN	_	32	appos	_	TokenRange=255:265
35	revista	revista	NOUN	NOUN	_	34	appos	_	TokenRange=266:273
36	instyle	_	NOUN	NOUN	_	35	flat	_	TokenRange=274:281
37	publicada	publicar	VERB	VERB	_	34	acl	_	TokenRange=282:291
38	nesta	_	ADP	ADP	_	39	case	_	TokenRange=292:297
39	quintafeira	quintafeira	NOUN	NOUN	_	37	nmod	_	TokenRange=298:309
40	25	_	NUM	NUM	NumType=Card	39	nmod	_	TokenRange=310:312
41	apos	_	ADP	ADP	_	42	case	_	TokenRange=313:317
42	discurso	discurso	NOUN	NOUN	_	40	nmod	_	TokenRange=318:326
43	oprah	_	ADJ	ADJ	_	42	appos	_	TokenRange=327:332
44	durante	_	ADP	ADP	_	45	case	_	TokenRange=333:340
45	premiacao	premiacao	NOUN	NOUN	_	48	nmod	_	TokenRange=341:350
46	globo	globo	NOUN	NOUN	_	48	nsubj	_	TokenRange=351:356
47	ouro	ouro	NOUN	NOUN	_	46	amod	_	TokenRange=357:361
48	surgiram	surgir	VERB	VERB	_	14	parataxis	_	TokenRange=362:370
49	especulacoes	especulacoe	NOUN	NOUN	_	48	nsubj	_	TokenRange=371:383
50	pedidos	pedido	NOUN	NOUN	_	49	appos	_	TokenRange=384:391
51	concorresse	concorrer	VERB	VERB	_	49	acl:relcl	_	TokenRange=392:403
52	oprah	_	NOUN	NOUN	_	51	nsubj	_	TokenRange=404:409
53	conhecida	conhecido	ADJ	ADJ	_	52	amod	_	TokenRange=410:419
54	milhoes	_	NOUN	NOUN	_	52	appos	_	TokenRange=420:427
55	apenas	apenas	ADV	ADV	_	56	advmod	_	TokenRange=428:434
56	primeiro	primeiro	ADJ	ADJ	_	57	amod	_	TokenRange=435:443
57	nome	nome	NOUN	NOUN	_	58	nsubj	_	TokenRange=444:448
58	alcancou	alcancar	VERB	VERB	_	52	acl:relcl	_	TokenRange=449:457
59	fama	fama	NOUN	NOUN	_	58	obj	_	TokenRange=458:462
60	apresentadora	apresentador	NOUN	NOUN	_	61	amod	_	TokenRange=463:476
61	programa	programa	NOUN	NOUN	_	63	nsubj	_	TokenRange=477:485
62	entrevistas	entrevista	NOUN	NOUN	_	61	amod	_	TokenRange=486:497
63	usou	usar	VERB	VERB	_	52	acl:relcl	_	TokenRange=498:502
64	construir	construir	VERB	VERB	_	63	xcomp	_	TokenRange=503:512
65	imperio	imperio	NOUN	NOUN	_	64	obj	_	TokenRange=513:520
66	midiatico	_	ADJ	ADJ	_	65	amod	_	TokenRange=521:530
67	vai	ir	AUX	AUX	_	68	amod	_	TokenRange=531:534
68	publicacao	_	NOUN	NOUN	_	65	appos	_	TokenRange=535:545
69	revistas	revista	NOUN	NOUN	_	68	appos	_	TokenRange=546:554
70	producao	_	ADJ	ADJ	_	71	amod	_	TokenRange=555:563
71	filmes	filme	NOUN	NOUN	_	65	appos	_	TokenRange=564:570
72	conteudo	conteudo	NOUN	NOUN	_	65	appos	_	TokenRange=571:579
73	televisivo	televisivo	ADJ	ADJ	_	72	amod	_	TokenRange=580:590
74	nascida	nascer	ADJ	ADJ	_	75	amod	_	TokenRange=591:598
75	familia	familia	NOUN	NOUN	_	72	appos	_	TokenRange=599:606
76	pobre	pobre	ADJ	ADJ	_	75	amod	_	TokenRange=607:612
77	oprah	_	NOUN	NOUN	_	75	appos	_	TokenRange=613:618
78	hoje	hoje	ADV	ADV	_	94	advmod	_	TokenRange=619:623
79	umas	_	DET	DET	_	80	det	_	TokenRange=624:628
80	mulheres	mulher	NOUN	NOUN	_	94	nsubj	_	TokenRange=629:637
81	ricas	rico	ADJ	ADJ	_	80	amod	_	TokenRange=638:643
82	mundo	mundo	NOUN	NOUN	_	100	nsubj	_	TokenRange=644:649
83	anteriormente	anteriormente	ADV	ADV	_	84	advmod	_	TokenRange=650:663
84	companheiro	companheiro	NOUN	NOUN	_	80	appos	_	TokenRange=664:675
85	oprah	_	NOUN	NOUN	_	84	appos	_	TokenRange=676:681
86	stedman	_	NOUN	NOUN	_	84	appos	_	TokenRange=682:689
87	graham	_	NOUN	NOUN	_	86	flat	_	TokenRange=690:696
88	disse	dizer	VERB	VERB	_	3	parataxis	_	TokenRange=697:702
89	los	_	DET	DET	_	91	det	_	TokenRange=703:706
90	angeles	_	ADJ	DET	_	91	amod	_	TokenRange=707:714
91	times	time	NOUN	NOUN	_	88	obj	_	TokenRange=715:720
92	apresentadora	apresentador	NOUN	NOUN	_	94	nsubj	_	TokenRange=721:734
93	iria	_	AUX	AUX	_	94	aux	_	TokenRange=735:739
94	concorrer	concorrer	VERB	VERB	_	88	ccomp	_	TokenRange=740:749
95	presidencia	presidencia	NOUN	NOUN	_	94	obj	_	TokenRange=750:761
96	presidente	presidente	NOUN	NOUN	_	94	obj	_	TokenRange=762:772
97	eua	_	DET	DET	_	96	det:poss	_	TokenRange=773:776
98	donald	_	NOUN	NOUN	_	84	amod	_	TokenRange=777:783
99	trump	_	NOUN	NOUN	_	98	flat	_	TokenRange=784:789
100	fez	fazer	VERB	VERB	_	88	ccomp	_	TokenRange=790:793
101	declaracoes	declaracoe	NOUN	NOUN	_	100	obj	_	TokenRange=794:805
102	respeito	respeito	NOUN	NOUN	_	101	appos	_	TokenRange=806:814
103	afirmou	afirmar	VERB	VERB	_	101	acl:relcl	_	TokenRange=815:822
104	iria	_	AUX	AUX	_	105	aux	_	TokenRange=823:827
105	derrotala	derrotalar	VERB	VERB	_	103	ccomp	_	TokenRange=828:837
106	possivel	_	ADJ	ADJ	_	107	amod	_	TokenRange=838:846
107	disputa	disputa	NOUN	NOUN	_	105	obj	_	TokenRange=847:854
108	2020	_	NUM	NUM	NumType=Card	107	nummod	_	TokenRange=855:859
109	1964	_	NUM	NUM	NumType=Card	111	nummod	_	TokenRange=860:864
110	pequena	pequeno	ADJ	ADJ	_	111	amod	_	TokenRange=865:872
111	garota	garoto	NOUN	NOUN	_	107	appos	_	TokenRange=873:879
112	sentada	sentado	ADJ	ADJ	_	111	amod	_	TokenRange=880:887
113	piso	piso	NOUN	NOUN	_	111	appos	_	TokenRange=888:892
114	linoleo	linoleo	ADJ	ADJ	_	115	amod	_	TokenRange=893:900
115	casa	casa	NOUN	NOUN	_	111	appos	_	TokenRange=901:905
116	mae	mae	ADJ	ADJ	_	115	amod	_	TokenRange=906:909
117	milwaukee	_	NOUN	NOUN	_	115	flat	_	TokenRange=910:919
118	assistindo	assistir	VERB	VERB	_	25	acl	_	TokenRange=920:930
119	anne	anne	NOUN	NOUN	_	118	obj	_	TokenRange=931:935
120	bancroft	_	NOUN	NOUN	_	119	flat	_	TokenRange=936:944
121	apresentar	apresentar	VERB	VERB	_	118	ccomp	_	TokenRange=945:955
122	oscar	oscar	NOUN	NOUN	_	121	obj	_	TokenRange=956:961
123	melhor	melhor	ADJ	ADJ	_	124	amod	_	TokenRange=962:968
124	ator	ator	NOUN	NOUN	_	121	obj	_	TokenRange=969:973
125	36	_	NUM	NUM	NumType=Card	126	nummod	_	TokenRange=974:976
126	edicao	edicao	NOUN	NOUN	_	124	nmod	_	SpaceAfter=No|TokenRange=977:983

