# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tse validade depoimentos odebrecht domina discussoes manha ponto central depoimentos validos prova parte ministros considera podem incluidos processo porque dados acao apresentada ministros tribunal superior eleitoral tse dedicaram parte manha sessao desta quintafeira 8 julgamento acao pede cassacao chapa dilmatemer discussao sobre validade incorporacao processo depoimentos executivos empreiteira odebrecht longo quase tres horas meia ministros tse debateram conteudo depoimentos executivos construtora odebrecht deveria excluido julgamento informacoes empreiteira embasaram parte voto relator acao ministro herman benjamin parte ministros argumenta tribunal pode considerar prova porque segundo constavam peticao inicial depoimentos dados relator
1	tse	_	DET	DET	_	2	det	_	TokenRange=0:3
54	meia	meio	ADJ	ADJ	_	55	amod	_	TokenRange=433:437
55	ministros	ministro	NOUN	NOUN	_	57	nsubj	_	TokenRange=438:447
56	tse	_	PRON	PRON	_	57	nsubj	_	TokenRange=448:451
57	debateram	debater	VERB	VERB	_	46	acl:relcl	_	TokenRange=452:461
58	conteudo	conteudo	NOUN	NOUN	_	57	obj	_	TokenRange=462:470
59	depoimentos	depoimento	NOUN	NOUN	_	57	obj	_	TokenRange=471:482
60	executivos	executivo	ADJ	ADJ	_	59	amod	_	TokenRange=483:493
61	construtora	construtor	NOUN	NOUN	_	59	amod	_	TokenRange=494:505
62	odebrecht	_	NOUN	NOUN	_	59	appos	_	TokenRange=506:515
63	deveria	dever	AUX	AUX	_	64	aux	_	TokenRange=516:523
64	excluido	excluir	VERB	VERB	_	59	acl	_	TokenRange=524:532
65	julgamento	julgamento	NOUN	NOUN	_	57	obj	_	TokenRange=533:543
66	informacoes	informacoe	ADJ	ADJ	_	65	amod	_	TokenRange=544:555
67	empreiteira	empreiteiro	ADJ	ADJ	_	65	amod	_	TokenRange=556:567
68	embasaram	embasar	VERB	VERB	_	57	parataxis	_	TokenRange=568:577
69	parte	parte	NOUN	NOUN	_	68	obj	_	TokenRange=578:583
70	voto	voto	NOUN	NOUN	_	69	amod	_	TokenRange=584:588
71	relator	relator	NOUN	NOUN	_	69	appos	_	TokenRange=589:596
72	acao	acao	NOUN	NOUN	_	69	appos	_	TokenRange=597:601
73	ministro	ministro	NOUN	NOUN	_	72	flat	_	TokenRange=602:610
74	herman	_	NOUN	NOUN	_	72	appos	_	TokenRange=611:617
75	benjamin	_	NOUN	NOUN	_	74	flat	_	TokenRange=618:626
76	parte	parte	NOUN	NOUN	_	72	appos	_	TokenRange=627:632
77	ministros	ministro	NOUN	NOUN	_	76	flat	_	TokenRange=633:642
78	argumenta	argumentar	VERB	VERB	_	57	parataxis	_	TokenRange=643:652
79	tribunal	tribunal	NOUN	NOUN	_	81	obj	_	TokenRange=653:661
80	pode	_	AUX	AUX	_	81	aux	_	TokenRange=662:666
81	considerar	considerar	VERB	VERB	_	78	parataxis	_	TokenRange=667:677
82	prova	prova	NOUN	NOUN	_	81	obj	_	TokenRange=678:683
83	porque	_	CCONJ	CONJ	_	85	mark	_	TokenRange=684:690
84	segundo	_	CCONJ	CONJ	_	85	mark	_	TokenRange=691:698
85	constavam	constar	VERB	VERB	_	81	advcl	_	TokenRange=699:708
86	peticao	peticao	NOUN	NOUN	_	85	obj	_	TokenRange=709:716
87	inicial	inicial	ADJ	ADJ	_	86	amod	_	TokenRange=717:724
88	depoimentos	depoimento	NOUN	NOUN	_	85	nsubj	_	TokenRange=725:736
89	dados	dado	VERB	NOUN	_	88	amod	_	TokenRange=737:742
90	relator	relator	NOUN	NOUN	_	86	appos	_	SpaceAfter=No|TokenRange=743:750

