# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sete perguntas sobre crise coreia norte possibilidades guerra trump diz grande confronto possivel enquanto china pede diplomacia regime kim jongun ameaca afundar navio americano japao mobilizou maior navio guerra primeira operacao tipo desde pais aprovou polemica legislacao ampliando papel forca militar momento regiao passa escalada tensa relacao estados unidos coreia norte portahelicopteros izumo escoltando navio americano abastecimento cruza aguas japonesas rumo frota naval eua regiao onde portaavioes carl vinson enviado presidente donald trump fim semana trump disse gostaria resolver crise diplomaticamente reconheceu conflito grande possibilidade grande preocupacao eua paises vizinhos coreia norte coreia sul japao poderio nuclear militar pais comunista apesar ameacas sancoes segue realizando testes misseis governo americano diz endurecera sancoes economicas contra pyongyang ativara sistema defesa antimisseis coreia sul coreia norte vez ameacou afundar portaavioes americano deslocado regiao prometeu realizar testes misseis china poucos paises relacionar governo nortecoreano pediu negociacao dialogo paises apos ultimos desenvolvimentos nessa crise analista defesa diplomacia bbc jonathan marcus responde principais duvidas sobre conflito apesar existirem sancoes contra coreia norte colocadas pratica monitoradas forma devida estudo recente onu analisou fragmentos teste missil nortecoreano mostrou componentes eletronicos vinham empresas chinesas conseguidos atraves china china poderia fazer
1	sete	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
27	maior	maior	ADJ	ADJ	_	28	amod	_	TokenRange=194:199
28	navio	navio	NOUN	NOUN	_	26	obj	_	TokenRange=200:205
29	guerra	guerra	NOUN	NOUN	_	28	flat	_	TokenRange=206:212
30	primeira	primeiro	ADJ	ADJ	_	31	amod	_	TokenRange=213:221
31	operacao	operacao	NOUN	NOUN	_	26	nsubj	_	TokenRange=222:230
32	tipo	tipo	NOUN	NOUN	_	31	flat	_	TokenRange=231:235
33	desde	_	ADP	ADP	_	34	case	_	TokenRange=236:241
34	pais	_	NOUN	NOUN	_	35	nmod	_	TokenRange=242:246
35	aprovou	aprovar	VERB	VERB	_	10	parataxis	_	TokenRange=247:254
36	polemica	polemico	ADJ	ADJ	_	37	amod	_	TokenRange=255:263
37	legislacao	legislacao	NOUN	NOUN	_	35	obj	_	TokenRange=264:274
38	ampliando	ampliar	VERB	VERB	_	35	acl	_	TokenRange=275:284
39	papel	papel	NOUN	NOUN	_	38	obj	_	TokenRange=285:290
40	forca	forca	NOUN	NOUN	_	39	appos	_	TokenRange=291:296
41	militar	militar	ADJ	ADJ	_	40	amod	_	TokenRange=297:304
42	momento	momento	NOUN	NOUN	_	116	nsubj	_	TokenRange=305:312
43	regiao	regiao	NOUN	NOUN	_	42	appos	_	TokenRange=313:319
44	passa	passar	VERB	VERB	_	10	parataxis	_	TokenRange=320:325
45	escalada	escalada	NOUN	NOUN	_	44	obj	_	TokenRange=326:334
46	tensa	tenso	ADJ	ADJ	_	47	amod	_	TokenRange=335:340
47	relacao	relacao	NOUN	NOUN	_	44	nsubj	_	TokenRange=341:348
48	estados	estado	NOUN	NOUN	_	47	appos	_	TokenRange=349:356
49	unidos	unido	ADJ	ADJ	_	48	amod	_	TokenRange=357:363
50	coreia	coreia	NOUN	NOUN	_	47	appos	_	TokenRange=364:370
51	norte	norte	ADJ	ADJ	_	50	amod	_	TokenRange=371:376
52	portahelicopteros	_	NOUN	NOUN	_	50	appos	_	TokenRange=377:394
53	izumo	_	NOUN	NOUN	_	52	appos	_	TokenRange=395:400
54	escoltando	escoltar	VERB	VERB	_	48	acl	_	TokenRange=401:411
55	navio	navio	NOUN	NOUN	_	54	obj	_	TokenRange=412:417
56	americano	americano	ADJ	ADJ	_	55	amod	_	TokenRange=418:427
57	abastecimento	abastecimento	NOUN	NOUN	_	23	appos	_	TokenRange=428:441
58	cruza	cruzar	VERB	VERB	_	10	parataxis	_	TokenRange=442:447
59	aguas	_	NOUN	NOUN	_	58	obj	_	TokenRange=448:453
60	japonesas	japonês	ADJ	ADJ	_	59	amod	_	TokenRange=454:463
61	rumo	rumo	ADP	ADP	_	62	case	_	TokenRange=464:468
62	frota	frota	NOUN	NOUN	_	58	nmod	_	TokenRange=469:474
63	naval	naval	ADJ	ADJ	_	62	amod	_	TokenRange=475:480
64	eua	_	DET	DET	_	65	det	_	TokenRange=481:484
65	regiao	regiao	NOUN	NOUN	_	141	nsubj	_	TokenRange=485:491
66	onde	onde	ADV	ADV	_	70	advmod	_	TokenRange=492:496
67	portaavioes	portaavioe	NOUN	NOUN	_	125	nsubj	_	TokenRange=497:508
68	carl	_	NOUN	NOUN	_	65	appos	_	TokenRange=509:513
69	vinson	_	NOUN	NOUN	_	68	flat	_	TokenRange=514:520
70	enviado	enviar	VERB	VERB	_	65	acl	_	TokenRange=521:528
71	presidente	presidente	NOUN	NOUN	_	70	nsubj	_	TokenRange=529:539
72	donald	donald	NOUN	NOUN	_	71	appos	_	TokenRange=540:546
73	trump	_	NOUN	NOUN	_	72	flat	_	TokenRange=547:552
74	fim	fim	NOUN	NOUN	_	151	amod	_	TokenRange=553:556
75	semana	semana	NOUN	NOUN	_	151	appos	_	TokenRange=557:563
76	trump	_	NOUN	NOUN	_	77	nsubj	_	TokenRange=564:569
77	disse	dizer	VERB	VERB	_	10	parataxis	_	TokenRange=570:575
78	gostaria	gostar	VERB	VERB	_	77	ccomp	_	TokenRange=576:584
79	resolver	resolver	VERB	VERB	_	78	xcomp	_	TokenRange=585:593
80	crise	crise	NOUN	NOUN	_	79	obj	_	TokenRange=594:599
81	diplomaticamente	diplomaticamente	ADV	ADV	_	82	advmod	_	TokenRange=600:616
82	reconheceu	reconhecer	VERB	VERB	_	133	acl:relcl	_	TokenRange=617:627
83	conflito	conflito	NOUN	NOUN	_	82	obj	_	TokenRange=628:636
84	grande	grande	ADJ	ADJ	_	85	amod	_	TokenRange=637:643
85	possibilidade	possibilidade	NOUN	NOUN	_	158	appos	_	TokenRange=644:657
86	grande	grande	ADJ	ADJ	_	85	amod	_	TokenRange=658:664
87	preocupacao	preocupacao	NOUN	NOUN	_	158	appos	_	TokenRange=665:676
88	eua	_	DET	DET	_	89	det	_	TokenRange=677:680
89	paises	paise	NOUN	NOUN	_	82	nsubj	_	TokenRange=681:687
90	vizinhos	vizinho	ADJ	ADJ	_	89	amod	_	TokenRange=688:696
91	coreia	coreia	NOUN	NOUN	_	89	appos	_	TokenRange=697:703
92	norte	norte	ADJ	ADJ	_	89	amod	_	TokenRange=704:709
93	coreia	coreia	NOUN	NOUN	_	89	appos	_	TokenRange=710:716
94	sul	sul	ADJ	ADJ	_	93	amod	_	TokenRange=717:720
95	japao	japao	ADJ	ADJ	_	96	amod	_	TokenRange=721:726
96	poderio	poderio	NOUN	NOUN	_	163	appos	_	TokenRange=727:734
97	nuclear	nuclear	ADJ	ADJ	_	96	amod	_	TokenRange=735:742
98	militar	militar	ADJ	ADJ	_	96	amod	_	TokenRange=743:750
99	pais	_	NOUN	NOUN	_	96	appos	_	TokenRange=751:755
100	comunista	comunista	ADJ	ADJ	_	99	amod	_	TokenRange=756:765
101	apesar	apesar	ADV	ADV	_	175	mark	_	TokenRange=766:772
102	ameacas	ameaco	ADJ	ADJ	_	172	amod	_	TokenRange=773:780
103	sancoes	sancoe	NOUN	NOUN	_	175	nsubj	_	TokenRange=781:788
104	segue	_	AUX	AUX	_	105	aux	_	TokenRange=789:794
105	realizando	realizar	VERB	VERB	_	10	advcl	_	TokenRange=795:805
106	testes	teste	NOUN	NOUN	_	105	obj	_	TokenRange=806:812
107	misseis	missil	ADJ	ADJ	_	106	amod	_	TokenRange=813:820
108	governo	governo	NOUN	NOUN	_	191	nsubj	_	TokenRange=821:828
109	americano	americano	ADJ	ADJ	_	108	amod	_	TokenRange=829:838
110	diz	dizer	VERB	VERB	_	10	parataxis	_	TokenRange=839:842
111	endurecera	endurecer	VERB	VERB	_	110	xcomp	_	TokenRange=843:853
112	sancoes	sancoe	NOUN	NOUN	_	111	obj	_	TokenRange=854:861
113	economicas	economico	ADJ	ADJ	_	112	amod	_	TokenRange=862:872
114	contra	_	ADP	ADP	_	115	case	_	TokenRange=873:879
115	pyongyang	_	NOUN	NOUN	_	112	nmod	_	TokenRange=880:889
116	ativara	ativar	VERB	VERB	_	38	parataxis	_	TokenRange=890:897
117	sistema	sistema	NOUN	NOUN	_	116	obj	_	TokenRange=898:905
118	defesa	_	NOUN	NOUN	_	117	appos	_	TokenRange=906:912
119	antimisseis	antimisseis	ADJ	ADJ	_	118	amod	_	TokenRange=913:924
120	coreia	coreia	NOUN	NOUN	_	116	nsubj	_	TokenRange=925:931
121	sul	sul	ADJ	ADJ	_	122	amod	_	TokenRange=932:935
122	coreia	coreia	NOUN	NOUN	_	116	nsubj	_	TokenRange=936:942
123	norte	norte	ADJ	ADJ	_	122	amod	_	TokenRange=943:948
124	vez	vez	NOUN	NOUN	_	125	nsubj	_	TokenRange=949:952
125	ameacou	ameacar	VERB	VERB	_	48	acl:relcl	_	TokenRange=953:960
126	afundar	afundar	VERB	VERB	_	125	xcomp	_	TokenRange=961:968
127	portaavioes	_	NOUN	NOUN	_	126	obj	_	TokenRange=969:980
128	americano	americano	ADJ	ADJ	_	127	amod	_	TokenRange=981:990
129	deslocado	deslocar	ADJ	ADJ	_	127	amod	_	TokenRange=991:1000
130	regiao	regiao	NOUN	NOUN	_	191	nsubj	_	TokenRange=1001:1007
131	prometeu	prometer	VERB	VERB	_	10	conj	_	TokenRange=1008:1016
132	realizar	realizar	VERB	VERB	_	131	xcomp	_	TokenRange=1017:1025
133	testes	teste	NOUN	NOUN	_	132	obj	_	TokenRange=1026:1032
134	misseis	missil	ADJ	ADJ	_	133	amod	_	TokenRange=1033:1040
135	china	chino	ADJ	ADJ	_	133	amod	_	TokenRange=1041:1046
136	poucos	_	DET	DET	_	137	det	_	TokenRange=1047:1053
137	paises	paise	NOUN	NOUN	_	138	nsubj	_	TokenRange=1054:1060
138	relacionar	relacionar	VERB	VERB	_	23	acl:relcl	_	TokenRange=1061:1071
139	governo	governo	NOUN	NOUN	_	138	obj	_	TokenRange=1072:1079
140	nortecoreano	nortecoreano	ADJ	ADJ	_	139	amod	_	TokenRange=1080:1092
141	pediu	pedir	VERB	VERB	_	58	parataxis	_	TokenRange=1093:1098
142	negociacao	negociacao	NOUN	NOUN	_	141	obj	_	TokenRange=1099:1109
143	dialogo	dialogo	ADJ	ADJ	_	142	amod	_	TokenRange=1110:1117
144	paises	paise	NOUN	NOUN	_	142	appos	_	TokenRange=1118:1124
145	apos	_	ADP	ADP	_	147	case	_	TokenRange=1125:1129
146	ultimos	ultimo	ADJ	ADJ	_	147	amod	_	TokenRange=1130:1137
147	desenvolvimentos	desenvolvimento	NOUN	NOUN	_	144	nmod	_	TokenRange=1138:1154
148	nessa	_	ADP	ADP	_	149	case	_	TokenRange=1155:1160
149	crise	crise	NOUN	NOUN	_	147	nmod	_	TokenRange=1161:1166
150	analista	analista	ADJ	ADJ	_	151	amod	_	TokenRange=1167:1175
151	defesa	_	NOUN	NOUN	_	156	nsubj	_	TokenRange=1176:1182
152	diplomacia	diplomacia	NOUN	NOUN	_	151	appos	_	TokenRange=1183:1193
153	bbc	bbc	NOUN	NOUN	_	151	appos	_	TokenRange=1194:1197
154	jonathan	_	NOUN	NOUN	_	156	nsubj	_	TokenRange=1198:1206
155	marcus	_	PROPN	NOUN	_	154	flat	_	TokenRange=1207:1213
156	responde	responder	VERB	VERB	_	10	parataxis	_	TokenRange=1214:1222
157	principais	principal	ADJ	ADJ	_	158	amod	_	TokenRange=1223:1233
158	duvidas	duvida	NOUN	NOUN	_	156	obj	_	TokenRange=1234:1241
159	sobre	_	ADP	ADP	_	160	case	_	TokenRange=1242:1247
160	conflito	conflito	NOUN	NOUN	_	158	nmod	_	TokenRange=1248:1256
161	apesar	apesar	ADV	ADV	_	162	mark	_	TokenRange=1257:1263
162	existirem	existir	VERB	VERB	_	156	advcl	_	TokenRange=1264:1273
163	sancoes	sancoe	NOUN	NOUN	_	162	obj	_	TokenRange=1274:1281
164	contra	_	ADP	ADP	_	165	case	_	TokenRange=1282:1288
165	coreia	coreia	NOUN	NOUN	_	163	nmod	_	TokenRange=1289:1295
166	norte	norte	ADJ	ADJ	_	165	amod	_	TokenRange=1296:1301
167	colocadas	colocar	VERB	VERB	_	165	acl	_	TokenRange=1302:1311
168	pratica	_	NOUN	NOUN	_	167	nsubj	_	TokenRange=1312:1319
169	monitoradas	_	VERB	VERB	_	170	acl	_	TokenRange=1320:1331
170	forma	forma	NOUN	NOUN	_	175	nsubj	_	TokenRange=1332:1337
171	devida	devido	ADJ	ADJ	_	170	amod	_	TokenRange=1338:1344
172	estudo	estudo	NOUN	NOUN	_	175	nsubj	_	TokenRange=1345:1351
173	recente	recente	ADJ	ADJ	_	172	amod	_	TokenRange=1352:1359
174	onu	onu	ADJ	ADJ	_	172	amod	_	TokenRange=1360:1363
175	analisou	analisar	VERB	VERB	_	156	parataxis	_	TokenRange=1364:1372
176	fragmentos	fragmento	NOUN	NOUN	_	175	obj	_	TokenRange=1373:1383
177	teste	teste	NOUN	NOUN	_	176	appos	_	TokenRange=1384:1389
178	missil	missil	NOUN	NOUN	_	176	flat	_	TokenRange=1390:1396
179	nortecoreano	nortecoreano	ADJ	ADJ	_	178	amod	_	TokenRange=1397:1409
180	mostrou	mostrar	VERB	VERB	_	175	ccomp	_	TokenRange=1410:1417
181	componentes	componente	NOUN	NOUN	_	180	obj	_	TokenRange=1418:1429
182	eletronicos	eletronico	ADJ	ADJ	_	181	amod	_	TokenRange=1430:1441
183	vinham	vir	VERB	VERB	_	180	ccomp	_	TokenRange=1442:1448
184	empresas	empresa	NOUN	NOUN	_	191	obj	_	TokenRange=1449:1457
185	chinesas	chinês	ADJ	ADJ	_	184	amod	_	TokenRange=1458:1466
186	conseguidos	conseguir	VERB	VERB	_	184	acl	_	TokenRange=1467:1478
187	atraves	atrave	ADV	ADV	_	186	advmod	_	TokenRange=1479:1486
188	china	chino	ADJ	ADJ	_	187	amod	_	TokenRange=1487:1492
189	china	chino	NOUN	NOUN	_	191	nsubj	_	TokenRange=1493:1498
190	poderia	poder	AUX	AUX	_	191	aux	_	TokenRange=1499:1506
191	fazer	fazer	VERB	VERB	_	180	parataxis	_	SpaceAfter=No|TokenRange=1507:1512

