# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sp outras 10 cidades mundo podem ficar agua cidade cabo torneiras cidade sulafricana devem secar maio causa grave seca cada quatro grandes cidades podera problemas hidricos futuro cidade cabo enfrenta situacao nada invejavel primeira grande cidade moderna ficar agua potavel entanto apenas exemplo extremo problema sobre especialistas vem alertando tempo escassez agua apesar cobrir 70 superficie planeta agua doce especialmente potavel tao abundante assim responde 3 1 bilhao pessoas enfrentam problemas acesso 27 bilhoes falta menos mes ano pesquisa 500 maiores cidades mundo publicada 2014 estima cada quatro situacao estresse hidrico define organizacao nacoes unidas onu abastecimento anual cai abaixo 17 mil m pessoa acordo projecoes chanceladas onu demanda agua doce vai superar abastecimento 40 2030 gracas combinacao mudancas climaticas acao humana crescimento populacional surpresa portanto situacao cidade cabo apenas ponta iceberg todos continentes grandes centros urbanos enfrentam escassez correm contra tempo busca solucao conheca seguir outras 11 cidades podem ficar agua capital paulista passou situacao dramatica 2014 2015 principal conjunto reservatorios sistema cantareira atingiu menor nivel historia sabesp companhia paulista abastecimento passou puxar agua ficava abaixo canos captacao chamado volume morto
1	sp	_	CCONJ	CONJ	_	7	advmod	_	TokenRange=0:2
33	invejavel	invejavel	ADJ	ADJ	_	31	amod	_	TokenRange=215:224
34	primeira	primeiro	ADJ	ADJ	_	36	amod	_	TokenRange=225:233
35	grande	grande	ADJ	ADJ	_	36	amod	_	TokenRange=234:240
36	cidade	cidade	NOUN	NOUN	_	15	nsubj	_	TokenRange=241:247
37	moderna	moderno	ADJ	ADJ	_	36	amod	_	TokenRange=248:255
38	ficar	ficar	VERB	VERB	_	36	acl:relcl	_	TokenRange=256:261
39	agua	agua	NOUN	NOUN	_	38	obj	_	TokenRange=262:266
40	potavel	potavel	ADJ	ADJ	_	39	amod	_	TokenRange=267:274
41	entanto	entanto	ADV	ADV	_	43	advmod	_	TokenRange=275:282
42	apenas	apenas	ADV	ADV	_	43	advmod	_	TokenRange=283:289
43	exemplo	exemplo	NOUN	NOUN	_	38	nsubj	_	TokenRange=290:297
44	extremo	extremo	ADJ	ADJ	_	43	amod	_	TokenRange=298:305
45	problema	problema	NOUN	NOUN	_	49	nsubj	_	TokenRange=306:314
46	sobre	_	ADP	ADP	_	47	case	_	TokenRange=315:320
47	especialistas	especialista	NOUN	NOUN	_	45	nmod	_	TokenRange=321:334
48	vem	vir	AUX	AUX	_	49	aux	_	TokenRange=335:338
49	alertando	alertar	VERB	VERB	_	43	acl:relcl	_	TokenRange=339:348
50	tempo	tempo	NOUN	NOUN	_	49	obj	_	TokenRange=349:354
51	escassez	escassez	ADJ	ADJ	_	50	amod	_	TokenRange=355:363
52	agua	agua	NOUN	NOUN	_	50	appos	_	TokenRange=364:368
53	apesar	apesar	ADV	ADV	_	54	mark	_	TokenRange=369:375
54	cobrir	cobrir	VERB	VERB	_	49	advcl	_	TokenRange=376:382
55	70	_	NUM	NUM	NumType=Card	56	nummod	_	TokenRange=383:385
56	superficie	superficie	NOUN	NOUN	_	54	obj	_	TokenRange=386:396
57	planeta	planeta	NOUN	NOUN	_	56	amod	_	TokenRange=397:404
58	agua	agua	NOUN	NOUN	_	56	appos	_	TokenRange=405:409
59	doce	doce	ADJ	ADJ	_	58	amod	_	TokenRange=410:414
60	especialmente	especialmente	ADV	ADV	_	61	advmod	_	TokenRange=415:428
61	potavel	potavel	ADJ	ADJ	_	58	amod	_	TokenRange=429:436
62	tao	tao	ADV	ADV	_	63	advmod	_	TokenRange=437:440
63	abundante	abundante	ADJ	ADJ	_	58	amod	_	TokenRange=441:450
64	assim	assim	ADV	ADV	_	65	advmod	_	TokenRange=451:456
65	responde	responder	VERB	VERB	_	49	parataxis	_	TokenRange=457:465
66	3	_	NUM	NUM	NumType=Card	68	nummod	_	TokenRange=466:467
67	1	_	NUM	NUM	NumType=Card	68	nummod	_	TokenRange=468:469
68	bilhao	_	NUM	NUM	NumType=Card	69	nummod	_	TokenRange=470:476
69	pessoas	pessoa	NOUN	NOUN	_	70	nsubj	_	TokenRange=477:484
70	enfrentam	enfrentar	VERB	VERB	_	65	ccomp	_	TokenRange=485:494
71	problemas	problema	NOUN	NOUN	_	70	obj	_	TokenRange=495:504
72	acesso	acesso	NOUN	NOUN	_	71	appos	_	TokenRange=505:511
73	27	_	NUM	NUM	NumType=Card	74	nummod	_	TokenRange=512:514
74	bilhoes	_	NOUN	NOUN	_	72	appos	_	TokenRange=515:522
75	falta	faltar	VERB	VERB	_	70	parataxis	_	TokenRange=523:528
76	menos	menos	ADV	ADV	_	77	advmod	_	TokenRange=529:534
77	mes	_	NUM	NUM	NumType=Card	78	nummod	_	TokenRange=535:538
78	ano	ano	NOUN	NOUN	_	75	nmod	_	TokenRange=539:542
79	pesquisa	pesquisa	NOUN	NOUN	_	65	nsubj	_	TokenRange=543:551
80	500	_	NUM	NUM	NumType=Card	82	nummod	_	TokenRange=552:555
81	maiores	maior	ADJ	ADJ	_	82	amod	_	TokenRange=556:563
82	cidades	cidade	NOUN	NOUN	_	155	nsubj	_	TokenRange=564:571
83	mundo	mundo	NOUN	NOUN	_	82	flat	_	TokenRange=572:577
84	publicada	publicar	VERB	VERB	_	82	acl	_	TokenRange=578:587
85	2014	_	NUM	NUM	NumType=Card	84	nmod	_	TokenRange=588:592
86	estima	estimar	VERB	VERB	_	84	parataxis	_	TokenRange=593:599
87	cada	_	DET	DET	_	88	det	_	TokenRange=600:604
88	quatro	_	NUM	NUM	NumType=Card	86	obj	_	TokenRange=605:611
89	situacao	situacao	NOUN	NOUN	_	86	obj	_	TokenRange=612:620
90	estresse	estresse	NOUN	NOUN	_	86	nsubj	_	TokenRange=621:629
91	hidrico	hidrico	ADJ	ADJ	_	90	amod	_	TokenRange=630:637
92	define	definir	VERB	VERB	_	0	root	_	TokenRange=638:644
93	organizacao	organizacao	NOUN	NOUN	_	94	amod	_	TokenRange=645:656
94	nacoes	_	NOUN	NOUN	_	92	nsubj	_	TokenRange=657:663
95	unidas	unido	ADJ	ADJ	_	94	amod	_	TokenRange=664:670
96	onu	onu	DET	DET	_	97	det	_	TokenRange=671:674
97	abastecimento	abastecimento	NOUN	NOUN	_	99	nsubj	_	TokenRange=675:688
98	anual	anual	ADJ	ADJ	_	97	amod	_	TokenRange=689:694
99	cai	cair	VERB	VERB	_	92	ccomp	_	TokenRange=695:698
100	abaixo	abaixo	ADV	ADV	_	102	advmod	_	TokenRange=699:705
101	17	_	NUM	NUM	NumType=Card	102	nummod	_	TokenRange=706:708
102	mil	_	NUM	NUM	NumType=Card	103	nummod	_	TokenRange=709:712
103	m	m	NOUN	NOUN	_	99	obj	_	TokenRange=713:714
104	pessoa	pessoa	NOUN	NOUN	_	103	flat	_	TokenRange=715:721
105	acordo	acordo	NOUN	NOUN	_	103	appos	_	TokenRange=722:728
106	projecoes	projecoe	NOUN	NOUN	_	105	appos	_	TokenRange=729:738
107	chanceladas	chancelado	ADJ	ADJ	_	106	amod	_	TokenRange=739:750
108	onu	onu	ADJ	ADJ	_	109	nsubj	_	TokenRange=751:754
109	demanda	demandar	VERB	VERB	_	106	acl:relcl	_	TokenRange=755:762
110	agua	agua	NOUN	NOUN	_	109	obj	_	TokenRange=763:767
111	doce	doce	ADJ	ADJ	_	110	amod	_	TokenRange=768:772
112	vai	ir	AUX	AUX	_	113	aux	_	TokenRange=773:776
113	superar	superar	VERB	VERB	_	92	ccomp	_	TokenRange=777:784
114	abastecimento	abastecimento	NOUN	NOUN	_	113	obj	_	TokenRange=785:798
115	40	_	NUM	NUM	NumType=Card	116	nummod	_	TokenRange=799:801
116	2030	_	NUM	NUM	NumType=Card	114	appos	_	TokenRange=802:806
117	gracas	_	NOUN	NOUN	_	119	amod	_	TokenRange=807:813
118	combinacao	_	NOUN	NOUN	_	119	case	_	TokenRange=814:824
119	mudancas	mudanca	NOUN	NOUN	_	113	nmod	_	TokenRange=825:833
120	climaticas	climatico	ADJ	ADJ	_	119	amod	_	TokenRange=834:844
121	acao	acao	NOUN	NOUN	_	119	appos	_	TokenRange=845:849
122	humana	humano	ADJ	ADJ	_	121	amod	_	TokenRange=850:856
123	crescimento	crescimento	NOUN	NOUN	_	119	appos	_	TokenRange=857:868
124	populacional	populacional	ADJ	ADJ	_	123	amod	_	TokenRange=869:881
125	surpresa	surpreso	ADJ	ADJ	_	123	amod	_	TokenRange=882:890
126	portanto	_	ADV	ADV	_	54	cc	_	TokenRange=891:899
127	situacao	_	NOUN	NOUN	_	119	appos	_	TokenRange=900:908
128	cidade	cidade	NOUN	NOUN	_	127	appos	_	TokenRange=909:915
129	cabo	cabo	NOUN	NOUN	_	128	flat	_	TokenRange=916:920
130	apenas	apenas	ADV	ADV	_	131	advmod	_	TokenRange=921:927
131	ponta	ponta	NOUN	NOUN	_	56	appos	_	TokenRange=928:933
132	iceberg	_	NOUN	NOUN	_	131	flat	_	TokenRange=934:941
133	todos	_	DET	DET	_	136	det	_	TokenRange=942:947
134	continentes	continente	NOUN	NOUN	_	138	nsubj	_	TokenRange=948:959
135	grandes	grande	ADJ	ADJ	_	136	amod	_	TokenRange=960:967
136	centros	centro	NOUN	NOUN	_	138	nsubj	_	TokenRange=968:975
137	urbanos	urbano	ADJ	ADJ	_	136	amod	_	TokenRange=976:983
138	enfrentam	enfrentar	VERB	VERB	_	65	parataxis	_	TokenRange=984:993
139	escassez	escassez	NOUN	NOUN	_	138	obj	_	TokenRange=994:1002
140	correm	correr	VERB	VERB	_	65	ccomp	_	TokenRange=1003:1009
141	contra	_	ADP	ADP	_	142	case	_	TokenRange=1010:1016
142	tempo	tempo	NOUN	NOUN	_	140	nmod	_	TokenRange=1017:1022
143	busca	buscar	VERB	VERB	_	70	parataxis	_	TokenRange=1023:1028
144	solucao	solucao	NOUN	NOUN	_	143	obj	_	TokenRange=1029:1036
145	conheca	conheco	ADJ	ADJ	_	144	amod	_	TokenRange=1037:1044
146	seguir	seguir	VERB	VERB	_	70	csubj	_	TokenRange=1045:1051
147	outras	_	DET	DET	_	149	det	_	TokenRange=1052:1058
148	11	_	NUM	NUM	NumType=Card	149	nummod	_	TokenRange=1059:1061
149	cidades	cidade	NOUN	NOUN	_	151	nsubj	_	TokenRange=1062:1069
150	podem	_	AUX	AUX	_	151	aux	_	TokenRange=1070:1075
151	ficar	ficar	VERB	VERB	_	70	ccomp	_	TokenRange=1076:1081
152	agua	_	NOUN	NOUN	_	151	obj	_	TokenRange=1082:1086
153	capital	capital	NOUN	NOUN	_	151	nsubj	_	TokenRange=1087:1094
154	paulista	paulista	ADJ	ADJ	_	153	amod	_	TokenRange=1095:1103
155	passou	passar	VERB	VERB	_	65	parataxis	_	TokenRange=1104:1110
156	situacao	_	NOUN	NOUN	_	155	obj	_	TokenRange=1111:1119
157	dramatica	dramatico	ADJ	ADJ	_	156	amod	_	TokenRange=1120:1129
158	2014	_	NUM	NUM	NumType=Card	156	nmod	_	TokenRange=1130:1134
159	2015	_	NUM	NUM	NumType=Card	86	nmod	_	TokenRange=1135:1139
160	principal	principal	ADJ	ADJ	_	161	amod	_	TokenRange=1140:1149
161	conjunto	conjunto	NOUN	NOUN	_	165	nsubj	_	TokenRange=1150:1158
162	reservatorios	reservatorio	ADJ	ADJ	_	161	amod	_	TokenRange=1159:1172
163	sistema	sistema	NOUN	NOUN	_	165	nsubj	_	TokenRange=1173:1180
164	cantareira	cantareiro	NOUN	NOUN	_	163	flat	_	TokenRange=1181:1191
165	atingiu	atingir	VERB	VERB	_	65	parataxis	_	TokenRange=1192:1199
166	menor	menor	ADJ	ADJ	_	167	amod	_	TokenRange=1200:1205
167	nivel	_	NOUN	NOUN	_	165	obj	_	TokenRange=1206:1211
168	historia	historia	NOUN	NOUN	_	165	obj	_	TokenRange=1212:1220
169	sabesp	_	NOUN	NOUN	_	103	appos	_	TokenRange=1221:1227
170	companhia	companhia	NOUN	NOUN	_	103	appos	_	TokenRange=1228:1237
171	paulista	paulista	ADJ	ADJ	_	97	amod	_	TokenRange=1238:1246
172	abastecimento	abastecimento	NOUN	NOUN	_	170	appos	_	TokenRange=1247:1260
173	passou	passar	AUX	AUX	_	176	aux	_	TokenRange=1261:1267
174	puxar	puxar	VERB	VERB	_	99	conj	_	TokenRange=1268:1273
175	agua	agua	NOUN	NOUN	_	174	obj	_	TokenRange=1274:1278
176	ficava	ficar	VERB	VERB	_	99	parataxis	_	TokenRange=1279:1285
177	abaixo	abaixo	ADV	ADV	_	176	advmod	_	TokenRange=1286:1292
178	canos	cano	NOUN	NOUN	_	176	nsubj	_	TokenRange=1293:1298
179	captacao	captacao	NOUN	NOUN	_	178	flat	_	TokenRange=1299:1307
180	chamado	chamar	AUX	AUX	_	181	cop	_	TokenRange=1308:1315
181	volume	volume	NOUN	NOUN	_	178	acl	_	TokenRange=1316:1322
182	morto	morto	ADJ	ADJ	_	181	amod	_	SpaceAfter=No|TokenRange=1323:1328

