# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sp obama diz coreia norte perigo real defende uso diplomacia paz expresidente falou sobre aquecimento global importancia engajamento defesa democracia acordo nuclear ira obamacare barack obama afirmou manha desta quintafeira 5 evento paulo coreia norte perigo real defendeu importancia diplomacia forte paz primeira vez expresidente americano vem brasil desde deixou casa branca comeco deste ano podemos resolver todos problemas tanques aeronaves coreia norte perigo real afirmou durante forum cidadao global seguranca depende apenas forca militar depende diplomacia forte alimentar aliancas encorajar cooperacao nacoes poder economias poder ideais importantes assegurar paz somente poder militar extraordinario declarou obama falou sobre importancia cultivar tolerancia destacou atualmente conectados nunca porem enfrentamos problemas ficamos presos nunca propria bolha desafiamos proprias premissas tudo tudo gente ve le algoritmo diz deveriamos ler ficamos seguros crencas filtramos informacoes acordo opiniao observou ouvir concordamos ressaltou comentar sobre impacto desenvolvimento comunicacao obama afirmou atualmente ideias amplificadas vale boas ideias bem ruins destrutivas toda
1	sp	_	CCONJ	CONJ	_	3	nsubj	_	TokenRange=0:2
25	barack	barack	NOUN	NOUN	_	24	appos	_	TokenRange=180:186
26	obama	_	NOUN	NOUN	_	25	flat	_	TokenRange=187:192
27	afirmou	afirmar	VERB	VERB	_	3	parataxis	_	TokenRange=193:200
28	manha	manha	NOUN	NOUN	_	27	obj	_	TokenRange=201:206
29	desta	_	ADP	ADP	_	30	case	_	TokenRange=207:212
30	quintafeira	quintafeira	NOUN	NOUN	_	28	nmod	_	TokenRange=213:224
31	5	_	NUM	NUM	NumType=Card	32	nummod	_	TokenRange=225:226
32	evento	evento	NOUN	NOUN	_	27	obj	_	TokenRange=227:233
33	paulo	paulo	NOUN	NOUN	_	32	amod	_	TokenRange=234:239
34	coreia	coreia	NOUN	NOUN	_	38	nsubj	_	TokenRange=240:246
35	norte	norte	ADJ	ADJ	_	36	amod	_	TokenRange=247:252
36	perigo	perigo	NOUN	NOUN	_	34	appos	_	TokenRange=253:259
37	real	real	ADJ	ADJ	_	36	amod	_	TokenRange=260:264
38	defendeu	defender	VERB	VERB	_	3	parataxis	_	TokenRange=265:273
39	importancia	importancia	NOUN	NOUN	_	38	obj	_	TokenRange=274:285
40	diplomacia	diplomacia	NOUN	NOUN	_	39	appos	_	TokenRange=286:296
41	forte	forte	ADJ	ADJ	_	42	amod	_	TokenRange=297:302
42	paz	paz	NOUN	NOUN	_	39	appos	_	TokenRange=303:306
43	primeira	primeiro	ADJ	ADJ	_	44	amod	_	TokenRange=307:315
44	vez	vez	NOUN	NOUN	_	47	nmod	_	TokenRange=316:319
45	expresidente	expresidente	NOUN	NOUN	_	47	nsubj	_	TokenRange=320:332
46	americano	americano	ADJ	ADJ	_	45	amod	_	TokenRange=333:342
47	vem	vir	VERB	VERB	_	38	parataxis	_	TokenRange=343:346
48	brasil	brasil	NOUN	NOUN	_	47	obj	_	TokenRange=347:353
49	desde	_	ADP	ADP	_	50	mark	_	TokenRange=354:359
50	deixou	deixar	VERB	VERB	_	47	advcl	_	TokenRange=360:366
51	casa	casa	NOUN	NOUN	_	50	obj	_	TokenRange=367:371
52	branca	branco	ADJ	ADJ	_	51	amod	_	TokenRange=372:378
53	comeco	comeco	NOUN	NOUN	_	57	nsubj	_	TokenRange=379:385
54	deste	_	ADP	ADP	_	55	case	_	TokenRange=386:391
55	ano	ano	NOUN	NOUN	_	53	nmod	_	TokenRange=392:395
56	podemos	_	AUX	AUX	_	57	aux	_	TokenRange=396:403
57	resolver	resolver	VERB	VERB	_	114	conj	_	TokenRange=404:412
58	todos	_	DET	DET	_	59	det	_	TokenRange=413:418
59	problemas	problema	NOUN	NOUN	_	57	obj	_	TokenRange=419:428
60	tanques	tanque	NOUN	NOUN	_	59	appos	_	TokenRange=429:436
61	aeronaves	aeronave	NOUN	NOUN	_	59	amod	_	TokenRange=437:446
62	coreia	coreia	NOUN	NOUN	_	57	nsubj	_	TokenRange=447:453
63	norte	norte	ADJ	ADJ	_	64	amod	_	TokenRange=454:459
64	perigo	perigo	NOUN	NOUN	_	62	appos	_	TokenRange=460:466
65	real	real	ADJ	ADJ	_	64	amod	_	TokenRange=467:471
66	afirmou	afirmar	VERB	VERB	_	3	parataxis	_	TokenRange=472:479
67	durante	_	ADP	ADP	_	68	case	_	TokenRange=480:487
68	forum	forum	NOUN	NOUN	_	66	nmod	_	TokenRange=488:493
69	cidadao	cidadao	NOUN	NOUN	_	68	appos	_	TokenRange=494:501
70	global	global	ADJ	ADJ	_	69	amod	_	TokenRange=502:508
71	seguranca	_	NOUN	NOUN	_	72	nsubj	_	TokenRange=509:518
72	depende	depender	VERB	VERB	_	68	acl:relcl	_	TokenRange=519:526
73	apenas	apenas	ADV	ADV	_	72	advmod	_	TokenRange=527:533
74	forca	forca	NOUN	NOUN	_	72	nsubj	_	TokenRange=534:539
75	militar	militar	ADJ	ADJ	_	74	amod	_	TokenRange=540:547
76	depende	depender	VERB	VERB	_	143	parataxis	_	TokenRange=548:555
77	diplomacia	diplomacia	NOUN	NOUN	_	76	obj	_	TokenRange=556:566
78	forte	forte	ADJ	ADJ	_	77	amod	_	TokenRange=567:572
79	alimentar	alimentar	VERB	VERB	_	77	acl:inf	_	TokenRange=573:582
80	aliancas	_	NOUN	NOUN	_	81	obj	_	TokenRange=583:591
81	encorajar	encorajar	VERB	VERB	_	77	acl:inf	_	TokenRange=592:601
82	cooperacao	cooperacao	NOUN	NOUN	_	81	obj	_	TokenRange=602:612
83	nacoes	_	NOUN	NOUN	_	81	obj	_	TokenRange=613:619
84	poder	poder	NOUN	NOUN	_	83	appos	_	TokenRange=620:625
85	economias	economia	NOUN	NOUN	_	83	amod	_	TokenRange=626:635
86	poder	poder	NOUN	NOUN	_	83	appos	_	TokenRange=636:641
87	ideais	ideal	ADJ	ADJ	_	86	amod	_	TokenRange=642:648
88	importantes	importante	ADJ	ADJ	_	86	amod	_	TokenRange=649:660
89	assegurar	assegurar	VERB	VERB	_	86	acl:inf	_	TokenRange=661:670
90	paz	paz	NOUN	NOUN	_	89	obj	_	TokenRange=671:674
91	somente	somente	ADV	ADV	_	92	advmod	_	TokenRange=675:682
92	poder	poder	NOUN	NOUN	_	89	obj	_	TokenRange=683:688
93	militar	militar	ADJ	ADJ	_	92	amod	_	TokenRange=689:696
94	extraordinario	extraordinario	ADJ	ADJ	_	92	amod	_	TokenRange=697:711
95	declarou	declarar	VERB	VERB	_	38	parataxis	_	TokenRange=712:720
96	obama	obama	NOUN	NOUN	_	95	nsubj	_	TokenRange=721:726
97	falou	falar	VERB	VERB	_	38	ccomp	_	TokenRange=727:732
98	sobre	_	ADP	ADP	_	99	case	_	TokenRange=733:738
99	importancia	importancia	NOUN	NOUN	_	97	nmod	_	TokenRange=739:750
100	cultivar	cultivar	VERB	VERB	_	39	acl:inf	_	TokenRange=751:759
101	tolerancia	tolerancia	NOUN	NOUN	_	100	obj	_	TokenRange=760:770
102	destacou	destacar	VERB	VERB	_	39	acl:relcl	_	TokenRange=771:779
103	atualmente	atualmente	ADV	ADV	_	102	advmod	_	TokenRange=780:790
104	conectados	conectado	ADJ	ADJ	_	102	xcomp	_	TokenRange=791:801
105	nunca	nunca	ADV	ADV	_	107	advmod	_	TokenRange=802:807
106	porem	_	ADV	ADV	_	107	advmod	_	TokenRange=808:813
107	enfrentamos	enfrentar	VERB	VERB	_	104	acl:relcl	_	TokenRange=814:825
108	problemas	problema	NOUN	NOUN	_	107	obj	_	TokenRange=826:835
109	ficamos	ficar	VERB	VERB	_	39	acl:relcl	_	TokenRange=836:843
110	presos	preso	ADJ	ADJ	_	109	xcomp	_	TokenRange=844:850
111	nunca	nunca	ADV	ADV	_	112	advmod	_	TokenRange=851:856
112	propria	proprio	ADJ	ADJ	_	45	amod	_	TokenRange=857:864
113	bolha	bolha	NOUN	NOUN	_	114	nsubj	_	TokenRange=865:870
114	desafiamos	desafiar	VERB	VERB	_	109	conj	_	TokenRange=871:881
115	proprias	proprio	ADJ	ADJ	_	116	amod	_	TokenRange=882:890
116	premissas	premissa	NOUN	NOUN	_	114	obj	_	TokenRange=891:900
117	tudo	_	PRON	PRON	_	120	obj	_	TokenRange=901:905
118	tudo	_	PRON	PRON	_	119	det	_	TokenRange=906:910
119	gente	gente	NOUN	NOUN	_	120	nsubj	_	TokenRange=911:916
120	ve	_	VERB	VERB	_	116	acl:relcl	_	TokenRange=917:919
121	le	_	DET	DET	_	122	det	_	TokenRange=920:922
122	algoritmo	algoritmo	NOUN	NOUN	_	120	obj	_	TokenRange=923:932
123	diz	dizer	VERB	VERB	_	120	ccomp	_	TokenRange=933:936
124	deveriamos	deveria	AUX	AUX	_	123	aux	_	TokenRange=937:947
125	ler	ler	VERB	VERB	_	123	xcomp	_	TokenRange=948:951
126	ficamos	ficar	VERB	VERB	_	125	ccomp	_	TokenRange=952:959
127	seguros	seguro	ADJ	ADJ	_	126	xcomp	_	TokenRange=960:967
128	crencas	crenca	NOUN	NOUN	_	129	nsubj	_	TokenRange=968:975
129	filtramos	filtrar	VERB	VERB	_	126	conj	_	TokenRange=976:985
130	informacoes	_	NOUN	NOUN	_	129	obj	_	TokenRange=986:997
131	acordo	acordo	NOUN	NOUN	_	130	appos	_	TokenRange=998:1004
132	opiniao	opiniao	ADJ	ADJ	_	131	amod	_	TokenRange=1005:1012
133	observou	observar	VERB	VERB	_	62	acl:relcl	_	TokenRange=1013:1021
134	ouvir	ouvir	VERB	VERB	_	133	xcomp	_	TokenRange=1022:1027
135	concordamos	concordar	VERB	VERB	_	134	ccomp	_	TokenRange=1028:1039
136	ressaltou	ressaltar	VERB	VERB	_	133	ccomp	_	TokenRange=1040:1049
137	comentar	comentar	VERB	VERB	_	136	xcomp	_	TokenRange=1050:1058
138	sobre	_	ADP	ADP	_	139	case	_	TokenRange=1059:1064
139	impacto	impacto	NOUN	NOUN	_	137	nmod	_	TokenRange=1065:1072
140	desenvolvimento	desenvolvimento	NOUN	NOUN	_	139	flat	_	TokenRange=1073:1088
141	comunicacao	comunicacao	ADJ	ADJ	_	139	amod	_	TokenRange=1089:1100
142	obama	obama	NOUN	NOUN	_	143	nsubj	_	TokenRange=1101:1106
143	afirmou	afirmar	VERB	VERB	_	66	conj	_	TokenRange=1107:1114
144	atualmente	atualmente	ADV	ADV	_	143	advmod	_	TokenRange=1115:1125
145	ideias	ideia	NOUN	NOUN	_	143	obj	_	TokenRange=1126:1132
146	amplificadas	amplificado	ADJ	ADJ	_	145	amod	_	TokenRange=1133:1145
147	vale	_	VERB	VERB	_	143	ccomp	_	TokenRange=1146:1150
148	boas	bom	ADJ	ADJ	_	149	amod	_	TokenRange=1151:1155
149	ideias	ideia	NOUN	NOUN	_	147	obj	_	TokenRange=1156:1162
150	bem	bem	ADV	ADV	_	151	advmod	_	TokenRange=1163:1166
151	ruins	ruim	ADJ	ADJ	_	149	amod	_	TokenRange=1167:1172
152	destrutivas	destrutivo	ADJ	ADJ	_	149	amod	_	TokenRange=1173:1184
153	toda	_	DET	DET	_	149	det	_	SpaceAfter=No|TokenRange=1185:1189

