# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cada vez disseminado fake news transformou farisaismo religiao noticias falsas bemsucedidas verdadeiras caso marielle pode apontar caminho combatelas existem menos dois tipos fake news culposa dolosa nota colunista politico jornal carioca anunciou renuncia temer tarde maio ano passado fake culposa pois intencao derrubar presidente amigo ibovespa culposa bumerangue derrubou apenas reputacao colunista dolosa fake desembargadora marilia castro neves imputando marielle franco coisas assassinada vereadora psol nunca fizera indisfarcavel intuito denegrir imagem vitima tabela minimizar culpa executores dolosa bumerangue nunca hater atuante midias sociais apanhou tanto inclusive pares conta postagem caluniosa primeira ultima linha base informacoes levianamente colhidas texto amiga amiga queremos conhecer identidade afinal cometeu primeiro delito desinformando autoridade judiciario sobre passado marielle valendose especie segredo injustica desembargadora denunciou amiga imagino cobrado satisfacoes acusadoa irresponsavel amiga igualmente coberta razao retrucado irresponsavel marilia checou informacoes checou porque presumo 1 confiava cegamente amiga resto nada confiavel mente sordida bastante fofocar infamias escrito 2 babados amiga coonestavam preconceituosas desconfiancas respeito vereadora 3 pressa desembargar patranha
1	cada	_	DET	DET	_	2	det	_	TokenRange=0:4
42	intencao	_	NOUN	NOUN	_	43	nsubj	_	TokenRange=304:312
43	derrubar	derrubar	VERB	VERB	_	39	acl:relcl	_	TokenRange=313:321
44	presidente	presidente	NOUN	NOUN	_	43	obj	_	TokenRange=322:332
45	amigo	amigo	NOUN	NOUN	_	44	flat	_	TokenRange=333:338
46	ibovespa	_	NOUN	NOUN	_	44	appos	_	TokenRange=339:347
47	culposa	culposo	ADJ	ADJ	_	48	amod	_	TokenRange=348:355
48	bumerangue	bumerangue	NOUN	NOUN	_	133	nsubj	_	TokenRange=356:366
49	derrubou	derrubar	VERB	VERB	_	135	ccomp	_	TokenRange=367:375
50	apenas	apenas	ADV	ADV	_	49	advmod	_	TokenRange=376:382
51	reputacao	reputacao	NOUN	NOUN	_	49	obj	_	TokenRange=383:392
52	colunista	colunista	ADJ	ADJ	_	51	amod	_	TokenRange=393:402
53	dolosa	doloso	ADJ	ADJ	_	51	amod	_	TokenRange=403:409
54	fake	_	NOUN	NOUN	_	49	nsubj	_	TokenRange=410:414
55	desembargadora	desembargador	NOUN	NOUN	_	54	flat	_	TokenRange=415:429
56	marilia	marilia	NOUN	NOUN	_	54	appos	_	TokenRange=430:437
57	castro	castro	NOUN	NOUN	_	56	flat	_	TokenRange=438:444
58	neves	neve	ADJ	ADJ	_	56	amod	_	TokenRange=445:450
59	imputando	imputar	VERB	VERB	_	54	acl	_	TokenRange=451:460
60	marielle	_	NOUN	NOUN	_	59	obj	_	TokenRange=461:469
61	franco	_	ADJ	NOUN	_	60	amod	_	TokenRange=470:476
62	coisas	coisa	NOUN	NOUN	_	59	obj	_	TokenRange=477:483
63	assassinada	assassinar	VERB	VERB	_	64	acl	_	TokenRange=484:495
64	vereadora	vereador	NOUN	NOUN	_	67	nsubj	_	TokenRange=496:505
65	psol	_	NOUN	NOUN	_	64	appos	_	TokenRange=506:510
66	nunca	nunca	ADV	ADV	_	67	advmod	_	TokenRange=511:516
67	fizera	fazer	VERB	VERB	_	60	acl:relcl	_	TokenRange=517:523
68	indisfarcavel	_	ADJ	ADJ	_	67	xcomp	_	TokenRange=524:537
69	intuito	intuito	NOUN	NOUN	_	70	mark	_	TokenRange=538:545
70	denegrir	denegrir	VERB	VERB	_	67	ccomp	_	TokenRange=546:554
71	imagem	imagem	NOUN	NOUN	_	70	obj	_	TokenRange=555:561
72	vitima	_	ADJ	ADJ	_	71	amod	_	TokenRange=562:568
73	tabela	tabela	NOUN	NOUN	_	70	nsubj	_	TokenRange=569:575
74	minimizar	minimizar	VERB	VERB	_	70	ccomp	_	TokenRange=576:585
75	culpa	culpa	NOUN	NOUN	_	74	obj	_	TokenRange=586:591
76	executores	executor	NOUN	NOUN	_	75	appos	_	TokenRange=592:602
77	dolosa	doloso	ADJ	ADJ	_	82	amod	_	TokenRange=603:609
78	bumerangue	bumerangue	NOUN	NOUN	_	74	obj	_	TokenRange=610:620
79	nunca	nunca	ADV	ADV	_	80	advmod	_	TokenRange=621:626
80	hater	hater	VERB	VERB	_	74	ccomp	_	TokenRange=627:632
81	atuante	_	ADJ	ADJ	_	82	amod	_	TokenRange=633:640
82	midias	_	NOUN	NOUN	_	80	obj	_	TokenRange=641:647
83	sociais	social	ADJ	ADJ	_	82	amod	_	TokenRange=648:655
84	apanhou	apanhar	VERB	VERB	_	70	parataxis	_	TokenRange=656:663
85	tanto	_	ADV	ADV	_	86	advmod	_	TokenRange=664:669
86	inclusive	inclusive	ADV	ADV	_	84	advmod	_	TokenRange=670:679
87	pares	par	NOUN	NOUN	_	84	obj	_	TokenRange=680:685
88	conta	conta	NOUN	NOUN	_	84	parataxis	_	TokenRange=686:691
89	postagem	postagem	NOUN	NOUN	_	84	obj	_	TokenRange=692:700
90	caluniosa	calunioso	ADJ	ADJ	_	89	amod	_	TokenRange=701:710
91	primeira	primeiro	ADJ	ADJ	_	93	amod	_	TokenRange=711:719
92	ultima	_	ADJ	ADJ	_	93	amod	_	TokenRange=720:726
93	linha	_	NOUN	NOUN	_	84	nsubj	_	TokenRange=727:732
94	base	base	NOUN	NOUN	_	84	appos	_	TokenRange=733:737
95	informacoes	informacoe	NOUN	NOUN	_	84	nsubj	_	TokenRange=738:749
96	levianamente	levianamente	ADV	ADV	_	97	advmod	_	TokenRange=750:762
97	colhidas	colher	VERB	ADJ	_	95	acl	_	TokenRange=763:771
98	texto	texto	NOUN	NOUN	_	101	nsubj	_	TokenRange=772:777
99	amiga	amigo	NOUN	NOUN	_	98	appos	_	TokenRange=778:783
100	amiga	amigo	NOUN	NOUN	_	98	appos	_	TokenRange=784:789
101	queremos	querer	VERB	VERB	_	93	acl:relcl	_	TokenRange=790:798
102	conhecer	conhecer	VERB	VERB	_	101	xcomp	_	TokenRange=799:807
103	identidade	identidade	NOUN	NOUN	_	102	obj	_	TokenRange=808:818
104	afinal	afinal	ADV	ADV	_	102	advmod	_	TokenRange=819:825
105	cometeu	cometer	VERB	VERB	_	102	parataxis	_	TokenRange=826:833
106	primeiro	primeiro	ADJ	ADJ	_	107	amod	_	TokenRange=834:842
107	delito	delito	NOUN	NOUN	_	105	obj	_	TokenRange=843:849
108	desinformando	desinformar	VERB	VERB	_	107	acl	_	TokenRange=850:863
109	autoridade	autoridade	NOUN	NOUN	_	108	obj	_	TokenRange=864:874
110	judiciario	judiciario	ADJ	ADJ	_	109	amod	_	TokenRange=875:885
111	sobre	_	ADP	ADP	_	112	mark	_	TokenRange=886:891
112	passado	passado	ADJ	ADJ	_	113	amod	_	TokenRange=892:899
113	marielle	_	NOUN	NOUN	_	102	nmod	_	TokenRange=900:908
114	valendose	_	NOUN	NOUN	_	102	appos	_	TokenRange=909:918
115	especie	especie	NOUN	NOUN	_	114	obj	_	TokenRange=919:926
116	segredo	segredo	NOUN	NOUN	_	115	flat	_	TokenRange=927:934
117	injustica	injustico	ADJ	ADJ	_	115	amod	_	TokenRange=935:944
118	desembargadora	desembargador	NOUN	NOUN	_	119	nsubj	_	TokenRange=945:959
119	denunciou	denunciar	VERB	VERB	_	32	parataxis	_	TokenRange=960:969
120	amiga	amigo	NOUN	NOUN	_	119	obj	_	TokenRange=970:975
121	imagino	imagino	NOUN	NOUN	_	120	flat	_	TokenRange=976:983
122	cobrado	_	ADJ	VERB	_	120	amod	_	TokenRange=984:991
123	satisfacoes	_	NOUN	NOUN	_	120	flat	_	TokenRange=992:1003
124	acusadoa	_	ADJ	ADJ	_	126	amod	_	TokenRange=1004:1012
125	irresponsavel	irresponsavel	ADJ	ADJ	_	126	amod	_	TokenRange=1013:1026
126	amiga	amigo	NOUN	NOUN	_	119	nsubj	_	TokenRange=1027:1032
127	igualmente	igualmente	ADV	ADV	_	128	advmod	_	TokenRange=1033:1043
128	coberta	coberto	ADJ	ADJ	_	126	amod	_	TokenRange=1044:1051
129	razao	razao	NOUN	NOUN	_	43	obj	_	TokenRange=1052:1057
130	retrucado	retrucado	ADJ	ADJ	_	126	amod	_	TokenRange=1058:1067
131	irresponsavel	irresponsavel	ADJ	ADJ	_	129	amod	_	TokenRange=1068:1081
132	marilia	marilia	NOUN	NOUN	_	133	nsubj	_	TokenRange=1082:1089
133	checou	checar	VERB	VERB	_	6	parataxis	_	TokenRange=1090:1096
134	informacoes	_	NOUN	NOUN	_	133	obj	_	TokenRange=1097:1108
135	checou	checar	VERB	VERB	_	133	parataxis	_	TokenRange=1109:1115
136	porque	_	CCONJ	CONJ	_	139	mark	_	TokenRange=1116:1122
137	presumo	_	VERB	VERB	_	49	advcl	_	TokenRange=1123:1130
138	1	_	NUM	NUM	NumType=Card	139	nsubj	_	TokenRange=1131:1132
139	confiava	confiar	VERB	VERB	_	137	ccomp	_	TokenRange=1133:1141
140	cegamente	cegamente	ADV	ADV	_	139	advmod	_	TokenRange=1142:1151
141	amiga	amigo	NOUN	NOUN	_	139	obj	_	TokenRange=1152:1157
142	resto	resto	NOUN	NOUN	_	60	appos	_	TokenRange=1158:1163
143	nada	nada	ADV	ADV	_	144	advmod	_	TokenRange=1164:1168
144	confiavel	confiavel	ADJ	ADJ	_	142	amod	_	TokenRange=1169:1178
145	mente	mente	NOUN	NOUN	_	144	nsubj	_	TokenRange=1179:1184
146	sordida	sordido	ADJ	ADJ	_	145	amod	_	TokenRange=1185:1192
147	bastante	bastante	ADV	ADV	_	67	advmod	_	TokenRange=1193:1201
148	fofocar	fofocar	VERB	VERB	_	67	ccomp	_	TokenRange=1202:1209
149	infamias	_	NOUN	NOUN	_	70	obj	_	TokenRange=1210:1218
150	escrito	escrever	VERB	VERB	_	71	acl	_	TokenRange=1219:1226
151	2	_	NUM	NUM	NumType=Card	152	nummod	_	TokenRange=1227:1228
152	babados	babado	NOUN	NOUN	_	74	obj	_	TokenRange=1229:1236
153	amiga	amigo	NOUN	NOUN	_	154	nsubj	_	TokenRange=1237:1242
154	coonestavam	coonestar	VERB	VERB	_	67	conj	_	TokenRange=1243:1254
155	preconceituosas	preconceituoso	ADJ	ADJ	_	82	amod	_	TokenRange=1255:1270
156	desconfiancas	_	ADJ	NOUN	_	154	obj	_	TokenRange=1271:1284
157	respeito	respeito	NOUN	NOUN	_	154	obj	_	TokenRange=1285:1293
158	vereadora	vereador	NOUN	NOUN	_	157	flat	_	TokenRange=1294:1303
159	3	_	NUM	NUM	NumType=Card	160	nsubj	_	TokenRange=1304:1305
160	pressa	pressar	VERB	VERB	_	154	parataxis	_	TokenRange=1306:1312
161	desembargar	desembargar	VERB	VERB	_	160	xcomp	_	TokenRange=1313:1324
162	patranha	patranha	NOUN	NOUN	_	161	obj	_	SpaceAfter=No|TokenRange=1325:1333

