1 fracasso fracasso 19 NOUN parataxis
76 obteve obter 71 VERB acl:relcl
77 12408 12408 78 NUM nummod
78 votos voto 76 NOUN obj
79 representa representar 148 VERB parataxis
80 023 023 81 NUM nummod
81 votos voto 79 NOUN obj
82 validos valido 81 ADJ amod
83 capital capital 79 NOUN nsubj
84 atchim atchim 164 NOUN appos
85 prbsp prbsp 34 NOUN appos
86 dupla duplo 159 ADJ amod
87 atchim atchim 76 NOUN nsubj
88 espirro espirro 157 NOUN flat
89 eleito eleger 159 VERB acl
90 recebeu receber 163 VERB parataxis
91 apenas apenas 92 ADV advmod
92 1123 1123 93 NUM nummod
93 votos voto 90 NOUN obj
94 representa representar 163 VERB parataxis
95 002 002 97 NUM nummod
96 total total 97 ADJ amod
97 votos voto 94 NOUN obj
98 validos valido 97 ADJ amod
99 capital capital 101 NOUN nsubj
100 paulista paulista 99 ADJ amod
101 confira conferir 19 VERB parataxis
102 demais demais 103 DET det
103 candidatos candidato 101 NOUN obj
104 lista lista 101 NOUN parataxis
105 abaixo abaixo 106 ADV advmod
106 1 1 107 NUM nummod
107 thammy thammy 113 NOUN nsubj
108 miranda miranda 107 ADJ flat
109 ator ator 107 NOUN appos
110 thammy thammy 109 NOUN appos
111 miranda miranda 110 NOUN flat
112 pp pp 110 NOUN flat
113 perdeu perder 104 VERB acl:relcl
114 disputa disputa 113 NOUN obj
115 cargo cargo 114 NOUN flat
116 vereador vereador 113 NOUN nsubj
117 paulo paulo 116 NOUN appos
118 thammy thammy 117 NOUN flat
119 12408 12408 120 NUM nummod
120 votos voto 121 NOUN obj
121 representa representar 113 VERB parataxis
122 023 023 123 NUM nummod
123 votos voto 121 NOUN obj
124 validos valido 123 ADJ amod
125 capital capital 121 NOUN nsubj
126 2 2 123 NUM nummod
127 marquito marquito 121 NOUN nsubj
128 vereador vereador 127 NOUN appos
129 candidato candidato 127 NOUN appos
130 reeleicao reeleicao 48 ADJ amod
131 marquito marquito 48 NOUN appos
132 perdeu perder 19 VERB parataxis
133 disputa disputa 132 NOUN obj
134 capital capital 133 NOUN appos
135 paulista paulista 134 ADJ amod
136 exassistente exassistente 137 ADJ amod
137 palco palco 133 NOUN appos
138 programa programa 132 NOUN obj
139 ratinho rato 141 ADJ amod
140 investigado investigar 141 ADJ amod
141 ministerio ministerio 54 NOUN appos
142 publico publico 141 ADJ amod
143 estadual estadual 141 ADJ amod
144 paulo paulo 59 NOUN appos
145 suspeita suspeito 59 ADJ amod
146 corrupcao corrupcao 63 NOUN nsubj
147 marquito marquito 146 NOUN amod
148 obteve obter 63 VERB conj
149 apenas apenas 150 ADV advmod
150 5114 5114 151 NUM nummod
151 votos voto 148 NOUN obj
152 representa representar 148 VERB parataxis
153 010 010 69 NUM nummod
154 votos voto 152 NOUN obj
155 validos valido 154 ADJ amod
156 3 3 157 NUM nummod
157 andre andre 148 NOUN nsubj
158 carvalho carvalho 157 ADJ amod
159 cantor cantor 71 NOUN appos
160 sertanejo sertanejo 159 ADJ amod
161 andre andre 159 NOUN appos
162 carvalho carvalho 161 NOUN flat
163 disputava disputar 148 VERB parataxis
164 cargo cargo 163 NOUN obj
165 vereador vereador 81 NOUN appos
166 capital capital 164 NOUN appos
167 paulista paulista 166 ADJ amod
168 pp pp 85 ADJ amod
169 conquistou conquistar 163 VERB conj
170 apenas apenas 92 ADV advmod
171 104 104 172 NUM nummod
172 votos voto 169 NOUN obj
173 representa representar 163 VERB parataxis
174 001 001 176 NUM nummod
175 total total 176 ADJ amod
176 votos voto 173 NOUN obj
177 validos valido 176 ADJ amod
178 4 4 179 NUM nummod
179 exjogador exjogador 187 NOUN nsubj
180 marcelinho marcelinho 179 NOUN appos
181 carioca carioca 179 ADJ amod
182 exjogador exjogador 179 ADJ amod
183 futebol futebol 179 NOUN appos
184 marcelinho marcelinho 179 ADJ appos
185 carioca carioca 184 ADJ amod
186 prb prb 187 NOUN nsubj
187 venceu vencer 40 VERB conj
188 disputa disputa 187 NOUN obj
189 cargo cargo 188 NOUN flat
190 vereador vereador 188 NOUN flat
191 paulo paulo 193 NOUN nsubj
192 candidato candidato 191 NOUN flat
193 obteve obter 187 VERB conj
194 12602 12602 195 NUM nummod
195 votos voto 193 NOUN obj
196 representa representar 187 VERB parataxis
197 024 024 199 NUM nummod
198 total total 199 ADJ amod
199 votos voto 196 NOUN obj
200 validos valido 199 ADJ amod
