# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tres ministros de temer abalaramse de brasilia para o rio para contar ao presidente do tjrj desembargador milton fernandes de souza que as operacoes policiais na intervencao federal na seguranca do rio respeitarao a constituicao e os direitos fundamentais bidu o fato de ser caso a caso e obvio por ser um principio juridico assim como a bola e redonda o dado e quadrado e mae e mae vaca e vaca seja como for tais medidas violam o estado de direito de fato isso ja foi feito mas so serve para lembrar que alem de burra a expresidente dilma rousseff sob cuja egide ocorreu o fato lembrado tambem e de um cinismo atroz pois ela teve o desplante de reclamar desse arreganho de arbitrio em rede social e perdeu a oportunosa ensancha de calar comentario no jornal eldorado
1	tres	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:4
42	os	o	DET	DET	_	43	det	_	TokenRange=231:233
43	direitos	direito	NOUN	NOUN	_	40	conj	_	TokenRange=234:242
44	fundamentais	fundamental	ADJ	ADJ	_	43	amod	_	TokenRange=243:255
45	bidu	biar	VERB	VERB	_	5	conj	_	TokenRange=256:260
46	o	o	DET	DET	_	47	det	_	TokenRange=261:262
47	fato	fato	NOUN	NOUN	_	45	obj	_	TokenRange=263:267
48	de	_	ADP	ADP	_	50	mark	_	TokenRange=268:270
49	ser	ser	AUX	AUX	_	50	cop	_	TokenRange=271:274
50	caso	caso	NOUN	NOUN	_	47	nmod	_	TokenRange=275:279
51	a	_	ADP	ADP	_	52	case	_	TokenRange=280:281
52	caso	caso	NOUN	NOUN	_	50	nmod	_	TokenRange=282:286
53	e	e	CCONJ	CONJ	_	54	cc	_	TokenRange=287:288
54	obvio	obvio	ADJ	ADJ	_	50	conj	_	TokenRange=289:294
55	por	_	ADP	ADP	_	58	mark	_	TokenRange=295:298
56	ser	ser	AUX	AUX	_	58	cop	_	TokenRange=299:302
57	um	um	DET	DET	_	58	det	_	TokenRange=303:305
58	principio	principio	NOUN	NOUN	_	54	nmod	_	TokenRange=306:315
59	juridico	juridico	ADJ	ADJ	_	58	amod	_	TokenRange=316:324
60	assim	assim	ADV	ADV	_	63	case	_	TokenRange=325:330
61	como	_	ADP	ADP	_	60	fixed	_	TokenRange=331:335
62	a	o	DET	DET	_	63	det	_	TokenRange=336:337
63	bola	bola	NOUN	NOUN	_	58	nmod	_	TokenRange=338:342
64	e	e	CCONJ	CONJ	_	65	cc	_	TokenRange=343:344
65	redonda	redondo	ADJ	ADJ	_	63	conj	_	TokenRange=345:352
66	o	o	DET	DET	_	67	det	_	TokenRange=353:354
67	dado	dado	NOUN	NOUN	_	82	obj	_	TokenRange=355:359
68	e	e	CCONJ	CONJ	_	69	cc	_	TokenRange=360:361
69	quadrado	quadrado	ADJ	ADJ	_	67	conj	_	TokenRange=362:370
70	e	e	CCONJ	CONJ	_	77	cc	_	TokenRange=371:372
71	mae	mae	NOUN	NOUN	_	77	nsubj	_	TokenRange=373:376
72	e	e	CCONJ	CONJ	_	76	cc	_	TokenRange=377:378
73	mae	mae	NOUN	NOUN	_	71	conj	_	TokenRange=379:382
74	vaca	_	NOUN	NOUN	_	77	nsubj	_	TokenRange=383:387
75	e	e	CCONJ	CONJ	_	76	cc	_	TokenRange=388:389
76	vaca	_	NOUN	NOUN	_	74	conj	_	TokenRange=390:394
77	seja	ser	VERB	VERB	_	45	conj	_	TokenRange=395:399
78	como	_	CCONJ	CONJ	_	82	mark	_	TokenRange=400:404
79	for	_	VERB	CONJ	_	82	advcl	_	TokenRange=405:408
80	tais	_	DET	DET	_	81	det	_	TokenRange=409:413
81	medidas	medida	NOUN	NOUN	_	82	nsubj	_	TokenRange=414:421
82	violam	violar	VERB	VERB	_	77	advcl	_	TokenRange=422:428
83	o	o	DET	DET	_	84	det	_	TokenRange=429:430
84	estado	estado	NOUN	NOUN	_	82	obj	_	TokenRange=431:437
85	de	de	ADP	ADP	_	86	case	_	TokenRange=438:440
86	direito	direito	NOUN	NOUN	_	84	nmod	_	TokenRange=441:448
87	de	de	ADP	ADP	_	88	case	_	TokenRange=449:451
88	fato	fato	NOUN	NOUN	_	82	nmod	_	TokenRange=452:456
89	isso	_	PRON	PRON	_	92	nsubj:pass	_	TokenRange=457:461
90	ja	ja	ADV	ADV	_	92	advmod	_	TokenRange=462:464
91	foi	_	AUX	AUX	_	92	aux:pass	_	TokenRange=465:468
92	feito	_	VERB	VERB	_	77	conj	_	TokenRange=469:474
93	mas	mas	CCONJ	CONJ	_	95	cc	_	TokenRange=475:478
94	so	so	ADV	ADV	_	95	advmod	_	TokenRange=479:481
95	serve	servir	VERB	VERB	_	77	conj	_	TokenRange=482:487
96	para	_	ADP	ADP	_	97	mark	_	TokenRange=488:492
97	lembrar	lembrar	VERB	VERB	_	95	nmod	_	TokenRange=493:500
98	que	que	CCONJ	CONJ	_	117	mark	_	TokenRange=501:504
99	alem	alem	ADV	ADV	_	121	advmod	_	TokenRange=505:509
100	de	de	ADP	ADP	_	101	case	_	TokenRange=510:512
101	burra	burra	NOUN	NOUN	_	99	nmod	_	TokenRange=513:518
102	a	o	DET	DET	_	103	det	_	TokenRange=519:520
103	expresidente	expresidente	NOUN	NOUN	_	121	nsubj	_	TokenRange=521:533
104	dilma	dilmo	ADJ	ADJ	_	103	amod	_	TokenRange=534:539
105	rousseff	rousseff	ADJ	ADJ	_	103	amod	_	TokenRange=540:548
106	sob	_	ADP	ADP	_	108	case	_	TokenRange=549:552
107	cuja	_	DET	DET	_	108	det	_	TokenRange=553:557
108	egide	egide	NOUN	NOUN	_	109	nmod	_	TokenRange=558:563
109	ocorreu	ocorrer	VERB	VERB	_	103	acl:relcl	_	TokenRange=564:571
110	o	o	DET	DET	_	111	det	_	TokenRange=572:573
111	fato	fato	NOUN	NOUN	_	109	nsubj	_	TokenRange=574:578
112	lembrado	lembrar	VERB	VERB	_	111	acl	_	TokenRange=579:587
113	tambem	tambem	ADV	ADV	_	112	advmod	_	TokenRange=588:594
114	e	e	CCONJ	CONJ	_	117	cc	_	TokenRange=595:596
115	de	de	ADP	ADP	_	117	case	_	TokenRange=597:599
116	um	um	DET	DET	_	117	det	_	TokenRange=600:602
117	cinismo	cinismo	NOUN	NOUN	_	97	conj	_	TokenRange=603:610
118	atroz	atroz	ADJ	ADJ	_	117	amod	_	TokenRange=611:616
119	pois	_	CCONJ	CONJ	_	121	mark	_	TokenRange=617:621
120	ela	_	PRON	PRON	_	121	nsubj	_	TokenRange=622:625
121	teve	ter	VERB	VERB	_	95	advcl	_	TokenRange=626:630
122	o	o	DET	DET	_	123	det	_	TokenRange=631:632
123	desplante	desplante	NOUN	NOUN	_	121	obj	_	TokenRange=633:642
124	de	_	ADP	ADP	_	125	mark	_	TokenRange=643:645
125	reclamar	reclamar	VERB	VERB	_	123	nmod	_	TokenRange=646:654
126	desse	_	ADP	ADP	_	127	case	_	TokenRange=655:660
127	arreganho	arreganho	NOUN	NOUN	_	125	nmod	_	TokenRange=661:670
128	de	de	ADP	ADP	_	129	case	_	TokenRange=671:673
129	arbitrio	arbitrio	NOUN	NOUN	_	127	nmod	_	TokenRange=674:682
130	em	em	ADP	ADP	_	131	case	_	TokenRange=683:685
131	rede	rede	NOUN	NOUN	_	125	nmod	_	TokenRange=686:690
132	social	social	ADJ	ADJ	_	131	amod	_	TokenRange=691:697
133	e	e	CCONJ	CONJ	_	134	cc	_	TokenRange=698:699
134	perdeu	perder	VERB	VERB	_	121	conj	_	TokenRange=700:706
135	a	o	DET	DET	_	137	det	_	TokenRange=707:708
136	oportunosa	oportunoso	ADJ	ADJ	_	137	amod	_	TokenRange=709:719
137	ensancha	ensancha	NOUN	NOUN	_	134	obj	_	TokenRange=720:728
138	de	_	ADP	ADP	_	139	mark	_	TokenRange=729:731
139	calar	calar	VERB	VERB	_	137	nmod	_	TokenRange=732:737
140	comentario	comentario	NOUN	NOUN	_	139	obj	_	TokenRange=738:748
141-142	no	_	_	_	_	_	_	_	TokenRange=749:751
141	em	em	ADP	ADP	_	143	case	_	_
142	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	143	det	_	_
143	jornal	jornal	NOUN	NOUN	_	139	nmod	_	TokenRange=752:758
144	eldorado	eldorado	ADJ	ADJ	_	143	amod	_	SpacesAfter=\s\s|TokenRange=759:767

