# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = sp tem 1 lar roubado por hora e maior n de ataques a residencias em 3 anos somente no ano passado aconteceram 10905 crimes desse tipo no estado elevacao de 85 ante o ano anterior sao paulo e sorocaba o empresario miguel antonio dos santos de 56 anos de sorocaba interior de sao paulo ainda nao se livrou do trauma causado pelo assalto a mao armada que sofreu em sua casa com a familia em abril de 2016 um dos filhos tinha acabado de sair com o carro para o trabalho e o portao automatico ainda nao tinha fechado quando os dois ladroes entraram a mulher a filha e um empregado foram dominados eu dormia no quarto quando fui acordado com o cano da arma batendo em minha cabeca os bandidos amarraram santos e vasculharam a casa recolhendo r 12 mil em dinheiro 4 celulares relogios tvs e as joias da familia o bandido ficava engatilhando o revolver apontando para a cabeca da minha filha por fim jogaram tudo sobre a caminhonete de santos e tambem levaram o veiculo a cada hora pelo menos um lar paulista e invadido e o numero de roubos a residencias em 2016 foi o maior em tres anos so no ano passado aconteceram 10905 roubos dessa natureza elevacao de 85 ante o ano anterior desde 2014 a secretaria da seguranca publica ssp analisa o perfil dos roubos no estado naquele ano os casos contra residencias representavam 223 do total hoje chegam a 254 neste ano ja ocorreram
1	sp	_	PART	PRT	_	2	nsubj	_	TokenRange=0:2
175	filha	filho	NOUN	NOUN	_	171	nmod	_	TokenRange=878:883
176	por	_	ADP	ADP	_	177	case	_	TokenRange=884:887
177	fim	fim	NOUN	NOUN	_	178	nmod	_	TokenRange=888:891
178	jogaram	jogar	VERB	VERB	_	168	advcl	_	TokenRange=892:899
179	tudo	_	PRON	PRON	_	178	obj	_	TokenRange=900:904
180	sobre	_	ADP	ADP	_	182	case	_	TokenRange=905:910
181	a	o	DET	DET	_	182	det	_	TokenRange=911:912
182	caminhonete	caminhão	NOUN	NOUN	_	178	nmod	_	TokenRange=913:924
183	de	de	ADP	ADP	_	184	case	_	TokenRange=925:927
184	santos	santo	NOUN	NOUN	_	182	nmod	_	TokenRange=928:934
185	e	e	CCONJ	CONJ	_	187	cc	_	TokenRange=935:936
186	tambem	tambem	ADV	ADV	_	187	advmod	_	TokenRange=937:943
187	levaram	levar	VERB	VERB	_	61	conj	_	TokenRange=944:951
188	o	o	DET	DET	_	189	det	_	TokenRange=952:953
189	veiculo	veiculo	NOUN	NOUN	_	187	obj	_	TokenRange=954:961
190	a	_	ADP	ADP	_	192	case	_	TokenRange=962:963
191	cada	_	DET	DET	_	192	det	_	TokenRange=964:968
192	hora	hora	NOUN	NOUN	_	187	nmod	_	TokenRange=969:973
193-194	pelo	_	_	_	_	_	_	_	TokenRange=974:978
193	por	por	ADP	ADP	_	195	case	_	_
194	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	195	det	_	_
195	menos	menos	ADV	ADV	_	196	advmod	_	TokenRange=979:984
196	um	_	NUM	NUM	NumType=Card	197	nummod	_	TokenRange=985:987
197	lar	lar	NOUN	NOUN	_	187	obj	_	TokenRange=988:991
198	paulista	paulista	ADJ	ADJ	_	197	amod	_	TokenRange=992:1000
199	e	e	CCONJ	CONJ	_	200	cc	_	TokenRange=1001:1002
200	invadido	invadir	VERB	VERB	_	198	conj	_	TokenRange=1003:1011
201	e	e	CCONJ	CONJ	_	210	cc	_	TokenRange=1012:1013
202	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	210	det	_	TokenRange=1014:1015
203	numero	numero	NOUN	NOUN	_	210	nsubj	_	TokenRange=1016:1022
204	de	de	ADP	ADP	_	205	case	_	TokenRange=1023:1025
205	roubos	roubo	NOUN	NOUN	_	203	nmod	_	TokenRange=1026:1032
206	a	_	ADP	ADP	_	207	case	_	TokenRange=1033:1034
207	residencias	_	NOUN	NOUN	_	205	nmod	_	TokenRange=1035:1046
208	em	em	ADP	ADP	_	209	case	_	TokenRange=1047:1049
209	2016	_	NUM	NUM	NumType=Card	203	nmod	_	TokenRange=1050:1054
210	foi	_	VERB	VERB	_	91	conj	_	TokenRange=1055:1058
211	o	o	DET	DET	_	212	det	_	TokenRange=1059:1060
212	maior	maior	NOUN	NOUN	_	210	xcomp	_	TokenRange=1061:1066
213	em	em	ADP	ADP	_	215	case	_	TokenRange=1067:1069
214	tres	_	NUM	NUM	NumType=Card	215	nummod	_	TokenRange=1070:1074
215	anos	ano	NOUN	NOUN	_	91	nmod	_	TokenRange=1075:1079
216	so	so	ADV	ADV	_	221	advmod	_	TokenRange=1080:1082
217-218	no	_	_	_	_	_	_	_	TokenRange=1083:1085
217	em	em	ADP	ADP	_	219	case	_	_
218	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	219	det	_	_
219	ano	ano	NOUN	NOUN	_	221	nmod	_	TokenRange=1086:1089
220	passado	passado	ADJ	ADJ	_	219	amod	_	TokenRange=1090:1097
221	aconteceram	acontecer	VERB	VERB	_	91	conj	_	TokenRange=1098:1109
222	10905	_	NUM	NUM	NumType=Card	223	nummod	_	TokenRange=1110:1115
223	roubos	roubo	NOUN	NOUN	_	221	nsubj	_	TokenRange=1116:1122
224	dessa	_	ADP	ADP	_	225	case	_	TokenRange=1123:1128
225	natureza	natureza	NOUN	NOUN	_	223	nmod	_	TokenRange=1129:1137
226	elevacao	elevacao	NOUN	NOUN	_	223	appos	_	TokenRange=1138:1146
227	de	de	ADP	ADP	_	228	case	_	TokenRange=1147:1149
228	85	_	NUM	NUM	NumType=Card	226	nmod	_	TokenRange=1150:1152
229	ante	_	ADP	ADP	_	231	case	_	TokenRange=1153:1157
230	o	o	DET	DET	_	231	det	_	TokenRange=1158:1159
231	ano	ano	NOUN	NOUN	_	226	nmod	_	TokenRange=1160:1163
232	anterior	anterior	ADJ	ADJ	_	231	amod	_	TokenRange=1164:1172
233	desde	_	ADP	ADP	_	234	case	_	TokenRange=1173:1178
234	2014	_	NUM	NUM	NumType=Card	226	nmod	_	TokenRange=1179:1183
235	a	o	DET	DET	_	236	det	_	TokenRange=1184:1185
236	secretaria	secretaria	NOUN	NOUN	_	269	nsubj	_	TokenRange=1186:1196
237-238	da	_	_	_	_	_	_	_	TokenRange=1197:1199
237	de	de	ADP	ADP	_	239	case	_	_
238	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	239	det	_	_
239	seguranca	_	NOUN	NOUN	_	236	nmod	_	TokenRange=1200:1209
240	publica	publico	ADJ	ADJ	_	239	amod	_	TokenRange=1210:1217
241	ssp	_	PRON	PRON	_	242	nsubj	_	TokenRange=1218:1221
242	analisa	analisar	VERB	VERB	_	121	parataxis	_	TokenRange=1222:1229
243	o	o	DET	DET	_	244	det	_	TokenRange=1230:1231
244	perfil	perfil	NOUN	NOUN	_	242	obj	_	TokenRange=1232:1238
245-246	dos	_	_	_	_	_	_	_	TokenRange=1239:1242
245	de	de	ADP	ADP	_	247	case	_	_
246	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	247	det	_	_
247	roubos	roubo	NOUN	NOUN	_	244	nmod	_	TokenRange=1243:1249
248-249	no	_	_	_	_	_	_	_	TokenRange=1250:1252
248	em	em	ADP	ADP	_	250	case	_	_
249	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	250	det	_	_
250	estado	estado	NOUN	NOUN	_	247	nmod	_	TokenRange=1253:1259
251	naquele	_	ADP	ADP	_	252	case	_	TokenRange=1260:1267
252	ano	ano	NOUN	NOUN	_	242	nmod	_	TokenRange=1268:1271
253	os	o	DET	DET	_	254	det	_	TokenRange=1272:1274
254	casos	caso	NOUN	NOUN	_	269	nsubj	_	TokenRange=1275:1280
255	contra	_	ADP	ADP	_	256	case	_	TokenRange=1281:1287
256	residencias	_	NOUN	NOUN	_	254	nmod	_	TokenRange=1288:1299
257	representavam	representar	VERB	VERB	_	269	parataxis	_	TokenRange=1300:1313
258	223	_	NUM	NUM	NumType=Card	269	nsubj	_	TokenRange=1314:1317
259-260	do	_	_	_	_	_	_	_	TokenRange=1318:1320
259	de	de	ADP	ADP	_	261	case	_	_
260	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	261	det	_	_
261	total	total	NOUN	NOUN	_	258	nmod	_	TokenRange=1321:1326
262	hoje	hoje	ADV	ADV	_	269	advmod	_	TokenRange=1327:1331
263	chegam	chegar	VERB	VERB	_	269	parataxis	_	TokenRange=1332:1338
264	a	_	ADP	ADP	_	265	case	_	TokenRange=1339:1340
265	254	_	NUM	NUM	NumType=Card	269	nmod	_	TokenRange=1341:1344
266	neste	_	ADP	ADP	_	267	case	_	TokenRange=1345:1350
267	ano	ano	NOUN	NOUN	_	269	nmod	_	TokenRange=1351:1354
268	ja	ja	ADV	ADV	_	269	advmod	_	TokenRange=1355:1357
269	ocorreram	ocorrer	VERB	VERB	_	121	parataxis	_	SpacesAfter=\s\s|TokenRange=1358:1367

