# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = relembre o que pesa contra aecio neves senador que volta a exercer seu mandato e alvo de nove inqueritos no supremo tribunal federal o plenario do senado federal revogou nesta tercafeira 17 por 44 votos a 26 o afastamento do senador aecio neves psdb imposto pela primeira turma do supremo tribunal federal no final de setembro a decisao do colegiado da corte foi motivada pela acusacao da procuradoriageral da republica pgr com base nas delacoes de joesley batista e ricardo saud da jf o senador foi gravado pedindo r 2 milhoes ao empresario e esta sendo acusado dos crimes de corrupcao passiva e obstrucao de justica a decisao do senado embora restabeleca o mandato de aecio nao anula a investigacao sobre o caso perante o supremo nem os outros oito inqueritos de que o parlamentar e alvo ele nega todas as acusacoes e em carta enviada em sua defesa ao senado destaca nao ser reu em nenhuma acao penal entenda o que pesa contra o tucano corrupcao passiva e obstrucao a justica deflagrada em
1	relembre	relembrar	VERB	VERB	_	0	root	_	TokenRange=0:8
18	nove	_	NUM	NUM	NumType=Card	19	nummod	_	TokenRange=89:93
19	inqueritos	inquerito	NOUN	NOUN	_	16	nmod	_	TokenRange=94:104
20-21	no	_	_	_	_	_	_	_	TokenRange=105:107
20	em	em	ADP	ADP	_	23	case	_	_
21	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	23	det	_	_
22	supremo	supremo	ADJ	ADJ	_	23	amod	_	TokenRange=108:115
23	tribunal	tribunal	NOUN	NOUN	_	16	nmod	_	TokenRange=116:124
24	federal	federal	ADJ	ADJ	_	23	amod	_	TokenRange=125:132
25	o	o	DET	DET	_	26	det	_	TokenRange=133:134
26	plenario	plenario	NOUN	NOUN	_	31	nsubj	_	TokenRange=135:143
27-28	do	_	_	_	_	_	_	_	TokenRange=144:146
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	senado	senado	NOUN	NOUN	_	26	nmod	_	TokenRange=147:153
30	federal	federal	ADJ	ADJ	_	29	amod	_	TokenRange=154:161
31	revogou	revogar	VERB	VERB	_	1	parataxis	_	TokenRange=162:169
32	nesta	_	ADP	ADP	_	33	case	_	TokenRange=170:175
33	tercafeira	_	NOUN	NOUN	_	31	nmod	_	TokenRange=176:186
34	17	_	NUM	NUM	NumType=Card	33	appos	_	TokenRange=187:189
35	por	por	ADP	ADP	_	37	case	_	TokenRange=190:193
36	44	_	NUM	NUM	NumType=Card	37	nummod	_	TokenRange=194:196
37	votos	voto	NOUN	NOUN	_	31	nmod	_	TokenRange=197:202
38	a	_	ADP	ADP	_	39	case	_	TokenRange=203:204
39	26	_	NUM	NUM	NumType=Card	37	nmod	_	TokenRange=205:207
40	o	o	DET	DET	_	41	det	_	TokenRange=208:209
41	afastamento	afastamento	NOUN	NOUN	_	31	obj	_	TokenRange=210:221
42-43	do	_	_	_	_	_	_	_	TokenRange=222:224
42	de	de	ADP	ADP	_	44	case	_	_
43	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	44	det	_	_
44	senador	senador	NOUN	NOUN	_	41	nmod	_	TokenRange=225:232
45	aecio	_	NOUN	NOUN	_	44	appos	_	TokenRange=233:238
46	neves	_	NOUN	NOUN	_	45	flat	_	TokenRange=239:244
47	psdb	_	NOUN	NOUN	_	45	flat	_	TokenRange=245:249
48	imposto	impor	VERB	VERB	_	44	acl	_	TokenRange=250:257
49-50	pela	_	_	_	_	_	_	_	TokenRange=258:262
49	por	por	ADP	ADP	_	52	case	_	_
50	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	52	det	_	_
51	primeira	primeiro	ADJ	ADJ	_	52	amod	_	TokenRange=263:271
52	turma	turma	NOUN	NOUN	_	48	nmod	_	TokenRange=272:277
53-54	do	_	_	_	_	_	_	_	TokenRange=278:280
53	de	de	ADP	ADP	_	56	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
55	supremo	supremo	ADJ	ADJ	_	56	amod	_	TokenRange=281:288
56	tribunal	tribunal	NOUN	NOUN	_	52	nmod	_	TokenRange=289:297
57	federal	federal	ADJ	ADJ	_	56	amod	_	TokenRange=298:305
58-59	no	_	_	_	_	_	_	_	TokenRange=306:308
58	em	em	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	final	final	NOUN	NOUN	_	48	nmod	_	TokenRange=309:314
61	de	de	ADP	ADP	_	62	case	_	TokenRange=315:317
62	setembro	_	PROPN	PNOUN	_	60	nmod	_	TokenRange=318:326
63	a	o	DET	DET	_	64	det	_	TokenRange=327:328
64	decisao	decisao	NOUN	NOUN	_	72	nsubj:pass	_	TokenRange=329:336
65-66	do	_	_	_	_	_	_	_	TokenRange=337:339
65	de	de	ADP	ADP	_	67	case	_	_
66	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	67	det	_	_
67	colegiado	_	NOUN	NOUN	_	64	nmod	_	TokenRange=340:349
68-69	da	_	_	_	_	_	_	_	TokenRange=350:352
68	de	de	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	corte	corte	NOUN	NOUN	_	67	nmod	_	TokenRange=353:358
71	foi	_	AUX	AUX	_	72	aux:pass	_	TokenRange=359:362
72	motivada	motivar	VERB	VERB	_	1	parataxis	_	TokenRange=363:371
73-74	pela	_	_	_	_	_	_	_	TokenRange=372:376
73	por	por	ADP	ADP	_	75	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
75	acusacao	acusacao	NOUN	NOUN	_	72	nmod	_	TokenRange=377:385
76-77	da	_	_	_	_	_	_	_	TokenRange=386:388
76	de	de	ADP	ADP	_	78	case	_	_
77	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	78	det	_	_
78	procuradoriageral	procuradoriageral	NOUN	NOUN	_	75	nmod	_	TokenRange=389:406
79-80	da	_	_	_	_	_	_	_	TokenRange=407:409
79	de	de	ADP	ADP	_	81	case	_	_
80	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	81	det	_	_
81	republica	_	NOUN	NOUN	_	78	nmod	_	TokenRange=410:419
82	pgr	_	NOUN	NOUN	_	78	appos	_	TokenRange=420:423
83	com	com	ADP	ADP	_	84	case	_	TokenRange=424:427
84	base	base	NOUN	NOUN	_	177	nmod	_	TokenRange=428:432
85-86	nas	_	_	_	_	_	_	_	TokenRange=433:436
85	em	em	ADP	ADP	_	87	case	_	_
86	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	87	det	_	_
87	delacoes	delacoe	NOUN	NOUN	_	84	nmod	_	TokenRange=437:445
88	de	de	ADP	ADP	_	89	case	_	TokenRange=446:448
89	joesley	_	NOUN	NOUN	_	87	nmod	_	TokenRange=449:456
90	batista	batista	NOUN	NOUN	_	89	flat	_	TokenRange=457:464
91	e	e	CCONJ	CONJ	_	92	cc	_	TokenRange=465:466
92	ricardo	ricardo	NOUN	NOUN	_	89	conj	_	TokenRange=467:474
93	saud	_	NOUN	NOUN	_	92	flat	_	TokenRange=475:479
94-95	da	_	_	_	_	_	_	_	TokenRange=480:482
94	de	de	ADP	ADP	_	96	case	_	_
95	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	96	det	_	_
96	jf	_	NOUN	NOUN	_	92	nmod	_	TokenRange=483:485
97	o	o	DET	DET	_	98	det	_	TokenRange=486:487
98	senador	senador	NOUN	NOUN	_	100	nsubj:pass	_	TokenRange=488:495
99	foi	_	AUX	AUX	_	100	aux:pass	_	TokenRange=496:499
100	gravado	gravar	VERB	VERB	_	31	parataxis	_	TokenRange=500:507
101	pedindo	pedir	VERB	VERB	_	100	acl	_	TokenRange=508:515
102	r	r	NOUN	NOUN	_	101	obj	_	TokenRange=516:517
103	2	_	NUM	NUM	NumType=Card	104	nummod	_	TokenRange=518:519
104	milhoes	_	NUM	NUM	NumType=Card	102	nummod	_	TokenRange=520:527
105-106	ao	_	_	_	_	_	_	_	TokenRange=528:530
105	a	a	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	empresario	empresario	NOUN	NOUN	_	101	iobj	_	TokenRange=531:541
108	e	e	CCONJ	CONJ	_	111	cc	_	TokenRange=542:543
109	esta	_	AUX	AUX	_	111	aux	_	TokenRange=544:548
110	sendo	ser	AUX	AUX	_	111	aux:pass	_	TokenRange=549:554
111	acusado	acusar	VERB	VERB	_	100	conj	_	TokenRange=555:562
112-113	dos	_	_	_	_	_	_	_	TokenRange=563:566
112	de	de	ADP	ADP	_	114	case	_	_
113	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	114	det	_	_
114	crimes	crime	NOUN	NOUN	_	111	nmod	_	TokenRange=567:573
115	de	de	ADP	ADP	_	116	case	_	TokenRange=574:576
116	corrupcao	corrupcao	NOUN	NOUN	_	114	nmod	_	TokenRange=577:586
117	passiva	passivo	ADJ	ADJ	_	116	amod	_	TokenRange=587:594
118	e	e	CCONJ	CONJ	_	119	cc	_	TokenRange=595:596
119	obstrucao	obstrucao	NOUN	NOUN	_	116	conj	_	TokenRange=597:606
120	de	de	ADP	ADP	_	121	case	_	TokenRange=607:609
121	justica	_	NOUN	NOUN	_	119	nmod	_	TokenRange=610:617
122	a	o	DET	DET	_	123	det	_	TokenRange=618:619
123	decisao	decisao	NOUN	NOUN	_	31	nsubj	_	TokenRange=620:627
124-125	do	_	_	_	_	_	_	_	TokenRange=628:630
124	de	de	ADP	ADP	_	126	case	_	_
125	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	126	det	_	_
126	senado	senado	NOUN	NOUN	_	123	nmod	_	TokenRange=631:637
127	embora	_	CCONJ	CONJ	_	128	mark	_	TokenRange=638:644
128	restabeleca	restabelecar	VERB	VERB	_	31	advcl	_	TokenRange=645:656
129	o	o	DET	DET	_	130	det	_	TokenRange=657:658
130	mandato	mandato	NOUN	NOUN	_	128	obj	_	TokenRange=659:666
131	de	de	ADP	ADP	_	132	case	_	TokenRange=667:669
132	aecio	_	NOUN	NOUN	_	130	nmod	_	TokenRange=670:675
133	nao	nao	ADV	ADV	Polarity=Neg	134	advmod	_	TokenRange=676:679
134	anula	anular	VERB	VERB	_	31	advcl	_	TokenRange=680:685
135	a	o	DET	DET	_	136	det	_	TokenRange=686:687
136	investigacao	investigacao	NOUN	NOUN	_	134	obj	_	TokenRange=688:700
137	sobre	_	ADP	ADP	_	139	case	_	TokenRange=701:706
138	o	o	DET	DET	_	139	det	_	TokenRange=707:708
139	caso	caso	NOUN	NOUN	_	136	nmod	_	TokenRange=709:713
140	perante	_	ADP	ADP	_	142	case	_	TokenRange=714:721
141	o	o	DET	DET	_	142	det	_	TokenRange=722:723
142	supremo	supremo	NOUN	NOUN	_	136	nmod	_	TokenRange=724:731
143	nem	_	CCONJ	CONJ	_	147	cc	_	TokenRange=732:735
144	os	o	DET	DET	_	147	det	_	TokenRange=736:738
145	outros	_	DET	DET	_	147	det	_	TokenRange=739:745
146	oito	_	NUM	NUM	NumType=Card	147	nummod	_	TokenRange=746:750
147	inqueritos	inquerito	NOUN	NOUN	_	136	conj	_	TokenRange=751:761
148	de	_	ADP	ADP	_	155	mark	_	TokenRange=762:764
149	que	que	CCONJ	CONJ	_	155	mark	_	TokenRange=765:768
150	o	o	DET	DET	_	151	det	_	TokenRange=769:770
151	parlamentar	parlamentar	NOUN	NOUN	_	155	nsubj	_	TokenRange=771:782
152	e	e	CCONJ	CONJ	_	153	cc	_	TokenRange=783:784
153	alvo	alvo	NOUN	NOUN	_	147	nmod	_	TokenRange=785:789
154	ele	_	PRON	PRON	_	155	nsubj	_	TokenRange=790:793
155	nega	negar	VERB	VERB	_	147	acl:relcl	_	TokenRange=794:798
156	todas	_	DET	DET	_	158	det	_	TokenRange=799:804
157	as	o	DET	DET	_	158	det	_	TokenRange=805:807
158	acusacoes	acusacoe	NOUN	NOUN	_	155	obj	_	TokenRange=808:817
159	e	e	CCONJ	CONJ	_	169	cc	_	TokenRange=818:819
160	em	em	ADP	ADP	_	161	case	_	TokenRange=820:822
161	carta	carta	NOUN	NOUN	_	72	nmod	_	TokenRange=823:828
162	enviada	enviar	VERB	VERB	_	161	acl	_	TokenRange=829:836
163	em	em	ADP	ADP	_	165	case	_	TokenRange=837:839
164	sua	_	DET	DET	_	165	det:poss	_	TokenRange=840:843
165	defesa	_	NOUN	NOUN	_	162	nmod	_	TokenRange=844:850
166-167	ao	_	_	_	_	_	_	_	TokenRange=851:853
166	a	a	ADP	ADP	_	168	case	_	_
167	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	168	det	_	_
168	senado	senado	NOUN	NOUN	_	162	nmod	_	TokenRange=854:860
169	destaca	destacar	VERB	VERB	_	72	conj	_	TokenRange=861:868
170	nao	nao	ADV	ADV	Polarity=Neg	172	advmod	_	TokenRange=869:872
171	ser	ser	AUX	AUX	_	172	cop	_	TokenRange=873:876
172	reu	reu	NOUN	NOUN	_	169	xcomp	_	TokenRange=877:880
173	em	em	ADP	ADP	_	175	case	_	TokenRange=881:883
174	nenhuma	_	DET	DET	_	175	det	_	TokenRange=884:891
175	acao	acao	NOUN	NOUN	_	172	nmod	_	TokenRange=892:896
176	penal	penal	ADJ	ADJ	_	175	amod	_	TokenRange=897:902
177	entenda	entender	VERB	VERB	_	169	ccomp	_	TokenRange=903:910
178	o	_	PRON	PRON	_	177	obj	_	TokenRange=911:912
179	que	_	PRON	PRON	_	180	nsubj	_	TokenRange=913:916
180	pesa	pesar	VERB	VERB	_	178	acl:relcl	_	TokenRange=917:921
181	contra	_	ADP	ADP	_	183	case	_	TokenRange=922:928
182	o	o	DET	DET	_	183	det	_	TokenRange=929:930
183	tucano	tucano	NOUN	NOUN	_	180	nmod	_	TokenRange=931:937
184	corrupcao	corrupcao	NOUN	NOUN	_	180	nsubj	_	TokenRange=938:947
185	passiva	passivo	ADJ	ADJ	_	184	amod	_	TokenRange=948:955
186	e	e	CCONJ	CONJ	_	187	cc	_	TokenRange=956:957
187	obstrucao	obstrucao	NOUN	NOUN	_	184	conj	_	TokenRange=958:967
188	a	o	DET	DET	_	189	det	_	TokenRange=968:969
189	justica	_	NOUN	NOUN	_	187	nmod	_	TokenRange=970:977
190	deflagrada	deflagrado	ADJ	ADJ	_	184	amod	_	TokenRange=978:988
191	em	em	ADP	ADP	_	183	case	_	SpacesAfter=\s\s|TokenRange=989:991

