# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ao confiscar o passaporte do expresidente lula o juiz federal da 10 vara de brasilia ricardo soares leite afirma ver real e iminente probabilidade da prisao do petista o magistrado atendeu a pedido do ministerio publico federal e determinou que documento seja entregue em 24 horas a decisao ja chegou as maos da policia federal a defesa de lula se diz estarrecida com o despacho de leite e promete entregar o passaporte nesta sextafeira 26 defesa de lula se diz estarrecida e afirma que vai entregar passaporte procuradoria ve risco concreto de fuga de lula objetivamente a confirmacao da sentenca proferida pelo juizo federal da 13 vara da subsecao judiciaria de curitiba com penal inicial prevista em regime de reclusao em desfavor do expresidente luiz inacio lula da silva pelo tribunal regional federal da 4 regiao tornou real e iminente a probabilidade de sua prisao conforme entendimento hodierno atual do supremo tribunal federal escreveu leite o pedido da procuradoria da republica no df foi protocolado na 10 vara federal aonde lula e reu na operacao zelotes por suposto trafico de influencia e lavagem de dinheiro na compra de cacas suecos no governo dilma roussef lula luiz claudio lula filho do expresidente e o casal de
1-2	ao	_	_	_	_	_	_	_	TokenRange=0:2
47	documento	documento	NOUN	NOUN	_	49	nsubj:pass	_	TokenRange=245:254
48	seja	ser	AUX	AUX	_	49	aux:pass	_	TokenRange=255:259
49	entregue	entregar	VERB	VERB	_	45	ccomp	_	TokenRange=260:268
50	em	em	ADP	ADP	_	52	case	_	TokenRange=269:271
51	24	_	NUM	NUM	NumType=Card	52	nummod	_	TokenRange=272:274
52	horas	hora	NOUN	NOUN	_	49	nmod	_	TokenRange=275:280
53	a	o	DET	DET	_	54	det	_	TokenRange=281:282
54	decisao	decisao	NOUN	NOUN	_	49	nsubj:pass	_	TokenRange=283:290
55	ja	ja	ADV	ADV	_	56	advmod	_	TokenRange=291:293
56	chegou	chegar	VERB	VERB	_	152	conj	_	TokenRange=294:300
57	as	_	ADP	ADP	_	58	case	_	TokenRange=301:303
58	maos	mao	NOUN	NOUN	_	56	nmod	_	TokenRange=304:308
59-60	da	_	_	_	_	_	_	_	TokenRange=309:311
59	de	de	ADP	ADP	_	61	case	_	_
60	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	61	det	_	_
61	policia	policia	NOUN	NOUN	_	58	nmod	_	TokenRange=312:319
62	federal	federal	ADJ	ADJ	_	61	amod	_	TokenRange=320:327
63	a	o	DET	DET	_	64	det	_	TokenRange=328:329
64	defesa	_	NOUN	NOUN	_	56	nsubj	_	TokenRange=330:336
65	de	de	ADP	ADP	_	66	case	_	TokenRange=337:339
66	lula	lula	NOUN	NOUN	_	64	nmod	_	TokenRange=340:344
67	se	_	PRON	PRT	_	68	expl:pv	_	TokenRange=345:347
68	diz	dizer	VERB	VERB	_	152	conj	_	TokenRange=348:351
69	estarrecida	estarrecido	ADJ	ADJ	_	68	xcomp	_	TokenRange=352:363
70	com	com	ADP	ADP	_	72	case	_	TokenRange=364:367
71	o	o	DET	DET	_	72	det	_	TokenRange=368:369
72	despacho	despacho	NOUN	NOUN	_	69	nmod	_	TokenRange=370:378
73	de	de	ADP	ADP	_	74	case	_	TokenRange=379:381
74	leite	leite	NOUN	NOUN	_	72	nmod	_	TokenRange=382:387
75	e	e	CCONJ	CONJ	_	76	cc	_	TokenRange=388:389
76	promete	prometer	VERB	VERB	_	184	conj	_	TokenRange=390:397
77	entregar	entregar	VERB	VERB	_	76	xcomp	_	TokenRange=398:406
78	o	o	DET	DET	_	79	det	_	TokenRange=407:408
79	passaporte	passaporte	NOUN	NOUN	_	77	obj	_	TokenRange=409:419
80	nesta	_	ADP	ADP	_	81	case	_	TokenRange=420:425
81	sextafeira	sextafeira	NOUN	NOUN	_	77	nmod	_	TokenRange=426:436
82	26	_	NUM	NUM	NumType=Card	83	nummod	_	TokenRange=437:439
83	defesa	_	NOUN	NOUN	_	184	nsubj:pass	_	TokenRange=440:446
84	de	de	ADP	ADP	_	85	case	_	TokenRange=447:449
85	lula	lula	NOUN	NOUN	_	83	nmod	_	TokenRange=450:454
86	se	_	PRON	PRON	_	87	expl:pv	_	TokenRange=455:457
87	diz	dizer	VERB	VERB	_	184	conj	_	TokenRange=458:461
88	estarrecida	estarrecido	ADJ	ADJ	_	87	xcomp	_	TokenRange=462:473
89	e	e	CCONJ	CONJ	_	90	cc	_	TokenRange=474:475
90	afirma	afirmar	VERB	VERB	_	184	conj	_	TokenRange=476:482
91	que	que	CCONJ	CONJ	_	93	mark	_	TokenRange=483:486
92	vai	ir	AUX	AUX	_	93	aux	_	TokenRange=487:490
93	entregar	entregar	VERB	VERB	_	90	ccomp	_	TokenRange=491:499
94	passaporte	passaporte	NOUN	NOUN	_	93	obj	_	TokenRange=500:510
95	procuradoria	procuradoria	NOUN	NOUN	_	93	obj	_	TokenRange=511:523
96	ve	_	VERB	VERB	_	90	ccomp	_	TokenRange=524:526
97	risco	risco	NOUN	NOUN	_	96	obj	_	TokenRange=527:532
98	concreto	concreto	ADJ	ADJ	_	97	amod	_	TokenRange=533:541
99	de	de	ADP	ADP	_	100	case	_	TokenRange=542:544
100	fuga	fuga	NOUN	NOUN	_	97	nmod	_	TokenRange=545:549
101	de	de	ADP	ADP	_	102	case	_	TokenRange=550:552
102	lula	lula	NOUN	NOUN	_	100	nmod	_	TokenRange=553:557
103	objetivamente	objetivamente	ADV	ADV	_	105	advmod	_	TokenRange=558:571
104	a	o	DET	DET	_	105	det	_	TokenRange=572:573
105	confirmacao	confirmacao	NOUN	NOUN	_	96	nsubj	_	TokenRange=574:585
106-107	da	_	_	_	_	_	_	_	TokenRange=586:588
106	de	de	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	sentenca	sentenca	NOUN	NOUN	_	105	nmod	_	TokenRange=589:597
109	proferida	proferir	VERB	VERB	_	108	acl	_	TokenRange=598:607
110-111	pelo	_	_	_	_	_	_	_	TokenRange=608:612
110	por	por	ADP	ADP	_	112	case	_	_
111	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	112	det	_	_
112	juizo	juizo	NOUN	NOUN	_	109	nmod	_	TokenRange=613:618
113	federal	federal	ADJ	ADJ	_	112	amod	_	TokenRange=619:626
114-115	da	_	_	_	_	_	_	_	TokenRange=627:629
114	de	de	ADP	ADP	_	117	case	_	_
115	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	117	det	_	_
116	13	_	NUM	NUM	NumType=Card	117	nummod	_	TokenRange=630:632
117	vara	vara	NOUN	NOUN	_	112	nmod	_	TokenRange=633:637
118-119	da	_	_	_	_	_	_	_	TokenRange=638:640
118	de	de	ADP	ADP	_	120	case	_	_
119	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	120	det	_	_
120	subsecao	subsecao	NOUN	NOUN	_	117	nmod	_	TokenRange=641:649
121	judiciaria	judiciario	ADJ	ADJ	_	120	amod	_	TokenRange=650:660
122	de	de	ADP	ADP	_	123	case	_	TokenRange=661:663
123	curitiba	curitiba	NOUN	NOUN	_	120	nmod	_	TokenRange=664:672
124	com	com	ADP	ADP	_	125	case	_	TokenRange=673:676
125	penal	penal	NOUN	NOUN	_	109	nmod	_	TokenRange=677:682
126	inicial	inicial	ADJ	ADJ	_	125	amod	_	TokenRange=683:690
127	prevista	previsto	ADJ	ADJ	_	125	amod	_	TokenRange=691:699
128	em	em	ADP	ADP	_	129	case	_	TokenRange=700:702
129	regime	regime	NOUN	NOUN	_	127	nmod	_	TokenRange=703:709
130	de	de	ADP	ADP	_	131	case	_	TokenRange=710:712
131	reclusao	reclusao	NOUN	NOUN	_	129	nmod	_	TokenRange=713:721
132	em	em	ADP	ADP	_	133	case	_	TokenRange=722:724
133	desfavor	desfavor	NOUN	NOUN	_	109	nmod	_	TokenRange=725:733
134-135	do	_	_	_	_	_	_	_	TokenRange=734:736
134	de	de	ADP	ADP	_	136	case	_	_
135	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	_
136	expresidente	expresidente	NOUN	NOUN	_	133	nmod	_	TokenRange=737:749
137	luiz	luiz	ADJ	ADJ	_	136	appos	_	TokenRange=750:754
138	inacio	_	ADJ	ADJ	_	137	flat	_	TokenRange=755:761
139	lula	_	PROPN	PNOUN	_	137	flat	_	TokenRange=762:766
140-141	da	_	_	_	_	_	_	_	TokenRange=767:769
140	de	de	ADP	ADP	_	142	case	_	_
141	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	142	det	_	_
142	silva	silva	NOUN	NOUN	_	137	nmod	_	TokenRange=770:775
143-144	pelo	_	_	_	_	_	_	_	TokenRange=776:780
143	por	por	ADP	ADP	_	145	case	_	_
144	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	145	det	_	_
145	tribunal	tribunal	NOUN	NOUN	_	49	nmod	_	TokenRange=781:789
146	regional	regional	ADJ	ADJ	_	145	amod	_	TokenRange=790:798
147	federal	federal	ADJ	ADJ	_	145	amod	_	TokenRange=799:806
148-149	da	_	_	_	_	_	_	_	TokenRange=807:809
148	de	de	ADP	ADP	_	151	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	151	det	_	_
150	4	_	NUM	NUM	NumType=Card	151	nummod	_	TokenRange=810:811
151	regiao	regiao	NOUN	NOUN	_	145	nmod	_	TokenRange=812:818
152	tornou	tornar	VERB	VERB	_	22	parataxis	_	TokenRange=819:825
153	real	real	ADJ	ADJ	_	152	xcomp	_	TokenRange=826:830
154	e	e	CCONJ	CONJ	_	155	cc	_	TokenRange=831:832
155	iminente	iminente	ADJ	ADJ	_	153	conj	_	TokenRange=833:841
156	a	o	DET	DET	_	157	det	_	TokenRange=842:843
157	probabilidade	probabilidade	NOUN	NOUN	_	152	obj	_	TokenRange=844:857
158	de	de	ADP	ADP	_	160	case	_	TokenRange=858:860
159	sua	_	DET	DET	_	160	det:poss	_	TokenRange=861:864
160	prisao	prisao	NOUN	NOUN	_	157	nmod	_	TokenRange=865:871
161	conforme	_	ADP	ADP	_	162	case	_	TokenRange=872:880
162	entendimento	entendimento	NOUN	NOUN	_	56	nmod	_	TokenRange=881:893
163	hodierno	hodierno	ADJ	ADJ	_	162	amod	_	TokenRange=894:902
164	atual	atual	ADJ	ADJ	_	162	amod	_	TokenRange=903:908
165-166	do	_	_	_	_	_	_	_	TokenRange=909:911
165	de	de	ADP	ADP	_	168	case	_	_
166	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	168	det	_	_
167	supremo	supremo	ADJ	ADJ	_	168	amod	_	TokenRange=912:919
168	tribunal	tribunal	NOUN	NOUN	_	162	nmod	_	TokenRange=920:928
169	federal	federal	ADJ	ADJ	_	168	amod	_	TokenRange=929:936
170	escreveu	escrever	VERB	VERB	_	22	parataxis	_	TokenRange=937:945
171	leite	leite	NOUN	NOUN	_	170	obj	_	TokenRange=946:951
172	o	o	DET	DET	_	173	det	_	TokenRange=952:953
173	pedido	pedido	NOUN	NOUN	_	184	nsubj:pass	_	TokenRange=954:960
174-175	da	_	_	_	_	_	_	_	TokenRange=961:963
174	de	de	ADP	ADP	_	176	case	_	_
175	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	176	det	_	_
176	procuradoria	procuradoria	NOUN	NOUN	_	173	nmod	_	TokenRange=964:976
177-178	da	_	_	_	_	_	_	_	TokenRange=977:979
177	de	de	ADP	ADP	_	179	case	_	_
178	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	179	det	_	_
179	republica	_	NOUN	NOUN	_	176	nmod	_	TokenRange=980:989
180-181	no	_	_	_	_	_	_	_	TokenRange=990:992
180	em	em	ADP	ADP	_	182	case	_	_
181	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	182	det	_	_
182	df	df	NOUN	NOUN	_	176	nmod	_	TokenRange=993:995
183	foi	_	AUX	AUX	_	184	aux:pass	_	TokenRange=996:999
184	protocolado	protocolar	VERB	VERB	_	22	parataxis	_	TokenRange=1000:1011
185-186	na	_	_	_	_	_	_	_	TokenRange=1012:1014
185	em	em	ADP	ADP	_	188	case	_	_
186	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	188	det	_	_
187	10	_	NUM	NUM	NumType=Card	188	nummod	_	TokenRange=1015:1017
188	vara	vara	NOUN	NOUN	_	184	nmod	_	TokenRange=1018:1022
189	federal	federal	ADJ	ADJ	_	188	amod	_	TokenRange=1023:1030
190	aonde	aonde	ADV	ADV	_	184	advmod	_	TokenRange=1031:1036
191	lula	_	PROPN	PNOUN	_	184	nsubj:pass	_	TokenRange=1037:1041
192	e	e	CCONJ	CONJ	_	193	cc	_	TokenRange=1042:1043
193	reu	_	VERB	VERB	_	184	conj	_	TokenRange=1044:1047
194-195	na	_	_	_	_	_	_	_	TokenRange=1048:1050
194	em	em	ADP	ADP	_	196	case	_	_
195	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	196	det	_	_
196	operacao	operacao	NOUN	NOUN	_	193	nmod	_	TokenRange=1051:1059
197	zelotes	zelote	NOUN	NOUN	_	196	flat	_	TokenRange=1060:1067
198	por	por	ADP	ADP	_	200	case	_	TokenRange=1068:1071
199	suposto	suposto	ADJ	ADJ	_	200	amod	_	TokenRange=1072:1079
200	trafico	trafico	NOUN	NOUN	_	193	nmod	_	TokenRange=1080:1087
201	de	de	ADP	ADP	_	202	case	_	TokenRange=1088:1090
202	influencia	_	NOUN	NOUN	_	200	nmod	_	TokenRange=1091:1101
203	e	e	CCONJ	CONJ	_	204	cc	_	TokenRange=1102:1103
204	lavagem	lavagem	NOUN	NOUN	_	200	conj	_	TokenRange=1104:1111
205	de	de	ADP	ADP	_	206	case	_	TokenRange=1112:1114
206	dinheiro	dinheiro	NOUN	NOUN	_	204	nmod	_	TokenRange=1115:1123
207-208	na	_	_	_	_	_	_	_	TokenRange=1124:1126
207	em	em	ADP	ADP	_	209	case	_	_
208	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	209	det	_	_
209	compra	compra	NOUN	NOUN	_	204	nmod	_	TokenRange=1127:1133
210	de	de	ADP	ADP	_	211	case	_	TokenRange=1134:1136
211	cacas	caca	NOUN	NOUN	_	209	nmod	_	TokenRange=1137:1142
212	suecos	sueco	ADJ	ADJ	_	211	amod	_	TokenRange=1143:1149
213-214	no	_	_	_	_	_	_	_	TokenRange=1150:1152
213	em	em	ADP	ADP	_	215	case	_	_
214	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	215	det	_	_
215	governo	governo	NOUN	NOUN	_	209	nmod	_	TokenRange=1153:1160
216	dilma	dilma	NOUN	NOUN	_	215	appos	_	TokenRange=1161:1166
217	roussef	_	ADJ	ADJ	_	216	flat	_	TokenRange=1167:1174
218	lula	_	NOUN	NOUN	_	219	nsubj	_	TokenRange=1175:1179
219	luiz	luiz	VERB	VERB	_	184	parataxis	_	TokenRange=1180:1184
220	claudio	claudio	NOUN	NOUN	_	219	flat	_	TokenRange=1185:1192
221	lula	_	ADJ	NOUN	_	219	flat	_	TokenRange=1193:1197
222	filho	filho	ADJ	ADJ	_	219	flat	_	TokenRange=1198:1203
223-224	do	_	_	_	_	_	_	_	TokenRange=1204:1206
223	de	de	ADP	ADP	_	225	case	_	_
224	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	225	det	_	_
225	expresidente	expresidente	NOUN	NOUN	_	112	nmod	_	TokenRange=1207:1219
226	e	e	CCONJ	CONJ	_	228	cc	_	TokenRange=1220:1221
227	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	228	det	_	TokenRange=1222:1223
228	casal	casal	NOUN	NOUN	_	225	conj	_	TokenRange=1224:1229
229	de	de	ADP	ADP	_	225	case	_	SpacesAfter=\s\s|TokenRange=1230:1232

